DateTime,Entries,UniqueIPs
1573589191,50,50
1573592798,49,49
1573600007,50,50
1573603626,48,48
1573607201,49,49
1573610793,63,63
1573614394,71,71
1573617991,72,72
1573621577,73,73
1573625213,72,72
1573628796,65,65
1573632400,63,63
1573636006,71,71
1573639592,69,69
1573643186,70,70
1573646799,71,71
1573650392,62,62
1573653992,65,65
1573657610,66,66
1573661182,62,62
1573664783,65,65
1573668399,56,56
1573671997,55,55
1573675590,64,64
1573679184,66,66
1573682794,74,74
1573686389,75,75
1573690007,74,74
1573693573,75,75
1573697183,71,71
1573700804,68,68
1573704397,52,52
1573708001,53,53
1573711593,51,51
1573715198,50,50
1573718795,49,49
1573722394,46,46
1573725982,45,45
1573729594,47,47
1573733197,46,46
1573736804,47,47
1573743993,50,50
1573747595,50,50
1573751175,48,48
1573754786,52,52
1573758394,51,51
1573761996,52,52
1573769202,48,48
1573772792,48,48
1573776401,50,50
1573780001,50,50
1573787213,51,51
1573790801,53,53
1573794402,52,52
1573798000,52,52
1573801613,51,51
1573805209,49,49
1573808805,50,50
1573812414,47,47
1573815987,48,48
1573819591,50,50
1573823209,49,49
1573826802,50,50
1573830401,50,50
1573833995,50,50
1573837593,52,52
1573841187,51,51
1573844792,53,53
1573862804,55,55
1573866385,56,56
1573869991,52,52
1573873590,55,55
1573877180,55,55
1573884395,55,55
1573888002,56,56
1573891602,52,52
1573895211,55,55
1573898808,56,56
1573902410,53,53
1573905998,54,54
1573909589,53,53
1573913201,51,51
1573916791,50,50
1573920396,55,55
1573923981,56,56
1573934777,51,51
1573938360,53,53
1573942017,54,54
1573945601,54,54
1573949194,56,56
1573952788,62,62
1573956372,68,68
1573959980,69,69
1573963582,67,67
1573967199,65,65
1573970774,65,65
1573974370,63,63
1573977988,76,76
1573981588,78,78
1573985180,79,79
1573988801,79,79
1573992386,74,74
1573995996,75,75
1573999591,77,77
1574003193,75,75
1574006771,73,73
1574010382,68,68
1574013977,59,59
1574017599,63,63
1574021196,75,75
1574024780,78,78
1574028377,77,77
1574031986,76,76
1574035612,72,72
1574039205,73,73
1574042800,75,75
1574046412,73,73
1574049995,51,51
1574053593,46,46
1574057209,47,47
1574060791,54,54
1574064396,52,52
1574067997,53,53
1574075206,44,44
1574078795,53,53
1574089598,54,54
1574093194,48,48
1574096803,48,48
1574100387,54,54
1574103977,54,54
1574107611,56,56
1574122010,55,55
1574125596,54,54
1574129188,57,57
1574132812,58,58
1574139994,56,56
1574143608,54,54
1574147205,52,52
1574150807,51,51
1574154411,48,48
1574161612,44,44
1574165221,48,48
1574168806,51,51
1574172416,53,53
1574179619,54,54
1574183199,49,49
1574186809,43,43
1574190429,46,46
1574194003,51,51
1574197619,52,52
1574201202,54,54
1574208393,55,55
1574212006,60,60
1574219228,62,62
1574222822,61,61
1574226406,56,56
1574230013,55,55
1574233615,52,52
1574237212,52,52
1574240815,54,54
1574255214,51,51
1574258812,53,53
1574262412,55,55
1574273214,54,54
1574280414,53,53
1574284011,52,52
1574287619,55,55
1574291216,55,55
1574294801,56,56
1574298405,63,63
1574302025,64,64
1574305605,67,67
1574309211,61,61
1574312815,64,64
1574316414,71,71
1574320034,74,74
1574323626,73,73
1574327206,73,73
1574330829,69,69
1574334410,70,70
1574338014,75,75
1574345225,74,74
1574348799,72,72
1574352412,66,66
1574356020,69,69
1574359616,74,74
1574363204,73,73
1574366822,70,70
1574370412,77,77
1574374011,75,75
1574381205,76,76
1574384827,78,78
1574388414,76,76
1574392014,78,78
1574395623,57,57
1574399207,59,59
1574402812,55,55
1574406425,56,56
1574420812,55,55
1574435217,53,53
1574438808,55,55
1574446011,54,54
1574449621,55,55
1574456799,54,54
1574460406,53,53
1574464012,54,54
1574467600,55,55
1574474801,53,53
1574478399,49,49
1574481982,55,55
1574485598,57,57
1574489202,58,58
1574492811,56,56
1574503609,54,54
1574507197,55,55
1574510802,54,54
1574521585,53,53
1574525207,52,52
1574528797,55,55
1574550397,54,54
1574554001,55,55
1574557601,52,52
1574561195,56,56
1574564795,55,55
1574568401,53,53
1574572001,54,54
1574575586,53,53
1574579195,56,56
1574582800,61,61
