DateTime,AddedIPs,RemovedIPs
1551765809,0,1
1551769384,1,0
1551776582,0,2
1551780192,0,1
1551783785,0,1
1551794600,0,1
1551798197,0,1
1551809001,1,0
1551812598,0,1
1551823401,0,1
1551826999,1,1
1551830611,1,0
1551852202,0,1
1551859400,1,0
1551880999,0,1
1551888197,1,0
1551902600,0,1
1551909799,1,1
1551917013,1,0
1552010606,0,1
1552017804,1,0
1552021400,1,0
1552032202,0,1
1552061001,1,0
1552071816,0,2
1552089790,1,0
1552125795,0,1
1552129396,1,0
1552161804,0,1
1552169006,1,0
1552172603,0,1
1552201403,0,1
1552219407,1,0
1552237405,0,1
1552251798,1,0
1552284204,0,1
1552291415,1,0
1552316600,0,1
1552320202,1,0
1552518198,0,1
1552521806,1,0
1552554198,0,1
1552557801,1,0
1552709001,0,1
1552716200,1,0
1552730597,0,1
1552770200,1,0
1552896202,0,1
1553155400,0,1
1553159001,1,0
1553349797,1,0
1553356979,0,1
1553569410,0,1
1553576598,1,0
1553745774,0,1
1553749394,1,0
1553778205,0,1
1553785391,1,0
1553871807,0,1
1553879012,1,0
1553918596,0,3
1553940208,0,1
1553943805,1,0
1553972601,0,1
1553976193,1,0
1554059002,0,1
1554062601,1,0
1554131015,1,0
1554285791,0,1
1554393801,0,1
1554397391,1,0
1554523388,1,0
1554807809,0,1
1554811403,1,0
1554897810,0,1
1554930184,0,1
1555426997,0,1
1555430597,1,0
1555506200,1,0
1555531393,3,0
1555538596,0,1
1555650206,0,1
1555653792,1,0
1555783399,0,1
1555790606,1,0
1555967008,0,3
1556046196,3,0
1556197402,0,1
1556204597,1,0
1556492602,0,1
1556496158,1,0
1556539395,0,1
1556571803,0,1
1556676206,1,0
1556679811,1,0
1556683395,1,0
1556690600,0,1
1556715792,1,0
1556719407,1,0
1556722998,0,1
1556726601,1,1
1556730200,1,0
1556733803,0,1
1556737411,1,1
1556741000,1,1
1556748197,0,1
1556766207,1,0
1556773406,1,1
1556777003,1,1
1556784209,0,1
1556787805,1,0
1556791399,0,1
1556794999,1,0
1556798596,1,0
1556802210,0,1
1556805799,0,1
1556809409,1,0
1556813007,1,1
1556816603,0,1
1556820211,1,0
1556823801,0,1
1556838209,1,1
1556841792,1,0
1556845406,1,1
1556849000,1,1
1556852602,1,1
1556856207,1,1
1556859794,1,1
1556863390,1,1
1556866996,1,1
1556870588,0,1
1556874195,1,0
1556877793,1,1
1556881388,1,1
1556884997,0,1
1556888584,1,0
1556892202,0,1
1556895783,1,1
1556899388,1,1
1556906597,1,1
1556910200,0,1
1556917389,0,1
1556920991,1,0
1556928200,1,1
1556931802,1,0
1556938992,1,1
1556942592,1,1
1556949802,0,1
1556953399,0,1
1556964202,1,0
1556975003,1,0
1556978604,1,0
1556982197,1,1
1556985794,1,1
1556989392,0,1
1556993003,1,1
1556996589,0,1
1557003793,0,1
1557014583,1,0
1557021799,1,0
1557032593,1,1
1557043378,0,1
1557057788,0,1
1557061400,1,0
1557065000,0,1
1557068595,2,0
1557072198,0,1
1557075803,1,0
1557082997,0,1
1557119005,1,1
1557122603,1,0
1557126208,1,0
1557129799,1,1
1557133408,0,1
1557137014,1,1
1557140612,1,1
1557147812,1,1
1557151405,1,1
1557158613,0,1
1557162204,1,1
1557165796,1,0
1557169399,1,0
1557172991,0,1
1557176594,0,1
1557180187,0,1
1557183803,1,0
1557190994,1,0
1557194600,0,1
1557198199,1,0
1557201793,1,1
1557205391,0,1
1557216194,0,1
1557219797,0,1
1557345805,1,0
1557374606,1,0
1557590617,0,1
1557623015,1,0
1557731005,0,1
1557975808,1,0
1557997398,0,1
1558040598,1,0
1558044196,1,0
1558054993,0,1
1558083792,1,0
1558090993,1,0
