DateTime,Entries,UniqueIPs
1574093250,147,147
1574096855,146,146
1574100439,147,147
1574104021,148,148
1574107669,148,148
1574111253,148,148
1574114866,149,149
1574118476,149,149
1574122069,149,149
1574125652,147,147
1574129253,146,146
1574132874,146,146
1574136473,147,147
1574140054,147,147
1574143670,149,149
1574147266,149,149
1574150866,148,148
1574154472,149,149
1574158074,149,149
1574161673,149,149
1574165282,148,148
1574168857,146,146
1574172477,146,146
1574176077,149,149
1574179681,148,148
1574183254,147,147
1574186868,147,147
1574190490,147,147
1574194060,146,146
1574197681,146,146
1574201258,145,145
1574204857,145,145
1574208454,147,147
1574212370,149,149
1574215678,149,149
1574219404,149,149
1574222883,150,150
1574226467,149,149
1574230074,148,148
1574233677,147,147
1574237273,147,147
1574240876,148,148
1574244475,149,149
1574248070,148,148
1574251683,148,148
1574255274,148,148
1574258874,148,148
1574262471,150,150
1574266069,148,148
1574269675,149,149
1574273275,148,148
1574276872,146,146
1574280475,146,146
1574284073,146,146
1574287678,147,147
1574291278,148,148
1574294862,148,148
1574298475,149,149
1574302090,150,150
1574305672,150,150
1574309277,148,148
1574312906,148,148
1574316478,148,148
1574320130,150,150
1574323685,150,150
1574327268,150,150
1574330890,150,150
1574334467,150,150
1574338071,150,150
1574341676,150,150
1574345287,148,148
1574348861,147,147
1574352474,146,146
1574356081,146,146
1574359677,148,148
1574363261,148,148
1574366881,146,146
1574370473,146,146
1574374072,147,147
1574377682,146,146
1574381264,149,149
1574384888,149,149
1574388471,149,149
1574392075,148,148
1574395684,148,148
1574399263,149,149
1574402869,150,150
1574406487,151,151
1574410067,151,151
1574413671,150,150
1574417275,150,150
1574420870,151,151
1574424479,151,151
1574428059,151,151
1574431670,152,152
1574435279,150,150
1574438864,149,149
1574442470,147,147
1574446070,146,146
1574449682,147,147
1574453270,148,148
1574456851,147,147
1574460456,150,150
1574464062,149,149
1574467654,149,149
1574471265,149,149
1574474853,150,150
1574478455,148,148
1574482044,147,147
1574485648,146,146
1574489253,146,146
1574492867,148,148
1574496460,149,149
1574500049,149,149
1574503664,149,149
1574507252,148,148
1574510852,148,148
1574514450,150,150
1574518049,152,152
1574521638,150,150
1574525249,149,149
1574528838,148,148
1574532464,148,148
1574536044,149,149
1574539670,148,148
1574543261,147,147
1574546860,147,147
1574550460,147,147
1574554064,149,149
1574557723,147,147
1574561372,148,148
1574564914,149,149
1574568462,148,148
1574572124,148,148
1574575708,148,148
1574579256,148,148
1574582982,147,147
1574586457,148,148
1574590054,149,149
1574593649,150,150
1574597260,148,148
1574600848,149,149
1574604452,149,149
1574608038,149,149
1574611650,151,151
1574615254,150,150
1574618861,148,148
1574622457,148,148
1574626054,149,149
1574629660,149,149
1574633243,150,150
1574636846,149,149
1574640423,148,148
1574644075,147,147
1574647648,147,147
1574651267,149,149
1574654856,149,149
1574658452,148,148
1574662059,147,147
1574665659,147,147
1574669248,148,148
1574672871,149,149
1574676460,149,149
1574680053,149,149
1574683665,148,148
1574687240,149,149
1574690867,148,148
1574694453,149,149
1574698053,149,149
1574701655,150,150
1574705260,148,148
1574708852,149,149
1574712468,149,149
1574716064,149,149
1574719660,149,149
1574723249,149,149
1574726889,148,148
1574730443,148,148
1574734052,149,149
1574737647,149,149
1574741250,150,150
1574744845,148,148
1574748446,148,148
1574752024,148,148
1574755662,149,149
1574759242,149,149
1574762842,150,150
1574766475,151,151
1574770062,150,150
1574773626,150,150
1574777235,149,149
1574780862,150,150
1574784461,149,149
1574788056,151,151
1574791647,148,148
1574795254,148,148
1574798841,146,146
1574802459,145,145
1574806052,146,146
1574809662,148,148
1574813285,146,146
1574816846,148,148
1574820443,150,150
1574824048,151,151
1574827654,152,152
1574831239,150,150
1574834855,149,149
1574838441,148,148
1574842036,148,148
1574845652,149,149
1574849243,150,150
1574852851,150,150
1574856435,150,150
1574860027,148,148
1574863643,148,148
1574867234,149,149
1574870849,148,148
1574874461,149,149
1574878066,148,148
1574881659,147,147
1574885240,148,148
1574888861,150,150
1574892451,149,149
1574896061,150,150
1574899739,144,144
1574903446,140,140
1574906855,142,142
1574910581,143,143
1574914187,144,144
1574917658,145,145
1574921254,145,145
1574924860,145,145
1574928472,146,146
1574932062,146,146
1574935671,146,146
1574939261,145,145
