DateTime,AddedIPs,RemovedIPs
1571461759,0,1
1571465340,0,1
1571468958,1,0
1571476168,1,2
1571479726,1,0
1571483340,0,1
1571486984,1,1
1571490552,2,0
1571497746,0,1
1571512124,1,0
1571519309,0,1
1571526503,1,0
1571530305,8,0
1571533772,1,0
1571537300,0,1
1571540907,1,15
1571544587,1,0
1571551725,0,1
1571555316,1,0
1571558934,1,1
1571569745,0,1
1571573313,1,0
1571576931,0,1
1571580514,0,1
1571584147,1,0
1571591298,1,1
1571594908,0,1
1571598518,1,0
1571602113,0,1
1571605712,1,0
1571620134,18,1
1571627334,0,1
1571630979,1,21
1571706496,6,0
1571717300,1,11
1571724530,0,1
1571792907,21,0
1571800098,1,0
1571803746,0,8
1571810923,1,0
1571836149,0,1
1571846931,2,0
1571861292,0,2
1571872131,1,0
1571879319,19,0
1571882934,1,0
1571886527,1,0
1571890121,1,18
1571893759,2,0
1571897347,1,0
1571900935,0,1
1571908140,0,1
1571915346,1,0
1571922543,2,1
1571926142,1,0
1571933342,1,3
1571936912,2,0
1571940520,1,0
1571944137,0,2
1571947712,0,1
1571954899,1,1
1571962091,1,0
1571965709,11,1
1571972950,0,1
1571976537,0,7
1571983745,1,0
1571994554,0,1
1572005349,1,0
1572012585,1,1
1572019748,0,1
1572034130,1,0
1572052112,9,0
1572059329,0,1
1572062933,1,23
1572066495,2,1
1572070145,1,0
1572073717,0,1
1572080921,1,0
1572088129,0,1
1572098918,1,0
1572106147,1,1
1572113309,1,0
1572116917,0,1
1572124109,0,1
1572127707,1,0
1572131345,1,0
1572134902,1,0
1572138518,14,1
1572142136,1,1
1572145725,3,1
1572149316,1,23
1572156522,1,1
1572160121,1,1
1572163709,0,1
1572167342,1,0
1572170935,1,0
1572174499,0,1
1572178115,0,1
1572181724,1,0
1572188914,0,1
1572192527,1,1
1572199673,1,0
1572203355,1,0
1572206937,0,1
1572214099,1,1
1572217741,0,1
1572221321,1,0
1572224931,20,1
1572235710,0,13
