DateTime,AddedIPs,RemovedIPs
1574887948,264,1152
1574889875,364,1592
1574891773,628,2197
1574893937,360,2422
1574896378,279,3092
1574898271,220,921
1574900177,270,708
1574902108,220,312
1574904027,216,243
1574905954,203,221
1574907904,213,261
1574909788,199,290
1574911945,228,354
1574914134,595,247
1574916017,189,3652
1574917969,202,483
1574919867,221,540
1574922048,1008,1633
1574923936,231,331
1574925864,243,308
1574928062,245,326
1574930217,423,502
1574932121,455,309
1574934042,243,360
1574936184,236,335
1574938343,308,251
1574940271,233,401
1574942174,275,301
1574944113,221,270
1574947219,344,742
1574949137,324,228
1574951103,187,214
1574952973,195,196
1574954903,195,242
1574956874,374,254
1574958738,357,213
1574960687,225,255
1574962832,277,321
1574964738,446,223
1574966662,324,232
1574968597,298,220
1574970494,355,244
1574972432,233,217
1574974339,292,266
1574976277,283,454
1574978181,306,1036
1574980112,345,348
1574983003,437,347
1574984903,287,231
1574986844,302,240
1574988737,252,220
1574991716,527,314
1574993540,315,224
1574995480,277,216
1574997636,259,200
1574999535,247,257
1575001471,217,203
1575003368,204,207
1575005309,284,201
1575008194,480,569
1575010106,906,766
1575012013,1390,232
1575013958,1741,242
1575015882,1552,250
1575017766,507,578
1575019961,1216,386
1575022133,863,293
1575024262,311,312
1575026422,312,258
1575028333,479,299
1575030277,519,207
1575032182,318,217
1575034106,259,204
1575037974,688,452
1575040116,387,216
1575042031,369,198
1575043982,390,252
1575046142,422,267
1575048060,368,195
1575050220,449,251
1575052098,402,273
1575055260,715,360
1575057172,489,323
1575059101,410,184
1575061022,401,215
1575062914,375,243
1575064845,877,201
1575066755,1501,226
1575068934,1671,336
1575070829,297,210
1575072991,334,269
1575074897,233,239
1575076850,253,286
1575078753,238,296
1575080673,203,246
1575082591,234,235
1575084742,242,230
1575086694,246,156
1575088598,647,201
1575090493,795,254
1575092420,198,254
1575094362,169,253
1575096265,1025,241
1575098425,244,269
1575100337,249,349
1575102275,255,366
1575104173,278,247
1575106342,294,366
1575108505,267,294
1575110415,252,255
1575112363,248,257
1575114273,219,283
1575116449,276,337
1575118335,350,255
1575120278,440,373
1575122172,517,563
1575124358,551,587
1575126526,599,488
1575128432,350,1140
1575130345,214,570
1575132272,220,565
1575134436,304,605
1575136337,190,598
1575138274,203,600
1575140172,197,581
1575142095,212,550
1575144046,196,695
1575145962,200,516
1575148130,263,678
1575150019,581,796
1575151942,911,1545
1575153875,713,1691
1575155774,198,1208
1575157706,196,286
1575159648,207,274
1575161534,277,231
1575163454,230,212
1575165392,379,239
1575167540,233,249
1575169509,206,211
1575171407,246,217
1575173573,190,907
1575175458,915,1950
1575177380,1570,186
1575179324,1164,189
1575181233,188,169
1575183162,863,793
1575185058,657,506
1575187243,719,241
1575189172,615,406
1575191081,697,209
1575193235,367,320
1575195154,282,205
1575197067,333,258
1575198979,385,228
1575201151,543,258
1575203315,583,260
1575206197,541,398
1575208122,475,367
1575210010,361,331
1575211962,1197,397
1575213850,3250,375
1575215778,3367,208
1575217687,1602,193
1575220617,2626,366
1575222740,1970,207
1575224664,1958,192
1575226600,2121,195
1575228492,1751,207
1575230426,2001,201
1575232362,2240,175
1575234275,1904,189
1575236435,2346,365
1575238593,2178,621
1575240756,2406,425
1575242676,1776,171
1575244581,2028,187
1575246752,3130,213
1575248665,3292,304
1575250595,1837,294
1575252496,1367,198
1575254416,1242,205
1575256364,1024,191
1575258266,937,204
1575260217,1010,137
1575262099,942,293
1575264021,1033,191
1575265960,1189,208
1575267863,1375,155
1575269795,1302,423
1575271695,959,342
1575274587,1380,364
1575276522,1095,233
1575278411,889,265
1575280332,972,257
1575282250,943,220
1575284252,1115,323
1575286092,929,265
1575288990,1447,619
1575291151,507,405
1575293058,238,214
1575295000,270,305
1575296895,229,270
1575299784,529,2577
1575301697,222,3879
1575303636,315,1519
1575305532,287,1942
1575307463,250,1390
1575309382,318,1811
1575311291,212,1791
1575313246,198,2099
1575315141,233,1648
1575317316,257,2020
1575319230,288,2466
1575321172,314,1955
1575323065,309,1932
1575324984,291,1800
1575326909,357,2146
1575328817,986,1680
1575330745,763,2044
1575332656,383,2532
1575334567,438,3586
1575336510,379,2237
1575338432,1848,1614
1575340359,3869,1172
1575342271,275,1196
1575344193,313,939
1575346094,272,925
1575348012,278,1470
1575349957,431,1709
1575351850,552,1558
1575354021,483,1338
1575355929,982,1448
1575357874,270,917
1575359770,256,997
1575361708,270,1173
1575363626,417,1082
1575365543,264,916
1575367705,283,1072
1575369641,280,1112
1575371796,353,1179
1575373958,403,1259
1575375870,376,971
1575377767,365,337
1575379941,375,365
1575382107,340,357
1575384013,293,312
1575385960,363,275
1575387854,465,248
1575389783,840,307
1575391735,1528,335
1575393615,1455,305
1575395565,938,314
1575397452,314,281
1575399377,262,254
1575401306,230,308
1575404213,584,399
1575406346,397,364
1575408282,270,334
1575410172,272,317
1575412362,250,489
1575414289,231,304
1575416187,226,1645
1575418344,432,431
1575420267,373,395
1575422183,877,448
1575424093,1572,337
1575426026,1416,4370
1575427956,1469,1429
1575429872,1441,242
1575431773,1496,298
1575433697,1356,450
1575436578,2085,779
1575438508,1463,556
1575440417,1690,321
1575442374,2324,1156
1575444261,2001,280
1575446224,640,325
1575448118,1992,284
1575450986,2746,387
1575452891,1986,253
1575454843,1851,258
1575456761,249,289
1575458703,297,307
1575460610,236,419
1575462775,245,385
1575464920,271,366
1575466835,239,321
1575468761,226,307
1575470682,240,312
1575472608,309,362
1575474742,361,488
1575476672,291,996
1575478581,355,1391
1575481469,360,726
1575483421,270,293
1575485294,247,236
1575487218,236,226
1575489156,223,338
1575491063,303,359
1575492985,342,337
1575494893,244,282
1575498021,494,417
1575499931,308,219
1575501902,308,208
1575503778,299,274
1575505697,241,481
1575507647,247,422
1575509566,235,1186
1575511701,234,1758
1575513612,210,1478
1575515559,204,1248
1575517466,183,1638
1575519403,160,1345
1575521426,244,1647
1575523470,233,1276
1575525367,198,1438
1575527543,1099,1935
1575529481,270,247
1575531399,225,1921
1575533543,265,3392
1575535456,183,2092
1575537375,211,2066
1575539309,204,2230
1575541215,191,1962
1575543139,217,290
1575545084,242,293
1575546984,196,273
1575549141,238,269
1575551319,205,298
1575553470,277,339
1575555416,255,241
1575557309,222,775
1575559231,240,1353
1575561132,199,795
1575563059,219,293
1575564973,208,392
1575566898,174,310
1575569797,347,421
1575571696,270,287
1575573877,274,312
1575575795,234,267
1575577721,227,529
1575579634,198,467
1575581536,196,314
1575583728,196,424
1575585612,186,386
1575587570,213,326
1575589449,187,395
1575591401,259,280
1575593290,367,279
1575595238,216,286
1575597181,425,269
1575599060,318,271
1575600983,308,269
1575602905,261,188
1575604834,306,268
1575606751,749,207
1575608662,931,268
1575610815,1014,286
1575613000,897,284
1575614890,1718,1386
1575616832,1896,237
1575618735,2261,216
1575620681,1503,230
1575622569,729,280
1575624525,2626,208
1575626675,3589,209
1575628594,3382,201
1575630538,2539,227
1575632413,2972,202
1575634355,2757,209
1575636255,3137,183
1575638439,3078,228
1575640338,3061,257
1575642272,2393,257
1575644183,2865,203
1575646118,2421,255
1575649002,3081,327
1575651142,2334,225
1575653065,1900,169
1575654968,2412,201
1575657160,2434,249
1575659316,2081,254
1575661229,196,238
1575663149,168,237
1575665058,173,202
1575666997,150,158
1575668888,185,174
1575670821,149,186
1575672759,160,187
1575674678,157,160
1575676587,150,203
1575678493,139,240
1575681374,261,382
1575683308,325,208
1575685214,803,209
1575687136,1146,281
1575689071,984,196
1575691240,1017,262
1575693135,771,171
1575695317,933,223
1575697215,911,1124
1575699163,870,546
1575701054,1590,546
1575703007,976,539
1575704890,843,553
1575706840,621,308
1575708731,747,1116
1575710660,741,2080
1575712575,489,3684
1575714765,638,3441
1575716924,441,2974
1575718835,618,3097
1575720755,603,3145
1575722672,477,3485
1575724585,665,3177
1575726503,784,3135
1575728424,593,2083
1575730354,667,2612
1575732253,502,2134
1575734191,533,2094
1575736361,199,1850
1575738293,164,1678
1575740194,191,1959
1575742111,177,1848
1575744035,203,2235
1575746194,199,1385
1575748342,232,205
1575750285,197,161
1575752176,123,165
1575754376,703,195
1575756297,399,166
1575758196,291,149
1575760366,733,156
1575762269,913,170
1575764454,1153,147
1575766337,1233,171
1575768260,886,127
1575770193,211,690
1575772093,203,1053
1575774053,174,1465
1575775955,258,997
1575777886,183,935
1575779778,149,1168
1575781971,187,1089
1575783869,194,1106
1575785808,245,955
1575787691,358,1433
1575789644,208,2129
1575791542,155,1352
1575793462,637,1073
1575795377,1146,1058
1575797542,343,796
1575799465,180,560
1575801383,161,745
