DateTime,AddedIPs,RemovedIPs
1562603779,1,0
1562607631,0,1
1562678897,0,1
1562686600,0,1
1562695472,1,0
1562718775,1,0
1562738173,1,0
1562782607,0,1
1562803987,0,1
1562809725,1,0
1562825109,0,1
1562893479,0,1
1562957316,1,0
1563043473,0,1
1563049947,1,0
1563054034,1,0
1563077324,1,0
1563136089,1,0
1563139240,0,2
1563162499,0,1
1563214589,1,0
1563222279,0,1
1563232586,1,0
1563234528,1,0
1563251773,1,0
1563292330,1,0
1563301954,0,1
1563317773,0,1
1563319698,0,1
1563325486,1,0
1563337236,0,1
1563346854,2,0
1563368195,1,0
1563377789,0,1
1563410688,0,1
1563432048,0,1
1563433931,0,1
1563451959,0,1
1563517221,1,0
1563596435,1,0
1563604344,0,1
1563646592,1,0
1563683562,0,1
1563716675,1,0
1563732073,0,1
1563737775,1,0
1563801893,0,1
1563825389,1,1
1563910620,0,1
1563940090,1,0
1563980195,1,0
1564026731,0,1
1564063282,0,1
1564125857,1,0
1564213702,1,1
1564298423,0,1
1564428497,1,0
1564512986,0,1
1564554271,1,0
1564560497,1,0
1564611380,1,0
1564625813,1,0
1564641191,0,1
1564646920,0,1
1564656993,1,0
1564697797,0,1
1564712653,0,1
1564734279,1,0
1564743931,0,1
1564767383,1,0
1564817060,1,0
1564820889,0,1
1564853561,0,1
1564900570,0,1
1565011227,1,0
1565096518,0,1
1565116845,1,0
1565132524,1,0
1565167937,1,0
1565177553,1,0
1565203212,0,1
1565212846,1,0
1565218584,0,1
1565235871,1,0
1565238060,1,0
1565241856,1,0
1565252424,1,0
1565254330,0,1
1565262986,0,1
1565288911,1,0
1565298753,0,1
1565322278,0,1
1565324183,0,1
1565329944,0,1
1565333796,1,0
1565337684,0,1
1565374343,0,1
1565418253,0,1
1565475134,1,0
1565498673,1,0
1565500585,1,0
1565563213,0,1
1565585796,0,1
1565648913,1,1
1565733698,0,1
1565782824,1,0
1565796250,1,0
1565798222,1,0
1565832265,2,0
1565854855,1,0
1565870506,0,1
1565876175,1,0
1565883865,0,2
1565889875,1,0
1565898730,1,0
1565906478,1,0
1565910296,1,0
1565918182,0,2
1565941477,0,1
1565963079,0,1
1565976032,0,1
1565985693,0,1
1565993326,0,1
1565997388,1,1
1566067948,1,0
1566069861,1,0
1566082358,0,1
1566154338,0,1
1566188189,1,1
1566206433,1,0
1566226341,1,0
1566270756,1,0
1566274579,0,1
1566292136,0,1
1566308524,1,0
1566312414,0,1
1566325962,1,0
1566335804,1,0
1566347563,1,0
1566357161,0,1
1566395294,0,1
1566413543,0,1
1566423150,0,1
1566433014,0,1
1566479974,1,0
1566564512,0,1
1566568131,1,0
1566587560,1,0
1566589470,1,0
1566595236,1,0
1566600981,1,0
1566630296,1,0
1566654975,1,1
1566672493,0,1
1566676380,0,1
1566682120,0,1
1566689070,0,1
1566699851,1,0
1566718096,0,1
1566741882,0,1
1566782898,0,1
1566809562,1,0
1566811478,1,0
1566836922,1,0
1566865961,1,0
1566897387,0,2
1566924281,0,1
1566942046,1,0
1566951876,0,1
1566958583,1,0
1567026781,0,1
1567036596,1,0
1567044503,0,1
1567121096,0,1
1567160935,1,0
1567243948,1,0
1567272039,0,1
1567304908,1,0
1567346556,0,1
1567387698,0,1
1567401635,1,0
1567486359,0,1
1567491628,1,0
1567499296,1,0
1567510818,1,0
1567578020,0,1
1567585940,0,1
1567596048,0,1
1567602298,1,0
1567617866,1,0
1567688671,0,1
1567692986,1,0
1567702871,0,1
1567710737,1,0
1567778938,0,1
1567794764,0,1
1567826454,1,0
1567912093,0,1
1567923621,1,0
1567958554,1,0
1568010767,0,1
1568036183,1,0
1568044393,0,1
1568092128,1,0
1568123543,0,1
1568175896,0,1
1568262049,1,0
1568318520,1,0
1568350595,0,1
1568404588,0,1
1568414676,1,0
1568499876,0,1
1568538996,1,0
1568623244,0,1
1568636705,1,0
1568681555,1,0
1568723105,0,1
1568765084,0,1
1568786477,1,0
1568871641,0,1
1568884823,1,0
1568943616,1,0
1568971941,0,1
1569007966,1,0
1569030031,0,1
1569092496,0,1
1569175016,1,0
1569184817,1,0
1569243757,1,0
1569249868,1,0
1569263080,0,1
1569271232,0,1
1569295950,1,0
1569312345,1,0
1569329560,0,1
1569337404,0,1
1569361939,1,0
1569384164,0,1
1569392187,1,0
1569398180,0,1
1569448361,0,1
1569450260,1,0
1569479650,0,1
1569534976,0,1
1569784835,1,0
1569807150,1,0
1569820820,1,0
1569839288,1,0
1569871692,0,1
1569893093,0,1
1569907232,0,1
1569911074,1,0
1569924134,0,1
1569982853,1,0
1569998186,0,1
1570000375,1,0
1570067536,1,0
1570069472,0,1
1570087682,0,1
1570118184,1,0
1570153468,0,1
1570193302,1,0
1570203171,1,1
1570207220,1,0
1570237732,1,0
1570251154,1,0
1570279211,0,1
1570289052,0,1
1570292888,0,1
1570323900,0,1
1570335625,0,1
1570353654,2,0
1570463560,1,2
1570508895,1,0
1570533617,1,0
1570537470,1,0
1570551393,0,1
1570553308,1,0
1570595314,0,1
1570608077,1,0
1570620041,0,1
1570625737,0,1
1570639456,0,1
1570741944,1,1
1570755707,1,0
1570828747,0,1
1570840349,0,1
1570889850,1,0
1570975948,0,1
1571012415,1,0
1571066435,1,0
1571082016,1,0
1571083971,1,0
1571089948,1,0
1571099584,1,1
1571151395,0,1
1571167477,0,1
1571171305,0,1
1571175153,0,1
1571185238,0,1
1571195581,1,0
1571224585,1,0
1571271384,1,0
1571282896,0,1
1571311462,0,1
1571321552,1,0
1571331376,1,0
1571357782,0,1
1571388520,1,0
1571406279,0,1
1571418176,0,1
1571472974,0,1
1571531322,1,0
1571615785,0,1
1571627787,1,0
1571668840,1,0
1571673137,1,0
1571714902,0,1
1571726662,1,0
1571754781,0,1
1571760753,0,1
1571811649,0,1
1571916497,1,0
1571930411,1,0
1571960427,1,0
1572003872,0,1
1572014191,1,0
1572016149,0,1
1572047540,0,1
1572054507,1,0
1572087724,1,0
1572099382,0,1
1572123173,1,0
1572140419,0,1
1572160108,1,0
1572173851,0,1
1572246075,0,1
1572252512,1,0
1572273147,0,1
1572335800,0,1
1572350915,1,0
1572366506,1,0
1572394606,1,0
1572438523,0,1
1572453863,0,1
1572457945,1,0
1572481458,0,1
1572542662,0,1
1572682123,1,0
1572767066,0,1
1572816266,1,0
1572862126,1,0
1572904123,0,1
1572933730,1,0
1572947783,0,1
1573017863,0,1
1573025069,1,0
1573097071,1,0
1573106893,1,0
1573112659,0,1
1573183241,0,1
1573192904,0,1
1573231235,1,0
1573249233,1,0
1573317664,0,1
1573333316,0,1
1573345709,1,0
1573350738,1,0
1573433543,0,1
1573505540,1,1
1573564397,1,0
1573593647,0,1
1573648117,0,1
1573689881,1,0
1573723730,1,0
1573776158,0,1
1573806976,1,0
1573808941,0,1
1573889792,0,1
1573896022,1,0
1573912381,1,0
1573982423,0,1
1573996592,0,1
1574040028,1,0
1574082775,1,0
1574092577,1,0
1574118300,2,0
1574122112,1,0
1574128104,1,1
1574130021,2,0
1574131946,1,0
1574133854,1,0
1574139132,1,0
1574141074,1,0
1574145143,1,0
1574151409,1,0
1574157157,1,0
1574168186,0,1
1574170343,1,0
1574174440,1,0
1574178502,0,1
1574182366,1,0
1574186212,1,0
1574194830,1,0
1574204543,1,1
1574206591,0,1
1574208743,0,1
1574210651,1,0
1574214512,0,1
1574216415,0,2
1574218329,0,1
1574220275,0,1
1574226331,0,1
1574228196,0,1
1574232022,0,1
1574237793,0,1
1574241860,0,1
1574256517,1,1
1574260354,0,1
1574270183,0,1
1574272340,0,1
1574281212,1,0
1574286979,1,0
1574290952,0,1
1574298759,1,0
1574310083,0,1
1574343155,0,1
1574356591,0,1
1574366931,0,1
1574373146,1,1
1574385159,1,1
1574458348,0,1
1574470099,0,1
1574495058,1,0
1574506597,1,0
1574510917,1,0
1574551707,1,0
1574553662,1,0
1574582691,0,1
1574590365,1,0
1574594428,0,1
1574598259,0,1
1574621796,1,0
1574639320,0,1
1574641231,0,1
1574645067,1,0
1574676534,0,1
1574692355,1,0
1574700519,1,0
1574708177,0,1
1574731699,0,1
1574742744,2,0
1574788596,0,2
1574827726,0,2
1574887220,1,0
1574973170,0,1
1575198522,1,0
1575202334,1,0
1575232364,1,0
1575238594,1,0
1575286094,0,1
1575288992,0,1
1575318033,0,1
1575322129,0,1
1575449051,1,0
1575484339,1,0
1575495856,1,0
1575535459,0,1
1575570759,0,1
1575580366,0,1
1575689543,1,0
1575774073,0,1
1575820898,3,0
1575822758,4,0
1575824910,7,0
1575826811,6,0
1575828743,4,0
1575830680,4,0
1575832832,4,0
1575834732,2,0
1575836656,7,0
1575838577,1,0
1575840494,2,0
1575842441,4,0
1575844340,2,0
1575847474,5,0
1575849368,2,0
1575851305,4,0
1575857096,3,0
1575859000,1,0
1575861166,1,0
1575865219,2,0
1575867131,1,0
1575869072,1,0
1575870966,2,0
1575873147,2,0
1575875105,1,0
1575878901,1,0
1575882741,1,0
1575888513,3,0
