DateTime,Entries,UniqueIPs
1574357562,25,25
1574359492,17,17
1574361391,20,20
1574367157,24,24
1574369302,26,26
1574379399,28,28
1574383217,29,29
1574389006,28,28
1574393054,27,27
1574394984,26,26
1574396895,28,28
1574398880,28,28
1574400754,27,27
1574404594,27,27
1574412733,28,28
1574416594,29,29
1574418517,28,28
1574422356,29,29
1574428350,30,30
1574432197,32,32
1574434355,31,31
1574438464,34,34
1574440340,35,35
1574442521,36,36
1574444443,40,40
1574446355,61,61
1574448257,82,82
1574450215,84,84
1574452116,83,83
1574454260,81,81
1574456175,80,80
1574458349,81,81
1574460529,82,82
1574462437,84,84
1574464357,84,84
1574466283,84,84
1574468194,85,85
1574470100,86,86
1574472015,87,87
1574473961,89,89
1574475880,90,90
1574479710,91,91
1574481691,91,91
1574483567,91,91
1574485528,92,92
1574487393,93,93
1574489301,96,96
1574491244,96,96
1574493156,99,99
1574498899,100,100
1574500868,101,101
1574502763,102,102
1574504663,104,104
1574506598,106,106
1574508759,105,105
1574510918,108,108
1574514999,109,109
1574516909,111,111
1574519085,111,111
1574520996,111,111
1574523197,115,115
1574525095,113,113
1574529143,112,112
1574531078,105,105
1574532980,78,78
1574535144,59,59
1574537067,58,58
1574539022,60,60
1574540904,61,61
1574543789,68,68
1574545947,85,85
1574547873,86,86
1574549769,83,83
1574551708,85,85
1574554822,100,100
1574556737,102,102
1574558689,105,105
1574560567,104,104
1574562758,104,104
1574564710,111,111
1574566595,110,110
1574568512,110,110
1574570442,108,108
1574572589,105,105
1574574747,104,104
1574576659,104,104
1574578582,106,106
1574580824,107,107
1574582692,112,112
1574584579,113,113
1574586535,111,111
1574588428,111,111
1574590366,109,109
1574592256,107,107
1574596362,107,107
1574598260,109,109
1574600212,109,109
1574602099,109,109
1574605232,107,107
1574607378,106,106
1574609320,104,104
1574611491,117,117
1574619380,118,118
1574623228,117,117
1574625141,116,116
1574627068,112,112
1574628967,111,111
1574630921,102,102
1574632886,92,92
1574634757,91,91
1574636727,90,90
1574638594,83,83
1574640501,78,78
1574642420,76,76
1574644359,71,71
1574646267,68,68
1574648204,67,67
1574650099,66,66
1574652031,60,60
1574653964,59,59
