DateTime,Entries,UniqueIPs
1574650099,105,105
1574655855,103,103
1574659733,104,104
1574661930,103,103
1574663800,103,103
1574672001,102,102
1574673869,103,103
1574676129,105,105
1574677942,105,105
1574684475,103,103
1574686366,103,103
1574688507,102,102
1574692593,100,100
1574696440,99,99
1574698597,103,103
1574700520,102,102
1574702425,100,100
1574704334,101,101
1574706282,96,96
1574710119,94,94
1574712109,94,94
1574713969,93,93
1574716104,91,91
1574718019,92,92
1574719962,93,93
1574721856,96,96
1574724022,95,95
1574725935,95,95
1574727878,97,97
1574729774,98,98
1574731700,98,98
1574734585,98,98
1574736631,99,99
1574740597,99,99
1574742746,100,100
1574747060,100,100
1574749236,100,100
1574751135,99,99
1574753098,100,100
1574754974,99,99
1574759006,98,98
1574761228,96,96
1574763390,96,96
1574765542,95,95
1574767457,93,93
1574769419,99,99
1574771540,102,102
1574773715,102,102
1574775622,103,103
1574777556,104,104
1574779484,108,108
1574781391,111,111
1574783557,110,110
1574785459,107,107
1574790507,108,108
1574792473,110,110
1574794405,109,109
1574798193,111,111
1574800343,110,110
1574802520,111,111
1574804431,113,113
1574806341,114,114
1574808267,112,112
1574810195,113,113
1574812154,116,116
1574814020,114,114
1574815934,113,113
1574817874,112,112
1574819770,111,111
1574821942,111,111
1574823916,112,112
1574825781,111,111
1574829615,112,112
1574831544,113,113
1574833455,113,113
1574835386,114,114
1574845706,112,112
1574847615,114,114
1574849807,112,112
1574851697,112,112
1574856148,108,108
1574857978,104,104
1574860121,103,103
1574862030,102,102
1574864200,99,99
1574866345,96,96
1574868260,95,95
1574870184,100,100
1574872361,99,99
1574876208,96,96
1574878100,95,95
1574880029,95,95
1574883855,98,98
1574886037,98,98
1574887951,98,98
1574889878,96,96
1574893940,99,99
1574896381,100,100
1574898274,93,93
1574900180,92,92
1574902110,95,95
1574904031,96,96
1574905956,99,99
1574907907,100,100
1574909791,99,99
1574914138,98,98
1574916020,97,97
1574917971,96,96
1574922072,95,95
1574923939,97,97
1574930394,98,98
1574932610,97,97
1574934495,98,98
1574936436,101,101
1574940273,103,103
1574942177,105,105
1574944116,104,104
1574947222,103,103
1574949140,103,103
1574951106,104,104
1574952976,102,102
1574956971,103,103
1574959001,105,105
1574964988,102,102
1574966895,102,102
1574968818,100,100
1574970747,98,98
1574972678,99,99
1574974592,101,101
1574976742,101,101
1574978920,103,103
1574980846,103,103
1574983005,104,104
1574986846,101,101
1574991717,100,100
1574993542,98,98
1574995485,100,100
1574997638,99,99
1574999538,99,99
1575008226,100,100
1575010109,99,99
1575012016,100,100
1575017768,101,101
1575019963,101,101
1575022156,97,97
1575024265,99,99
1575026424,98,98
1575028335,97,97
1575030279,98,98
1575032185,101,101
1575038027,99,99
1575042041,95,95
1575044028,97,97
1575046188,103,103
1575048123,104,104
1575050264,107,107
1575052139,108,108
1575054362,107,107
1575056475,106,106
1575058645,106,106
1575060524,108,108
1575062476,106,106
1575064341,105,105
1575066253,104,104
1575068177,105,105
1575070114,107,107
1575073967,108,108
1575075869,110,110
1575077773,109,109
1575079725,113,113
1575081635,112,112
1575083565,114,114
1575085451,112,112
1575087619,111,111
1575089531,111,111
1575095299,111,111
1575101303,110,110
1575105154,110,110
1575111130,109,109
1575113074,110,110
1575114970,108,108
1575117139,105,105
1575119308,109,109
1575121212,111,111
1575123160,112,112
1575125050,110,110
1575128907,112,112
1575130835,112,112
1575132750,113,113
1575134664,113,113
1575136609,112,112
1575138764,113,113
1575142810,117,117
1575144754,117,117
1575146667,115,115
1575148593,113,113
1575150740,113,113
1575152654,114,114
1575154591,114,114
1575156747,117,117
1575158919,118,118
1575160811,119,119
1575162735,117,117
1575164679,118,118
1575166822,116,116
1575168729,117,117
1575170674,113,113
1575172958,115,115
1575174995,116,116
1575176900,117,117
1575178812,116,116
1575180766,117,117
1575182700,116,116
1575190346,115,115
1575196106,116,116
1575198134,117,117
1575202845,117,117
1575206685,114,114
1575208575,113,113
1575210516,113,113
1575212455,113,113
1575214371,111,111
1575216547,109,109
1575218416,107,107
1575220620,106,106
1575222742,107,107
1575224667,108,108
1575226602,109,109
1575228494,105,105
1575230559,106,106
1575232365,104,104
1575234325,102,102
1575236438,101,101
1575238595,101,101
1575240777,103,103
1575242679,103,103
1575244584,104,104
1575246755,103,103
1575248685,103,103
1575250604,101,101
1575252499,100,100
1575254419,100,100
1575256367,101,101
1575258269,100,100
1575262102,99,99
1575265962,98,98
1575267866,96,96
1575273664,95,95
1575277525,95,95
1575281326,95,95
1575285145,94,94
1575287088,95,95
1575288993,98,98
1575291155,100,100
1575293063,101,101
1575295013,100,100
1575296900,100,100
1575300041,98,98
1575303876,97,97
1575305771,94,94
1575307989,95,95
1575309878,95,95
1575311791,94,94
1575313715,92,92
1575315614,92,92
1575317561,93,93
1575319472,95,95
1575321667,95,95
1575325468,95,95
1575328821,92,92
1575330748,91,91
1575332659,92,92
1575336513,92,92
1575338540,93,93
1575340362,93,93
1575344196,91,91
1575348016,90,90
1575349960,89,89
1575351896,92,92
1575354025,91,91
1575355946,90,90
1575357877,91,91
1575359772,91,91
1575367707,91,91
1575369644,92,92
1575371799,93,93
1575375873,94,94
1575379944,93,93
1575382110,94,94
1575384017,96,96
1575385963,95,95
1575391739,94,94
1575393619,92,92
1575397456,93,93
1575399380,93,93
1575401310,94,94
1575404218,93,93
1575406362,92,92
1575408285,90,90
1575410175,90,90
1575412366,90,90
1575414308,92,92
1575416190,93,93
1575418347,96,96
1575420271,99,99
1575422187,101,101
1575424097,101,101
1575426029,104,104
1575429876,106,106
1575431789,105,105
1575433700,107,107
1575436582,106,106
1575438511,106,106
1575440421,107,107
1575446229,105,105
1575448122,105,105
1575450126,104,104
1575453883,105,105
1575456034,109,109
1575457955,112,112
1575461807,111,111
1575463718,113,113
1575465635,113,113
1575467538,114,114
1575469467,114,114
1575471684,113,113
1575475561,114,114
1575477394,116,116
1575479578,117,117
1575481471,116,116
1575483423,118,118
1575485295,120,120
1575487219,120,120
1575491064,118,118
1575492987,117,117
1575496896,118,118
1575498740,119,119
1575500907,119,119
1575502817,118,118
1575504756,115,115
1575506654,116,116
1575510516,116,116
1575512411,115,115
1575516510,113,113
1575518516,113,113
1575520343,111,111
1575528016,112,112
1575529970,112,112
1575531856,114,114
1575533811,115,115
1575535704,114,114
1575539540,115,115
1575541501,116,116
1575543375,115,115
1575549619,116,116
1575551558,114,114
1575553473,116,116
1575555419,113,113
1575557312,112,112
1575559234,114,114
1575561135,113,113
1575563062,112,112
1575564984,112,112
1575566901,112,112
1575568943,110,110
1575570760,111,111
1575572683,113,113
1575574607,112,112
1575576530,112,112
1575578441,114,114
1575580367,114,114
1575582262,115,115
1575584193,118,118
1575586115,117,117
1575588023,116,116
1575589982,117,117
1575591855,116,116
1575594985,117,117
1575596895,115,115
1575598834,116,116
1575600762,115,115
1575602671,117,117
1575606508,116,116
1575609628,113,113
1575613461,112,112
1575617293,111,111
1575619478,110,110
1575621398,111,111
1575623310,109,109
1575627199,108,108
1575629058,107,107
1575630988,107,107
1575632943,105,105
1575634824,106,106
1575638655,107,107
1575640622,107,107
1575642761,106,106
1575646579,105,105
1575648542,106,106
1575650678,105,105
1575652591,106,106
1575656701,103,103
1575658586,104,104
1575660523,105,105
1575663634,106,106
1575665576,106,106
1575667479,104,104
1575669371,104,104
1575671321,103,103
1575673276,101,101
1575675169,99,99
1575677069,101,101
1575678980,97,97
1575680925,98,98
1575683057,98,98
1575684973,100,100
1575686916,101,101
1575688817,100,100
1575690759,99,99
1575692684,101,101
1575694603,100,100
1575699617,107,107
1575701543,108,108
1575703454,107,107
1575706842,106,106
1575708734,108,108
1575710662,111,111
1575714770,110,110
1575716927,110,110
1575720757,110,110
1575722675,108,108
1575724587,109,109
1575726505,111,111
1575728425,111,111
1575732255,109,109
1575736364,107,107
1575738319,108,108
1575740196,110,110
1575744037,111,111
1575746197,110,110
1575748346,111,111
1575752180,110,110
1575754380,108,108
1575756345,110,110
1575758199,108,108
1575760370,109,109
1575762273,109,109
1575764458,111,111
1575766340,114,114
1575768263,114,114
1575770197,114,114
1575772097,116,116
1575775220,115,115
1575777154,114,114
1575785327,111,111
1575787232,111,111
1575791568,111,111
1575793466,109,109
1575795380,108,108
1575797545,107,107
1575799512,106,106
1575801386,105,105
1575803307,104,104
1575805237,107,107
1575807417,105,105
1575809552,107,107
1575811457,106,106
1575813393,103,103
1575818463,101,101
1575820374,102,102
1575824218,103,103
1575826364,102,102
1575828306,103,103
1575830178,104,104
1575832104,103,103
1575834011,104,104
1575835966,102,102
1575839798,102,102
1575841696,102,102
1575843612,101,101
1575845542,102,102
1575847475,104,104
1575849369,104,104
1575851306,105,105
1575853313,104,104
1575855162,102,102
1575857102,102,102
1575859000,103,103
1575861167,106,106
1575863064,104,104
1575870967,105,105
1575875129,106,106
1575877003,104,104
1575878903,105,105
1575880843,104,104
1575882742,102,102
1575884671,103,103
1575886587,102,102
1575888514,103,103
1575890425,102,102
