DateTime,Entries,UniqueIPs
1574898275,4842,4842
1574900181,4346,4346
1574902111,4338,4338
1574904032,4335,4335
1574905957,4335,4335
1574907908,4327,4327
1574909792,4320,4320
1574911949,4326,4326
1574914138,4330,4330
1574916021,4315,4315
1574917972,4310,4310
1574919870,4312,4312
1574922074,5115,5115
1574923939,5162,5162
1574925867,5153,5153
1574928241,5149,5149
1574930398,5167,5167
1574932610,5170,5170
1574934496,5173,5173
1574936437,5163,5163
1574938346,5161,5161
1574940274,4980,4980
1574942178,4969,4969
1574944116,4963,4963
1574946113,4943,4943
1574947946,4540,4540
1574950105,4536,4536
1574952019,4534,4534
1574953963,4535,4535
1574955869,4519,4519
1574957832,4531,4531
1574959701,4519,4519
1574961657,4519,4519
1574963553,4516,4516
1574965455,4602,4602
1574967393,4624,4624
1574969316,4632,4632
1574971301,4634,4634
1574973172,4662,4662
1574975329,4695,4695
1574977217,3822,3822
1574979413,3209,3209
1574981301,3216,3216
1574983477,3218,3218
1574985391,3242,3242
1574987293,3259,3259
1574990351,3287,3287
1574992349,3297,3297
1574994314,3300,3300
1574996186,3334,3334
1574998249,3351,3351
1575000208,3362,3362
1575002196,3382,3382
1575004122,3405,3405
1575006037,3431,3431
1575007950,3467,3467
1575009856,3192,3192
1575011803,4324,4324
1575013693,5605,5605
1575015612,6773,6773
1575017559,7188,7188
1575019457,7334,7334
1575021399,7372,7372
1575023301,7415,7415
1575026425,7486,7486
1575028336,7664,7664
1575030280,7955,7955
1575032185,8072,8072
1575034110,8098,8098
1575038028,8179,8179
1575040174,8220,8220
1575042053,8271,8271
1575044046,8307,8307
1575046196,8331,8331
1575048124,8361,8361
1575050265,8402,8402
1575052140,8342,8342
1575054364,8356,8356
1575056482,8392,8392
1575058648,8400,8400
1575060525,8399,8399
1575062493,8421,8421
1575064342,8576,8576
1575066254,9891,9891
1575068178,11427,11427
1575070115,11723,11723
1575072124,11728,11728
1575073967,11735,11735
1575075870,11753,11753
1575077774,11783,11783
1575079726,11797,11797
1575081635,11810,11810
1575083566,11820,11820
1575085452,11831,11831
1575087620,11848,11848
1575089531,11858,11858
1575091486,11855,11855
1575093370,11848,11848
1575095300,12219,12219
1575097326,12674,12674
1575099151,12687,12687
1575101307,12719,12719
1575103214,12698,12698
1575105155,12688,12688
1575107057,12678,12678
1575109222,12685,12685
1575111131,12683,12683
1575113075,12665,12665
1575114971,12646,12646
1575117140,12592,12592
1575119308,12898,12898
1575121212,13020,13020
1575123161,13415,13415
1575125050,13658,13658
1575126993,13907,13907
1575128908,13649,13649
1575130836,13393,13393
1575132751,13113,13113
1575134664,12869,12869
1575136610,12581,12581
1575138765,12332,12332
1575140921,12098,12098
1575142811,11965,11965
1575144755,11745,11745
1575146668,11522,11522
1575148594,11236,11236
1575150741,11305,11305
1575152655,10905,10905
1575154592,9770,9770
1575156748,9396,9396
1575158920,9412,9412
1575160811,9422,9422
1575162736,9451,9451
1575164680,9477,9477
1575166822,9531,9531
1575168730,9541,9541
1575170675,9554,9554
1575172970,9552,9552
1575174996,9993,9993
1575176919,11754,11754
1575178813,13361,13361
1575180767,13376,13376
1575182701,13829,13829
1575184605,13905,13905
1575186499,14448,14448
1575188431,14856,14856
1575190347,15436,15436
1575192251,15558,15558
1575194180,15674,15674
1575196107,15809,15809
1575199244,16103,16103
1575201154,16437,16437
1575203318,16835,16835
1575205310,17084,17084
1575207156,17143,17143
1575209361,17173,17173
1575211493,17286,17286
1575213384,19221,19221
1575215298,19575,19575
1575217237,19691,19691
1575219161,19804,19804
1575221056,19927,19927
1575222997,20085,20085
1575224892,20226,20226
1575227796,20401,20401
1575229936,20521,20521
1575231859,20622,20622
1575233816,20713,20713
1575235698,20812,20812
1575237657,20620,20620
1575239579,20301,20301
1575241499,20446,20446
1575243400,20589,20589
1575245312,20709,20709
1575247213,20751,20751
1575249157,20891,20891
1575251052,21040,21040
1575252972,21156,21156
1575254916,21299,21299
1575256817,21366,21366
1575258734,21411,21411
1575260659,21470,21470
1575262588,21440,21440
1575264520,21472,21472
1575266473,21560,21560
1575268362,22224,22224
1575270301,21951,21951
1575272191,21912,21912
1575274127,21881,21881
1575276014,21860,21860
1575277964,21849,21849
1575279858,21874,21874
1575281809,21826,21826
1575283706,21747,21747
1575285640,21700,21700
1575287551,21479,21479
1575289453,21269,21269
1575291393,20988,20988
1575293573,20939,20939
1575295487,20938,20938
1575297393,20974,20974
1575299328,19829,19829
1575301237,18541,18541
1575303171,18488,18488
1575305051,18458,18458
1575306975,18436,18436
1575308919,18504,18504
1575310821,18457,18457
1575312760,18416,18416
1575314678,18383,18383
1575316570,18394,18394
1575318491,18381,18381
1575320477,18314,18314
1575322597,18230,18230
1575324519,18201,18201
1575326426,18090,18090
1575328605,18602,18602
1575330509,19432,19432
1575332411,19458,19458
1575334348,19535,19535
1575336254,19583,19583
1575339647,19658,19658
1575341544,19668,19668
1575343515,19727,19727
1575345381,19904,19904
1575347184,19850,19850
1575349276,18875,18875
1575351137,18468,18468
1575353309,18456,18456
1575355215,18508,18508
1575357166,18507,18507
1575359051,18503,18503
1575361012,18472,18472
1575362896,18520,18520
1575365080,18489,18489
1575366971,18515,18515
1575369149,18456,18456
1575371324,18461,18461
1575373225,18413,18413
1575375206,18381,18381
1575377063,18370,18370
1575379241,18337,18337
1575381133,18340,18340
1575383080,18317,18317
1575384997,18290,18290
1575386892,18411,18411
1575389787,18393,18393
1575391740,18338,18338
1575393620,18295,18295
1575395569,18224,18224
1575397457,18193,18193
1575399381,18180,18180
1575401311,18159,18159
1575404218,18175,18175
1575406363,18171,18171
1575408286,18179,18179
1575410176,18140,18140
1575412367,17985,17985
1575414310,17947,17947
1575416191,16166,16166
1575418348,16357,16357
1575420272,16457,16457
1575422212,16286,16286
1575424098,16209,16209
1575426030,16122,16122
1575427962,16083,16083
1575429877,16243,16243
1575431790,16074,16074
1575433701,15668,15668
1575436582,15019,15019
1575438512,14625,14625
1575440422,14876,14876
1575442379,15945,15945
1575444265,17634,17634
1575446230,17626,17626
1575448123,17586,17586
1575450142,17526,17526
1575451981,17521,17521
1575453884,17460,17460
1575456035,17445,17445
1575457956,17396,17396
1575459864,17279,17279
1575461808,17239,17239
1575463719,17190,17190
1575465636,17164,17164
1575467539,17122,17122
1575469468,17086,17086
1575471702,17002,17002
1575473567,16834,16834
1575475567,16794,16794
1575477395,16786,16786
1575479579,16862,16862
1575481472,16862,16862
1575483424,16861,16861
1575485296,16876,16876
1575487220,16879,16879
1575489158,16887,16887
1575491065,17133,17133
1575492987,17461,17461
1575494895,17444,17444
1575496908,17440,17440
1575498741,17451,17451
1575500908,17474,17474
1575502817,17494,17494
1575504756,17168,17168
1575506655,16955,16955
1575508574,16960,16960
1575510517,16973,16973
1575512412,17006,17006
1575514584,16947,16947
1575516511,16730,16730
1575518530,16712,16712
1575520345,16701,16701
1575522337,16696,16696
1575524197,16677,16677
1575526107,16668,16668
1575528017,16858,16858
1575529971,16784,16784
1575531857,14431,14431
1575533812,13165,13165
1575535704,13101,13101
1575537625,12998,12998
1575539540,12906,12906
1575541502,12801,12801
1575543376,12699,12699
1575545547,12633,12633
1575547715,12561,12561
1575549625,12493,12493
1575551559,12402,12402
1575553474,12289,12289
1575555420,12303,12303
1575557313,12228,12228
1575559235,12164,12164
1575561136,12114,12114
1575563063,12063,12063
1575564985,11900,11900
1575566902,11803,11803
1575568947,11716,11716
1575570761,11620,11620
1575572684,11517,11517
1575574608,11404,11404
1575576531,11257,11257
1575578442,10554,10554
1575580368,10297,10297
1575582262,10164,10164
1575584193,10046,10046
1575586116,9918,9918
1575588024,9814,9814
1575589983,9704,9704
1575591856,9611,9611
1575594096,9722,9722
1575595952,9605,9605
1575597867,9829,9829
1575599793,9834,9834
1575601718,9870,9870
1575603645,9901,9901
1575605545,9947,9947
1575607498,10853,10853
1575609377,11687,11687
1575611542,12566,12566
1575613462,13171,13171
1575615391,14077,14077
1575617294,15868,15868
1575619479,18016,18016
1575621399,19237,19237
1575623311,19507,19507
1575625239,20160,20160
1575627200,20355,20355
1575629059,20334,20334
1575630989,20309,20309
1575632944,20295,20295
1575634825,20282,20282
1575636757,20316,20316
1575638656,20317,20317
1575640623,20282,20282
1575642762,20266,20266
1575644729,20253,20253
1575646580,20249,20249
1575648544,20224,20224
1575650679,20212,20212
1575652592,20207,20207
1575654526,20189,20189
1575656702,20219,20219
1575658587,20218,20218
1575660524,20198,20198
1575663635,20193,20193
1575665577,20202,20202
1575667480,20191,20191
1575669372,20202,20202
1575671322,20205,20205
1575673292,20202,20202
1575675170,20198,20198
1575677081,20190,20190
1575678981,20015,20015
1575680926,20016,20016
1575683058,20021,20021
1575684974,20001,20001
1575686917,19998,19998
1575688819,20003,20003
1575690760,19992,19992
1575692685,19974,19974
1575694605,19991,19991
1575696493,18837,18837
1575699618,17224,17224
1575701544,17137,17137
1575703455,16455,16455
1575705765,15609,15609
1575707586,15043,15043
1575709733,13821,13821
1575711654,12514,12514
1575713558,11892,11892
1575715469,11540,11540
1575717399,11054,11054
1575719298,10452,10452
1575721245,9835,9835
1575723154,9068,9068
1575725056,8130,8130
1575726982,8120,8120
1575728917,8118,8118
1575730933,8123,8123
1575732752,8132,8132
1575734704,8144,8144
1575736583,8112,8112
1575738766,8113,8113
1575740656,8136,8136
1575742608,8137,8137
1575744496,8130,8130
1575746441,8121,8121
1575748346,8102,8102
1575750289,8098,8098
1575752180,8050,8050
1575754381,8073,8073
1575756347,8115,8115
1575758200,8112,8112
1575760370,9376,9376
1575762274,11612,11612
1575764459,13931,13931
1575766341,16364,16364
1575768264,17937,17937
1575770198,18015,18015
1575772098,18019,18019
1575775221,18005,18005
1575777155,18005,18005
1575779051,18011,18011
1575781017,18015,18015
1575783142,18046,18046
1575785328,18087,18087
1575787233,18027,18027
1575789399,16715,16715
1575791569,15870,15870
1575793467,15924,15924
1575795381,16833,16833
1575797546,16928,16928
1575799514,16940,16940
1575801387,16938,16938
1575803307,16935,16935
1575805238,16934,16934
1575807418,16922,16922
1575809552,16912,16912
1575811458,17285,17285
1575813394,17276,17276
1575815295,17275,17275
1575818463,17268,17268
1575820374,17580,17580
1575822255,18026,18026
1575824219,18555,18555
1575826365,19179,19179
1575828316,21128,21128
1575830180,21431,21431
1575832105,21442,21442
1575834012,21460,21460
1575835968,21479,21479
1575837870,21508,21508
1575839799,21530,21530
1575841697,21931,21931
1575843614,22361,22361
1575845542,22704,22704
1575847476,22710,22710
1575849370,22717,22717
1575851307,22728,22728
1575853331,22596,22596
1575855163,22396,22396
1575857107,22732,22732
1575859001,22731,22731
1575861168,22732,22732
1575863065,22739,22739
1575865221,22751,22751
1575867133,22753,22753
1575869074,22747,22747
1575870968,22720,22720
1575873151,23560,23560
1575875136,23602,23602
1575877004,23625,23625
1575878904,23642,23642
1575880843,22862,22862
1575882743,22150,22150
1575884672,22175,22175
1575886588,22182,22182
1575888515,22191,22191
1575890426,22191,22191
