DateTime,Entries,UniqueIPs
1574896382,5756,5756
1574898275,4880,4880
1574900181,4389,4389
1574902111,4378,4378
1574904033,4376,4376
1574905957,4376,4376
1574907908,4367,4367
1574909793,4359,4359
1574911949,4366,4366
1574914139,4371,4371
1574916022,4356,4356
1574917972,4352,4352
1574919871,4358,4358
1574922076,5168,5168
1574923940,5208,5208
1574925867,5199,5199
1574928264,5195,5195
1574930399,5211,5211
1574932612,5213,5213
1574934496,5216,5216
1574936438,5207,5207
1574938346,5205,5205
1574940274,5024,5024
1574942178,5015,5015
1574944117,5009,5009
1574946132,4988,4988
1574947947,4585,4585
1574950106,4581,4581
1574952019,4578,4578
1574953964,4581,4581
1574955870,4567,4567
1574957833,4579,4579
1574959702,4567,4567
1574961657,4568,4568
1574963553,4563,4563
1574965455,4653,4653
1574967393,4675,4675
1574969316,4683,4683
1574971307,4686,4686
1574973172,4717,4717
1574975329,4751,4751
1574977218,3878,3878
1574979413,3269,3269
1574981302,3277,3277
1574983478,3280,3280
1574985391,3305,3305
1574987293,3323,3323
1574989292,3339,3339
1574992350,3364,3364
1574994314,3369,3369
1574996186,3405,3405
1574998253,3421,3421
1575000225,3432,3432
1575002196,3453,3453
1575004123,3475,3475
1575006037,3497,3497
1575007951,3535,3535
1575009857,3264,3264
1575011804,4410,4410
1575013693,5689,5689
1575015613,6858,6858
1575017559,7272,7272
1575019458,7419,7419
1575021400,7459,7459
1575023302,7504,7504
1575025325,7552,7552
1575027139,7595,7595
1575029321,7850,7850
1575031230,8130,8130
1575033154,8178,8178
1575035065,8210,8210
1575038029,8498,8498
1575040175,8793,8793
1575042062,9006,9006
1575044058,9285,9285
1575046205,9608,9608
1575048125,9871,9871
1575050284,10178,10178
1575052160,10372,10372
1575054365,10593,10593
1575056523,10817,10817
1575058649,11087,11087
1575060525,11320,11320
1575062504,11618,11618
1575064343,11904,11904
1575066255,13207,13207
1575068178,14730,14730
1575070115,15015,15015
1575073236,15018,15018
1575075129,15027,15027
1575077312,15044,15044
1575079283,15055,15055
1575081165,15063,15063
1575083107,15069,15069
1575085000,15087,15087
1575087170,15104,15104
1575089070,15117,15117
1575091216,15098,15098
1575093134,15089,15089
