DateTime,Entries,UniqueIPs
1574886303,83,83
1574888185,81,81
1574890355,80,80
1574892509,81,81
1574894415,82,82
1574896384,84,84
1574898277,83,83
1574900183,84,84
1574902114,81,81
1574904036,81,81
1574905959,79,79
1574907911,78,78
1574909796,77,77
1574911951,76,76
1574914140,79,79
1574916023,80,80
1574917973,78,78
1574919872,81,81
1574922077,80,80
1574923941,79,79
1574925868,77,77
1574928291,75,75
1574930403,79,79
1574932614,86,86
1574934497,88,88
1574936439,92,92
1574938347,93,93
1574940275,92,92
1574942179,91,91
1574944117,90,90
1574946187,91,91
1574948211,91,91
1574950107,90,90
1574952020,86,86
1574953977,87,87
1574955871,85,85
1574957834,89,89
1574959703,89,89
1574961659,87,87
1574963555,89,89
1574965456,87,87
1574967394,87,87
1574969318,86,86
1574971327,89,89
1574973173,89,89
1574975330,91,91
1574977219,93,93
1574979414,95,95
1574981303,92,92
1574983479,92,92
1574985392,88,88
1574987294,89,89
1574990351,89,89
1574992351,90,90
1574994315,90,90
1574996187,94,94
1574998255,96,96
1575000276,97,97
1575002197,99,99
1575004124,99,99
1575006038,99,99
1575007952,101,101
1575009859,103,103
1575011805,102,102
1575013695,102,102
1575015615,101,101
1575017561,96,96
1575019459,92,92
1575021401,89,89
1575023303,87,87
1575026426,90,90
1575028337,90,90
1575032186,90,90
1575034111,89,89
1575038071,90,90
1575040176,91,91
1575042074,90,90
1575044068,89,89
1575046247,92,92
1575050296,96,96
1575052188,97,97
1575054366,99,99
1575056530,103,103
1575058651,98,98
1575060545,94,94
1575062517,93,93
1575064344,92,92
1575066257,95,95
1575068181,98,98
1575070117,100,100
1575073244,100,100
1575075129,99,99
1575077314,99,99
1575079310,97,97
1575081166,99,99
1575083142,95,95
1575085001,92,92
1575087170,88,88
1575089070,91,91
1575091217,92,92
1575093135,92,92
1575095105,96,96
1575096989,97,97
1575098892,99,99
1575102019,99,99
1575103936,101,101
1575105924,104,104
1575107774,107,107
1575109937,109,109
1575112110,108,108
1575114017,105,105
1575115963,108,108
1575117864,107,107
1575120018,108,108
1575121936,109,109
1575125787,108,108
1575127706,109,109
1575129678,106,106
1575131547,103,103
1575133984,102,102
1575135868,101,101
1575137774,99,99
1575139704,102,102
1575141634,97,97
1575143549,100,100
1575145460,102,102
1575147386,102,102
1575149289,103,103
1575151266,100,100
1575153171,96,96
1575155072,94,94
1575157009,93,93
1575158921,93,93
1575160813,97,97
1575162737,100,100
1575164681,100,100
1575166823,100,100
1575168731,100,100
1575170676,100,100
1575173004,101,101
1575174997,99,99
1575176920,97,97
1575178815,93,93
1575180769,92,92
1575182704,88,88
1575184607,93,93
1575186501,94,94
1575188432,96,96
1575190348,95,95
1575192253,94,94
1575194181,91,91
1575196109,93,93
1575198174,93,93
1575200171,103,103
1575202119,102,102
1575204053,105,105
1575206201,103,103
1575208125,106,106
1575210013,109,109
1575211965,109,109
1575213853,108,108
1575215783,111,111
1575217690,114,114
1575219698,149,149
1575221584,165,165
1575223486,173,173
1575225370,182,182
1575227324,194,194
1575229216,206,206
1575231407,220,220
1575233538,234,234
1575235457,257,257
1575237377,273,273
1575239287,279,279
1575242177,282,282
1575244122,287,287
1575246014,289,289
1575247953,295,295
1575249873,297,297
1575251774,304,304
1575253949,317,317
1575256106,325,325
1575258015,345,345
1575259819,347,347
1575261637,349,349
1575263545,357,357
1575265460,363,363
1575267406,366,366
1575269544,371,371
1575271457,371,371
1575273395,375,375
1575275571,378,378
1575277530,397,397
1575279400,414,414
1575281327,415,415
1575283272,418,418
1575285146,424,424
1575287090,419,419
1575288994,419,419
1575291157,425,425
1575293064,436,436
1575295014,442,442
1575296901,441,441
1575298959,457,457
1575300801,466,466
1575302714,470,470
1575304603,459,459
1575306532,451,451
1575308465,444,444
1575310382,442,442
1575312271,433,433
1575314228,429,429
1575316123,423,423
1575318035,424,424
1575319937,427,427
1575322130,406,406
1575324988,407,407
1575326913,409,409
1575328822,417,417
1575330750,419,419
1575332660,423,423
1575334572,420,420
1575336515,420,420
1575338582,421,421
1575340573,427,427
1575342767,444,444
1575344657,435,435
1575346574,436,436
1575348518,441,441
1575350434,443,443
1575352333,443,443
1575354288,446,446
1575356175,447,447
1575358338,447,447
1575360536,448,448
1575362447,454,454
1575364621,446,446
1575366517,437,437
1575368427,437,437
1575370360,443,443
1575372256,447,447
1575374198,457,457
1575376095,461,461
1575378188,465,465
1575380204,456,456
1575382112,461,461
1575384018,463,463
1575385964,452,452
1575387859,458,458
1575389789,463,463
1575391742,473,473
1575393622,481,481
1575395571,480,480
1575397458,482,482
1575399382,485,485
1575401312,493,493
1575404310,488,488
1575406365,485,485
1575408288,494,494
1575410178,488,488
1575412369,490,490
1575414313,488,488
1575416193,491,491
1575418371,490,490
1575420274,493,493
1575422214,495,495
1575424100,498,498
1575426032,494,494
1575427966,480,480
1575429879,474,474
1575431792,475,475
1575433703,472,472
1575436585,482,482
1575438515,482,482
1575440442,483,483
1575442381,486,486
1575444268,482,482
1575446233,478,478
1575448125,480,480
1575450236,477,477
1575452439,484,484
1575454343,495,495
1575456264,505,505
1575458177,501,501
1575460116,499,499
1575462293,494,494
1575464190,492,492
1575466367,491,491
1575468306,492,492
1575470195,495,495
1575472129,500,500
1575474018,496,496
1575475975,498,498
1575477855,492,492
1575480035,478,478
1575481935,484,484
1575483866,486,486
1575485772,489,489
1575487713,492,492
1575490601,487,487
1575492505,490,490
1575494441,483,483
1575496335,486,486
1575498271,484,484
1575500195,480,480
1575502356,475,475
1575504500,471,471
1575506414,470,470
1575508354,468,468
1575510253,463,463
1575512172,461,461
1575514119,463,463
1575516021,459,459
1575517957,455,455
1575519875,459,459
1575521774,451,451
1575523691,449,449
1575526819,454,454
1575528740,455,455
1575530676,458,458
1575533815,457,457
1575535707,458,458
1575537627,453,453
1575539542,440,440
1575541522,427,427
1575543379,424,424
1575545551,421,421
1575547718,419,419
1575549627,420,420
1575551563,426,426
1575553477,423,423
1575555423,421,421
1575557316,423,423
1575559237,416,416
1575561137,410,410
1575563065,403,403
1575564987,399,399
1575566904,403,403
1575568989,396,396
1575570973,395,395
1575572915,391,391
1575574825,386,386
1575577011,383,383
1575578922,377,377
1575580811,376,376
1575582746,372,372
1575584694,366,366
1575586569,365,365
1575588746,361,361
1575590731,365,365
1575592572,363,363
1575594530,364,364
1575596420,365,365
1575598357,370,370
1575600276,366,366
1575602185,372,372
1575604107,372,372
1575606049,370,370
1575607938,373,373
1575609855,380,380
1575611788,379,379
1575613697,372,372
1575616583,369,369
1575618747,370,370
1575620682,365,365
1575622571,363,363
1575624527,364,364
1575626679,368,368
1575628596,369,369
1575630539,370,370
1575632416,363,363
1575634357,370,370
1575636257,360,360
1575638441,359,359
1575640340,357,357
1575642274,362,362
1575644185,362,362
1575646121,361,361
1575648036,367,367
1575649952,373,373
1575651879,373,373
1575653788,378,378
1575655711,379,379
1575657879,373,373
1575659777,379,379
1575661700,381,381
1575663638,384,384
1575665580,389,389
1575667483,392,392
1575669374,395,395
1575671325,401,401
1575674435,406,406
1575676346,407,407
1575678259,412,412
1575680198,412,412
1575682120,415,415
1575684303,412,412
1575686191,407,407
1575688122,401,401
1575690020,397,397
1575692191,400,400
1575694130,402,402
1575696037,393,393
1575697940,393,393
1575699899,396,396
1575701780,396,396
1575703756,397,397
1575705850,389,389
1575708021,390,390
1575710196,392,392
1575712357,390,390
