DateTime,AddedIPs,RemovedIPs
1574769424,8,0
1574771544,3,0
1574773719,5,1
1574775626,2,1
1574777576,3,2
1574779489,5,0
1574781395,4,0
1574783562,6,0
1574785463,3,0
1574788602,13,1
1574790511,9,1
1574792478,7,0
1574794408,7,2
1574796307,9,0
1574798197,12,0
1574800371,7,0
1574802525,11,0
1574804436,11,0
1574806344,8,0
1574808272,10,1
1574810202,10,1
1574812160,12,3
1574814024,6,0
1574815939,11,1
1574817879,12,1
1574819774,15,0
1574821946,17,2
1574824002,12,3
1574826014,15,0
1574827950,12,2
1574829867,7,0
1574832045,9,2
1574833950,5,0
1574835866,3,2
1574837789,16,2
1574839698,6,2
1574841873,10,1
1574843795,9,3
1574845709,9,2
1574847619,13,3
1574849810,8,5
1574851700,13,3
1574853882,8,6
1574856278,6,8
1574858444,9,4
1574860372,17,5
1574862259,10,2
1574864203,9,4
1574866350,15,3
1574868263,11,7
1574870188,9,3
1574872364,10,6
1574874315,13,8
1574876211,10,9
1574878103,16,8
1574880033,7,5
1574881978,15,8
1574883859,18,10
1574886043,14,9
1574887955,18,11
1574889882,10,9
1574891796,9,10
1574893944,16,13
1574896385,19,9
1574898278,10,14
1574900184,16,5
1574902115,16,10
1574904037,10,14
1574905960,10,12
1574907912,16,18
1574909797,11,11
1574911952,15,15
1574914141,14,14
1574916024,10,6
1574917974,13,10
1574919873,11,5
1574922079,13,4
1574923941,12,15
1574925869,14,7
1574928297,19,10
1574930406,13,7
1574932615,3,11
1574934498,0,10
1574936440,12,7
1574938348,12,13
1574940276,21,6
1574942180,22,4
1574944118,10,10
1574946214,21,16
1574948212,17,12
1574950107,11,11
1574952022,7,13
1574953977,19,10
1574955872,13,13
1574957835,20,7
1574959704,20,6
1574961660,21,16
1574963556,15,13
1574965457,13,7
1574967395,15,13
1574969319,21,11
1574971357,12,18
1574973175,6,14
1574975331,14,19
1574977220,11,9
1574979416,11,13
1574981304,17,15
1574983480,12,14
1574985393,9,9
1574987295,11,19
1574990353,12,18
1574992352,12,11
1574994317,8,16
1574996188,14,11
1574998256,7,15
1575000301,9,15
1575002198,8,7
1575004125,9,16
1575006039,2,9
1575007953,7,12
1575009860,10,10
1575011806,12,15
1575013696,9,13
1575015616,14,12
1575017562,13,10
1575019460,10,1
1575021402,6,2
1575023304,7,11
1575025431,7,20
1575027408,14,14
1575029324,8,21
1575031232,6,14
1575033155,8,17
1575035066,9,11
1575038089,12,16
1575040177,7,21
1575042076,6,10
1575044110,12,20
1575046248,9,26
1575048144,4,21
1575050309,8,16
1575052205,4,15
1575054386,9,21
1575056548,7,17
1575058666,5,10
1575060566,2,11
1575062524,4,12
1575064345,4,8
1575066258,10,13
1575068182,5,14
1575070118,8,10
1575072190,11,12
1575074479,7,12
1575076336,2,7
1575078265,5,12
1575080186,4,7
1575082338,9,16
1575084275,4,7
1575086172,8,10
1575088336,3,8
1575090292,3,10
1575092190,6,2
1575094100,4,7
1575096009,7,10
1575097957,3,11
1575099859,3,12
1575102020,11,15
1575103937,6,13
1575105925,1,10
1575107775,5,5
1575109938,4,8
1575112111,4,10
1575114018,2,11
1575115963,6,7
1575117865,4,8
1575120019,5,8
1575121937,3,7
1575123879,3,9
1575125803,4,5
1575127707,5,7
1575129735,3,12
1575131548,2,5
1575133985,5,9
1575135868,2,5
1575137775,3,6
1575139705,2,9
1575141634,6,9
1575143550,2,3
1575145460,6,4
1575147387,3,4
1575149290,2,5
1575152177,5,12
1575154379,2,4
1575156275,1,11
1575158193,5,9
1575160092,1,5
1575162973,4,6
1575165139,4,5
1575167091,3,5
1575168975,5,7
1575170901,1,5
1575173041,4,8
1575174998,1,4
1575176921,1,4
1575178816,2,4
1575180770,4,4
1575182706,1,7
1575184608,4,4
1575186501,6,8
1575188433,3,6
1575190349,2,5
1575192254,2,1
1575194183,1,6
1575196110,1,4
1575198267,0,4
1575200172,3,3
1575202120,4,4
1575204056,5,6
1575206202,3,4
1575208126,2,5
1575210014,3,3
1575211966,2,4
1575213854,3,5
1575215785,1,4
1575217691,4,2
1575219748,3,5
1575221586,2,2
1575223488,5,4
1575225372,2,1
1575227325,3,4
1575229217,1,4
1575231408,1,4
1575233539,3,5
1575235458,4,1
1575237378,1,5
1575239289,3,2
1575242178,3,1
1575244123,4,3
1575246016,3,4
1575249874,2,5
1575251775,0,2
1575253950,0,3
1575256107,1,5
1575258017,3,3
1575259820,0,3
1575261639,0,1
1575263546,0,1
1575265461,0,3
1575267408,0,3
1575269545,1,1
1575271458,1,6
1575273396,0,6
1575275572,4,1
1575277541,1,2
1575279409,2,2
1575281328,1,1
1575283274,5,1
1575285148,2,0
1575287092,1,6
1575288996,1,3
1575291158,4,4
1575293065,4,4
1575295015,4,2
1575296902,0,2
1575299003,0,2
1575301240,1,3
1575303173,0,1
1575305054,1,5
1575306977,0,3
1575308922,2,2
1575310824,1,3
1575312763,4,4
1575314681,2,1
1575316572,5,2
1575318493,1,1
1575320509,3,5
1575322599,3,2
1575324521,0,2
1575326428,9,3
1575328608,6,1
1575330530,7,4
1575332414,1,3
1575336256,1,2
1575338597,1,0
1575342768,0,1
1575344659,1,3
1575346576,1,0
1575348519,7,0
1575350435,1,0
1575352334,1,0
1575354290,1,0
1575356176,4,0
1575358340,0,1
1575360538,1,2
1575362448,4,1
1575364625,3,1
1575366519,2,3
1575368428,1,1
1575370361,0,5
1575372257,1,3
1575374199,1,0
1575376096,0,3
1575378214,4,3
1575380205,1,4
1575382113,1,3
1575384020,1,0
1575385965,0,1
1575391743,0,1
1575395572,0,2
1575397460,1,1
1575399383,0,5
1575401313,0,1
1575404342,2,6
1575406366,1,3
1575408289,0,4
1575412370,0,7
1575414314,0,5
1575416194,1,9
1575418372,0,2
1575420275,0,1
1575424101,0,2
1575426033,1,0
1575431793,1,2
1575433714,1,3
1575436587,0,5
1575438516,0,1
1575440444,0,1
1575442383,1,4
1575446237,0,1
1575448126,0,2
1575450286,1,4
1575452441,0,2
1575454344,0,2
1575460117,0,2
1575464191,0,3
1575466368,1,2
1575468320,2,1
1575470196,0,1
1575475977,1,0
1575477857,1,0
1575483867,0,1
1575489693,0,1
1575491572,1,2
1575493487,1,0
1575499215,1,0
1575501159,0,1
1575503052,1,0
1575504974,1,0
1575506918,1,0
1575512691,0,1
1575516513,2,0
1575518584,0,1
1575520590,0,1
1575528742,0,1
1575533816,2,0
1575535708,0,1
1575537628,1,0
1575539543,1,0
1575543380,1,0
1575547719,1,0
1575549628,1,0
1575553478,1,1
1575555425,0,1
1575559238,1,0
1575563066,0,1
1575564988,0,1
1575566905,1,0
1575578925,0,2
1575580812,1,0
1575584695,1,1
1575590763,0,2
1575592573,0,1
1575594532,1,0
1575602186,0,1
1575607939,1,0
1575618748,0,1
1575620684,2,0
1575622572,1,0
1575624528,0,1
1575626681,1,1
1575630540,0,1
1575634359,0,1
1575636259,0,1
1575638443,0,1
1575640341,1,0
1575642276,1,0
1575644186,2,0
1575646122,0,1
1575648080,3,1
1575649953,1,0
1575653789,3,1
1575655714,1,0
1575659779,1,0
1575661701,3,0
1575663639,1,0
1575665582,2,0
1575667487,6,1
1575669375,3,0
1575671326,6,1
1575674436,7,0
1575676347,1,0
1575678260,4,0
1575680200,1,1
1575682122,3,0
1575686192,3,0
1575688124,4,0
1575690022,2,0
1575692193,3,0
1575694131,1,1
1575696039,2,0
1575697941,2,1
1575699900,1,0
1575701781,2,0
1575703758,1,0
1575705886,5,1
1575708022,1,2
1575710197,1,1
1575712358,3,1
1575714262,2,0
1575716212,1,0
1575718353,1,0
1575720336,1,0
1575722432,2,0
1575724342,2,0
1575726264,1,1
1575728186,2,1
1575730360,2,2
1575732259,1,0
1575734196,1,3
1575736367,1,1
1575738323,1,0
1575740199,3,3
1575742118,1,1
1575744041,2,0
1575746210,2,1
1575748352,5,3
1575750292,2,2
1575752183,2,2
1575754384,3,7
1575756349,5,2
1575758203,0,6
1575760373,2,5
1575762277,0,2
1575764462,0,4
1575766344,2,1
1575768268,1,3
1575772101,0,3
1575774284,1,4
1575776450,0,2
1575778348,0,3
1575780310,0,1
1575782417,0,2
1575784332,0,2
1575786257,0,1
1575788171,1,2
1575790096,1,1
1575793228,2,5
1575795137,2,2
1575797095,3,1
1575798979,0,2
1575800897,0,2
1575802888,1,2
1575806908,4,1
1575808818,1,2
1575810986,2,2
1575813137,0,1
1575815050,1,2
1575816990,1,2
1575818888,2,1
1575820936,0,1
1575822761,1,1
1575824915,6,3
1575826814,0,1
1575828745,0,1
1575830682,0,2
1575832835,0,2
1575834734,2,4
1575836658,0,3
1575838580,1,2
1575840496,0,2
1575843656,1,6
1575845547,1,1
1575847480,0,1
1575849375,1,0
1575851311,1,0
1575853437,2,2
1575855627,2,1
1575859477,2,1
1575861620,1,0
1575865478,2,0
1575869551,2,0
1575872426,1,0
1575874340,1,1
1575876277,0,1
1575878205,0,2
1575882345,0,4
1575884205,2,1
1575886136,1,0
1575888019,0,1
1575889971,1,0
