DateTime,Entries,UniqueIPs
1574893946,6443,6443
1574895805,6446,6446
1574897835,6451,6451
1574899724,6432,6432
1574901621,6428,6428
1574903540,6418,6418
1574905473,6413,6413
1574907380,6412,6412
1574909306,6400,6400
1574911486,6401,6401
1574913751,6409,6409
1574915569,4265,4265
1574917524,2696,2696
1574919401,2690,2690
1574921320,1044,1044
1574923213,1035,1035
1574925144,1031,1031
1574927068,1024,1024
1574928991,1021,1021
1574930956,905,905
1574933076,1011,1011
1574935409,989,989
1574937619,978,978
1574939547,976,976
1574941466,954,954
1574943666,953,953
1574945575,945,945
1574947476,940,940
1574949368,936,936
1574951559,926,926
1574953710,916,916
1574955617,914,914
1574957836,901,901
1574959705,890,890
1574961662,878,878
1574963557,867,867
1574965458,850,850
1574967396,836,836
1574969320,822,822
1574971384,817,817
1574973617,811,811
1574975798,805,805
1574977739,790,790
1574979858,784,784
1574981774,810,810
1574983957,805,805
1574985865,802,802
1574988043,797,797
1574990354,803,803
1574992353,797,797
1574994318,793,793
1574996189,787,787
1574998257,783,783
1575000307,778,778
1575002221,768,768
1575004127,767,767
1575006041,765,765
1575007955,763,763
1575009861,765,765
1575011807,764,764
1575013698,765,765
1575015617,766,766
1575017564,761,761
1575019462,1034,1034
1575021404,2112,2112
1575023305,2118,2118
1575025524,2123,2123
1575027430,2128,2128
1575029326,2133,2133
1575031234,2141,2141
1575033156,2138,2138
1575035068,2137,2137
1575038112,2157,2157
1575040180,2157,2157
1575042096,2156,2156
1575044197,2155,2155
1575046311,2154,2154
1575048178,2158,2158
1575050328,2169,2169
1575052293,2178,2178
1575054407,2189,2189
1575056599,2204,2204
1575058690,2209,2209
1575060589,2222,2222
1575062540,2222,2222
1575064347,2224,2224
1575066261,2225,2225
1575068184,2202,2202
1575070120,2203,2203
1575072320,2208,2208
1575074481,2220,2220
1575076337,2222,2222
1575078266,2230,2230
1575080187,2240,2240
1575082339,2244,2244
1575084277,2248,2248
1575086173,2260,2260
1575088338,2280,2280
1575090299,2293,2293
1575092192,2295,2295
1575094101,2295,2295
1575096015,2304,2304
1575097958,2293,2293
1575099862,2286,2286
1575102022,2288,2288
1575103939,2285,2285
1575105927,2267,2267
1575107776,2256,2256
1575109941,2254,2254
1575112112,2254,2254
1575114020,2256,2256
1575115966,2256,2256
1575117866,2245,2245
1575120020,2251,2251
1575121939,2260,2260
1575123880,2260,2260
1575125805,2260,2260
1575127709,2256,2256
1575129827,2257,2257
1575131785,2262,2262
1575133986,2265,2265
1575135870,2259,2259
1575137776,2249,2249
1575139706,2245,2245
1575141636,2239,2239
1575143551,2252,2252
1575145462,2246,2246
1575147389,2234,2234
1575149291,2242,2242
1575151312,2238,2238
1575153173,2243,2243
1575155130,2238,2238
1575157010,2232,2232
1575158923,2237,2237
1575160815,2236,2236
1575162739,2235,2235
1575164683,2233,2233
1575166825,2231,2231
1575168733,2233,2233
1575170678,2226,2226
1575173071,2196,2196
1575174998,823,823
1575176922,814,814
1575178817,818,818
1575180772,814,814
1575182722,811,811
1575184609,812,812
1575186503,810,810
1575188434,799,799
1575190350,801,801
1575192256,800,800
1575194184,795,795
1575196111,792,792
1575198276,784,784
1575200173,779,779
1575202121,797,797
1575204058,799,799
1575206204,798,798
1575208128,785,785
1575210015,793,793
1575211970,800,800
1575213855,799,799
1575215788,799,799
1575217693,797,797
1575219797,800,800
1575222035,801,801
1575223937,804,804
1575225876,808,808
1575227800,809,809
1575229939,797,797
1575231862,801,801
1575233820,820,820
1575235706,844,844
1575237756,843,843
1575239583,840,840
1575241528,841,841
1575243403,840,840
1575245314,834,834
1575247217,837,837
1575249160,840,840
1575251056,847,847
1575252976,848,848
1575254919,843,843
1575256820,842,842
1575258737,843,843
1575260661,855,855
1575262591,860,860
1575264524,860,860
1575266596,865,865
1575268572,867,867
1575270520,882,882
1575272415,893,893
1575274592,900,900
1575276525,898,898
1575278416,883,883
1575280338,880,880
1575282255,887,887
1575284256,887,887
1575286097,886,886
1575289000,872,872
1575291160,879,879
1575293067,883,883
1575295017,881,881
1575296906,877,877
1575299107,883,883
1575301242,895,895
1575303175,906,906
1575305056,906,906
1575306979,906,906
1575308924,904,904
1575310825,898,898
1575312764,901,901
1575314683,899,899
1575316598,896,896
1575318495,893,893
