DateTime,AddedIPs,RemovedIPs
1572683063,1,0
1572686904,1,0
1572689008,9,0
1572690980,1,2
1572692940,1,0
1572696771,0,1
1572698655,0,2
1572700603,1,2
1572702531,2,0
1572704439,0,1
1572706359,0,1
1572710196,0,6
1572725543,0,1
1572731562,1,0
1572733457,0,1
1572735375,1,0
1572737571,0,2
1572739528,1,0
1572747161,0,1
1572749064,1,0
1572750990,1,0
1572755083,2,0
1572756983,0,1
1572761312,2,2
1572769005,0,1
1572772935,1,0
1572774761,0,10
1572776841,3,1
1572778958,4,1
1572784817,1,0
1572786776,1,1
1572788670,0,2
1572819645,0,1
1572821569,0,1
1572825732,2,1
1572837136,0,2
1572841005,0,1
1572842905,0,1
1572846737,0,1
1572848679,2,1
1572850575,1,0
1572858768,0,1
1572862616,0,2
1572864763,0,5
1572873444,0,2
1572877995,1,0
1572879969,1,0
1572882412,10,0
1572911773,0,2
1572917799,1,0
1572935088,1,2
1572936999,0,1
1572963882,0,1
1572967715,0,11
1572969939,4,0
1572999186,1,0
1573002976,0,1
1573004903,2,0
1573021466,0,1
1573023389,1,0
1573025308,1,0
1573036390,1,0
1573040485,7,0
1573056300,0,4
1573058601,1,0
1573070927,1,0
1573086263,0,1
1573090098,1,1
1573092199,0,1
1573107884,1,0
1573109791,1,1
1573111725,0,1
1573123715,1,0
1573125870,0,7
1573133612,4,0
1573139559,1,0
1573141497,1,0
1573145539,0,1
1573147457,0,1
1573156370,0,1
1573173140,1,0
1573188530,0,1
1573192350,1,0
1573194258,0,1
1573196233,1,1
1573199414,2,0
1573203315,8,0
1573209390,0,1
1573213262,1,0
1573218994,0,4
1573224768,0,1
1573226703,1,0
1573228592,0,1
1573248503,1,0
1573256674,1,0
1573260500,0,1
1573278024,0,1
1573281865,0,1
1573283781,1,1
1573285729,0,1
1573290278,0,8
1573296431,1,0
1573298465,8,0
1573300356,3,1
1573305405,2,0
1573313335,0,1
1573329409,1,0
1573333547,0,1
1573343573,0,1
1573350020,2,0
1573351938,1,0
1573367567,1,0
1573369484,0,1
1573371400,1,0
1573373323,1,0
1573382905,0,1
1573384840,0,8
1573386735,0,3
1573390605,0,1
1573392521,0,1
1573414816,0,1
1573436186,0,2
1573438137,0,1
1573455872,1,1
1573458025,0,1
1573459940,0,1
1573471976,1,0
1573483468,1,0
1573501246,1,0
1573505544,1,0
1573540838,0,1
1573546607,2,0
1573558628,0,1
1573570368,0,1
1573574198,1,0
1573588125,0,1
1573591968,0,1
1573593851,1,0
1573628799,9,0
1573633063,0,2
1573641865,1,0
1573659622,0,1
1573665646,1,0
1573681467,0,1
1573708614,1,0
1573716276,0,9
1573718229,1,0
1573720363,11,0
1573728040,0,1
1573751321,0,1
1573763090,2,0
1573782752,1,0
1573793536,0,1
1573795473,1,0
1573799309,1,0
1573803371,1,0
1573805320,0,11
1573807221,1,1
1573809398,1,0
1573811345,1,0
1573815806,1,0
1573817803,1,0
1573829779,1,0
1573831948,1,0
1573834129,1,0
1573840103,1,0
1573843964,1,0
1573845859,3,0
1573849695,1,2
1573851726,1,0
1573868203,1,0
1573870136,0,1
1573881888,1,1
1573885949,0,1
1573889824,1,1
1573891720,1,0
1573893667,1,1
1573896799,9,2
1573900824,0,1
1573904679,0,1
1573916191,0,1
1573918385,0,1
1573920567,2,1
1573926273,0,1
1573930117,0,1
1573932273,0,3
1573936585,0,1
1573938528,1,1
1573940431,1,0
1573946205,2,0
1573950049,1,0
1573951960,2,0
1573953864,1,0
1573956306,0,1
1573962032,2,0
1573968029,0,1
1573975699,0,1
1573977801,2,1
1573979790,1,1
1573981715,0,8
1573983650,0,1
1573985552,1,0
1573987466,1,0
1573993615,6,0
1573997553,2,0
1573999730,1,0
1574001618,1,0
1574005701,1,0
1574007625,1,2
1574011477,1,0
1574013376,1,0
1574025143,0,1
1574027055,0,1
1574032832,0,2
1574038596,0,2
1574040503,1,1
1574044820,1,0
1574046992,0,1
1574048898,0,1
1574050833,2,0
1574056576,1,0
1574060908,1,0
1574062820,0,1
1574064752,1,1
1574066924,5,1
1574068874,1,0
1574070746,2,1
1574075004,1,1
1574078917,0,6
1574080836,1,0
1574082780,0,1
1574084659,0,1
1574086588,0,2
1574090418,0,1
1574094528,0,1
1574096595,1,1
1574100503,0,1
1574102426,1,0
1574106255,1,0
1574114179,1,1
1574118360,1,0
1574120208,2,0
1574126199,1,0
1574128107,0,1
1574131949,0,1
1574133857,1,0
1574136151,1,1
1574138198,0,1
1574144437,0,1
1574146331,0,1
1574151460,0,1
1574153355,0,4
1574155238,0,1
1574157171,0,2
1574162206,2,2
1574168194,3,1
1574172526,1,0
1574174447,1,0
1574182373,0,1
1574188375,1,1
1574190542,1,0
1574192695,0,1
1574200583,0,1
1574204679,0,1
1574206600,0,2
1574212716,0,1
1574220284,0,1
1574222199,1,1
1574239703,2,0
1574243799,2,0
1574250020,0,2
1574254119,0,2
1574256029,0,1
1574257994,1,1
1574260110,0,1
1574274509,0,1
1574276637,0,1
1574305767,1,0
1574307620,0,1
1574325152,1,2
1574329250,0,1
1574331185,0,1
1574334987,1,0
1574340777,2,0
1574344594,0,1
1574348579,1,0
1574360696,1,0
1574391146,0,1
1574411092,0,1
1574412985,1,0
1574421404,0,1
1574427415,0,2
1574433635,0,1
1574439405,1,0
1574447304,0,1
