DateTime,Entries,UniqueIPs
1574887958,8065,8065
1574889885,8092,8092
1574891800,8136,8136
1574893947,8162,8162
1574895865,8170,8170
1574897836,8141,8141
1574899725,8135,8135
1574901622,8077,8077
1574903541,8060,8060
1574905474,8035,8035
1574907381,8040,8040
1574909307,7993,7993
1574911487,7906,7906
1574913781,7869,7869
1574916026,7883,7883
1574917976,7850,7850
1574919874,7834,7834
1574922081,7788,7788
1574923943,7661,7661
1574925870,7620,7620
1574928298,7567,7567
1574930408,7458,7458
1574932616,7319,7319
1574934499,7141,7141
1574936449,7057,7057
1574938350,7092,7092
1574940277,7111,7111
1574942182,7079,7079
1574944120,7028,7028
1574946302,7032,7032
1574948213,7022,7022
1574950108,7024,7024
1574952023,7009,7009
1574953978,6986,6986
1574955873,6975,6975
1574957837,7019,7019
1574959706,7026,7026
1574961663,7001,7001
1574963558,6955,6955
1574965459,6958,6958
1574967397,6953,6953
1574969321,6963,6963
1574971440,6993,6993
1574973618,6951,6951
1574975799,6902,6902
1574977739,6860,6860
1574979859,6863,6863
1574981775,6918,6918
1574983958,6924,6924
1574985894,6935,6935
1574988044,6950,6950
1574990354,6974,6974
1574992353,7084,7084
1574994319,7112,7112
1574996190,7140,7140
1574998258,7119,7119
1575000308,7065,7065
1575002222,7027,7027
1575004128,7046,7046
1575006042,7081,7081
1575007955,7081,7081
1575009862,7088,7088
1575011808,7076,7076
1575013698,7044,7044
1575015618,7068,7068
1575017565,7089,7089
1575019463,7146,7146
1575021405,7226,7226
1575023306,7261,7261
1575025528,7256,7256
1575027431,7263,7263
1575029327,7342,7342
1575031235,7360,7360
1575033157,7340,7340
1575035069,7374,7374
1575038131,7453,7453
1575040181,7471,7471
1575042104,7499,7499
1575044198,7517,7517
1575046314,7505,7505
1575048190,7511,7511
1575050329,7531,7531
1575052336,7573,7573
1575054426,7711,7711
1575056613,7714,7714
1575058691,7798,7798
1575061525,7876,7876
1575063401,7872,7872
1575065332,7968,7968
1575067233,7930,7930
1575069409,7968,7968
1575071308,8058,8058
1575073246,8104,8104
1575075131,8113,8113
1575077315,8097,8097
1575079369,8034,8034
1575081637,8014,8014
1575083567,8024,8024
1575085454,8065,8065
1575087622,8154,8154
1575089534,8185,8185
1575091506,8138,8138
1575093382,8089,8089
1575095303,8066,8066
1575097413,8087,8087
1575099398,8118,8118
1575101309,8120,8120
1575103217,8175,8175
1575105157,8184,8184
1575107059,8164,8164
1575109225,8143,8143
1575111134,8088,8088
1575113085,8097,8097
1575114973,8026,8026
1575117143,8049,8049
1575119311,8057,8057
1575121226,8068,8068
1575124363,8020,8020
1575126530,8043,8043
1575128438,8007,8007
1575130372,7980,7980
1575132298,7975,7975
1575134440,8025,8025
1575136341,7994,7994
1575138285,7980,7980
1575140176,7877,7877
1575142099,7778,7778
1575144232,7666,7666
1575146443,7609,7609
1575148596,7645,7645
1575150743,7575,7575
1575152657,7560,7560
1575154594,7502,7502
1575156751,7386,7386
1575158925,7276,7276
1575160816,7198,7198
1575162740,7173,7173
1575164683,7080,7080
1575166826,7031,7031
1575168733,7029,7029
1575170679,7042,7042
1575173100,7035,7035
1575174999,6937,6937
1575176923,6911,6911
1575178818,6898,6898
1575180772,6885,6885
1575182765,6851,6851
1575184610,6851,6851
1575186503,6826,6826
1575188435,6771,6771
1575190351,6718,6718
1575192257,6640,6640
1575194185,6608,6608
1575196112,6575,6575
1575198277,6535,6535
1575200174,6533,6533
1575202121,6548,6548
1575204059,6484,6484
1575206205,6447,6447
1575208129,6401,6401
1575210016,6449,6449
1575211971,6609,6609
1575213856,7159,7159
1575215797,9846,9846
1575217694,11145,11145
1575219838,12788,12788
1575222037,14233,14233
1575223939,15798,15798
1575225885,17678,17678
1575227801,19166,19166
1575229940,21064,21064
1575231863,23042,23042
1575233821,24930,24930
1575235707,26308,26308
1575238841,28925,28925
1575240780,30772,30772
1575242681,32263,32263
1575244586,34013,34013
1575246764,35978,35978
1575248688,38144,38144
1575250608,38529,38529
1575252500,38593,38593
1575254422,38606,38606
1575256369,38565,38565
1575258271,38527,38527
1575260223,38535,38535
1575262109,38499,38499
1575264026,38491,38491
1575265965,38562,38562
1575267868,38627,38627
1575269800,38673,38673
1575271700,38681,38681
