DateTime,AddedIPs,RemovedIPs
1573051471,1,1
1573054051,0,1
1573056302,2,0
1573062738,0,1
1573068769,0,1
1573082441,1,2
1573084345,0,1
1573088199,1,1
1573090099,3,1
1573104032,1,0
1573119867,0,1
1573121796,1,0
1573127774,1,0
1573137635,1,0
1573141498,0,1
1573147457,0,1
1573155403,1,1
1573157344,3,0
1573161147,1,0
1573168833,0,2
1573176517,0,1
1573184426,1,0
1573190453,1,0
1573192352,0,1
1573196235,1,0
1573203328,0,1
1573205310,3,1
1573209392,0,1
1573213264,1,0
1573217074,1,1
1573224770,0,1
1573228594,0,1
1573230546,0,2
1573234827,1,0
1573248505,1,0
1573250637,0,1
1573254752,0,1
1573268198,1,0
1573272244,0,1
1573278026,0,1
1573285738,2,0
1573287866,0,2
1573290280,0,1
1573292535,0,3
1573294366,3,0
1573296434,1,0
1573300357,0,1
1573305407,0,1
1573317670,4,1
1573319809,3,0
1573333551,1,0
1573345468,0,1
1573347894,1,0
1573350022,1,0
1573355783,0,1
1573357703,1,0
1573359636,0,1
1573367568,1,1
1573371402,0,1
1573381010,0,3
1573382907,0,1
1573402834,0,1
1573404737,1,0
1573408599,1,1
1573420580,3,0
1573422546,3,0
1573435465,0,1
1573447246,0,1
1573449151,0,2
1573451066,1,2
1573454906,0,1
1573466940,1,0
1573482510,0,1
1573486595,1,0
1573494763,0,1
1573496668,0,1
1573506753,0,2
1573508686,0,1
1573510614,1,0
1573512532,1,0
1573516395,1,0
1573526412,2,0
1573537944,0,1
1573549751,1,0
1573559327,0,1
1573561478,1,0
1573571551,1,0
1573585500,1,0
1573595088,0,4
1573596994,0,1
1573600854,1,0
1573602749,0,1
1573628832,1,0
1573630847,1,0
1573633083,2,0
1573634981,1,0
1573647170,0,1
1573649305,2,0
1573665148,0,2
1573671141,1,2
1573674996,1,0
1573676906,1,0
1573682920,1,0
1573690841,1,0
1573698757,1,0
1573708615,0,1
1573716278,0,1
1573718232,0,2
1573720424,0,3
1573722393,3,0
1573735735,0,1
1573737637,13,1
1573761192,2,1
1573763100,1,1
1573769094,1,1
1573771224,0,1
1573776987,0,1
1573780840,1,0
1573786841,1,0
1573807947,0,1
1573809884,0,4
1573813727,0,1
1573817804,1,0
1573827883,1,0
1573840104,1,1
1573845861,1,0
1573847777,0,2
1573858608,0,1
1573860498,1,0
1573862627,1,0
1573868416,0,1
1573874447,0,1
1573880169,1,0
1573886208,1,0
1573894357,0,3
1573904680,0,1
1573910466,1,0
1573914269,1,0
1573916192,1,0
1573918386,1,11
1573920568,1,0
1573926274,0,1
1573930118,1,0
1573932274,1,1
1573940432,1,0
1573942370,1,0
1573948128,0,1
1573950050,0,1
1573951961,1,0
1573956308,1,0
1573958187,1,0
1573966113,0,1
1573977804,1,0
1573995784,0,1
1573999731,0,2
1574001619,1,1
1574003791,2,0
1574005701,0,1
1574013377,1,0
1574021332,0,1
1574027057,0,1
1574040505,0,1
1574044821,0,1
1574056579,1,0
1574064755,0,1
1574070748,1,0
1574072667,1,0
1574078920,1,0
1574082791,0,1
1574086633,0,1
1574090435,1,1
1574092583,0,1
1574098576,1,0
1574102429,1,0
1574106257,0,1
1574108422,1,0
1574114181,1,0
1574116355,1,0
1574120218,1,0
1574133858,0,1
1574136246,1,2
1574138199,1,0
1574142255,0,1
1574156657,1,1
1574158592,1,0
1574160504,0,1
1574162666,1,0
1574179508,2,0
1574183321,2,0
1574187173,0,1
1574189064,1,0
1574195074,0,1
1574196970,1,0
1574201329,0,1
1574205169,1,2
1574208997,0,2
1574216425,1,0
1574232042,0,1
1574237803,1,0
1574239704,1,0
1574241868,0,1
1574247913,0,1
1574250022,0,1
1574252205,2,0
1574268043,1,0
1574270190,1,2
1574278594,1,0
1574282426,0,1
1574290135,1,1
1574292047,0,2
1574293942,1,0
1574301925,1,0
1574303799,0,1
1574307621,1,0
1574309644,0,1
1574311458,1,0
1574329252,1,1
1574338856,0,2
1574342674,1,1
1574354904,1,0
1574364749,14,1
1574366935,1,0
1574370992,1,0
1574375077,0,1
1574377560,1,0
1574379406,2,1
1574381337,1,0
1574383222,0,1
1574387198,0,1
1574396900,1,0
1574399102,0,1
1574403174,0,2
1574412987,1,0
1574419252,1,0
1574434359,0,1
1574442542,1,0
1574450220,1,11
1574452121,0,4
1574460535,0,1
1574464363,0,1
1574466288,0,1
1574468199,0,1
1574473973,0,1
1574481843,1,0
1574484029,0,1
1574485972,0,1
1574487872,1,0
1574495557,1,0
1574499810,0,1
1574507585,0,1
1574509453,1,0
1574511422,0,2
1574517919,1,0
1574521728,1,0
1574523659,1,0
1574525569,1,0
1574535792,1,0
1574538018,1,0
1574543793,0,1
1574545955,2,0
1574549775,1,0
1574564799,1,0
1574568517,2,1
1574570447,1,0
1574574754,0,1
1574576665,0,1
1574580831,1,2
1574582699,3,0
1574588435,1,0
1574590373,1,0
1574596369,0,1
1574604306,1,0
1574608182,0,1
1574610055,0,1
1574611952,1,0
1574621804,0,1
1574629727,2,0
1574631683,0,1
1574639328,1,0
1574643179,0,1
1574646994,0,1
1574648910,1,0
1574653220,0,1
1574655150,0,1
1574657083,0,2
1574658979,1,0
1574664978,1,0
1574669311,0,1
1574673642,0,1
1574677487,1,3
1574685638,1,0
1574693326,0,1
1574695231,0,1
1574697166,1,1
1574705310,2,0
1574707219,1,0
1574711307,1,0
1574715171,0,4
1574717087,1,0
1574718978,1,0
1574723159,1,0
1574725007,0,1
1574726915,2,0
1574736638,0,1
1574742753,1,0
1574744677,0,2
1574750417,1,2
1574771812,0,1
1574775629,1,0
1574783565,0,1
1574785467,1,0
1574788606,1,0
1574792482,0,2
1574796311,0,1
1574798201,1,0
1574808276,1,0
1574810205,0,1
1574814027,1,1
1574819777,1,0
1574824005,0,1
1574837792,0,1
1574849814,1,1
1574858451,0,1
1574862263,1,0
1574864206,1,0
1574878107,1,0
1574881982,0,1
1574883863,1,1
1574886047,0,1
1574889886,1,0
1574893948,0,1
1574897837,1,0
1574899726,1,0
1574907382,0,1
1574911488,0,1
1574916027,1,1
1574917977,1,0
1574936449,1,0
1574938350,1,0
1574946310,0,1
1574948214,0,2
1574950109,0,1
1574959706,0,1
1574965460,1,0
1574969322,1,1
1574973618,1,0
1574975800,1,0
1574979860,1,1
1574981775,0,1
1574983960,1,0
1574985914,1,0
1574990355,1,0
1575004129,1,0
1575015619,1,0
1575021406,3,1
1575025530,0,1
1575029328,0,1
1575033158,1,0
