DateTime,Entries,UniqueIPs
1574893949,2946,2946
1574895915,2946,2946
1574897841,2936,2936
1574899726,2932,2932
1574901626,2909,2909
1574903545,2855,2855
1574905478,2818,2818
1574907382,2807,2807
1574909311,2779,2779
1574911489,2733,2733
1574913886,2688,2688
1574916028,2661,2661
1574917977,2606,2606
1574919876,2570,2570
1574922083,2497,2497
1574923944,2434,2434
1574925871,2390,2390
1574928300,2367,2367
1574930409,2323,2323
1574932617,2273,2273
1574934500,2230,2230
1574936450,2235,2235
1574938351,2264,2264
1574940278,2298,2298
1574942183,2306,2306
1574944121,2308,2308
1574946311,2334,2334
1574948214,2356,2356
1574950110,2366,2366
1574952026,2372,2372
1574953979,2375,2375
1574955874,2389,2389
1574957839,2395,2395
1574959707,2391,2391
1574961664,2383,2383
1574963559,2359,2359
1574965460,2364,2364
1574967398,2372,2372
1574969322,2402,2402
1574971466,2519,2519
1574973619,2499,2499
1574975801,2444,2444
1574977741,2423,2423
1574979864,2434,2434
1574981776,2432,2432
1574983960,2411,2411
1574985923,2379,2379
1574988046,2373,2373
1574990355,2385,2385
1574992355,2388,2388
1574994320,2395,2395
1574996191,2401,2401
1574998259,2383,2383
1575000310,2381,2381
1575002223,2383,2383
1575004129,2391,2391
1575006043,2376,2376
1575007956,2361,2361
1575009863,2352,2352
1575011809,2350,2350
1575013699,2331,2331
1575015620,2304,2304
1575017569,2275,2275
1575019464,2265,2265
1575021406,2264,2264
1575023322,2245,2245
1575025531,2202,2202
1575027432,2194,2194
1575029328,2183,2183
1575031236,2194,2194
1575033158,2173,2173
1575035070,2163,2163
1575038133,2163,2163
1575040182,2166,2166
1575042119,2177,2177
1575044260,2193,2193
1575046333,2187,2187
1575048192,2191,2191
1575050347,2183,2183
1575052358,2164,2164
1575054470,2157,2157
1575056634,2047,2047
1575058694,2047,2047
1575060633,2061,2061
1575062563,2049,2049
1575064572,2040,2040
1575066509,2045,2045
1575068556,2051,2051
1575070574,2094,2094
1575072565,2173,2173
1575074482,2186,2186
1575076337,2187,2187
1575078267,2192,2192
1575080188,2197,2197
1575082340,2199,2199
1575084278,2203,2203
1575086174,2220,2220
1575088342,2223,2223
1575090301,2231,2231
1575092193,2236,2236
1575094102,2247,2247
1575096016,2253,2253
1575097959,2257,2257
1575099862,2284,2284
1575102023,2319,2319
1575103940,2369,2369
1575105928,2407,2407
1575107777,2413,2413
1575109945,2421,2421
1575112829,2426,2426
1575114732,2422,2422
1575116678,2429,2429
1575118589,2427,2427
1575120500,2433,2433
1575122627,2430,2430
1575124601,2423,2423
1575126531,2426,2426
1575128442,2398,2398
1575130376,2381,2381
1575132303,2371,2371
1575134444,2365,2365
1575136342,2355,2355
1575138286,2356,2356
1575140177,2357,2357
1575142100,2368,2368
1575144266,2345,2345
1575146445,2324,2324
1575148597,2353,2353
1575150744,2366,2366
1575152659,2361,2361
1575154596,2360,2360
1575156753,2306,2306
1575158926,2239,2239
1575160817,2204,2204
1575162741,2194,2194
1575164685,2182,2182
1575166828,2181,2181
1575168734,2205,2205
1575170683,2258,2258
1575173113,2274,2274
1575175000,2272,2272
1575176924,2274,2274
1575178819,2260,2260
1575180776,2248,2248
1575182769,2238,2238
1575184611,2247,2247
1575186505,2247,2247
1575188436,2255,2255
1575190352,2214,2214
1575192261,2193,2193
1575194186,2178,2178
1575196113,2176,2176
1575198280,2151,2151
1575200175,2138,2138
1575202123,2122,2122
1575204060,2105,2105
1575206206,2107,2107
1575208130,2104,2104
1575210017,2113,2113
1575211977,2111,2111
1575213858,2093,2093
1575215798,2101,2101
1575217695,2108,2108
1575219905,2123,2123
1575222039,2157,2157
1575223940,2172,2172
1575225886,2187,2187
1575227802,2213,2213
1575229942,2238,2238
1575231868,2246,2246
1575233823,2244,2244
1575235738,2225,2225
1575237803,2215,2215
1575240021,2225,2225
1575241963,2228,2228
1575243855,2226,2226
1575245794,2241,2241
1575247738,2281,2281
1575249615,2310,2310
1575251536,2347,2347
1575253527,2355,2355
1575255371,2333,2333
1575257561,2257,2257
1575259822,2238,2238
1575261641,2206,2206
1575263548,2216,2216
1575265464,2233,2233
1575267409,2263,2263
1575269548,2288,2288
1575271460,2304,2304
1575273401,2273,2273
1575275575,2233,2233
1575277559,2208,2208
1575279416,2193,2193
1575281340,2196,2196
1575283278,2195,2195
1575285152,2184,2184
1575287098,2186,2186
1575289007,2182,2182
1575291163,2197,2197
1575293076,2208,2208
1575295021,2219,2219
1575296924,2227,2227
1575299129,2225,2225
1575301248,2228,2228
1575303178,2224,2224
1575305059,2236,2236
1575306982,2240,2240
1575308927,2262,2262
1575310828,2260,2260
1575312771,2246,2246
1575314688,2234,2234
1575316601,2217,2217
1575318500,2222,2222
1575320685,2216,2216
1575322604,2207,2207
1575324528,2200,2200
1575326432,2193,2193
1575328616,2204,2204
1575330537,2223,2223
1575332422,2235,2235
1575334354,2219,2219
1575336264,2181,2181
1575338695,2158,2158
1575340578,2143,2143
1575342771,2124,2124
1575344663,2134,2134
1575346580,2131,2131
1575348523,2146,2146
1575350439,2145,2145
1575352338,2115,2115
1575354294,2092,2092
1575356180,2073,2073
1575358344,2041,2041
1575360542,2056,2056
1575362452,2056,2056
1575364630,2071,2071
