DateTime,Entries,UniqueIPs
1574691394,60,60
1574693329,62,62
1574699106,61,61
1574703180,62,62
1574705312,65,65
1574707224,65,65
1574709434,68,68
1574711309,69,69
1574715172,69,69
1574717092,70,70
1574718980,69,69
1574721152,71,71
1574725008,72,72
1574726917,69,69
1574728831,69,69
1574730786,72,72
1574732673,74,74
1574734607,71,71
1574736640,76,76
1574738676,78,78
1574740606,79,79
1574742754,81,81
1574744700,82,82
1574746600,81,81
1574748514,79,79
1574750419,80,80
1574752365,82,82
1574754258,83,83
1574756202,80,80
1574758107,78,78
1574760039,80,80
1574763885,79,79
1574765806,79,79
1574767699,80,80
1574769987,80,80
1574771814,77,77
1574773728,78,78
1574775654,80,80
1574777580,79,79
1574779575,77,77
1574785472,78,78
1574788610,78,78
1574790519,80,80
1574792487,78,78
1574794425,74,74
1574796316,74,74
1574798202,73,73
1574800376,73,73
1574802530,74,74
1574804444,74,74
1574806349,71,71
1574808277,72,72
1574810207,76,76
1574812174,77,77
1574814029,78,78
1574815944,80,80
1574817887,79,79
1574819779,80,80
1574821967,81,81
1574824007,73,73
1574826020,67,67
1574827962,67,67
1574829872,67,67
1574832064,66,66
1574833957,70,70
1574835882,70,70
1574837794,67,67
1574839711,69,69
1574842024,70,70
1574844031,69,69
1574845967,66,66
1574847853,70,70
1574849816,74,74
1574851709,75,75
1574853888,74,74
1574856353,73,73
1574860396,72,72
1574862264,70,70
1574864208,70,70
1574874322,71,71
1574876216,72,72
1574878108,71,71
1574880040,70,70
1574881987,69,69
1574883867,68,68
1574886051,67,67
1574887963,65,65
1574891802,63,63
1574893950,65,65
1574895938,62,62
1574897842,59,59
1574899727,60,60
1574901628,59,59
1574903546,56,56
1574905480,59,59
1574907383,57,57
1574909312,55,55
1574911490,57,57
1574913899,61,61
1574916046,59,59
1574917978,60,60
1574919877,58,58
1574922084,53,53
1574923945,52,52
1574925878,53,53
1574928341,50,50
1574930410,52,52
1574932618,56,56
1574934501,54,54
1574936451,51,51
1574938352,50,50
1574940279,51,51
1574942184,50,50
1574946313,49,49
1574948215,50,50
1574952027,49,49
1574953980,50,50
1574959708,49,49
1574961665,47,47
1574971471,46,46
1574983961,45,45
1574985952,40,40
1574988047,40,40
1574990356,39,39
1574992355,41,41
1574994322,42,42
1574996192,42,42
1574998261,42,42
1575000311,39,39
1575002224,41,41
1575004130,39,39
1575006044,40,40
1575007957,44,44
1575009864,45,45
1575011810,50,50
1575013700,51,51
1575015622,52,52
1575017570,49,49
1575019465,46,46
1575021407,45,45
1575023323,46,46
1575025533,44,44
1575027433,43,43
1575029329,44,44
1575031237,45,45
1575033159,46,46
1575038152,50,50
1575040183,49,49
1575042159,50,50
1575044273,52,52
1575046364,53,53
1575052408,54,54
1575056655,56,56
1575060647,55,55
1575062601,56,56
1575064573,59,59
1575066510,60,60
1575068596,61,61
1575070575,63,63
1575074483,62,62
1575076338,62,62
1575078268,58,58
1575080188,58,58
1575082340,59,59
1575084278,59,59
1575086175,61,61
1575088342,59,59
1575090301,61,61
1575092193,61,61
1575094102,59,59
1575096017,57,57
1575097960,53,53
1575099863,55,55
1575102024,57,57
1575103940,60,60
1575105929,61,61
1575107778,62,62
1575109946,62,62
1575111793,63,63
1575113802,62,62
1575115691,61,61
1575117618,62,62
1575119564,60,60
1575123379,57,57
1575125353,56,56
1575129150,56,56
1575131060,55,55
1575139235,53,53
1575141151,54,54
1575143072,53,53
1575145238,54,54
1575147139,55,55
1575149055,56,56
1575150993,56,56
1575152893,57,57
1575156012,56,56
1575157933,58,58
1575159869,60,60
1575161824,60,60
1575163697,62,62
1575165701,62,62
1575167546,60,60
1575169536,57,57
1575173578,54,54
1575175462,51,51
1575177384,56,56
1575179331,53,53
1575181245,55,55
1575183196,55,55
1575185063,53,53
1575187458,49,49
1575189637,47,47
1575191542,47,47
1575193467,47,47
1575195395,46,46
1575197586,44,44
1575199457,45,45
1575201403,46,46
1575203321,46,46
1575205484,44,44
1575215303,42,42
1575217241,43,43
1575221060,44,44
1575223001,46,46
1575224896,48,48
1575229944,48,48
1575231870,46,46
1575235740,47,47
1575237828,46,46
1575240024,42,42
1575243856,41,41
1575245795,40,40
1575247739,39,39
1575249618,38,38
1575251538,36,36
1575253529,38,38
1575255373,40,40
1575257564,42,42
1575259825,43,43
1575261643,45,45
1575263554,45,45
1575265466,46,46
1575267412,44,44
1575269572,45,45
1575271462,48,48
1575273403,53,53
1575275577,55,55
1575277566,58,58
1575279418,60,60
1575281342,62,62
1575283280,64,64
1575285154,65,65
1575289009,65,65
1575291165,66,66
1575293078,67,67
1575301250,69,69
1575303180,69,69
1575306984,70,70
1575308928,68,68
1575310831,67,67
1575312773,68,68
1575316603,68,68
1575318502,69,69
1575320688,70,70
1575322606,69,69
1575324529,68,68
1575330552,70,70
1575332423,70,70
1575334355,71,71
1575336265,70,70
1575338697,74,74
1575340579,71,71
1575342772,76,76
1575344664,76,76
1575346581,75,75
1575348524,75,75
1575350441,70,70
1575352339,72,72
1575354295,72,72
1575356181,76,76
1575358346,72,72
1575360543,70,70
1575362453,69,69
1575364632,70,70
1575366545,66,66
1575368434,64,64
1575370367,64,64
1575372262,65,65
1575374208,65,65
1575376112,65,65
1575378298,63,63
1575380211,64,64
1575382119,68,68
1575387865,68,68
1575389796,68,68
1575393630,66,66
1575395577,67,67
1575397467,68,68
1575399405,67,67
1575401320,68,68
1575403331,70,70
1575405401,71,71
1575407575,72,72
1575411620,73,73
1575415457,75,75
1575417380,74,74
1575419325,75,75
1575421301,74,74
1575423173,75,75
1575425108,72,72
1575427236,71,71
1575429152,70,70
1575431064,71,71
1575433013,72,72
1575434915,70,70
1575438743,72,72
1575440680,71,71
1575442584,68,68
1575444496,67,67
1575447426,71,71
1575449296,71,71
1575451240,66,66
1575453157,68,68
1575455066,67,67
1575456982,64,64
1575459154,63,63
1575461320,61,61
1575465163,61,61
1575467079,60,60
1575468991,56,56
1575471163,57,57
1575475004,59,59
1575478989,60,60
1575482928,59,59
1575484843,59,59
1575486746,59,59
1575488660,59,59
1575490616,57,57
1575492508,55,55
1575497326,54,54
1575501162,53,53
1575503057,53,53
1575504977,51,51
1575508817,49,49
1575510739,49,49
1575512694,50,50
1575514592,48,48
1575516516,49,49
1575518694,52,52
1575520593,53,53
1575522781,53,53
1575524660,49,49
1575526824,50,50
1575528745,51,51
1575530702,52,52
1575533819,50,50
1575535711,50,50
1575537631,50,50
1575539545,50,50
1575541526,49,49
1575547722,50,50
1575549631,51,51
1575551578,50,50
1575557322,49,49
1575559244,50,50
1575561143,48,48
1575563071,48,48
1575564992,48,48
1575570997,49,49
1575572920,49,49
1575574834,49,49
1575584701,52,52
1575586574,52,52
1575588752,51,51
1575592578,53,53
1575594537,55,55
1575596425,57,57
1575598372,61,61
1575600388,58,58
1575602190,61,61
1575604113,61,61
1575606054,61,61
1575607943,64,64
1575609862,64,64
1575611799,66,66
1575613711,66,66
1575615821,67,67
1575618025,65,65
1575619980,63,63
1575621858,64,64
1575623833,64,64
1575625706,67,67
1575627886,70,70
1575630074,71,71
1575634108,73,73
1575636042,74,74
1575637964,75,75
1575639879,76,76
1575647558,77,77
1575649473,77,77
1575651383,77,77
1575655312,78,78
1575657163,78,78
1575659319,76,76
1575661232,74,74
1575663151,74,74
1575665063,75,75
1575667002,76,76
1575668892,79,79
1575670825,77,77
1575672815,78,78
1575674681,78,78
1575678497,79,79
1575680549,78,78
1575682607,74,74
1575684765,70,70
1575686653,70,70
1575688822,68,68
1575690763,66,66
1575694607,61,61
1575696497,58,58
1575699621,54,54
1575701547,51,51
1575703458,51,51
1575705905,53,53
1575708027,51,51
1575710204,51,51
1575712364,50,50
1575714277,49,49
1575716232,48,48
1575718370,46,46
1575720341,45,45
1575722462,44,44
1575724346,42,42
1575726269,44,44
1575728191,45,45
1575732265,47,47
1575736374,46,46
1575738330,45,45
1575740207,46,46
