DateTime,Entries,UniqueIPs
1574891803,2658,2658
1574893953,2659,2659
1574895947,2648,2648
1574897843,2638,2638
1574899728,2644,2644
1574901629,2610,2610
1574903547,2636,2636
1574905482,2639,2639
1574907384,2642,2642
1574909313,2647,2647
1574911491,2640,2640
1574913901,2638,2638
1574916047,2667,2667
1574917979,2687,2687
1574919878,2701,2701
1574922085,2725,2725
1574923946,2652,2652
1574925879,2606,2606
1574928344,2582,2582
1574930411,2559,2559
1574932619,2538,2538
1574934502,2464,2464
1574936452,2407,2407
1574938353,2433,2433
1574940280,2424,2424
1574942185,2376,2376
1574944123,2343,2343
1574946314,2333,2333
1574948216,2313,2313
1574950111,2306,2306
1574952028,2301,2301
1574953998,2275,2275
1574955876,2266,2266
1574957841,2280,2280
1574959709,2295,2295
1574961666,2298,2298
1574963561,2292,2292
1574965462,2293,2293
1574967400,2276,2276
1574969324,2294,2294
1574971473,2275,2275
1574973621,2254,2254
1574975802,2260,2260
1574977743,2249,2249
1574979866,2267,2267
1574981778,2339,2339
1574983982,2350,2350
1574985963,2347,2347
1574988048,2360,2360
1574990357,2364,2364
1574992356,2365,2365
1574994322,2339,2339
1574996193,2366,2366
1574998262,2387,2387
1575000312,2360,2360
1575002225,2342,2342
1575004131,2341,2341
1575006045,2337,2337
1575007958,2312,2312
1575009865,2314,2314
1575011811,2340,2340
1575013701,2348,2348
1575015623,2372,2372
1575017571,2379,2379
1575019467,2381,2381
1575021408,2393,2393
1575023324,2426,2426
1575025534,2429,2429
1575027435,2422,2422
1575029330,2438,2438
1575031238,2433,2433
1575033160,2433,2433
1575035072,2442,2442
1575038173,2472,2472
1575040184,2463,2463
1575042169,2475,2475
1575044284,2477,2477
1575046405,2490,2490
1575048250,2512,2512
1575050369,2513,2513
1575052421,2543,2543
1575054472,2589,2589
1575056659,2643,2643
1575058696,2699,2699
1575060696,2747,2747
1575062622,2742,2742
1575064574,2772,2772
1575066511,2784,2784
1575068613,2717,2717
1575070576,2751,2751
1575072566,2753,2753
1575074484,2747,2747
1575076338,2746,2746
1575078268,2776,2776
1575080189,2786,2786
1575082340,2787,2787
1575084278,2792,2792
1575086175,2831,2831
1575088343,2908,2908
1575090302,2894,2894
1575092193,2884,2884
1575094103,2894,2894
1575096017,2909,2909
1575097960,2902,2902
1575099863,2917,2917
1575102024,2913,2913
1575103941,2945,2945
1575105930,2966,2966
1575107778,2968,2968
1575109946,2959,2959
1575111817,2956,2956
1575113802,2960,2960
1575115693,2965,2965
1575117619,3010,3010
1575119565,3055,3055
1575121459,3105,3105
1575123379,3130,3130
1575125354,3185,3185
1575127213,3203,3203
1575129151,3215,3215
1575131061,3209,3209
1575133448,3185,3185
1575135381,3183,3183
1575137333,3177,3177
1575139235,3200,3200
1575141152,3161,3161
1575143073,3135,3135
1575145238,3118,3118
1575147140,3111,3111
1575149056,3130,3130
1575150994,3134,3134
1575152893,3143,3143
1575156012,3128,3128
1575157934,3117,3117
1575159871,3093,3093
1575161825,3079,3079
1575163698,3043,3043
1575165720,3010,3010
1575167547,2977,2977
1575169536,2983,2983
1575171424,2979,2979
1575173579,2966,2966
1575175463,2921,2921
1575177385,2918,2918
1575179332,2895,2895
1575181245,2885,2885
1575183197,2863,2863
1575185064,2873,2873
1575187469,2853,2853
1575189637,2829,2829
1575191543,2835,2835
1575193468,2782,2782
1575195398,2779,2779
1575197587,2742,2742
1575199458,2718,2718
1575201404,2680,2680
1575203322,2650,2650
1575205487,2619,2619
1575207397,2540,2540
1575209412,2541,2541
1575211496,2477,2477
1575213388,2436,2436
1575215303,2414,2414
1575217241,2403,2403
1575219165,2400,2400
1575221060,2396,2396
1575223002,2365,2365
1575224896,2330,2330
1575227805,2308,2308
1575229945,2272,2272
1575231871,2231,2231
1575233826,2200,2200
1575235741,2156,2156
1575237848,2097,2097
1575240025,2075,2075
1575241965,2075,2075
1575243858,2067,2067
1575245797,2057,2057
1575247741,2037,2037
1575249620,2019,2019
1575251539,2002,2002
1575253530,2003,2003
1575255374,1978,1978
1575257565,1974,1974
1575259828,1977,1977
1575261644,1965,1965
1575263556,1939,1939
1575265467,1952,1952
1575267413,1948,1948
1575269574,1974,1974
1575271464,1989,1989
1575273406,1992,1992
1575275578,1987,1987
1575277569,1974,1974
1575279420,1983,1983
1575281344,2002,2002
1575283282,1990,1990
1575285155,1997,1997
1575287114,2026,2026
1575289010,2045,2045
1575291166,2078,2078
1575293079,2111,2111
1575295025,2139,2139
1575296928,2101,2101
1575299134,2120,2120
1575301251,2108,2108
1575304345,2110,2110
1575306536,2127,2127
1575308468,2132,2132
1575310384,2143,2143
1575312274,2140,2140
1575314233,2162,2162
1575316126,2201,2201
1575318038,2265,2265
1575319939,2333,2333
1575322133,2416,2416
1575324991,2502,2502
1575326915,2534,2534
1575328824,2567,2567
1575330771,2595,2595
1575332663,2599,2599
1575334574,2625,2625
1575336518,2657,2657
1575338700,2661,2661
1575340580,2688,2688
1575342773,2710,2710
1575344666,2725,2725
1575346582,2754,2754
1575348525,2746,2746
1575350442,2794,2794
1575352340,2812,2812
1575354296,2844,2844
1575356182,2873,2873
1575358347,2861,2861
1575360545,2870,2870
1575362454,2882,2882
1575364633,2883,2883
1575366546,2869,2869
1575368436,2865,2865
1575370368,2865,2865
1575372263,2874,2874
1575374219,2869,2869
1575376113,2912,2912
1575378300,2894,2894
1575380212,2910,2910
1575382120,2936,2936
1575384028,2925,2925
1575385971,2935,2935
1575387867,2973,2973
1575389797,3017,3017
1575391751,3061,3061
1575393632,3074,3074
1575395578,3112,3112
1575397479,3167,3167
1575399406,3183,3183
1575401321,3170,3170
1575403376,3172,3172
1575405402,3153,3153
1575407576,3120,3120
1575409464,3111,3111
1575411621,3081,3081
1575413561,3061,3061
1575415458,3059,3059
1575417382,3056,3056
1575419327,3079,3079
1575421377,3081,3081
1575423642,3069,3069
1575425537,3070,3070
1575427476,3082,3082
1575429655,3071,3071
1575431545,3102,3102
1575433477,3075,3075
1575435372,3087,3087
1575437301,3084,3084
1575439357,3140,3140
1575441211,3114,3114
1575443187,3123,3123
1575445215,3105,3105
1575447430,3104,3104
1575449321,3109,3109
1575451242,3106,3106
1575453159,3113,3113
1575455084,3128,3128
1575456983,3142,3142
1575459157,3137,3137
1575461321,3122,3122
1575463222,3106,3106
1575465166,3108,3108
1575467082,3060,3060
1575468992,3066,3066
1575471165,3077,3077
1575473094,3082,3082
1575475028,3105,3105
1575477149,3080,3080
1575479069,3115,3115
1575480989,3074,3074
1575482929,3050,3050
1575484845,3037,3037
1575486748,3027,3027
1575488661,3053,3053
1575490618,3039,3039
1575492510,3035,3035
1575494475,3039,3039
1575496339,3035,3035
1575498287,3031,3031
1575500201,3040,3040
1575502379,3073,3073
1575504506,3047,3047
1575506418,3056,3056
1575508365,3046,3046
1575510257,3040,3040
1575512176,3039,3039
1575514137,3031,3031
1575516048,3024,3024
1575517961,3022,3022
1575519878,3004,3004
1575521779,2980,2980
1575523694,2975,2975
1575525764,2946,2946
1575527798,2962,2962
1575529994,3023,3023
1575531862,2992,2992
1575533820,3018,3018
1575535712,2961,2961
1575537632,2957,2957
1575539546,2951,2951
1575541527,2938,2938
1575543383,2951,2951
1575545556,2967,2967
1575547723,2976,2976
1575549632,2970,2970
1575551596,2984,2984
1575553547,3007,3007
1575555432,2974,2974
1575557323,2957,2957
1575559245,2937,2937
1575561144,2914,2914
1575563072,2919,2919
1575564993,2919,2919
1575566910,2911,2911
1575569119,2948,2948
1575570998,2979,2979
1575572921,3014,3014
1575574835,3029,3029
1575577019,3044,3044
1575578948,3062,3062
1575580818,3062,3062
1575582753,3046,3046
1575584702,3065,3065
1575586575,3084,3084
1575588753,3045,3045
1575590775,3072,3072
1575592579,3071,3071
1575594538,3074,3074
1575596426,3072,3072
1575598373,3064,3064
1575600389,3083,3083
1575602191,3117,3117
1575604114,3166,3166
1575606055,3083,3083
1575607944,3095,3095
1575609863,3118,3118
