DateTime,Entries,UniqueIPs
1574895947,1053,1053
1574897844,1061,1061
1574899729,1058,1058
1574901629,1058,1058
1574903548,1064,1064
1574905483,1076,1076
1574907385,1094,1094
1574909314,1089,1089
1574911492,1076,1076
1574913901,1095,1095
1574916047,1113,1113
1574917980,1124,1124
1574919880,1127,1127
1574922085,1133,1133
1574923947,1121,1121
1574925879,1111,1111
1574928345,1098,1098
1574930428,1055,1055
1574932620,1010,1010
1574934503,997,997
1574936453,973,973
1574938353,957,957
1574940281,943,943
1574942186,928,928
1574944123,903,903
1574946315,884,884
1574948217,863,863
1574950112,859,859
1574952029,832,832
1574953999,816,816
1574955877,802,802
1574957842,808,808
1574959709,798,798
1574961667,783,783
1574963583,769,769
1574965463,756,756
1574967401,742,742
1574969324,722,722
1574971473,696,696
1574973621,681,681
1574975803,648,648
1574977743,623,623
1574979867,600,600
1574981779,586,586
1574983983,581,581
1574985964,604,604
1574988048,622,622
1574990358,629,629
1574992357,729,729
1574994323,781,781
1574996194,772,772
1574998263,752,752
1575000339,730,730
1575002226,711,711
1575004132,719,719
1575006045,769,769
1575007959,816,816
1575009865,822,822
1575011812,832,832
1575013702,841,841
1575015624,859,859
1575017572,899,899
1575019467,960,960
1575021409,1034,1034
1575023324,1043,1043
1575025534,1069,1069
1575027435,1075,1075
1575029331,1081,1081
1575031239,1096,1096
1575033161,1109,1109
1575035073,1140,1140
1575038175,1207,1207
1575040185,1229,1229
1575042181,1241,1241
1575044288,1244,1244
1575046417,1254,1254
1575048276,1252,1252
1575050372,1276,1276
1575052422,1298,1298
1575054473,1377,1377
1575056663,1458,1458
1575058696,1471,1471
1575060698,1488,1488
1575062624,1499,1499
1575064574,1544,1544
1575066511,1553,1553
1575068677,1572,1572
1575070576,1579,1579
1575072567,1556,1556
1575074484,1554,1554
1575076339,1571,1571
1575078269,1512,1512
1575080190,1455,1455
1575082341,1451,1451
1575084279,1455,1455
1575086176,1463,1463
1575089327,1467,1467
1575091220,1425,1425
1575093137,1366,1366
1575095113,1329,1329
1575096991,1330,1330
1575098895,1306,1306
1575100995,1279,1279
1575102992,1264,1264
1575104909,1193,1193
1575106850,1121,1121
1575108768,1077,1077
1575110663,1057,1057
1575112830,1027,1027
1575114733,1012,1012
1575116679,999,999
1575118591,986,986
1575120501,953,953
1575122679,902,902
1575124602,850,850
1575126532,828,828
1575128443,809,809
1575130377,796,796
1575132304,819,819
1575134447,872,872
1575136343,859,859
1575138287,840,840
1575140178,768,768
1575142101,681,681
1575144271,618,618
1575146445,594,594
1575148599,587,587
1575150746,545,545
1575152661,517,517
1575154597,499,499
1575156756,481,481
1575158928,470,470
1575160819,456,456
1575162743,437,437
1575164687,427,427
1575166830,417,417
1575168736,401,401
1575170685,395,395
1575173122,391,391
1575175004,390,390
1575176926,388,388
1575178821,385,385
1575180779,396,396
1575182786,401,401
1575184613,401,401
1575186506,401,401
1575188438,406,406
1575190354,398,398
1575192263,395,395
1575194199,386,386
1575196115,387,387
1575198283,415,415
1575200178,474,474
1575202125,519,519
1575204089,513,513
1575206208,510,510
1575208132,527,527
1575210020,560,560
1575211980,597,597
1575213860,618,618
1575215801,606,606
1575217698,582,582
1575219918,521,521
1575222044,475,475
1575223942,474,474
1575225889,475,475
1575227805,522,522
1575229946,597,597
1575231872,634,634
1575233827,636,636
1575235741,612,612
1575237855,613,613
1575240026,610,610
1575241966,610,610
1575243858,614,614
1575245797,683,683
1575247741,798,798
1575249621,810,810
1575251540,808,808
1575253531,812,812
1575255375,818,818
1575257566,815,815
1575259828,811,811
1575261645,811,811
1575263557,813,813
1575265468,881,881
1575267414,948,948
1575269574,977,977
1575271465,976,976
1575273407,973,973
1575275579,978,978
1575277570,985,985
1575279420,987,987
1575281345,986,986
1575283283,991,991
1575285156,956,956
1575287117,915,915
1575289011,881,881
1575291167,891,891
1575293080,896,896
1575295026,888,888
1575296928,885,885
1575299135,875,875
1575301252,894,894
1575303234,962,962
1575305062,999,999
1575306986,1021,1021
1575308930,1043,1043
1575310832,1062,1062
1575312775,1064,1064
1575314692,998,998
1575316605,938,938
1575318503,911,911
1575320691,980,980
1575322608,1056,1056
1575324532,1093,1093
1575326435,1167,1167
1575328619,1269,1269
1575330573,1335,1335
1575332425,1324,1324
1575334356,1279,1279
1575336266,1337,1337
1575338708,1350,1350
1575340581,1357,1357
1575342774,1359,1359
1575344666,1368,1368
1575346583,1373,1373
1575348526,1413,1413
1575350442,1413,1413
1575352341,1439,1439
1575354298,1455,1455
1575356183,1469,1469
1575358348,1469,1469
1575360546,1462,1462
1575362455,1468,1468
1575364634,1460,1460
1575366547,1462,1462
1575368436,1466,1466
1575370369,1471,1471
1575372264,1502,1502
1575374220,1516,1516
1575376114,1506,1506
1575378301,1510,1510
1575380213,1518,1518
1575382121,1518,1518
