DateTime,Entries,UniqueIPs
1574893955,949,949
1574895948,965,965
1574897844,969,969
1574899729,964,964
1574901630,963,963
1574903548,959,959
1574905483,944,944
1574907385,944,944
1574909314,912,912
1574911493,894,894
1574913902,899,899
1574916047,884,884
1574917980,868,868
1574919881,852,852
1574922086,843,843
1574923947,873,873
1574925880,921,921
1574928345,930,930
1574930428,926,926
1574932621,928,928
1574934503,924,924
1574936453,928,928
1574938354,927,927
1574940281,932,932
1574942186,931,931
1574944124,933,933
1574946316,926,926
1574948217,925,925
1574950113,934,934
1574952029,947,947
1574954000,954,954
1574955877,949,949
1574957843,959,959
1574959710,956,956
1574961667,930,930
1574963583,932,932
1574965463,948,948
1574967401,959,959
1574969325,955,955
1574971474,948,948
1574973622,956,956
1574975804,953,953
1574977744,966,966
1574979867,943,943
1574981779,939,939
1574984002,937,937
1574985965,936,936
1574988049,931,931
1574990359,934,934
1574992357,939,939
1574994324,928,928
1574996194,927,927
1574998263,920,920
1575000340,912,912
1575002226,906,906
1575004132,905,905
1575006046,907,907
1575007959,902,902
1575009887,890,890
1575011812,821,821
1575013702,787,787
1575015624,780,780
1575017572,774,774
1575019468,764,764
1575021409,753,753
1575023325,743,743
1575025535,740,740
1575027436,731,731
1575029332,720,720
1575031239,705,705
1575033161,700,700
1575036180,708,708
1575038182,699,699
1575040185,690,690
1575042182,686,686
1575044301,685,685
1575046418,679,679
1575048294,682,682
1575050373,675,675
1575052423,665,665
1575054473,660,660
1575056677,651,651
1575058697,664,664
1575060699,654,654
1575062664,640,640
1575064575,642,642
1575066512,654,654
1575068699,663,663
1575070577,670,670
1575072567,684,684
1575074485,685,685
1575076339,682,682
1575078269,673,673
1575080190,672,672
1575082342,681,681
1575084279,689,689
1575086176,689,689
1575088373,709,709
1575090304,732,732
1575092194,732,732
1575094103,727,727
1575096018,725,725
1575097961,722,722
1575099864,724,724
1575102025,725,725
1575103941,739,739
1575105930,763,763
1575107779,781,781
1575109947,782,782
1575111844,772,772
1575113803,792,792
1575115694,794,794
1575117619,800,800
1575119566,802,802
1575121459,793,793
1575123380,791,791
1575125355,787,787
1575127213,788,788
1575129152,772,772
1575131061,759,759
1575133472,774,774
1575135382,772,772
1575137333,774,774
1575139250,778,778
1575141153,771,771
1575143073,770,770
1575145239,775,775
1575147141,768,768
1575149056,771,771
1575150995,758,758
1575152894,740,740
1575154893,715,715
1575156756,698,698
1575158929,697,697
1575160819,699,699
1575162746,718,718
1575164687,719,719
1575166830,728,728
1575168737,729,729
1575170685,721,721
1575173125,711,711
1575175005,678,678
1575176927,662,662
1575178822,683,683
1575180779,695,695
1575182786,706,706
1575184613,721,721
1575186507,717,717
1575188438,711,711
1575190355,702,702
1575192263,691,691
1575194199,692,692
1575196116,693,693
1575198284,704,704
1575200178,679,679
1575202125,685,685
1575204089,680,680
1575206209,681,681
1575208133,678,678
1575210020,688,688
1575211980,692,692
1575213860,695,695
1575215802,706,706
1575217699,716,716
1575219918,705,705
1575222044,718,718
1575223943,723,723
1575225890,715,715
1575227806,708,708
1575229947,702,702
1575231873,686,686
1575233828,686,686
1575235742,686,686
1575237856,698,698
1575240026,720,720
1575241967,733,733
1575243859,737,737
1575245798,743,743
1575247742,733,733
1575249622,724,724
1575251541,796,796
1575253532,810,810
1575255375,838,838
1575257566,850,850
1575259830,858,858
1575261646,872,872
1575263557,877,877
1575265468,858,858
1575267414,853,853
1575269575,839,839
