DateTime,Entries,UniqueIPs
1574563935,32,32
1574565876,32,32
1574567789,33,33
1574569722,31,31
1574571809,32,32
1574574018,31,31
1574575945,33,33
1574577864,34,34
1574581958,34,34
1574587509,34,34
1574591546,34,34
1574593705,34,34
1574595652,34,34
1574597820,33,33
1574599959,31,31
1574603811,29,29
1574605695,28,28
1574607857,29,29
1574609792,28,28
1574613625,27,27
1574615565,26,26
1574619384,25,25
1574621329,27,27
1574623231,28,28
1574628971,29,29
1574630925,28,28
1574633077,28,28
1574637179,28,28
1574639055,29,29
1574641267,28,28
1574643194,26,26
1574645081,27,27
1574647000,27,27
1574648916,26,26
1574651106,26,26
1574653228,25,25
1574655157,26,26
1574657090,24,24
1574661150,22,22
1574663088,21,21
1574667149,21,21
1574671488,20,20
1574673654,19,19
1574677496,17,17
1574679409,16,16
1574685645,17,17
1574691413,20,20
1574693335,19,19
1574695241,18,18
1574697175,19,19
1574699113,20,20
1574701015,21,21
1574703186,20,20
1574707230,19,19
1574709439,18,18
1574711315,19,19
1574717097,20,20
1574718985,22,22
1574721157,25,25
1574723185,26,26
1574725013,26,26
1574730791,27,27
1574732678,27,27
1574736645,27,27
1574738688,28,28
1574740610,29,29
1574742759,29,29
1574744718,29,29
1574746604,31,31
1574748519,32,32
1574752370,35,35
1574754263,34,34
1574765811,35,35
1574767703,36,36
1574771819,35,35
1574775675,36,36
1574777585,35,35
1574779582,35,35
1574781430,36,36
1574783580,35,35
1574785476,36,36
1574788615,35,35
1574790523,36,36
1574792492,37,37
1574794429,38,38
1574796321,38,38
1574798207,39,39
1574800381,40,40
1574802535,41,41
1574804449,39,39
1574806353,39,39
1574808281,39,39
1574810211,39,39
1574812179,38,38
1574815948,40,40
1574817891,41,41
1574819783,40,40
1574821971,39,39
1574824011,40,40
1574826027,38,38
1574827966,39,39
1574829876,39,39
1574832070,39,39
1574833961,38,38
1574835887,37,37
1574839724,34,34
1574844035,35,35
1574851713,34,34
1574853892,33,33
1574858461,32,32
1574864212,33,33
1574866362,31,31
1574868273,30,30
1574872373,29,29
1574874327,28,28
1574876221,27,27
1574878113,28,28
1574880044,26,26
1574883871,24,24
1574887967,24,24
1574889895,23,23
1574891805,22,22
1574893957,21,21
1574897846,20,20
1574901632,22,22
1574903550,19,19
1574909316,18,18
1574913904,16,16
1574917982,14,14
1574922087,13,13
1574923949,14,14
1574925881,15,15
1574930430,14,14
1574936464,15,15
1574938355,16,16
1574940283,18,18
1574946318,17,17
1574950115,18,18
1574954002,18,18
1574955883,19,19
1574957845,18,18
1574959712,20,20
1574963585,19,19
1574969326,21,21
1574971477,23,23
1574973624,22,22
1574979869,23,23
1574981781,22,22
1574984026,22,22
1574988050,20,20
1574990361,21,21
1574998273,23,23
1575000343,26,26
1575004134,27,27
1575006047,28,28
1575009893,28,28
1575011814,29,29
1575013704,29,29
1575015626,30,30
1575019470,32,32
1575023326,31,31
1575025537,29,29
1575027437,29,29
1575031241,30,30
1575038197,30,30
1575040187,30,30
1575042227,29,29
1575044323,30,30
1575046458,29,29
1575051430,32,32
1575057857,28,28
1575059703,29,29
1575061546,30,30
1575069411,30,30
1575075133,31,31
1575077320,30,30
1575079400,29,29
1575083571,29,29
1575085458,28,28
1575087625,27,27
1575089539,28,28
1575091510,27,27
1575095307,26,26
1575097483,27,27
1575099402,27,27
1575101352,27,27
1575103220,26,26
1575105162,28,28
1575107063,26,26
1575111139,27,27
1575113088,25,25
1575114976,24,24
1575117150,25,25
1575119316,24,24
1575121229,25,25
1575123198,25,25
1575125056,24,24
1575127012,25,25
1575130844,23,23
1575132759,25,25
1575134695,27,27
1575136615,29,29
1575140926,30,30
1575144777,31,31
1575146674,29,29
1575148600,30,30
1575150747,29,29
1575152662,30,30
1575156758,30,30
1575160821,31,31
1575162747,31,31
1575166832,34,34
1575170687,33,33
1575173139,31,31
1575175007,30,30
1575176929,31,31
1575178823,30,30
1575180780,31,31
1575184615,30,30
1575186508,31,31
1575188440,32,32
1575190356,31,31
1575198286,30,30
1575200180,33,33
1575202126,35,35
1575204091,36,36
1575208134,36,36
1575213862,35,35
