DateTime,Entries,UniqueIPs
1574899730,6370,6370
1574901631,6331,6331
1574903549,6341,6341
1574905484,6320,6320
1574907386,6276,6276
1574909315,6257,6257
1574911494,6207,6207
1574913903,6602,6602
1574916049,6619,6619
1574917981,6617,6617
1574919882,6617,6617
1574922087,6618,6618
1574923949,6629,6629
1574925881,6622,6622
1574928347,6607,6607
1574930430,6750,6750
1574932622,6878,6878
1574934504,6943,6943
1574936463,6963,6963
1574938355,6995,6995
1574940282,6970,6970
1574942187,7003,7003
1574944125,7003,7003
1574946317,6995,6995
1574948218,6984,6984
1574950115,7107,7107
1574952031,7080,7080
1574954001,7067,7067
1574955879,7084,7084
1574957844,7303,7303
1574959711,7320,7320
1574961668,7284,7284
1574963584,7436,7436
1574965464,7575,7575
1574967402,7713,7713
1574969326,7759,7759
1574971476,7810,7810
1574973624,7884,7884
1574975805,7917,7917
1574977745,7994,7994
1574979869,8063,8063
1574981780,8092,8092
1574984025,8096,8096
1574985966,8146,8146
1574988050,8198,8198
1574990360,8253,8253
1574992358,8324,8324
1574994325,8364,8364
1574996195,8398,8398
1574998272,8445,8445
1575000342,8499,8499
1575002228,8528,8528
1575004133,8554,8554
1575006047,8563,8563
1575007960,8590,8590
1575009892,8632,8632
1575011814,8680,8680
1575013703,8891,8891
1575015626,9069,9069
1575017573,8874,8874
1575019469,8610,8610
1575021411,8554,8554
1575023326,8528,8528
1575025537,8517,8517
1575027437,8486,8486
1575029333,8484,8484
1575031241,8508,8508
1575033163,8539,8539
1575035124,8515,8515
1575038195,8525,8525
1575040187,8533,8533
1575042223,8562,8562
1575044307,8563,8563
1575046441,8580,8580
1575048295,8597,8597
1575050392,8569,8569
1575052442,8562,8562
1575054475,8547,8547
1575056702,8590,8590
1575058698,8587,8587
1575060720,8578,8578
1575062679,8563,8563
1575064576,8562,8562
1575066513,8553,8553
1575068727,8533,8533
1575070580,8530,8530
1575072569,8514,8514
1575074486,8491,8491
1575076341,8463,8463
1575078270,8442,8442
1575080191,8428,8428
1575082343,8440,8440
1575084281,8416,8416
1575086177,8410,8410
1575088375,8589,8589
1575090305,9674,9674
1575092195,9666,9666
1575094104,9654,9654
1575096029,9640,9640
1575097962,9607,9607
