DateTime,Entries,UniqueIPs
1574897846,2608,2608
1574899731,2648,2648
1574901632,2647,2647
1574903550,2651,2651
1574905485,2632,2632
1574907387,2610,2610
1574909316,2602,2602
1574911495,2561,2561
1574913905,2541,2541
1574916050,2549,2549
1574917983,2547,2547
1574919883,2547,2547
1574922088,2560,2560
1574923950,2561,2561
1574925882,2568,2568
1574928347,2559,2559
1574930432,2605,2605
1574932623,2639,2639
1574934506,2666,2666
1574936465,2664,2664
1574938356,2633,2633
1574940283,2609,2609
1574942188,2585,2585
1574944126,2580,2580
1574946319,2560,2560
1574948219,2539,2539
1574950116,2523,2523
1574952031,2502,2502
1574954002,2483,2483
1574955884,2496,2496
1574957845,2563,2563
1574959712,2547,2547
1574961674,2509,2509
1574963586,2583,2583
1574965465,2644,2644
1574967403,2684,2684
1574969327,2713,2713
1574971479,2746,2746
1574973625,2748,2748
1574975806,2693,2693
1574977746,2730,2730
1574979870,2750,2750
1574981781,2755,2755
1574984026,2731,2731
1574985968,2744,2744
1574988051,2770,2770
1574990362,2798,2798
1574992359,2840,2840
1574994326,2871,2871
1574996196,2889,2889
1574998274,2920,2920
1575000344,2948,2948
1575002228,2955,2955
1575004134,2951,2951
1575006048,2965,2965
1575007961,2984,2984
1575009894,3014,3014
1575011815,3037,3037
1575013704,3415,3415
1575015627,3742,3742
1575017574,3818,3818
1575019470,3823,3823
1575021412,3795,3795
1575023327,3779,3779
1575025538,3820,3820
1575027438,3856,3856
1575029335,3883,3883
1575031242,3918,3918
1575033164,3951,3951
1575035131,3994,3994
1575038203,4037,4037
1575040188,4071,4071
1575042246,4073,4073
1575044323,4058,4058
1575046460,4080,4080
1575048317,4106,4106
1575051431,4088,4088
1575053311,4070,4070
1575055436,4045,4045
1575057875,4058,4058
1575059708,4080,4080
1575061549,4082,4082
1575063403,4098,4098
1575065334,4100,4100
1575067236,4103,4103
1575069411,4072,4072
1575071311,4081,4081
1575073248,4064,4064
1575075133,4074,4074
1575077321,4070,4070
1575079400,4074,4074
1575081642,4079,4079
1575083571,4076,4076
1575085458,4076,4076
1575087625,4078,4078
1575089540,4091,4091
1575091510,4097,4097
1575093386,4094,4094
1575095308,4091,4091
1575097485,4086,4086
1575099402,3864,3864
1575101353,3534,3534
1575103221,3296,3296
1575105163,3300,3300
1575107063,3316,3316
1575109229,3322,3322
1575111140,3352,3352
1575113088,3335,3335
1575114977,3334,3334
1575117150,3321,3321
1575119316,3296,3296
1575121229,3313,3313
1575123199,3308,3308
1575125057,3307,3307
1575127013,3308,3308
1575128936,3310,3310
1575130845,3309,3309
1575132760,3332,3332
1575134696,3344,3344
1575136615,3328,3328
1575138772,3326,3326
1575140927,3329,3329
1575142816,3312,3312
1575144777,3343,3343
1575146675,3348,3348
1575148600,3343,3343
1575150747,3351,3351
1575152662,3339,3339
1575154599,3337,3337
1575156758,3357,3357
1575158952,3389,3389
1575160822,3446,3446
1575162748,3453,3453
1575164689,3461,3461
1575166832,3438,3438
1575168738,3433,3433
1575170687,3431,3431
1575173141,3446,3446
1575175008,3459,3459
1575176929,3458,3458
1575178824,3493,3493
1575180781,3506,3506
1575182789,3523,3523
1575184615,3552,3552
1575186509,3569,3569
1575188440,3600,3600
1575190357,3613,3613
1575192266,3616,3616
1575194201,3603,3603
1575196118,3570,3570
1575198287,3581,3581
1575200181,3592,3592
1575202127,3589,3589
1575204091,3595,3595
1575206211,3610,3610
1575208135,3659,3659
1575210022,3676,3676
1575211982,3873,3873
1575213863,4478,4478
1575215804,4948,4948
1575217705,4951,4951
1575219921,4935,4935
1575222048,4950,4950
1575223945,4953,4953
1575225892,4971,4971
1575227808,5022,5022
1575229949,5125,5125
1575231875,5163,5163
1575233831,5186,5186
1575235756,5429,5429
1575237862,5603,5603
1575240028,5599,5599
1575241971,5565,5565
1575243861,5526,5526
1575245800,5495,5495
1575247745,5491,5491
1575249625,5496,5496
1575251543,5522,5522
1575253535,5584,5584
1575255378,5629,5629
1575257571,5703,5703
1575259833,5743,5743
1575261649,5758,5758
1575263561,5758,5758
1575265472,5752,5752
1575267429,5746,5746
1575269587,5753,5753
1575271468,5769,5769
1575273411,5791,5791
1575275595,5801,5801
1575277574,5824,5824
1575279425,5880,5880
1575281358,5894,5894
1575283286,5893,5893
1575285160,5911,5911
1575287123,5928,5928
1575289015,5960,5960
1575291172,5982,5982
1575293084,5999,5999
1575295031,5977,5977
1575296941,5972,5972
1575299139,5734,5734
1575301257,4931,4931
1575303239,4958,4958
1575305068,4976,4976
1575306989,4970,4970
1575308934,4962,4962
1575310836,4943,4943
1575312780,4958,4958
1575314695,4925,4925
1575316610,4899,4899
1575318507,4919,4919
1575320696,4961,4961
1575322611,4847,4847
1575324536,4899,4899
1575326439,4930,4930
1575328624,4945,4945
1575330577,4973,4973
1575332429,5000,5000
1575334361,5038,5038
1575336270,5058,5058
1575338742,5035,5035
1575340585,5044,5044
1575342777,5019,5019
1575344670,5016,5016
1575346586,5043,5043
1575348529,5047,5047
1575350455,5038,5038
1575352344,5044,5044
1575354301,5049,5049
1575356186,5031,5031
1575358351,5030,5030
1575360559,5029,5029
1575362458,5044,5044
1575364637,5055,5055
1575366550,5050,5050
1575368439,5055,5055
1575370374,5047,5047
1575372267,5035,5035
1575374225,5015,5015
1575376116,5045,5045
1575378327,5074,5074
1575380216,5063,5063
1575382124,5067,5067
1575384032,5065,5065
1575385975,5087,5087
1575387871,5406,5406
1575389801,6006,6006
1575391755,7104,7104
1575393637,7643,7643
1575395583,7668,7668
1575397483,7685,7685
1575399411,7697,7697
1575401347,7600,7600
1575403480,7597,7597
1575405413,7574,7574
1575407580,7529,7529
1575409469,7546,7546
1575411625,7561,7561
1575413564,7591,7591
1575415462,7618,7618
1575417385,7654,7654
1575419330,7656,7656
1575421422,7941,7941
1575423646,9765,9765
1575425541,11425,11425
1575427488,13011,13011
1575429660,14665,14665
1575431549,16299,16299
1575433481,17868,17868
1575435377,19773,19773
1575437306,21197,21197
1575439496,22860,22860
1575441642,23839,23839
1575443560,23839,23839
1575445483,23830,23830
1575447436,23746,23746
1575449326,23741,23741
1575451248,23739,23739
1575453164,23741,23741
1575455108,23752,23752
1575456996,23761,23761
1575459170,23764,23764
1575461326,23744,23744
1575463228,23715,23715
1575465179,23703,23703
1575467097,23697,23697
1575468997,23697,23697
1575471170,23686,23686
1575473121,23651,23651
1575475085,23408,23408
1575477174,22441,22441
1575479126,21520,21520
1575480993,21453,21453
1575482934,21455,21455
1575484860,21450,21450
1575486755,21440,21440
1575488666,21427,21427
1575490622,21421,21421
1575492514,21413,21413
1575494479,21407,21407
1575496344,21380,21380
1575498291,21361,21361
1575500207,21354,21354
1575502383,21331,21331
1575504535,21325,21325
1575506422,21378,21378
1575508369,20702,20702
1575510261,19053,19053
1575512180,17429,17429
1575514140,15664,15664
1575516053,14235,14235
1575517964,12555,12555
1575519891,10967,10967
1575521804,9033,9033
1575523698,7549,7549
1575525858,5816,5816
1575527801,4810,4810
1575530005,4811,4811
1575531875,4803,4803
1575533833,4805,4805
1575535717,4804,4804
1575537645,4811,4811
1575539549,4804,4804
1575541531,4792,4792
1575543386,4772,4772
1575545560,4792,4792
1575547726,4780,4780
1575549636,4793,4793
1575551600,4803,4803
1575553551,4819,4819
1575555435,4854,4854
1575557352,4866,4866
1575559249,4852,4852
1575561148,4799,4799
1575563076,4761,4761
1575564997,4759,4759
1575566913,4744,4744
1575569123,4720,4720
1575571002,4715,4715
1575572948,4704,4704
1575574839,4705,4705
1575577038,4704,4704
1575578952,4718,4718
1575580821,4713,4713
1575582757,4723,4723
1575584707,4721,4721
1575586579,4717,4717
1575588756,4716,4716
1575590779,4710,4710
1575592582,4716,4716
1575594541,4711,4711
1575596429,4702,4702
1575598376,4731,4731
1575600392,4729,4729
1575602195,4721,4721
1575604117,4712,4712
1575606058,4718,4718
1575607947,4715,4715
1575609866,4720,4720
1575611807,4730,4730
1575613716,4771,4771
1575615889,4794,4794
1575618033,4783,4783
1575620012,4799,4799
1575621866,4546,4546
1575623839,4533,4533
1575625714,4533,4533
1575627890,4553,4553
1575630269,4553,4553
1575632221,4742,4742
1575634116,4745,4745
1575636049,4726,4726
1575637969,4735,4735
1575639884,4729,4729
1575641776,4633,4633
1575643703,4616,4616
1575645619,4604,4604
1575647564,4605,4605
1575649480,4611,4611
1575651400,4638,4638
1575653306,4664,4664
1575655460,4669,4669
1575657408,4670,4670
1575659335,4669,4669
1575661237,4677,4677
1575663157,4672,4672
1575665070,4676,4676
1575667007,4666,4666
1575668897,4676,4676
1575670832,4707,4707
1575672831,4718,4718
1575674686,4713,4713
1575676597,4723,4723
1575678501,4711,4711
1575680685,4728,4728
1575682614,4746,4746
1575684772,4708,4708
1575686659,4695,4695
1575688829,4701,4701
1575690769,4698,4698
1575692697,4746,4746
1575694633,4776,4776
1575696504,4793,4793
1575698621,4831,4831
1575700593,4939,4939
1575702521,4957,4957
1575704466,4938,4938
1575706590,4916,4916
1575708503,4928,4928
1575710431,4930,4930
1575712371,4914,4914
1575714293,4927,4927
1575716241,4954,4954
1575718385,4753,4753
1575720359,4740,4740
1575722469,4722,4722
1575724351,4704,4704
1575726275,4703,4703
1575728212,4676,4676
1575730370,4666,4666
1575732270,4640,4640
1575734232,4613,4613
1575736379,4601,4601
1575738336,4599,4599
1575740213,4601,4601
1575742128,4578,4578
1575744050,4541,4541
1575746221,4513,4513
1575748364,4470,4470
1575750303,4444,4444
1575752196,4388,4388
1575754396,4844,4844
1575756359,5002,5002
1575758216,5009,5009
1575760384,4985,4985
1575762288,4971,4971
1575764473,4974,4974
1575766354,5003,5003
1575768279,4996,4996
1575770216,5037,5037
1575772112,5108,5108
1575774393,5187,5187
1575776470,5316,5316
1575778375,5295,5295
1575780343,5260,5260
1575782436,5256,5256
1575784343,5267,5267
1575786270,5174,5174
1575788182,5181,5181
1575790107,5244,5244
1575792312,5253,5253
1575794197,5321,5321
1575796384,5354,5354
1575798262,5369,5369
1575800426,5362,5362
1575802348,5334,5334
1575804261,5348,5348
1575806196,5383,5383
1575808099,5435,5435
1575810998,5516,5516
1575813185,5567,5567
1575815058,5562,5562
1575817007,5574,5574
1575818897,5598,5598
1575821083,5607,5607
1575823232,6147,6147
1575825417,6249,6249
1575827344,6487,6487
1575829242,7171,7171
1575831406,7521,7521
1575833325,7634,7634
1575836453,7727,7727
1575838353,7791,7791
1575840271,7742,7742
1575842217,7705,7705
1575844112,7725,7725
1575847004,7742,7742
1575848935,7765,7765
1575850836,7777,7777
1575852769,7822,7822
1575854703,7886,7886
1575856618,7897,7897
1575858513,7897,7897
1575860758,7833,7833
1575862615,7801,7801
1575864767,7797,7797
1575866657,7800,7800
1575868824,7806,7806
1575870753,7796,7796
1575872679,7781,7781
1575874583,7761,7761
1575876758,7776,7776
1575878914,7786,7786
1575880863,7810,7810
1575882756,7813,7813
1575884684,7831,7831
1575886601,7863,7863
1575888525,7877,7877
1575890460,7718,7718
