DateTime,Entries,UniqueIPs
1574895951,86,86
1574897847,85,85
1574899732,86,86
1574901633,83,83
1574903551,82,82
1574905486,81,81
1574907388,78,78
1574909317,79,79
1574911496,77,77
1574913905,80,80
1574916051,81,81
1574917983,79,79
1574919884,82,82
1574922088,81,81
1574923950,80,80
1574925882,78,78
1574928348,76,76
1574930433,80,80
1574932645,87,87
1574934509,89,89
1574936466,93,93
1574938356,94,94
1574940284,93,93
1574942190,92,92
1574944134,91,91
1574946319,92,92
1574948220,92,92
1574950119,91,91
1574952032,87,87
1574954003,88,88
1574955884,87,87
1574957846,90,90
1574959713,90,90
1574961674,88,88
1574963587,90,90
1574965466,88,88
1574967404,88,88
1574969328,87,87
1574971481,90,90
1574973625,91,91
1574975806,93,93
1574977747,96,96
1574979870,95,95
1574981782,94,94
1574984027,92,92
1574985971,88,88
1574988051,91,91
1574990364,91,91
1574992360,92,92
1574994327,92,92
1574996197,96,96
1574998275,98,98
1575000344,99,99
1575002229,101,101
1575004135,101,101
1575006048,101,101
1575007963,103,103
1575009895,105,105
1575011815,104,104
1575013705,104,104
1575015628,103,103
1575017575,97,97
1575019471,94,94
1575021413,91,91
1575023328,89,89
1575025539,90,90
1575027439,92,92
1575029336,92,92
1575031243,92,92
1575033165,92,92
1575035132,91,91
1575038214,92,92
1575040189,93,93
1575042258,93,93
1575044324,91,91
1575046479,94,94
1575048319,92,92
1575051432,100,100
1575053349,99,99
1575055452,107,107
1575057888,106,106
1575059713,102,102
1575061550,99,99
1575063404,99,99
1575065335,98,98
1575067238,101,101
1575069412,104,104
1575071312,104,104
1575073249,105,105
1575075134,104,104
1575077324,104,104
1575079401,102,102
1575081643,101,101
1575083581,101,101
1575085459,97,97
1575087626,94,94
1575089543,94,94
1575091512,96,96
1575093387,98,98
1575095319,101,101
1575097488,104,104
1575101353,104,104
1575103222,105,105
1575105169,110,110
1575107064,111,111
1575109230,113,113
1575111144,113,113
1575113089,111,111
1575114977,111,111
1575117151,113,113
