DateTime,Entries,UniqueIPs
1574426544,64,64
1574428456,65,65
1574432051,66,66
1574433346,67,67
1574434512,69,69
1574435650,71,71
1574437342,66,66
1574440942,67,67
1574441771,68,68
1574442914,69,69
1574444553,70,70
1574448142,66,66
1574452594,67,67
1574453650,66,66
1574458090,67,67
1574460914,66,66
1574462416,65,65
1574466142,66,66
1574469179,65,65
1574471412,67,67
1574475312,71,71
1574485819,70,70
1574487015,67,67
1574489413,67,67
1574493250,65,65
1574497954,64,64
1574500564,65,65
1574501713,66,66
1574504051,67,67
1574513410,67,67
1574519616,66,66
1574521789,65,65
1574524572,65,65
1574525713,64,64
1574526910,63,63
1574528765,60,60
1574531711,61,61
1574532852,62,62
1574534110,63,63
1574536450,62,62
1574540050,61,61
1574541758,60,60
1574543651,62,62
1574548212,61,61
1574550852,63,63
1574552111,62,62
1574554212,61,61
1574555414,59,59
1574559744,63,63
1574566947,62,62
1574569815,63,63
1574574151,64,64
1574576052,63,63
1574581346,62,62
1574583312,61,61
1574584091,62,62
1574588111,61,61
1574589370,63,63
1574591599,62,62
1574593819,65,65
1574595012,65,65
1574597412,66,66
1574598612,66,66
1574604911,67,67
1574606155,66,66
1574608212,65,65
1574610910,62,62
1574614895,63,63
1574617225,62,62
1574618170,64,64
1574619312,65,65
1574620948,64,64
1574626454,67,67
1574627630,68,68
1574629245,71,71
1574633412,71,71
1574637314,70,70
1574638943,69,69
1574643371,67,67
1574644513,63,63
1574649612,64,64
1574652491,65,65
1574653334,66,66
1574656813,64,64
1574658301,65,65
1574664011,67,67
1574667733,68,68
1574670616,65,65
1574674512,65,65
1574676849,63,63
1574677691,62,62
1574680451,63,63
1574681625,65,65
1574683241,64,64
1574686465,65,65
1574687652,70,70
1574694852,69,69
1574700421,67,67
1574702063,69,69
1574703732,67,67
1574707914,68,68
1574709010,69,69
1574711770,68,68
1574712850,68,68
1574714418,67,67
1574717291,68,68
1574718970,69,69
1574723652,72,72
1574725988,74,74
1574728938,73,73
1574730911,70,70
1574733010,71,71
1574736141,72,72
1574738890,73,73
1574739741,72,72
1574740569,71,71
1574743355,70,70
1574745020,68,68
1574748913,68,68
1574750538,69,69
1574752513,68,68
1574753817,68,68
1574758915,67,67
1574762572,65,65
1574764914,65,65
1574766176,62,62
1574769369,62,62
1574774890,63,63
1574780278,64,64
1574781250,64,64
1574782937,61,61
1574784913,61,61
1574788453,60,60
1574789710,59,59
1574792052,60,60
1574793621,61,61
1574795363,60,60
1574796614,59,59
1574797342,60,60
1574799252,57,57
1574801920,57,57
1574803223,59,59
1574819770,58,58
1574824212,55,55
1574825415,58,58
1574828971,60,60
1574830213,61,61
1574831651,60,60
1574833812,59,59
1574835012,61,61
1574850489,62,62
1574851347,59,59
1574854947,58,58
1574856577,62,62
1574858551,56,56
1574860215,57,57
1574862971,59,59
1574868599,55,55
1574871014,54,54
1574872954,53,53
1574874620,54,54
1574878449,53,53
1574880151,52,52
1574880969,53,53
1574882103,55,55
1574885206,58,58
1574886911,58,58
1574889252,57,57
1574892343,56,56
1574892850,57,57
1574896512,56,56
1574901755,55,55
1574903649,58,58
1574908397,56,56
1574916032,57,57
1574919751,56,56
1574924180,55,55
1574926760,56,56
1574928521,55,55
1574930542,57,57
1574935767,57,57
1574937103,58,58
1574939712,57,57
1574943250,58,58
1574944962,57,57
1574948561,57,57
1574949371,58,58
1574950452,59,59
1574951627,58,58
1574956037,56,56
1574957653,55,55
1574958859,56,56
1574962111,57,57
1574963775,56,56
1574970220,57,57
1574972051,58,58
1574973312,55,55
1574984444,57,57
1574987703,56,56
1574990103,60,60
1574992570,61,61
1574993649,60,60
1574995372,59,59
1574998990,58,58
1575002583,59,59
1575006971,58,58
1575019763,56,56
1575020566,57,57
1575026052,58,58
1575027500,56,56
1575032330,53,53
1575033251,54,54
1575035770,55,55
1575036849,57,57
1575039832,58,58
1575042175,57,57
1575043788,56,56
1575049389,57,57
1575051251,56,56
1575052512,54,54
1575054615,57,57
1575056583,57,57
1575057372,58,58
1575058452,59,59
1575061713,60,60
1575063018,60,60
1575065457,62,62
1575067380,61,61
1575072852,60,60
1575073811,59,59
1575077712,58,58
1575085250,59,59
1575087028,60,60
1575090852,59,59
1575097859,61,61
1575099298,60,60
1575106857,58,58
1575107771,59,59
1575111372,60,60
1575114074,60,60
1575116903,61,61
1575118572,60,60
1575119652,59,59
1575120969,60,60
1575124991,60,60
1575125771,60,60
1575128142,56,56
1575129254,55,55
1575130455,58,58
1575132056,59,59
1575135670,57,57
1575138765,58,58
1575140112,59,59
1575141250,58,58
1575142513,57,57
1575143705,57,57
1575144850,59,59
1575146413,59,59
