DateTime,Entries,UniqueIPs
1575214089,1800,1800
1575215768,1789,1789
1575216912,1789,1789
1575218064,1784,1784
1575220454,1798,1798
1575221708,1801,1801
1575222970,1803,1803
1575224051,1782,1782
1575225262,1789,1789
1575227412,1802,1802
1575229212,1839,1839
1575231019,1840,1840
1575232212,1819,1819
1575234025,1834,1834
1575234850,1843,1843
1575235692,1854,1854
1575237013,1845,1845
1575238451,1850,1850
1575240133,1823,1823
1575241304,1845,1845
1575242411,1850,1850
1575243911,1852,1852
1575244568,1857,1857
1575246490,1858,1858
1575247331,1820,1820
1575249010,1826,1826
1575250297,1838,1838
1575251409,1849,1849
1575252618,1847,1847
1575253689,1865,1865
1575254529,1850,1850
1575255370,1854,1854
1575256449,1850,1850
1575258313,1845,1845
1575259811,1849,1849
1575260889,1851,1851
1575263419,1857,1857
1575264612,1860,1860
1575266130,1862,1862
1575267251,1857,1857
1575268507,1846,1846
1575270850,1846,1846
1575272412,1841,1841
1575274450,1860,1860
1575276013,1862,1862
1575277740,1867,1867
1575278052,1868,1868
1575278891,1869,1869
1575280569,1868,1868
1575281649,1872,1872
1575282749,1869,1869
1575285249,1858,1858
1575286509,1869,1869
1575288145,1859,1859
1575289509,1865,1865
1575290710,1852,1852
1575292211,1844,1844
1575293310,1854,1854
1575295227,1824,1824
1575296411,1833,1833
1575297617,1800,1800
1575298568,1814,1814
1575299713,1824,1824
1575301212,1812,1812
1575303012,1818,1818
1575304930,1808,1808
1575305768,1807,1807
1575306911,1812,1812
1575307688,1811,1811
1575308533,1794,1794
1575310450,1804,1804
1575311289,1809,1809
1575312909,1812,1812
1575314111,1816,1816
1575314891,1827,1827
1575315735,1834,1834
1575316570,1850,1850
1575317648,1841,1841
1575318489,1862,1862
1575320049,1848,1848
1575321312,1827,1827
1575323770,1820,1820
1575324915,1814,1814
1575325690,1820,1820
1575326534,1816,1816
1575327369,1820,1820
1575328448,1826,1826
1575330130,1829,1829
1575330971,1841,1841
1575332111,1836,1836
1575333570,1824,1824
1575335395,1821,1821
1575337212,1821,1821
1575339019,1836,1836
1575340210,1827,1827
1575341714,1826,1826
1575342911,1814,1814
1575343690,1814,1814
1575344531,1801,1801
1575345370,1815,1815
1575347289,1828,1828
1575348818,1813,1813
1575350113,1814,1814
1575351612,1808,1808
1575352837,1814,1814
1575354011,1825,1825
1575355330,1808,1808
1575357248,1809,1809
1575358490,1816,1816
1575359712,1823,1823
1575360851,1820,1820
1575362531,1810,1810
