DateTime,AddedIPs,RemovedIPs
1575221706,28,30
1575222968,31,16
1575224046,21,239
1575225259,103,77
1575227408,90,31
1575229207,77,50
1575231016,64,23
1575232207,50,37
1575234022,57,37
1575234847,63,1
1575235688,213,4
1575237010,148,51
1575238446,53,15
1575240128,52,56
1575241301,28,29
1575242406,35,18
1575243907,41,48
1575244566,19,19
1575246487,46,28
1575247327,17,33
1575249006,49,21
1575250294,43,122
1575251406,34,24
1575252616,35,22
1575253686,49,11
1575254526,26,42
1575255366,38,8
1575256446,49,17
1575258307,103,41
1575259806,34,19
1575260886,25,6
1575263416,64,60
1575264608,32,28
1575266128,21,23
1575267246,23,24
1575268504,43,36
1575270847,55,43
1575272407,25,40
1575274448,47,36
1575276010,39,57
1575277737,65,26
1575278049,21,4
1575278887,38,11
1575280566,54,47
1575281646,42,14
1575282746,40,31
1575285246,72,36
1575286506,31,41
1575288143,43,35
1575289506,21,11
1575290707,35,52
1575292207,37,32
1575293306,36,8
1575295222,40,80
1575296406,18,11
1575297614,40,56
1575298565,29,4
1575299708,31,26
1575301207,33,44
1575303009,102,23
1575304928,80,44
1575305765,22,10
1575306906,26,17
1575307686,13,10
1575308530,16,45
1575310447,37,31
1575311286,17,10
1575312906,33,44
1575314107,34,29
1575314887,31,11
1575315732,22,27
1575316567,25,3
1575317645,30,27
1575318486,19,9
1575320044,39,32
1575321308,52,22
1575323766,122,51
1575324912,66,29
1575325687,24,6
1575326531,32,27
1575327367,25,11
1575328445,39,31
1575330126,42,67
1575330968,19,6
1575332107,29,34
1575333567,43,65
1575335392,48,52
1575337208,44,64
1575339016,51,27
1575340205,31,39
1575341711,39,14
1575342908,33,18
1575343686,18,6
1575344527,30,26
1575345367,32,7
1575347286,49,27
1575348815,53,44
1575350107,27,34
1575351608,41,62
1575352833,27,53
1575354007,23,9
1575355327,26,73
1575357245,43,30
1575358487,28,61
1575359707,33,41
1575360847,28,54
1575362526,40,45
1575363366,24,6
1575364446,34,22
1575365288,24,15
1575366126,25,32
1575366967,25,7
1575368045,25,32
1575369466,26,52
1575369728,6,14
1575371646,59,49
1575372999,21,49
1575374106,30,25
1575375248,80,34
1575376089,90,6
1575377401,125,50
1575378609,50,24
1575379778,28,38
1575380526,23,37
1575382446,41,34
1575384127,38,63
1575386049,44,23
1575386886,22,7
1575388214,46,53
1575389406,25,22
1575391328,68,63
1575393247,67,38
1575394808,57,63
1575396607,44,37
1575398527,59,80
1575400447,46,46
1575401732,44,42
1575404107,44,58
1575405310,32,50
1575406422,28,23
1575407709,27,27
1575408487,17,7
1575410073,40,58
1575412086,39,37
1575413766,50,47
1575414906,31,31
1575415686,24,2
1575417007,39,43
1575418206,38,40
1575419412,24,45
1575420508,40,33
1575421813,30,39
1575422888,32,14
1575425416,84,97
1575426608,36,50
1575428166,35,31
1575430086,42,40
1575432609,56,96
1575433807,21,43
1575436216,59,35
1575437407,27,50
1575438967,38,28
1575440046,11,29
1575440886,15,12
1575441727,29,42
1575443407,42,28
1575444906,49,43
1575446015,34,25
1575447246,50,49
1575448086,20,9
1575449356,35,50
1575450849,30,30
1575451687,24,26
1575453444,57,69
1575454446,24,46
1575455565,37,42
1575456910,23,25
1575458107,29,39
1575459485,29,39
1575461646,51,38
1575463210,28,78
1575465006,39,33
1575466091,23,13
1575466926,20,41
1575468847,26,31
1575469687,13,10
1575470526,18,34
1575472446,135,35
1575473286,59,8
1575474694,77,68
1575475809,45,18
1575476886,27,13
1575479646,73,74
1575481331,39,44
1575482789,42,25
1575483972,29,17
1575485106,35,43
1575486581,27,27
1575487807,26,39
1575489006,30,16
1575490446,31,33
1575491711,25,28
1575492894,19,20
1575494107,26,24
1575495306,18,45
1575496566,28,17
1575497708,21,38
1575499327,42,43
1575501246,35,34
1575502928,40,46
1575503767,24,13
1575504908,19,22
1575506526,37,64
1575507366,23,6
1575508510,26,28
1575510126,36,38
1575510968,21,10
1575512046,22,29
1575513727,42,56
1575515409,45,36
1575516486,22,14
1575518167,54,62
1575519249,23,37
1575520086,22,14
1575520929,31,57
1575521766,15,6
1575522846,31,31
1575524528,40,44
1575525367,22,11
1575526446,46,18
1575527706,19,36
1575528967,29,16
1575530108,28,30
1575531607,41,49
1575533160,32,35
1575534306,27,16
1575535340,41,62
1575537006,39,35
1575538926,47,62
1575539768,13,8
1575540846,26,34
1575542107,29,53
1575542530,5,11
