DateTime,AddedIPs,RemovedIPs
1574828648,27,28
1574830609,35,18
1574832504,26,28
1574834421,32,31
1574836356,37,30
1574838523,24,0
1574840411,38,0
1574842359,24,35
1574844249,30,25
1574846432,21,22
1574848329,28,29
1574850259,30,22
1574852186,30,15
1574854354,37,67
1574858432,32,32
1574860337,38,23
1574862250,29,0
1574864184,31,29
1574866336,27,0
1574868253,35,28
1574870169,37,0
1574872354,30,20
1574874259,23,28
1574876198,26,36
1574878093,22,23
1574880014,21,19
1574881960,27,20
1574883848,34,19
1574886030,35,32
1574889864,37,47
1574891770,34,32
1574893934,22,35
1574896366,29,29
1574898268,28,18
1574900174,25,24
1574902097,35,0
1574904024,20,24
1574905934,31,21
1574907876,31,30
1574909786,17,26
1574911939,22,25
1574914120,21,28
1574916014,19,30
1574917957,19,36
1574919849,27,26
1574922038,22,24
1574925853,30,61
1574930198,25,61
1574932117,28,28
1574934029,21,18
1574936181,8,34
1574938340,18,37
1574940259,10,34
1574942170,19,36
1574944108,29,0
1574946023,18,31
1574947941,26,35
1574950101,15,26
1574952013,28,33
1574953950,24,28
1574955864,28,38
1574957800,24,37
1574959696,37,29
1574961644,31,24
1574963548,27,19
1574965450,28,26
1574967380,38,20
1574969311,39,27
1574971221,33,33
1574973158,26,32
1574975317,23,0
1574977212,32,36
1574979400,38,32
1574981297,28,18
1574983452,18,28
1574985386,20,31
1574989224,21,60
1574992346,24,59
1574994286,18,30
1574996182,18,0
1574998088,30,17
1575000038,19,22
1575004118,20,44
1575006025,20,24
1575007941,31,30
1575009850,33,28
1575011791,33,0
1575013689,25,20
1575015608,40,0
1575017545,37,29
1575019453,17,29
1575021383,33,20
1575023285,17,9
1575025235,39,21
1575027134,36,9
1575029303,31,21
1575031214,22,27
1575033148,37,16
1575035051,40,23
1575036984,31,17
1575039138,28,29
1575041052,36,25
1575042970,45,26
1575045141,32,27
1575047314,30,34
1575049211,37,35
1575051382,29,33
1575053788,32,66
1575055742,32,37
1575057619,32,0
1575059537,26,29
1575063395,28,48
1575065301,34,30
1575069395,30,64
1575071302,39,19
1575073225,32,22
1575077309,28,20
1575079212,34,21
1575081154,37,16
1575083049,27,16
1575084988,40,27
1575087156,29,25
1575089047,34,0
1575091212,31,17
1575093128,32,23
1575095063,31,23
1575100827,28,94
1575102738,28,32
1575104900,27,40
1575108752,17,48
1575110656,21,17
1575112823,16,36
1575114726,22,35
1575116662,22,36
1575118568,20,23
1575120493,31,32
1575122431,23,37
1575124354,30,24
1575128428,24,63
1575130334,29,44
1575134431,30,68
1575136333,26,37
1575138263,26,31
1575140169,29,0
1575142092,39,34
1575144017,37,24
1575148117,37,61
1575150015,32,32
1575153864,29,36
1575155771,20,0
1575157696,36,30
1575159626,35,72
1575163450,39,0
1575165381,26,26
1575167537,29,32
1575169458,36,67
1575171396,31,43
1575173561,31,32
1575175454,36,38
1575177376,35,0
1575179312,31,35
1575181224,24,32
1575183152,28,31
1575185053,40,0
1575187224,30,0
1575189160,33,62
1575191074,38,0
1575193231,21,28
1575195150,8,0
1575197052,11,16
1575198976,16,22
1575201146,33,36
1575203311,34,21
1575205230,29,21
1575207150,30,38
1575209304,28,26
1575211470,26,34
1575213380,49,0
1575215293,29,23
1575219137,24,23
1575221052,35,27
1575222984,22,24
1575224888,34,25
1575226813,26,34
1575228751,30,38
1575230919,36,36
1575232817,37,0
1575234733,37,30
1575236653,30,27
1575238583,25,0
1575240740,24,25
1575242664,33,21
1575244577,19,31
1575246748,16,30
1575250583,20,33
1575252492,19,24
1575254412,26,32
1575256351,24,35
1575258261,24,35
1575260201,30,31
1575265947,32,103
1575267853,28,33
1575269784,18,27
1575271691,21,39
1575273611,17,0
1575275550,18,35
1575277462,24,28
1575279387,18,35
1575281304,11,27
1575283232,8,7
1575285138,28,10
1575287073,24,15
1575288984,22,31
1575291135,27,34
1575293053,28,25
1575294985,22,26
1575296891,27,22
1575298837,23,22
1575300761,35,46
1575302683,31,31
1575304587,31,0
1575306525,31,25
1575308441,32,34
1575310356,29,25
1575312254,35,34
1575314211,30,29
1575316110,27,29
1575318028,29,34
1575319931,21,33
1575322117,31,44
1575325947,24,60
1575328108,28,22
1575330028,13,35
1575331937,20,23
1575333864,31,19
1575335799,20,0
1575337955,20,19
1575340094,24,25
1575342016,32,31
1575343938,31,26
1575347783,45,56
1575349699,40,0
1575351613,44,0
1575353552,44,29
1575357627,36,55
1575360515,34,39
1575362424,33,15
1575364582,23,23
1575366504,36,16
1575368413,31,12
1575370342,28,8
1575372251,24,28
1575374183,22,22
1575376091,32,23
1575378044,19,26
1575379937,27,28
1575382102,29,17
1575384009,36,23
1575387851,22,50
1575389779,27,31
1575393611,23,63
1575395553,30,29
1575397449,22,30
1575399365,27,34
1575401303,22,31
1575405392,18,52
1575407562,21,23
1575409455,28,33
1575413544,17,24
1575415450,19,29
1575417365,24,17
1575419306,21,17
1575421213,16,35
1575423159,19,20
1575425077,26,20
1575427231,30,29
1575429135,21,33
1575431049,24,33
1575432983,23,0
1575434909,30,46
1575438729,11,82
1575440649,18,43
1575442569,25,0
1575444489,20,36
1575446420,29,0
1575448340,14,35
1575450520,23,35
1575452436,27,23
1575454337,30,29
1575456250,29,33
1575458173,24,29
1575460111,21,30
1575462263,19,29
1575464186,9,33
1575466358,13,45
1575468270,19,0
1575470189,20,31
1575472124,26,35
1575474014,32,0
1575475953,22,23
1575477851,24,26
1575480031,37,21
1575481932,25,0
1575483852,24,57
1575485768,27,22
1575487702,35,0
1575489620,30,21
1575493466,39,20
1575495384,28,20
1575497317,26,30
