DateTime,Entries,UniqueIPs
1574828648,22184,22850
1574830609,22188,22856
1574832504,22199,22868
1574834421,22195,22864
1574836356,22190,22858
1574838523,22177,22843
1574840411,22174,22842
1574842359,22184,22854
1574844249,22174,22844
1574846432,22171,22841
1574848329,22183,22853
1574850259,22185,22855
1574852186,22194,22864
1574854354,22191,22863
1574858432,22191,22862
1574860337,22205,22877
1574862250,22205,22876
1574864184,22206,22878
1574866336,22178,22849
1574868253,22198,22870
1574870169,22215,22888
1574872354,22190,22863
1574874259,22202,22875
1574876198,22186,22857
1574878093,22194,22865
1574880014,22191,22861
1574881960,22188,22857
1574883848,22184,22852
1574886030,22187,22854
1574889864,22176,22842
1574891770,22173,22841
1574893934,22159,22826
1574896366,22141,22808
1574898268,22143,22810
1574900174,22146,22813
1574902097,22152,22817
1574904024,22152,22818
1574905934,22164,22830
1574907876,22151,22817
1574909786,22156,22822
1574911939,22151,22815
1574914120,22160,22824
1574916014,22167,22831
1574917957,22143,22806
1574919849,22159,22822
1574922038,22128,22790
1574925853,22138,22801
1574930198,22096,22756
1574932117,22107,22767
1574934029,22075,22733
1574936181,22058,22714
1574938340,22055,22711
1574940259,22045,22702
1574942170,22057,22714
1574944108,22050,22707
1574946023,22037,22694
1574947941,22053,22711
1574950101,22033,22691
1574952013,22020,22678
1574953950,22018,22678
1574955864,22012,22671
1574957800,22009,22668
1574959696,22013,22672
1574961644,22014,22671
1574963548,22014,22670
1574965450,22025,22681
1574967380,22031,22688
1574969311,22038,22697
1574971221,22040,22698
1574973158,22036,22695
1574975317,22036,22697
1574977212,22039,22701
1574979400,22027,22689
1574981297,22011,22673
1574983452,22012,22675
1574985386,22017,22680
1574989224,22016,22679
1574992346,22008,22671
1574994286,22008,22671
1574996182,22006,22671
1574998088,22012,22677
1575000038,22018,22683
1575004118,22007,22673
1575006025,22006,22671
1575007941,22001,22667
1575009850,22001,22667
1575011791,22001,22667
1575013689,22000,22667
1575015608,22006,22673
1575017545,22009,22678
1575019453,22000,22670
1575021383,22004,22672
1575023285,22003,22671
1575025235,22012,22679
1575027134,22019,22686
1575029303,22021,22688
1575031214,22022,22689
1575033148,22030,22697
1575035051,22037,22704
1575036984,22030,22696
1575039138,22025,22691
1575041052,22029,22695
1575042970,22040,22706
1575045141,22039,22704
1575047314,22040,22705
1575049211,22036,22701
1575051382,22032,22698
1575053788,22018,22684
1575055742,22028,22695
1575057619,22017,22685
1575059537,22028,22696
1575063395,22005,22672
1575065301,22000,22667
1575069395,21984,22650
1575071302,21985,22650
1575073225,21992,22657
1575077309,21953,22615
1575079212,21963,22625
1575081154,21945,22609
1575083049,21955,22619
1575084988,21954,22619
1575087156,21942,22605
