DateTime,AddedIPs,RemovedIPs
1574828648,40,47
1574830609,56,41
1574832504,42,58
1574834421,44,40
1574836356,58,39
1574838523,45,60
1574840411,50,47
1574842359,41,50
1574844249,40,42
1574846432,33,40
1574848329,49,31
1574850259,50,52
1574852186,52,49
1574854354,53,47
1574858432,50,56
1574860337,49,50
1574862250,46,52
1574864184,47,41
1574866336,50,49
1574868253,51,53
1574870169,55,50
1574872354,49,53
1574874259,41,44
1574876198,42,42
1574878093,43,42
1574880014,45,39
1574881960,43,48
1574883848,53,48
1574886030,53,49
1574889864,54,55
1574891770,52,58
1574893934,49,54
1574896366,51,43
1574898268,47,50
1574900174,46,48
1574902097,53,45
1574904024,41,52
1574905934,51,39
1574907876,53,53
1574909786,39,48
1574911939,41,44
1574914120,44,38
1574916014,37,47
1574917957,44,39
1574919849,48,46
1574922038,39,44
1574925853,40,40
1574930198,41,39
1574932117,45,41
1574934029,35,47
1574936181,17,38
1574938340,26,19
1574940259,23,25
1574942170,36,21
1574944108,41,35
1574946023,32,43
1574947941,39,29
1574950101,35,38
1574952013,42,36
1574953950,43,45
1574955864,47,40
1574957800,49,44
1574959696,50,51
1574961644,50,49
1574963548,53,52
1574965450,45,55
1574967380,62,44
1574969311,54,60
1574971221,50,54
1574973158,47,50
1574975317,34,42
1574977212,47,35
1574979400,52,53
1574981297,38,49
1574983452,36,41
1574985386,49,39
1574989224,35,42
1574992346,36,36
1574994286,33,41
1574996182,45,33
1574998088,46,45
1575000038,40,42
1575004118,34,42
1575006025,47,38
1575007941,48,43
1575009850,49,47
1575011791,59,53
1575013689,41,60
1575015608,63,41
1575017545,64,56
1575019453,28,71
1575021383,50,28
1575023285,26,51
1575025235,58,26
1575027134,52,55
1575029303,52,47
1575031214,34,55
1575033148,59,35
1575035051,58,60
1575036984,42,59
1575039138,46,40
1575041052,56,49
1575042970,62,54
1575045141,52,59
1575047314,48,55
1575049211,58,44
1575051382,45,60
1575053788,53,47
1575055742,46,53
1575057619,49,45
1575059537,44,46
1575063395,43,47
1575065301,54,42
1575069395,46,54
1575071302,50,49
1575073225,59,51
1575077309,47,58
1575079212,58,43
1575081154,58,58
1575083049,53,61
1575084988,66,56
1575087156,53,64
1575089047,53,50
1575091212,56,56
1575093128,53,54
1575095063,53,54
1575100827,54,54
1575102738,54,53
1575104900,45,55
1575108752,24,47
1575110656,28,23
1575112823,24,28
1575114726,41,25
1575116662,34,39
1575118568,40,33
1575120493,54,40
1575122431,39,56
1575124354,42,33
1575128428,41,42
1575130334,37,46
1575134431,40,36
1575136333,45,39
1575138263,39,46
1575140169,51,41
1575142092,58,50
1575144017,64,60
1575148117,49,63
1575150015,47,45
1575153864,47,48
1575155771,37,42
1575157696,54,43
1575159626,53,53
1575163450,53,53
1575165381,53,53
1575167537,52,47
1575169458,53,52
1575171396,55,58
1575173561,49,55
1575175454,54,55
1575177376,59,50
1575179312,56,56
1575181224,50,61
1575183152,52,49
1575185053,59,52
1575187224,53,57
1575189160,59,52
1575191074,66,60
1575193231,46,66
1575195150,17,51
1575197052,17,16
1575198976,29,17
1575201146,59,28
1575203311,55,56
1575205230,54,54
1575207150,58,56
