DateTime,AddedIPs,RemovedIPs
1570410242,4178,4178
1570421041,5908,5908
1570431841,2440,2440
1570442641,1583,1583
1570453441,2232,2232
1570464241,1925,1925
1570475041,3116,3116
1570485841,4323,4323
1570496641,4862,4862
1570507441,6067,6067
1570518241,4040,4040
1570529041,1469,1469
1570539841,2028,2028
1570550641,3302,3302
1570561441,4263,4263
1570572241,4713,4713
1570583041,5497,5497
1570593842,6647,6647
1570604641,4279,4279
1570615441,2001,2001
1570626241,3157,3157
1570637041,4025,4025
1570647841,5125,5125
1570658641,5606,5606
1570669441,6343,6343
1570680241,7189,7189
1570691041,5064,5064
1570701841,2012,2012
1570712641,4174,4174
1570723441,4803,4803
1570734241,5641,5641
1570745041,6114,6114
1570755842,6656,6656
1570766641,7112,7112
1570777441,5010,5010
1570788241,2154,2154
1570799041,4327,4327
1570809841,5015,5015
1570820641,5948,5948
1570831441,6333,6333
1570842241,6774,6774
1570853041,7129,7129
1570863841,5020,5020
1570874641,2557,2557
1570885441,4593,4593
1570896241,5176,5176
1570907041,6104,6104
1570917841,6343,6343
1570928641,6847,6847
1570939441,7206,7206
1570961041,5887,5887
1570971841,4296,4296
1570982641,5600,5600
1570993441,5915,5915
1571004241,6458,6458
1571015041,6782,6782
1571025841,7222,7222
1571036641,2598,2598
1571047441,2259,2259
1571058241,4357,4357
1571069041,5107,5107
1571079841,5670,5670
1571090641,6271,6271
1571101441,6962,6962
1571112241,7333,7333
1571123041,2964,2964
1571133841,3814,3814
1571144641,5015,5015
1571155441,5587,5587
1571166241,6425,6425
1571177041,6701,6701
1571187841,6921,6921
1571198641,7423,7423
1571209441,2548,2548
1571220241,3798,3798
1571231041,4701,4701
1571241841,5336,5336
1571252641,6209,6209
1571263441,6594,6594
1571274241,6754,6754
1571285041,7131,7131
1571295841,7663,7663
1571306641,3167,3167
1571317441,4841,4841
1571328241,5364,5364
1571339041,6165,6165
1571349841,6322,6322
1571360641,6624,6624
1571371441,6907,6907
1571382241,5356,5356
1571393041,2816,2816
1571403841,4408,4408
1571414641,5018,5018
1571425441,5697,5697
1571436241,6082,6082
1571447041,6478,6478
1571457841,6851,6851
1571468641,3650,3650
1571479441,3803,3803
1571490241,4552,4552
1571501041,5538,5538
1571511841,5887,5887
1571522641,6321,6321
1571533441,6610,6610
1571544241,6725,6725
1571555041,6921,6921
1571565842,4361,4361
1571576641,4330,4330
1571587441,5235,5235
1571598241,5711,5711
1571609041,5975,5975
1571619841,6411,6411
1571630641,6670,6670
1571641441,3763,3763
1571652241,2656,2656
1571663041,4289,4289
1571673841,4865,4865
1571684641,5170,5170
1571695441,5587,5587
1571706241,6076,6076
1571717041,6263,6263
1571727841,6819,6819
1571738641,2380,2380
1571749441,3899,3899
1571760241,4382,4382
1571771041,5177,5177
1571781841,5519,5519
1571792641,5683,5683
1571803441,5920,5920
1571814241,4273,4273
1571825041,2161,2161
1571835841,3647,3647
1571846641,4161,4161
1571857441,4600,4600
1571868241,5393,5393
1571879041,5607,5607
1571889841,5812,5812
1571900641,2878,2878
1571911441,2255,2255
1571922241,2910,2910
1571933041,3664,3664
1571943841,4843,4843
1571954641,5460,5460
1571965441,5667,5667
1571976241,6099,6099
1571987041,1955,1955
1571997841,2749,2749
1572008641,3316,3316
1572019441,3892,3892
1572030241,4541,4541
1572041041,5271,5271
1572051841,5491,5491
1572062641,5736,5736
1572073441,4504,4504
1572084241,1445,1445
1572095041,3160,3160
1572105841,3641,3641
1572116641,4391,4391
1572127441,4712,4712
1572138241,5335,5335
1572149041,5776,5776
