DateTime,AddedIPs,RemovedIPs
1573603729,1,5
1573607330,0,3
1573610932,2,0
1573614740,1,1
1573618125,0,3
1573621722,0,3
1573625326,1,2
1573629134,2,0
1573632522,1,0
1573636126,2,4
1573639722,2,3
1573646919,1,3
1573650521,1,0
1573661324,1,1
1573664930,1,0
1573668519,2,6
1573672319,1,2
1573675722,2,1
1573679335,2,1
1573682924,4,1
1573686754,1,1
1573690129,1,1
1573693729,0,1
1573697331,3,0
1573704529,1,0
1573711732,1,1
1573718928,1,1
1573722525,0,2
1573726129,1,0
1573733328,1,2
1573747725,4,3
1573754929,1,3
1573762122,4,5
1573765728,2,0
1573769331,7,3
1573776533,2,1
1573780132,0,3
1573783728,2,3
1573790935,1,3
1573794530,0,2
1573798135,1,1
1573801949,2,1
1573805611,1,0
1573808936,1,0
1573812533,0,1
1573816397,2,2
1573819738,2,0
1573823341,0,1
1573826932,1,2
1573834130,2,4
1573837734,0,1
1573841338,3,3
1573845184,3,1
1573852128,0,2
1573855733,2,0
1573862937,4,1
1573866533,2,0
1573870141,1,0
1573873940,0,1
1573877328,1,7
1573880927,0,1
1573884535,1,1
1573891729,2,2
1573895336,1,2
1573898926,0,2
1573906137,3,1
1573909725,0,2
1573913328,1,1
1573920524,1,4
1573924138,2,1
1573927732,5,2
1573934947,2,4
1573938530,2,0
1573942299,1,1
1573945866,2,0
1573949330,0,1
1573953089,1,3
1573956529,3,0
1573960257,1,1
1573963899,1,1
1573978125,1,2
1573981734,0,2
1573989058,1,0
1573992534,2,3
1573996299,1,2
1573999744,0,2
1574003464,0,2
1574010530,11,2
1574014134,11,2
1574021343,10,1
1574024951,2,1
1574028716,2,1
1574032278,3,2
1574035759,4,2
1574039515,3,4
1574042956,2,1
1574046682,0,2
1574050304,0,1
1574053753,1,1
1574057348,1,0
1574064557,0,2
1574071903,0,2
1574075482,0,2
1574078940,0,3
1574086141,0,1
1574093511,0,2
1574096950,2,2
1574100539,2,2
1574107743,0,2
1574111340,3,0
1574115118,0,1
1574118665,2,2
1574122138,1,4
1574125921,2,0
1574129342,2,1
1574133070,0,1
1574136720,0,1
1574140132,0,1
1574143736,2,2
1574147456,1,1
1574151107,1,0
1574154532,1,1
1574165336,4,1
1574168932,1,2
1574172693,4,1
1574176250,1,46
1574179695,0,82
1574183491,75,1
1574186933,44,2
1574190664,0,1
1574194322,6,1
1574197746,0,2
1574201358,6,0
1574208552,4,3
1574212147,0,2
1574215922,1,1
1574219475,1,5
1574222956,2,0
1574226715,2,1
1574230147,2,1
1574233857,1,3
1574237510,1,1
1574244672,1,3
1574248318,1,0
1574251755,3,0
1574255457,2,0
1574259105,1,0
1574262544,1,0
1574266274,3,1
1574269930,1,2
1574273350,0,1
1574277092,2,3
1574280705,0,1
1574284150,2,0
1574287894,0,2
1574291533,2,3
1574294946,1,1
1574298550,3,0
1574305754,5,3
1574309356,1,0
1574316700,3,2
1574323936,1,0
1574331105,1,0
1574334733,1,1
1574338161,1,1
1574341763,1,0
1574352563,4,2
1574356326,3,3
1574359903,3,1
1574363372,4,0
1574370581,6,2
1574374308,0,3
1574377944,4,2
1574381377,2,3
1574384984,2,0
1574388794,1,1
1574392183,0,1
1574395770,2,4
1574403100,2,2
1574406566,1,2
1574413762,3,2
1574417494,1,0
1574421131,0,1
1574424564,0,1
1574428171,1,0
1574435365,2,2
1574438967,6,1
1574442739,3,0
1574446306,3,3
1574449781,6,2
1574453559,6,0
1574456986,3,1
1574460722,2,1
1574464360,4,3
1574467786,1,4
1574471393,7,1
1574478589,1,0
1574482192,1,0
1574489527,1,1
1574492985,0,2
1574500191,1,1
1574503922,1,1
1574507553,3,2
1574510996,2,0
1574514588,2,1
1574518396,2,1
1574521793,1,2
1574525388,0,1
1574532722,4,4
1574536184,0,1
1574543522,3,2
1574547134,1,1
1574550771,1,1
1574557786,2,1
1574561596,1,1
1574568589,0,2
1574572369,1,1
1574575948,0,1
1574586741,1,0
1574590311,2,1
1574593785,1,0
1574597541,1,3
1574604707,1,1
1574608338,1,2
1574611780,1,1
1574615391,2,1
1574622586,3,6
1574626182,1,2
1574629935,2,4
1574633496,0,6
1574636976,0,2
1574640723,0,8
1574644159,0,18
1574647882,1,2
1574651505,2,1
1574654955,0,2
1574658545,0,1
1574665749,0,1
1574672944,1,0
1574676768,1,1
1574687352,0,2
1574694546,3,1
1574698147,3,1
1574701748,1,5
1574708942,5,3
1574712544,2,2
1574716147,4,1
1574723350,4,6
1574726954,1,0
1574730547,0,2
1574737750,4,4
1574741339,2,1
1574744943,2,2
1574752134,1,2
1574755744,0,3
1574759332,1,1
1574763153,1,0
1574766531,0,2
1574770130,3,2
1574773731,2,3
1574780927,3,7
1574784529,3,3
1574788126,3,45
1574795333,83,24
1574798940,2,0
1574802544,1,1
1574809755,9,3
1574813345,2,5
1574816947,1,2
1574824146,4,1
1574827747,1,2
1574831350,2,1
1574838548,2,1
1574842152,1,0
1574845759,2,2
1574849595,2,3
1574852953,2,3
1574856554,2,0
1574860161,3,1
1574864004,0,1
1574867369,4,2
1574870961,2,3
1574874562,4,3
1574881766,4,0
1574885361,2,2
1574888966,4,1
1574896163,4,3
1574899763,0,2
1574910572,1,2
1574914167,0,3
1574917762,1,0
1574924964,1,3
1574928566,0,1
1574932153,1,0
1574935960,0,4
1574939354,2,0
1574942955,1,0
1574946560,0,2
1574953757,3,1
1574957355,0,2
1574960958,2,1
1574968175,7,1
1574971765,1,1
1574975367,2,0
1574979195,1,3
1574982559,1,4
1574986161,6,2
1574989761,1,2
1574996959,2,3
1575000565,2,1
1575004164,1,1
1575011363,1,2
1575014960,1,0
1575018564,1,0
1575025769,0,1
1575029360,1,0
1575032970,3,3
1575036800,0,1
1575040159,1,1
1575043766,1,6
1575047367,0,1
1575051168,2,2
1575054575,2,2
1575058171,1,1
1575061765,1,0
1575065595,5,2
1575068968,4,1
1575072571,0,1
1575076168,0,3
1575079997,2,0
1575083376,1,1
1575086972,4,0
1575097771,1,2
1575101376,1,0
1575104979,1,0
1575112169,0,3
1575115775,1,1
1575119371,3,2
1575126568,2,3
1575130172,4,0
1575133777,3,0
1575140977,10,4
1575144580,4,1
1575148184,6,0
1575155388,6,1
1575162585,1,6
1575169795,3,4
1575173385,0,2
1575184189,2,2
1575187784,1,0
1575191394,2,0
1575198595,0,3
1575202190,0,1
1575205792,1,0
1575209602,22,2
1575212999,10,1
1575216596,1,1
1575220209,0,2
1575227394,5,2
1575231002,0,1
1575234593,3,1
1575238407,0,1
1575241796,2,0
1575245405,1,2
1575248996,2,1
1575256206,4,3
1575263402,0,1
1575267220,0,1
1575270596,0,1
1575274200,1,2
1575277792,0,1
1575281616,1,4
1575284991,1,0
1575292207,11,0
1575299459,65,4
1575303054,2,1
1575306655,1,1
1575313862,5,3
1575317460,2,0
1575321069,2,2
1575328265,4,5
1575331859,0,5
1575335448,0,2
1575342647,3,3
1575346255,2,2
1575349848,0,1
1575357045,1,3
1575360641,1,0
1575371452,2,0
1575375046,1,1
1575378655,2,1
1575385856,2,2
1575389449,0,2
1575393053,2,2
1575396836,1,36
1575400215,1,55
1575403818,4,0
1575407417,4,2
1575414637,49,4
1575418236,2,2
1575421833,17,2
1575429040,14,3
1575432634,4,1
1575436244,19,2
1575440037,0,2
1575443449,0,1
1575447048,1,2
1575450645,0,1
1575457842,4,3
1575461443,2,1
1575465041,0,1
1575472251,7,2
1575475844,1,1
1575479450,6,2
1575483273,1,2
1575486644,5,0
1575490245,2,3
1575493838,3,6
1575501042,5,7
1575504642,3,3
1575508249,3,0
1575515438,1,5
1575519035,1,4
1575529837,0,4
1575537035,2,1
1575544238,2,1
1575547834,1,2
1575551437,1,1
1575558640,1,0
1575562244,0,1
1575565831,2,2
1575569662,3,1
1575573036,0,1
1575576633,2,0
1575580239,2,4
1575584063,5,3
1575587433,2,2
1575591037,5,4
1575594646,1,0
1575601832,1,4
1575609039,0,2
1575612858,1,2
1575616241,1,1
1575619827,2,1
1575630634,5,0
1575634233,1,2
1575637832,1,0
1575645037,2,3
1575648626,0,3
1575652228,4,2
1575656051,2,3
1575659431,1,0
1575663032,1,0
1575666634,1,0
1575673832,5,8
1575677439,2,2
1575681031,0,1
1575688234,3,0
1575691826,1,3
1575695429,0,1
1575702628,1,2
1575709824,1,3
1575717026,0,1
1575720624,2,2
1575724227,0,3
1575731418,4,4
1575735030,7,6
1575738624,2,4
1575742465,2,3
1575745823,2,6
1575749417,1,0
1575753023,2,3
1575760223,6,3
1575763819,1,6
1575767424,8,0
1575774768,5,4
1575778225,0,1
1575781822,0,1
1575785608,1,0
1575789024,0,1
1575796219,1,3
1575803423,2,0
1575807020,1,2
1575810752,1,0
1575814395,1,11
1575817816,1,11
1575821412,2,3
1575825006,2,1
1575832203,1,6
1575835803,1,1
1575839405,1,1
1575846735,4,4
1575850200,0,1
1575853792,1,1
1575861002,3,3
1575864727,0,1
1575875398,0,1
1575878994,0,2
1575886374,2,0
1575889789,0,3
