DateTime,AddedIPs,RemovedIPs
1573967585,2,1
1573971182,1,3
1573974869,1,0
1573978391,1,3
1573981996,2,2
1573985616,1,1
1573989205,3,1
1573992790,2,3
1573996414,1,1
1574000007,1,1
1574003606,1,1
1574007217,1,1
1574010799,1,1
1574014386,3,3
1574018057,0,5
1574021575,1,1
1574025172,1,0
1574028809,1,0
1574032392,2,1
1574035989,1,0
1574039601,1,2
1574046784,0,2
1574050400,1,1
1574053972,1,2
1574057571,3,2
1574061262,25,3
1574064785,2,9
1574068382,2,1
1574072015,1,2
1574075605,0,3
1574079172,2,0
1574082804,1,2
1574086384,1,1
1574090014,3,1
1574093614,3,4
1574097215,2,4
1574100817,3,2
1574104508,1,5
1574108008,0,3
1574111598,2,9
1574115224,2,4
1574118811,2,10
1574122396,1,6
1574126022,1,0
1574129593,1,1
1574133213,0,1
1574136823,1,0
1574140392,4,5
1574143988,0,1
1574147590,6,24
1574151189,3,6
1574154756,0,4
1574158373,3,1
1574162059,2,1
1574165574,6,1
1574169158,2,1
1574172793,0,3
1574176375,2,2
1574179955,0,13
1574183585,5,4
1574187152,1,0
1574190778,1,1
1574194391,2,2
1574197966,2,6
1574201556,1,1
1574205254,1,0
1574208769,1,0
1574212361,1,1
1574216002,0,1
1574219575,1,3
1574223151,1,2
1574226775,3,2
1574230357,5,0
1574233967,6,4
1574237579,1,6
1574241163,3,1
1574244782,12,7
1574248392,0,2
1574251957,3,0
1574255561,1,1
1574262746,2,5
1574266369,1,0
1574269991,3,4
1574277195,2,2
1574280818,2,2
1574284383,1,1
1574288004,2,1
1574295186,2,3
1574298779,1,2
1574302486,3,1
1574305977,1,0
1574313198,1,3
1574316795,2,2
1574320401,24,1
1574324015,2,6
1574327607,2,2
1574331213,4,1
1574334803,2,2
1574341979,1,3
1574345671,2,0
1574349186,2,3
1574352775,1,0
1574356414,2,1
1574360012,2,0
1574363601,4,1
1574367219,1,1
1574370809,3,2
1574374399,1,2
1574377997,3,1
1574381583,0,1
1574388880,2,0
1574392397,5,0
1574395993,2,1
1574399615,0,1
1574403203,2,2
1574406782,0,19
1574410404,1,0
1574413974,1,1
1574417597,2,0
1574421205,9,1
1574424785,2,1
1574428391,2,8
1574432068,2,1
1574435601,1,1
1574439202,7,1
1574446410,1,0
1574449994,1,1
1574453621,0,1
1574457201,2,0
1574460815,0,1
1574464421,3,0
1574468007,1,1
1574471588,0,3
1574478792,0,1
1574482392,0,2
1574486007,0,1
1574489600,3,2
1574493199,17,2
1574496821,2,2
1574500403,4,1
1574504010,5,2
1574507619,4,6
1574511191,1,1
1574514798,1,1
1574518493,2,1
