DateTime,AddedIPs,RemovedIPs
1574125270,72,87
1574127069,75,82
1574130690,48,68
1574132468,68,48
1574134269,100,142
1574139773,76,96
1574141481,46,53
1574145066,64,44
1574150476,231,202
1574152268,270,295
1574155882,66,61
1574157664,67,47
1574161337,70,53
1574166685,68,51
1574172066,113,91
1574177491,70,54
1574181070,60,55
1574184672,74,59
1574188283,88,60
1574191893,98,71
1574193678,75,62
1574199082,69,68
1574204527,61,117
1574206281,58,107
1574209885,65,86
1574217070,99,124
1574218871,61,41
1574220664,93,136
1574224305,74,87
1574227903,62,54
1574231470,75,54
1574235076,77,66
1574240597,102,93
1574245883,55,49
1574251345,58,46
1574253064,57,49
1574256674,70,49
1574260263,60,65
1574263870,66,58
1574267491,72,53
1574271110,77,78
1574274664,120,63
1574278291,83,86
1574281873,135,188
1574283700,227,156
1574285507,67,78
1574289092,63,114
1574292673,48,92
1574296265,63,101
1574298066,67,58
1574303500,55,75
1574307066,74,70
1574308873,70,74
1574310701,74,70
1574312478,88,87
1574314275,61,70
1574317900,66,54
1574321474,69,46
1574325069,58,67
1574330553,68,55
1574332269,68,44
1574335886,63,59
1574339465,65,57
1574343072,63,67
1574346743,76,73
1574350281,87,81
1574353861,80,55
1574357479,85,67
1574361091,88,61
1574364694,84,71
1574366473,71,84
1574368265,144,120
1574371914,67,85
1574375490,63,95
1574379085,64,113
1574382664,53,76
1574386291,59,82
1574389868,54,57
1574393508,69,91
1574398872,70,88
1574400674,49,48
1574404293,76,51
1574407908,58,55
1574411468,74,58
1574415095,56,45
1574418668,48,50
1574422280,61,49
1574427726,54,50
1574429504,64,59
1574433066,70,67
1574436664,77,61
1574442080,77,48
1574443869,87,84
1574447491,93,55
1574451072,71,60
1574454698,58,78
1574458279,70,60
1574461868,61,78
1574467299,94,159
1574472676,56,78
1574478099,55,62
1574481664,64,86
1574483474,81,95
1574487071,53,66
1574490668,58,41
1574494290,55,46
1574499681,127,80
1574505085,72,43
1574510535,62,42
1574512343,74,51
1574515894,75,58
1574519469,75,64
1574524870,82,62
1574526677,88,81
1574530270,78,75
1574533873,65,75
1574537474,67,69
1574541071,64,70
1574544668,65,77
1574548277,70,82
1574551868,55,93
1574555485,61,74
1574559067,65,68
1574562663,59,81
1574564467,68,103
1574569876,70,92
1574573479,51,65
1574577068,51,53
1574580665,66,47
1574584284,60,44
1574587873,72,47
1574591492,81,38
1574595065,71,52
1574596902,2,0
1574600489,80,54
1574602263,65,70
1574607689,81,65
1574609509,69,53
1574613068,67,51
1574616686,79,64
1574620296,88,56
1574625693,81,58
1574627464,65,79
1574631070,68,95
1574632866,150,109
1574634670,133,207
1574638297,54,105
1574641868,65,91
1574645466,54,69
1574649097,53,63
1574652670,61,82
1574656266,75,98
1574659865,66,73
1574665328,63,60
1574667128,71,47
1574670669,66,50
1574674271,67,65
1574677887,48,37
1574681495,67,37
1574685072,70,49
1574688686,65,76
1574692271,67,65
1574697702,67,66
1574699503,61,48
1574703073,97,64
1574706691,90,68
1574710304,97,152
1574712065,197,115
1574713886,69,78
1574717468,84,87
1574721099,61,93
1574724699,58,107
1574728264,70,90
1574730075,65,73
1574737270,55,72
1574739080,80,119
1574742707,91,91
1574746286,53,72
1574748100,62,50
1574755398,81,55
1574757082,67,61
1574760676,79,56
1574762482,63,61
1574767893,55,53
1574769756,71,47
1574771465,47,71
1574773341,113,89
1574778670,73,60
1574782301,69,56
1574787668,67,42
1574789487,67,69
1574793061,69,67
1574794874,137,91
1574796669,88,53
1574800264,76,87
1574803908,97,88
1574809285,58,101
1574811065,46,127
1574814669,77,68
1574820081,59,71
1574821869,59,78
1574825470,81,91
1574827269,76,89
1574830902,55,80
1574836279,73,61
1574841673,122,98
1574847079,67,64
1574850669,64,50
1574854286,59,45
1574857900,61,62
1574861465,67,50
1574863267,63,89
1574868669,95,51
1574874099,68,60
1574875866,80,62
1574879467,84,76
1574883104,81,54
1574886710,90,59
1574890303,52,106
1574892067,75,95
1574897492,65,91
1574901092,71,94
1574904666,67,78
1574908287,52,69
1574910071,60,93
1574915464,82,86
1574920868,123,137
1574928082,70,54
1574929888,68,59
1574935304,73,56
1574937075,69,51
1574942479,56,63
1574944274,65,46
1574947871,66,48
1574949672,72,63
1574951499,63,72
