DateTime,Entries,UniqueIPs
1574125270,5837,5837
1574127069,5830,5830
1574130690,5810,5810
1574132468,5830,5830
1574134269,5788,5788
1574139773,5768,5768
1574141481,5761,5761
1574145066,5781,5781
1574150476,5810,5810
1574152268,5785,5785
1574155882,5790,5790
1574157664,5810,5810
1574161337,5827,5827
1574166685,5844,5844
1574172066,5866,5866
1574177491,5882,5882
1574181070,5887,5887
1574184672,5902,5902
1574188283,5930,5930
1574191893,5957,5957
1574193678,5970,5970
1574199082,5971,5971
1574204527,5915,5915
1574206281,5866,5866
1574209885,5845,5845
1574217070,5820,5820
1574218871,5840,5840
1574220664,5797,5797
1574224305,5784,5784
1574227903,5792,5792
1574231470,5813,5813
1574235076,5824,5824
1574240597,5833,5833
1574245883,5839,5839
1574251345,5851,5851
1574253064,5859,5859
1574256674,5880,5880
1574260263,5875,5875
1574263870,5883,5883
1574267491,5902,5902
1574271110,5901,5901
1574274664,5958,5958
1574278291,5955,5955
1574281873,5902,5902
1574283700,5973,5973
1574285507,5962,5962
1574289092,5911,5911
1574292673,5867,5867
1574296265,5829,5829
1574298066,5838,5838
1574303500,5818,5818
1574307066,5822,5822
1574308873,5818,5818
1574310701,5822,5822
1574312478,5823,5823
1574314275,5814,5814
1574317900,5826,5826
1574321474,5849,5849
1574325069,5840,5840
1574330553,5853,5853
1574332269,5877,5877
1574335886,5881,5881
1574339465,5889,5889
1574343072,5885,5885
1574346743,5888,5888
1574350281,5894,5894
1574353861,5919,5919
1574357479,5937,5937
1574361091,5964,5964
1574364694,5977,5977
1574366473,5964,5964
1574368265,5988,5988
1574371914,5970,5970
1574375490,5938,5938
1574379085,5889,5889
1574382664,5866,5866
1574386291,5843,5843
1574389868,5840,5840
1574393508,5818,5818
1574398872,5800,5800
1574400674,5801,5801
1574404293,5826,5826
1574407908,5829,5829
1574411468,5845,5845
1574415095,5856,5856
1574418668,5854,5854
1574422280,5866,5866
1574427726,5870,5870
1574429504,5875,5875
1574433066,5878,5878
1574436664,5894,5894
1574442080,5923,5923
1574443869,5926,5926
1574447491,5964,5964
1574451072,5975,5975
1574454698,5955,5955
1574458279,5965,5965
1574461868,5948,5948
1574467299,5883,5883
1574472676,5861,5861
1574478099,5854,5854
1574481664,5832,5832
1574483474,5818,5818
1574487071,5805,5805
1574490668,5822,5822
1574494290,5831,5831
1574499681,5878,5878
1574505085,5907,5907
1574510535,5927,5927
1574512343,5950,5950
1574515894,5967,5967
1574519469,5978,5978
1574524870,5998,5998
1574526677,6005,6005
1574530270,6008,6008
1574533873,5998,5998
1574537474,5996,5996
1574541071,5990,5990
1574544668,5978,5978
1574548277,5966,5966
1574551868,5928,5928
1574555485,5915,5915
1574559067,5912,5912
1574562663,5890,5890
1574564467,5855,5855
1574569876,5833,5833
1574573479,5819,5819
1574577068,5817,5817
1574580665,5836,5836
1574584284,5852,5852
1574587873,5877,5877
1574591492,5920,5920
1574595065,5939,5939
1574596902,5941,5941
1574600489,5967,5967
1574602263,5962,5962
1574607689,5978,5978
1574609509,5994,5994
1574613068,6010,6010
1574616686,6025,6025
1574620296,6057,6057
1574625693,6080,6080
1574627464,6066,6066
1574631070,6039,6039
1574632866,6080,6080
1574634670,6006,6006
1574638297,5955,5955
1574641868,5929,5929
1574645466,5914,5914
1574649097,5904,5904
1574652670,5883,5883
1574656266,5860,5860
1574659865,5853,5853
1574665328,5856,5856
1574667128,5880,5880
1574670669,5896,5896
1574674271,5898,5898
1574677887,5909,5909
1574681495,5939,5939
1574685072,5960,5960
1574688686,5949,5949
1574692271,5951,5951
1574697702,5952,5952
1574699503,5965,5965
1574703073,5998,5998
1574706691,6020,6020
1574710304,5965,5965
1574712065,6047,6047
1574713886,6038,6038
1574717468,6035,6035
1574721099,6003,6003
1574724699,5954,5954
1574728264,5934,5934
1574730075,5926,5926
1574737270,5909,5909
1574739080,5870,5870
1574742707,5870,5870
1574746286,5851,5851
1574748100,5863,5863
1574755398,5889,5889
1574757082,5895,5895
1574760676,5918,5918
1574762482,5920,5920
1574767893,5922,5922
1574769756,5946,5946
1574771465,5922,5922
1574773341,5946,5946
1574778670,5959,5959
1574782301,5972,5972
1574787668,5997,5997
1574789487,5995,5995
1574793061,5997,5997
1574794874,6043,6043
1574796669,6078,6078
1574800264,6067,6067
1574803908,6076,6076
1574809285,6033,6033
1574811065,5952,5952
1574814669,5961,5961
1574820081,5949,5949
1574821869,5930,5930
1574825470,5920,5920
1574827269,5907,5907
1574830902,5882,5882
1574836279,5894,5894
1574841673,5918,5918
1574847079,5921,5921
1574850669,5935,5935
1574854286,5949,5949
1574857900,5948,5948
1574861465,5965,5965
1574863267,5939,5939
1574868669,5983,5983
1574874099,5991,5991
1574875866,6009,6009
1574879467,6017,6017
1574883104,6044,6044
1574886710,6075,6075
1574890303,6021,6021
1574892067,6001,6001
1574897492,5975,5975
1574901092,5952,5952
1574904666,5941,5941
1574908287,5924,5924
1574910071,5891,5891
1574915464,5887,5887
1574920868,5873,5873
1574928082,5889,5889
1574929888,5898,5898
1574935304,5915,5915
1574937075,5933,5933
1574942479,5926,5926
1574944274,5945,5945
1574947871,5963,5963
1574949672,5972,5972
1574951499,5963,5963
1574953281,5972,5972
1574955070,5994,5994
1574958680,6002,6002
1574960474,6039,6039
1574965886,6056,6056
1574967707,6042,6042
1574973111,6046,6046
1574978560,6033,6033
1574980268,5992,5992
1574983872,5927,5927
1574987483,5921,5921
1574992875,5877,5877
1574998386,5875,5875
1575003665,5869,5869
1575005483,5847,5847
1575009104,5865,5865
1575012700,5870,5870
1575016275,5888,5888
1575019870,5909,5909
1575023484,5924,5924
1575027099,5925,5925
1575030669,5944,5944
1575036080,5965,5965
1575037883,5948,5948
1575043275,5970,5970
1575045075,5968,5968
1575046868,5993,5993
1575052274,5996,5996
1575055862,6004,6004
1575061283,6009,6009
1575063080,6003,6003
1575066687,5986,5986
1575068518,6003,6003
1575070284,5986,5986
1575072093,5960,5960
1575075692,5924,5924
1575077472,5912,5912
1575079346,5888,5888
1575084671,5859,5859
1575090088,5840,5840
1575091866,5824,5824
1575095486,5839,5839
1575099072,5838,5838
1575102668,5866,5866
1575106276,5892,5892
1575109864,5919,5919
1575113471,5952,5952
1575118868,5954,5954
1575120669,5972,5972
1575122469,5954,5954
1575124294,5967,5967
1575127875,5955,5955
1575131492,5973,5973
1575133278,5989,5989
1575138701,6036,6036
1575142274,6024,6024
1575145906,6019,6019
1575147667,6018,6018
1575151351,6006,6006
1575154890,5955,5955
1575162100,5957,5957
1575163862,5962,5962
1575167468,5955,5955
1575169289,5936,5936
1575176505,5908,5908
1575178267,5909,5909
1575180085,5918,5918
1575185486,5920,5920
1575192673,5953,5953
1575194487,6003,6003
1575199909,6027,6027
1575203478,6042,6042
1575207090,6058,6058
1575208877,6060,6060
1575216065,6088,6088
1575219686,6113,6113
1575221506,6112,6112
1575225099,6126,6126
1575228673,6116,6116
1575230475,6146,6146
1575235901,6121,6121
1575239475,6093,6093
1575243066,6036,6036
1575246683,6025,6025
1575248524,6010,6010
1575253865,5973,5973
1575257483,5949,5949
1575261078,5943,5943
1575262888,5921,5921
1575266465,5931,5931
1575273702,5976,5976
1575279075,5982,5982
1575282666,6009,6009
1575286269,6005,6005
1575289887,6012,6012
1575293465,6044,6044
1575297095,6054,6054
1575300679,6050,6050
1575304272,6059,6059
1575307891,6073,6073
1575313272,6102,6102
1575315072,6111,6111
1575318685,6140,6140
1575322267,6132,6132
1575325872,6102,6102
1575329486,6059,6059
1575333078,6041,6041
1575336692,6006,6006
1575340275,5975,5975
1575343876,5972,5972
1575349301,5942,5942
1575354686,5963,5963
1575358293,5957,5957
1575361894,5972,5972
1575365465,5976,5976
1575369073,6000,6000
1575372668,5983,5983
1575376282,6007,6007
1575378079,6022,6022
1575381828,6028,6028
1575383486,6022,6022
1575385300,6028,6028
1575387068,6041,6041
1575392505,6043,6043
1575394307,6041,6041
1575396110,6075,6075
1575397865,6072,6072
1575403320,6081,6081
1575405077,6099,6099
1575408669,6103,6103
1575414077,6091,6091
1575417719,6048,6048
1575419506,6026,6026
1575423086,6005,6005
1575426668,5990,5990
1575430295,5983,5983
1575433888,5980,5980
1575437491,5964,5964
1575441091,5959,5959
1575444680,5978,5978
1575448265,5969,5969
1575453668,5998,5998
1575457272,6000,6000
1575459085,6030,6030
1575462673,6024,6024
1575466282,6032,6032
1575471714,6032,6032
1575475265,6037,6037
1575482500,6052,6052
1575484281,6069,6069
1575487864,6092,6092
1575491465,6118,6118
1575495077,6111,6111
1575496893,6092,6092
1575498674,6090,6090
1575502425,6027,6027
1575505876,6008,6008
1575509502,5992,5992
1575513086,5985,5985
1575516674,5963,5963
1575520268,5944,5944
1575523872,5932,5932
1575527466,5939,5939
1575531100,5968,5968
1575534680,5964,5964
1575536480,5968,5968
1575538293,5986,5986
1575541897,5996,5996
1575545471,6024,6024
1575549086,6037,6037
1575552688,6031,6031
1575556268,6041,6041
1575558068,6059,6059
1575561696,6082,6082
1575567078,6063,6063
1575568932,6130,6130
1575574276,6134,6134
1575577865,6132,6132
1575581475,6126,6126
1575585078,6092,6092
1575588709,6059,6059
1575592265,6044,6044
1575597671,5995,5995
1575603082,5983,5983
1575606675,5971,5971
1575610304,5949,5949
1575613867,5968,5968
1575617470,5992,5992
1575621102,6005,6005
1575624676,6012,6012
1575628299,6013,6013
1575633666,6019,6019
1575635483,6065,6065
1575639069,6065,6065
1575642676,6080,6080
1575644504,6091,6091
1575649870,6103,6103
1575655302,6106,6106
1575657079,6116,6116
1575660688,6111,6111
1575664283,6113,6113
1575667910,6097,6097
1575671549,6104,6104
1575675086,6061,6061
1575678670,6039,6039
1575682270,6025,6025
1575685882,6018,6018
1575687673,6025,6025
1575689477,5984,5984
1575693082,5967,5967
1575696699,5956,5956
1575698522,5970,5970
1575702212,5970,5970
1575703871,5970,5970
1575705678,5987,5987
1575711097,6022,6022
1575714676,6049,6049
1575718311,6052,6052
1575721903,6069,6069
1575725478,6082,6082
1575729080,6084,6084
1575732665,6084,6084
1575736290,6088,6088
1575741687,6104,6104
1575743495,6116,6116
1575747076,6143,6143
1575750672,6126,6126
1575756094,6123,6123
1575759766,6076,6076
1575765081,6052,6052
1575768669,6032,6032
1575772270,6006,6006
1575775881,5992,5992
1575779470,5978,5978
1575784874,5959,5959
1575786664,5966,5966
1575790286,5985,5985
1575795696,6004,6004
1575797472,6027,6027
1575799274,6046,6046
1575804673,6067,6067
1575808289,6092,6092
1575811891,6103,6103
1575817278,6101,6101
1575819108,6120,6120
1575822678,6149,6149
1575824545,6161,6161
1575829862,6168,6168
1575835293,6175,6175
1575840676,6147,6147
1575842509,6125,6125
1575846093,6147,6147
1575847874,6076,6076
1575851513,6048,6048
1575855101,6041,6041
1575858667,6027,6027
1575862358,6009,6009
1575865892,5994,5994
1575867799,5989,5989
1575873070,5999,5999
