DateTime,AddedIPs,RemovedIPs
1575299725,2,0
1575300025,1,0
1575301825,1,0
1575303025,3,0
1575305723,75,0
1575308427,54,0
1575309927,13,0
1575310525,1,0
1575312626,107,0
1575313525,1,0
1575315028,1,0
1575315930,9,0
1575318026,0,1
1575318326,4,0
1575319529,7,0
1575321021,2,0
1575321622,2,0
1575322522,8,0
1575323424,1,0
1575324025,0,1
1575324924,4,0
1575326126,2,0
1575327024,12,0
1575328526,2,0
1575329724,2,0
1575330326,13,0
1575331224,2,0
1575332727,4,1
1575334226,5,0
1575334522,33,0
1575335724,7,0
1575336323,1,0
1575337821,0,1
1575338721,31,0
1575339622,3,0
1575341424,2,0
1575342322,2,0
1575343224,1,0
1575344729,24,0
1575345321,0,1
1575346527,2,0
1575347423,5,0
1575348323,1,0
1575349524,3,0
1575351027,31,0
1575352826,3,0
1575354025,12,0
1575355525,0,1
1575355826,2,0
1575356724,4,0
1575360028,3,0
1575360923,0,1
1575361225,0,1
1575363325,24,0
1575364524,1,0
1575365426,1,0
1575366923,14,0
1575367226,0,1
1575368426,1,0
1575369624,1,1
1575370830,29,0
1575372329,2,0
1575373823,5,0
1575374723,2,0
1575376828,4,0
1575378323,2,0
1575379827,1,0
1575380724,26,0
1575381325,1,0
1575381631,3,0
1575384626,4,2
1575384922,0,1
1575385226,0,3
1575385522,1,0
1575387322,2,1
1575388523,31,0
1575390626,0,1
1575392123,7,0
1575395124,4,0
1575396028,138,0
1575398425,10,0
1575400827,1,1
1575401432,59,0
1575402627,4,0
1575404125,3,0
1575405325,1,0
1575406525,14,0
1575408025,0,1
1575408625,1,0
1575410124,10,0
1575410724,1,0
1575412227,8,0
1575414323,5,0
1575414922,1,0
1575415824,1,0
1575418221,18,1
1575418823,1,0
1575420323,16,0
1575421226,2,0
1575423622,5,0
1575424521,6,0
1575427221,2,0
1575427822,17,0
1575428722,1,0
1575429623,0,1
1575430226,1,0
1575430822,7,0
1575432321,11,0
1575433523,0,1
1575434424,6,0
1575438623,16,0
1575440124,0,1
1575440740,4,0
1575441927,8,0
1575442522,0,1
1575442827,7,0
1575444023,2,0
1575444328,1,0
1575445528,5,0
