DateTime,Entries,UniqueIPs
1575102738,11369,11684
1575103502,11733,12060
1575104900,11726,12052
1575108752,11709,12034
1575110656,11708,12034
1575112823,11884,12212
1575114726,11872,12201
1575115688,11411,11725
1575116662,11403,11717
1575117612,10911,11224
1575118568,10911,11226
1575120493,10909,11224
1575122431,11140,11461
1575124354,11289,11616
1575126003,11411,11743
1575128428,11383,11715
1575129602,11557,11892
1575130334,11542,11878
1575133203,11721,12070
1575134431,11686,12035
1575136333,11678,12027
1575136802,11813,12171
1575138023,12246,12610
1575138263,12247,12611
1575138975,12747,13111
1575140169,12767,13132
1575140402,12903,13275
1575142092,12907,13280
1575144017,12911,13283
1575148117,13187,13575
1575150015,13183,13571
1575153864,13179,13568
1575154802,13471,13875
1575155771,13483,13887
1575157696,13492,13896
1575158168,13457,13852
1575159626,13431,13823
1575162003,9095,9343
1575163450,9122,9370
1575165381,9119,9368
1575165847,9075,9321
1575167537,9080,9326
1575169458,9052,9296
1575169932,9255,9517
1575171396,9253,9515
1575173561,9259,9521
1575173702,9586,9863
1575175454,9586,9863
1575177376,9608,9885
1575179312,9611,9882
1575181224,9782,10069
1575183152,9785,10072
1575185053,9815,10102
1575187224,10117,10421
1575189160,10101,10405
1575191074,10121,10426
1575193231,10270,10583
1575195150,10275,10588
1575196202,10553,10878
1575197052,10549,10874
1575198976,10541,10865
1575201146,10536,10859
1575203311,10547,10870
1575203402,10795,11133
1575205230,10802,11141
1575207150,10800,11139
1575209304,10796,11135
1575211470,11038,11394
1575213380,11070,11426
1575215293,11078,11433
1575217969,11083,11441
1575219137,11403,11769
1575220122,11401,11767
1575221052,11421,11787
1575222303,11539,11911
1575222984,11539,11912
1575224888,11550,11922
1575225902,11738,12114
1575226813,11734,12110
1575228751,11726,12101
1575229502,11845,12229
1575230919,11844,12227
1575232817,11859,12242
1575233102,11989,12379
1575234733,11999,12389
1575236653,12008,12398
1575238583,12022,12412
1575240740,12027,12417
1575242664,12282,12682
1575244091,12312,12718
1575244577,12307,12713
1575246748,12297,12703
1575247502,8053,8287
1575250583,8038,8271
1575251769,8088,8327
1575252492,8085,8324
1575254412,8078,8316
1575256351,8212,8457
1575258261,8205,8447
1575258302,8529,8794
1575259691,8505,8768
1575260201,8507,8771
1575265947,8675,8952
1575266402,8842,9129
1575267853,8839,9126
1575269784,8831,9118
1575270003,9001,9293
1575271691,8986,9278
1575273611,8995,9287
1575275550,9158,9460
1575277462,9334,9640
1575279387,9328,9634
1575281304,9469,9778
1575283232,9470,9779
1575285138,9485,9794
1575287073,9494,9802
1575288984,9856,10175
1575291135,9856,10175
1575293053,9860,10178
1575294985,9859,10177
1575295202,10217,10547
1575296891,10217,10547
1575297388,10204,10535
1575298837,10202,10532
1575300036,10201,10533
1575300761,10192,10524
1575302683,10197,10529
1575303302,10572,10913
1575304587,10595,10936
1575306525,10607,10949
1575308441,10600,10942
1575310356,10595,10937
1575310502,10922,11271
1575312254,10922,11271
1575314211,10924,11273
1575316110,10919,11269
1575318028,11031,11394
1575319931,11033,11397
1575322117,11279,11658
1575325947,11254,11633
1575328108,11252,11632
1575329402,11588,11976
1575329768,11589,11985
1575330028,11577,11973
1575331937,11579,11975
1575333864,11595,11991
1575335799,11603,11999
1575336601,8515,8748
1575337455,8515,8741
1575337955,8512,8739
1575340094,8519,8746
1575342016,8519,8746
1575343938,8530,8757
1575345370,8791,9032
1575347783,8793,9035
1575349699,8817,9060
1575351613,9086,9346
1575353552,9092,9352
1575357627,9091,9351
1575358202,9394,9674
1575360515,9389,9668
1575362424,9400,9679
1575364582,9403,9680
1575366504,9619,9911
1575368413,9634,9926
1575369145,9634,9926
1575369902,10099,10412
1575370342,10112,10427
1575372251,10109,10424
1575373502,10290,10617
1575374183,10287,10614
1575376091,10299,10626
1575377530,10268,10601
1575378044,10263,10596
1575379937,10258,10591
1575380702,10575,10926
1575382102,10588,10939
1575384009,10598,10949
1575387851,10583,10934
1575387902,10853,11215
1575389779,10844,11206
1575393611,10820,11182
1575395553,10974,11347
1575397449,10973,11346
1575399365,10957,11329
1575399602,11259,11654
1575401303,11259,11653
1575403202,11378,11777
1575405392,11363,11762
1575406802,11491,11894
1575407562,11484,11886
1575409455,11475,11877
1575410402,11586,11993
1575413544,11582,11989
1575414003,11711,12121
1575415450,11710,12122
1575415689,11719,12121
1575417365,11724,12126
1575417602,7831,8062
1575419306,7828,8059
1575421213,7807,8038
1575423159,7936,8181
1575423611,7936,8182
1575425077,7940,8187
1575427231,7942,8188
1575428401,8182,8445
1575429135,8173,8436
1575431049,8172,8434
1575431287,8179,8439
1575432002,8310,8577
1575432983,8326,8594
1575434909,8317,8587
1575438729,8269,8539
1575439203,8537,8824
1575440649,8521,8808
1575442569,8538,8825
1575444489,8530,8817
1575446420,8544,8832
1575448340,8898,9193
1575450520,8883,9179
1575452436,8883,9179
1575454337,9065,9368
1575456250,9254,9562
1575458173,9248,9556
1575460111,9236,9547
1575461311,8917,9239
1575462263,8918,9240
1575464186,8907,9229
1575465301,9202,9532
1575466358,9182,9512
1575468270,9192,9522
1575470191,8760,9079
1575472124,8753,9072
1575472502,9038,9380
1575474014,9058,9400
1575475953,9054,9396
1575477851,9059,9401
1575480031,9076,9418
1575481932,9379,9739
1575483852,9359,9719
1575485768,9364,9724
1575486903,9674,10045
1575487702,9700,10071
1575489620,9704,10075
1575493466,9715,10086
1575495384,9911,10289
1575497317,9913,10291
1575498602,10189,10583
1575499211,10202,10596
1575501144,10212,10606
1575501850,10213,10601
1575502202,10339,10730
1575503048,10348,10739
1575504971,10347,10738
1575506906,10356,10747
1575508810,10374,10766
1575509534,10381,10775
1575510733,7145,7362
1575512663,7161,7377
1575514580,7169,7385
1575516491,7183,7399
1575517454,7486,7728
1575518418,7486,7728
1575520338,7484,7726
1575522258,7475,7716
1575524185,7655,7901
1575526103,7833,8087
1575528012,7847,8100
1575529958,7851,8104
1575531852,8058,8316
1575533795,8068,8326
1575535690,8513,8783
1575539102,8700,8973
1575539535,9091,9373
1575541482,9604,9886
1575543370,9597,9879
1575545540,9608,9890
1575546302,10000,10291
1575547702,10010,10301
1575549613,10024,10315
1575551545,10038,10329
1575553462,10060,10350
1575553502,10445,10746
1575555393,10462,10763
1575557306,10497,10794
1575558763,10501,10798
1575559216,10509,10806
1575561128,10723,11025
1575563056,10740,11042
1575564970,10741,11043
1575566887,11040,11359
1575568827,11038,11357
1575570735,11039,11358
1575572668,11187,11514
1575574575,11178,11507
1575576002,11490,11848
1575576518,11488,11846
1575578414,11501,11859
1575579602,11614,11984
1575580362,11600,11970
1575582255,11603,11974
1575583202,11733,12114
1575584188,11729,12110
1575586102,11731,12112
1575587057,11851,12242
1575588018,11850,12241
1575589948,11834,12224
1575590402,8938,9154
1575591850,8947,9164
1575594023,8945,9161
1575594971,9115,9347
1575595948,9102,9334
1575597855,9274,9519
1575599789,9259,9505
1575601202,9441,9705
1575603628,9425,9689
1575604568,9406,9670
1575604803,9564,9841
1575605540,9564,9841
1575609372,9548,9825
1575611536,9546,9822
1575612002,9965,10257
1575613453,9966,10258
1575615383,9967,10260
1575615603,10165,10466
1575619461,10144,10448
1575621384,10142,10446
1575623304,10344,10649
1575625224,10543,10861
1575625699,10957,11293
1575627174,11444,11780
1575629052,11426,11762
1575630982,11799,12142
1575632904,11800,12143
1575634809,11784,12129
1575636739,11765,12110
1575637202,12052,12414
1575640606,12019,12380
1575642752,12001,12362
