DateTime,AddedIPs,RemovedIPs
1569635293,12,31
1569642971,12,12
1569643142,75,46
1569672015,1180,1146
1569691456,532,8807
1569713287,17,15
1569720966,27,32
1569728655,15,17
1569729542,63,42
1569758414,949,1524
1569782898,873,6948
1569798036,10,0
1569805931,22,20
1569813620,11,0
1569815942,79,51
1569844815,1204,1471
1569851810,632,6637
1569887289,11,35
1569891130,11,0
1569894970,13,36
1569898810,17,16
1569902342,83,62
1569931216,1673,1899
1569944187,723,540
1569972968,10,0
1569976812,14,13
1569980650,24,17
1569988327,8,22
1569988743,90,52
1570017614,1225,1268
1570037066,716,1159
1570058648,11,18
1570066568,31,41
1570074246,9,0
1570075142,99,63
1570104015,1327,1389
1570129247,660,4668
1570144566,9,18
1570152248,35,38
1570160287,10,34
1570161542,117,46
1570163545,673,630
1570185614,706,2466
1570190922,638,721
1570195652,1969,1714
1570199537,619,372
1570203816,639,1158
1570207473,695,0
1570211086,671,0
1570219724,632,766
1570224755,662,0
1570227883,611,0
1570231457,657,0
1570233608,8,23
1570235060,620,0
1570237692,45,23
1570245370,9,0
1570248741,719,1864
1570253536,685,733
1570276815,1376,1090
1570319052,18,0
1570322773,18,17
1570326497,27,18
1570334231,12,24
1570334342,82,56
1570346668,620,1494
1570363214,1018,1220
1570404490,9,25
1570412183,30,74
1570419848,8,14
1570420742,73,55
1570438580,653,5383
1570449614,1265,1525
1570489931,19,18
1570497871,33,37
1570505530,17,0
1570507142,120,62
1570531008,645,6755
1570536014,1267,1417
1570576088,13,13
1570583772,34,31
1570591574,21,14
1570593542,111,30
1570622414,2110,1383
1570624243,644,1776
1570665610,16,27
1570669693,39,12
1570677254,15,6
1570679942,168,27
1570708814,1652,1865
1570715792,724,5399
1570751291,16,0
1570755131,27,17
1570758968,23,13
1570766650,13,28
1570795215,1500,1536
1570807693,631,8058
1570835771,8,15
1570843933,38,54
1570851605,12,0
1570852742,119,45
1570881614,1199,1026
1570899392,655,8723
1570921699,13,13
1570929670,40,30
1570937289,8,12
1570939142,81,54
1570968014,1183,1305
1570992030,695,5085
1571011216,17,42
1571015056,38,51
1571022731,8,20
1571025542,132,40
1571054414,1433,1548
1571084433,668,13115
1571096889,17,16
1571100735,14,0
1571104569,16,13
1571112494,15,7
1571140815,1638,1482
1571177790,640,3217
1571182807,19,21
1571190490,35,77
1571198166,23,0
1571198342,113,56
1571227215,1581,1364
1571268251,10,0
1571268744,498,1166
1571269459,206,532
1571275931,34,23
1571283848,14,12
1571284742,100,46
1571313615,1451,1370
1571353943,10,15
1571359209,498,457
1571360660,266,142
1571361633,37,24
1571369289,11,15
1571371142,168,48
1571400015,1546,1027
1571408886,499,1230
1571410817,217,975
1571442729,9,18
1571446570,14,11
1571450420,17,29
1571454497,10,11
1571457542,150,52
1571486415,1414,1072
1571500815,500,488
1571501784,234,228
1571528180,14,12
1571535850,23,36
1571543764,9,30
1571543942,134,50
1571572815,1018,1460
1571592752,500,474
1571593704,239,216
1571613849,13,15
1571621532,24,24
1571629208,8,0
1571630342,109,50
1571659215,1056,1873
1571684452,498,404
1571685615,226,257
1571699773,9,16
1571707449,28,25
1571715373,14,10
1571716742,119,67
1571745614,1291,1663
1571777539,499,390
1571778044,207,227
1571786176,10,35
1571793848,32,78
1571801533,15,26
1571803142,110,62
1571832015,1255,1436
1571868981,499,393
1571870651,275,272
1571874969,17,10
1571878832,24,0
1571882891,19,9
1571886729,15,0
1571889542,128,79
1571918415,1314,1480
1571960410,11,13
1571960893,499,415
1571963234,277,255
1571968091,24,39
1571975773,13,30
1571975942,103,70
1572004815,1384,1465
1572010402,499,486
1572013232,256,186
1572046571,13,15
1572054251,26,31
1572061934,26,16
1572062342,147,71
1572091214,1406,1393
1572103956,498,393
1572107547,197,225
1572132253,14,0
1572139938,14,21
1572147609,5,12
1572148742,121,88
1572174015,1031,1289
1572197550,500,165
1572200913,237,419
1572218891,10,13
1572226815,18,25
1572234971,10,12
1572235142,131,66
1572260415,1152,1637
1572291396,500,79
1572294011,318,454
1572306013,20,31
1572313936,15,40
1572321617,14,9
1572346815,1452,1931
1572382370,499,498
1572385471,183,370
1572391217,17,12
1572398899,20,28
1572406810,12,14
1572407942,102,72
1572429615,1330,1327
1572474247,500,441
1572477636,234,181
1572480028,13,16
1572484098,12,13
1572492010,17,11
1572494343,94,67
1572516015,1444,1364
1572566183,517,485
1572568568,287,254
1572570008,13,14
1572573851,1,23
1572577930,14,0
1572580742,89,65
1572602415,1457,1297
1572651850,18,10
1572659073,499,493
1572659530,23,24
1572661952,220,218
1572667692,22,21
1572688815,1431,1195
1572737052,12,12
1572744731,12,36
1572751208,498,418
1572752410,9,9
1572753542,79,77
1572755073,204,229
1572771614,1103,951
1572824652,14,0
1572830420,19,32
1572838086,9,10
1572839942,135,92
1572843646,499,6097
1572846979,415,3165
1572854415,1267,1581
1572875051,500,0
1572878423,500,491
1572910332,13,4
1572917769,20,22
1572925940,14,0
1572926342,128,76
1572937214,1455,1487
1572959081,500,475
1572967238,396,178
1572995770,11,17
1573003450,12,16
1573011127,18,2
1573012742,181,76
1573020014,1357,2336
1573050976,500,414
1573060347,463,252
1573084822,17,29
1573088657,13,29
1573096333,12,15
1573099142,205,74
1573102815,1715,1914
1573144824,500,435
1573151792,369,211
1573169533,10,14
1573177208,27,56
1573185130,20,25
1573185542,109,91
1573189214,1978,1615
1573210575,435,0
1573213954,498,0
1573255208,14,0
1573262893,29,28
1573270564,11,13
1573271942,116,55
1573272015,1708,1245
1573301337,445,175
1573305399,500,477
1573341375,15,13
1573349054,16,27
1573356731,16,0
1573358414,1630,1288
1573392993,478,248
1573396353,500,489
1573430417,15,26
1573434255,13,14
1573444329,7,24
1573444815,1395,1765
1573484170,314,146
1573488769,500,492
1573515606,19,22
1573523304,22,74
1573529767,13,8
1573531215,2168,1323
1573576362,398,170
1573580893,500,493
1573601290,13,0
1573608980,14,34
1573615207,13,16
1573617615,1971,1266
1573656756,495,194
1573660840,500,495
1573686023,14,18
1573693692,16,12
1573704492,13,0
1573747976,1923,1460
1573752274,500,494
1573775767,28,37
1573783467,24,53
1573790171,11,33
1573790416,1643,1764
1573840097,364,124
1573843956,499,497
1573860731,18,11
1573868407,21,38
1573875619,12,0
1573876742,2064,1241
1573931779,427,203
1573936099,499,484
1573946169,13,12
1573953851,14,41
1573960586,1416,1299
1573963142,150,61
1574023242,364,466
1574027292,500,979
1574031631,20,0
1574039291,18,16
1574046015,1239,1719
1574049854,8,18
1574115156,430,304
1574119221,500,494
1574121133,13,25
1574128810,20,60
1574128814,1472,1463
1574135531,11,0
1574135942,117,70
1574206331,15,15
1574207055,384,243
1574211620,499,497
1574214011,15,32
1574221207,2089,1352
1574222342,151,89
1574291531,15,0
1574298756,2575,1455
1574299215,17,0
1574303775,500,487
1574306885,12,8
1574308742,135,80
1574373615,1958,1133
1574380330,12,17
1574388019,27,86
1574390419,480,229
1574395464,499,488
1574395933,155,129
1574413461,498,0
1574417313,289,0
1574460014,1775,1182
1574466263,17,0
1574473933,29,30
1574481609,13,17
1574505179,635,623
1574508753,351,276
1574533451,498,0
1574536101,298,0
1574546415,1684,916
1574551224,18,19
1574558888,30,17
1574566564,9,0
1574567942,109,103
1574613879,500,940
1574616275,281,499
1574632818,1412,1482
1574640017,18,24
1574643848,14,9
1574647692,10,37
1574651774,14,15
1574654342,112,73
1574694041,500,0
1574695710,246,0
1574719217,2000,1455
1574726179,13,17
1574733847,27,26
1574737693,14,10
1574740742,112,71
1574754968,269,197
1574762915,497,489
1574782815,246,0
1574785455,500,0
1574802016,1873,1321
1574811609,16,13
1574819289,25,24
1574826964,13,13
1574827142,118,67
1574862513,238,230
1574865885,500,493
1574888416,1685,1397
1574897288,23,0
1574904966,30,0
1574912647,11,16
1574913542,101,76
1574953960,296,319
1574954892,302,0
1574957325,496,500
1574971216,3423,1117
1574982974,14,20
1574990684,14,32
1574998573,14,18
1574999942,140,70
1575023287,226,186
1575025972,500,496
1575057617,2024,1191
1575068898,15,17
1575076818,22,67
1575084732,11,25
1575086342,178,80
1575115688,309,227
1575117612,500,497
1575138023,305,0
1575138975,499,0
1575144016,1969,1054
1575158168,15,28
1575165847,25,0
1575169932,16,20
1575172742,123,99
1575217969,299,280
1575220122,499,495
1575230417,1267,1432
1575244091,10,18
1575251769,28,38
1575259691,13,0
1575297388,426,283
1575300036,500,486
1575316816,1486,1448
1575329768,20,12
1575337455,34,12
1575345370,10,31
1575345542,143,62
1575369145,499,496
1575377530,271,208
1575403217,1538,1527
1575415689,13,0
1575423611,40,18
1575431287,17,11
1575431942,113,73
1575461311,499,499
1575470191,302,915
1575489617,1498,1519
1575501850,18,12
1575509534,32,0
1575517454,12,0
1575518342,95,72
1575539535,278,0
1575541482,500,499
1575557306,292,0
1575558763,500,500
1575576016,1773,1380
1575587057,9,15
1575594971,24,23
1575604568,17,33
1575604742,99,85
1575625699,300,381
1575627174,498,0
1575662418,1860,1153
1575675848,22,13
1575683530,21,23
1575690249,13,16
1575691142,114,108
1575717861,215,458
1575719781,500,497
1575748817,1777,1082
1575752173,235,360
1575753855,500,500
1575762009,10,28
1575769688,21,25
1575775445,3,0
1575777542,118,79
1575831618,1326,1341
1575844581,295,430
1575846981,500,497
1575847453,16,16
1575855139,29,29
1575864247,13,21
