DateTime,AddedIPs,RemovedIPs
1575517322,2,0
1575517922,9,0
1575518549,4,0
1575519121,1,0
1575519722,3,0
1575520268,80,89
1575521522,9,1
1575522149,1,2
1575522722,1,0
1575524523,56,61
1575525122,1,0
1575525749,2,0
1575526322,11,1
1575526922,1,0
1575527524,58,52
1575528722,1,0
1575529410,1,2
1575529922,3,0
1575530521,2,0
1575531122,47,33
1575531722,1,0
1575532322,2,0
1575532922,8,0
1575533521,4,2
1575534722,56,59
1575535323,3,0
1575535922,2,0
1575536549,67,55
1575537122,1,0
1575538322,105,86
1575538922,3,0
1575540210,0,2
1575541322,1,0
1575541921,67,49
1575542522,7,0
1575543749,3,1
1575544921,5,0
1575545521,2,0
1575546122,65,36
1575547410,13,2
1575547922,3,0
1575548523,11,0
1575549122,58,45
1575549722,2,0
1575550322,0,2
1575550950,1,2
1575552122,5,0
1575552722,47,49
1575553323,1,0
1575553922,1,0
1575554549,0,1
1575555122,2,0
1575555722,1,0
1575556322,59,39
1575556922,1,0
1575558149,76,59
1575558722,12,1
1575559322,2,0
1575560522,1,1
1575561122,3,0
1575561749,78,42
1575562322,4,0
1575562922,6,0
1575564122,5,0
1575564722,0,1
1575565410,6,0
1575565923,1,0
1575566523,3,0
1575567078,61,58
1575567722,5,0
1575569318,1139,372
1575569522,3,0
1575570122,0,1
1575570722,4,0
1575571322,3,0
1575572550,0,2
1575573122,5,0
1575574322,74,75
1575574922,1,0
1575575521,2,0
1575576150,1,0
1575577922,65,61
1575578522,13,0
1575579810,4,2
1575580322,1,0
1575580922,2,0
1575581522,61,65
1575582122,6,0
1575582723,1,0
1575583410,7,0
1575583923,7,0
1575584521,6,0
1575585122,59,91
1575586321,2,0
1575586950,0,1
1575587522,3,0
1575588122,2,0
1575588722,60,86
1575589922,4,0
1575591122,2,1
1575592321,59,69
1575592922,10,0
1575593522,6,0
1575594210,1,1
1575594722,1,0
1575595922,4,0
1575596522,8,0
1575597122,1,0
1575597722,98,115
1575598321,1,0
1575598922,1,0
1575600122,2,0
1575600722,2,0
1575601322,3,0
1575602522,2,1
1575603122,65,79
1575604950,4,0
1575605522,6,0
1575606122,7,0
1575606675,74,74
1575607322,4,0
1575607922,2,0
1575608522,1,0
1575608550,0,3
1575609722,21,0
1575610323,4,0
1575610922,59,66
1575612122,3,0
1575612211,2,1
1575612722,1,0
1575613322,7,0
1575613922,2,0
1575614522,56,44
1575615750,2,0
1575616322,1,0
1575617522,63,36
1575618122,3,0
1575618721,3,0
1575619410,6,0
1575619921,4,0
1575620522,2,0
1575621121,57,47
1575621722,6,0
1575622322,3,0
1575623010,3,0
1575624122,1,0
1575624722,55,49
1575625323,1,1
1575625922,3,0
1575626550,7,1
1575627122,2,0
1575628299,43,45
1575628922,8,0
1575629522,2,0
1575630210,2,1
1575630722,7,0
1575631321,3,0
1575633750,48,39
1575634922,2,0
1575635521,77,36
1575636122,1,0
1575636722,1,0
1575637922,1,1
1575638522,5,0
1575639069,49,51
1575639722,1,0
1575640950,1,1
1575642122,3,0
1575642722,64,41
1575643322,1,0
1575644550,70,53
1575645722,2,0
1575648150,5,3
1575648722,9,0
1575649322,3,0
1575649870,57,41
1575650522,6,0
1575651750,0,1
1575652922,4,0
1575655412,56,48
1575655922,2,0
1575656681,787,290
1575657079,61,60
1575657122,3,0
1575657722,1,0
1575659522,2,0
1575660122,1,0
1575660722,57,58
1575661322,4,0
1575661921,4,0
1575662522,1,0
1575664322,64,41
1575665522,1,0
1575666122,1,0
1575666722,1,1
1575667922,52,61
1575668521,1,0
1575669722,1,0
1575669811,0,1
1575670922,2,0
1575671549,76,62
1575672122,2,0
1575673412,0,2
1575675086,50,79
1575675122,1,0
1575676322,3,0
1575676951,0,1
1575677522,5,0
1575678122,3,0
1575678670,50,75
1575679322,3,0
1575680552,2,0
1575681122,5,0
1575681722,2,0
1575682322,52,56
1575682921,1,0
1575683522,5,0
1575684722,3,0
1575685922,43,51
1575686522,12,0
1575687122,6,0
1575687812,54,42
1575688322,9,0
1575688922,2,0
1575689522,89,133
1575690122,2,0
1575691351,1,0
1575691922,8,0
1575692522,3,0
1575693082,69,80
1575693722,9,0
1575694322,6,0
1575695011,2,1
1575696722,50,55
1575697322,9,0
1575697922,2,0
1575698551,53,49
1575699122,2,0
1575699723,2,0
1575700922,6,0
1575701523,4,0
1575702212,42,38
1575702722,1,0
1575703322,3,0
1575703922,41,39
1575704522,8,0
1575705122,1,0
1575705752,91,70
1575706321,1,0
1575706922,1,0
1575707522,3,0
1575708722,1,0
1575709353,1,1
1575709922,6,0
1575711122,70,36
1575711722,4,1
1575712834,3,0
1575713522,2,3
1575714122,2,0
1575714722,60,40
1575715322,1,0
1575716551,3,0
1575717722,1,0
1575718322,57,59
1575718922,7,0
1575720151,3,0
1575720722,4,0
1575721921,73,47
1575722522,10,0
1575723722,1,0
1575723752,1,1
1575724322,3,0
1575724922,1,0
1575725478,56,46
1575726122,6,0
1575726722,6,0
1575727322,1,0
1575728523,7,0
1575729122,48,44
1575729722,3,0
1575730953,4,0
1575732665,53,47
1575733322,11,0
1575734553,2,0
1575735721,4,0
1575736290,63,51
1575736922,11,0
1575737522,3,0
1575738213,3,1
1575738721,2,0
1575739321,1,0
1575739922,3,1
1575740522,5,0
1575741122,3,0
1575741754,68,44
1575742322,6,0
1575743521,66,54
1575743793,914,281
1575744122,9,0
1575745413,2,1
1575747122,82,53
1575747722,7,0
1575748922,2,0
1575748952,0,1
1575749522,1,1
1575750121,1,1
1575750722,64,65
1575751322,2,0
1575751922,3,0
1575752612,0,3
1575753122,1,0
1575753721,13,0
1575754922,2,0
1575755522,8,0
1575756122,56,56
1575756722,2,2
1575757322,2,0
1575757922,2,0
1575758522,6,0
1575759813,91,131
1575760322,0,1
1575760922,2,0
1575762123,2,0
1575763922,4,0
1575764522,3,0
1575765121,57,71
1575765722,2,1
1575766922,1,0
1575767521,4,0
1575768122,3,0
1575768722,45,56
1575769322,10,0
1575769922,1,0
1575770612,3,1
1575771122,1,0
1575771722,1,0
1575772322,46,65
1575772922,3,1
1575773522,5,0
1575775922,1,0
1575776523,65,78
1575777122,4,0
1575777722,1,0
1575778322,2,2
1575779522,2,0
1575780122,64,73
1575781323,1,0
1575781922,1,1
1575783122,1,0
1575783722,1,0
1575785012,38,58
1575785522,4,0
1575786122,1,0
1575786722,57,47
1575787323,7,0
1575788552,21,1
1575789122,4,0
1575789722,6,0
1575790286,43,35
1575790322,4,0
1575790922,22,0
1575791522,4,0
1575792153,14,2
1575792722,7,0
1575793321,1,0
1575793922,1,0
1575794522,3,0
1575795122,7,0
1575795813,57,36
1575796922,3,0
1575797523,62,40
1575798122,2,0
1575798722,1,0
1575799353,61,43
1575799922,0,1
1575800522,1,0
1575801722,2,0
1575802322,1,0
1575802953,2,0
1575804122,6,0
1575804722,76,60
1575805322,1,0
1575806552,6,2
1575807122,1,0
1575807723,3,0
1575808322,67,48
1575808922,2,0
1575809522,4,0
1575810123,2,0
1575810212,0,1
1575811322,2,0
1575811922,65,54
1575812522,2,0
1575813722,1,0
1575814322,1,0
1575814922,1,0
1575817413,54,58
1575817922,2,0
1575818522,2,0
1575819122,73,52
1575819722,3,0
1575820953,1,1
1575821522,2,0
1575822122,3,0
1575822722,79,45
1575823322,1,0
1575823922,1,0
1575824553,68,48
1575825122,2,0
1575825722,1,0
1575826922,1,0
1575827522,1,0
1575828213,1,1
1575829322,1,0
1575829922,64,58
1575830914,1485,297
1575831122,5,0
1575831753,1,0
1575832322,1,0
1575833522,4,0
1575834122,2,0
1575834722,3,0
1575835322,122,98
1575835922,9,0
1575836522,4,0
1575837122,1,0
1575837721,3,0
1575838953,2,0
1575840122,2,0
1575840722,50,67
1575841322,2,0
1575841922,5,0
1575842613,53,78
1575843722,1,0
1575844322,3,0
1575845522,1,0
1575846122,80,51
1575846213,0,2
1575846722,2,0
