DateTime,Entries,UniqueIPs
1574554354,2111,620578893
1574556603,2111,620578893
1574558001,2119,620578902
1574559903,2118,620578646
1574561647,2123,620578651
1574565304,2122,620578650
1574568903,2112,620578640
1574572407,2116,620578643
1574575972,2108,620578635
1574579702,2115,620578642
1574583302,2120,620578647
1574586720,2125,620578652
1574590502,2127,620578654
1574594102,2130,620578658
1574595570,2131,620578914
1574597702,2127,620578910
1574600102,2130,620576862
1574601602,2127,620576859
1574605202,2116,620576848
1574606102,2117,620577104
1574607903,2117,620577104
1574608502,2125,620577111
1574609703,2125,620577111
1574612702,2125,620577112
1574615702,2130,620577118
1574619302,2129,620577116
1574622902,2129,620577115
1574625621,2128,620576859
1574626502,2127,620576858
1574630102,2116,620576847
1574632202,2115,620576591
1574633702,2125,620576601
1574637303,2118,620576594
1574640902,2127,620576603
1574644503,2144,620576620
1574647502,2144,620576620
1574648102,2142,620576618
1574651703,2143,620576618
1574655302,2125,620576601
1574658902,2135,620576611
1574660403,2135,620576611
1574662503,2133,620576609
1574666103,2131,620576607
1574669702,2133,620576610
1574673302,2129,620576605
1574676302,2128,620576349
1574676903,2126,620576347
1574680504,2127,620576349
1574684102,2130,620576352
1574687703,2134,620576356
1574691129,2134,620576356
1574694711,2134,620576355
1574698504,2134,620576355
1574702402,2132,620576353
1574705102,2132,620576353
1574705515,2122,620576344
1574709105,2124,620576345
1574712903,2124,620576345
1574716502,2131,620576352
1574720103,2134,620576355
1574723703,2135,620576356
1574727173,2158,620576379
1574728355,2158,620576379
1574730695,2154,620576375
1574734318,2148,620576369
1574737890,2120,620576341
1574741500,2103,620576324
1574745304,2102,620576324
1574748902,2104,620576326
1574752503,2104,620576326
1574755944,2111,620576334
1574759507,2110,620576332
1574763113,2110,620576332
1574766751,2109,620576330
1574770638,2107,620576328
1574772902,1979,620275272
1574773891,1984,620275275
1574775603,1984,620275275
1574776802,1984,620275275
1574777702,1984,620275276
1574779802,1983,620275276
1574781147,1983,620275277
1574784017,1983,620275277
1574784728,1985,620275278
1574788339,1984,620275278
1574788503,1984,620275278
1574789103,1984,620275278
1574791885,1984,620275277
1574792102,1984,620275277
1574792702,1984,620275277
1574795518,1984,620275276
1574798702,1984,620275276
1574799084,1982,620275274
1574802726,1979,620275271
1574804208,1979,620275271
1574806304,1977,620275269
1574809934,1978,620275270
1574813702,1983,620275276
1574817302,1997,620275290
1574820721,1999,620275293
1574821813,1999,620275293
1574824502,1990,620275285
1574828102,1990,620275284
1574831704,1986,620275280
1574835152,1982,620275275
1574838698,1988,620275281
1574842502,1985,620275278
1574846104,1987,620275283
1574849704,1987,620275283
1574853303,1989,620275285
1574856692,1988,620275284
1574859302,1982,620258900
1574860502,1976,620258892
1574863920,1978,620258893
1574867509,1979,620258894
1574871303,1978,620258893
1574874742,1980,620258894
1574877902,1980,620258894
1574878314,1976,620258891
1574882103,1977,620258891
1574885712,1977,620258636
1574889303,1978,620258637
1574892022,1978,620258637
1574892902,1976,620258636
1574896502,1974,620258634
1574900052,1990,620258649
1574903717,1993,620258651
1574907302,1998,620258656
1574910859,1996,620258654
1574915102,2000,620258659
1574918102,1988,620258648
1574921702,1989,620258649
1574925302,1989,620258649
1574926202,1989,620258649
1574927103,1989,620258649
1574928902,1990,620258649
1574932802,1987,620258646
1574936102,1983,620258643
1574939704,1975,620258633
1574943463,1978,620258637
1574946603,1975,620255053
1574946902,1962,620255041
1574948102,1963,620255553
1574950503,1981,620255571
1574954103,1987,620255578
1574955012,1986,620255322
1574957702,1987,620255322
1574961302,1990,620255326
1574964903,1984,620255320
1574968504,1983,620255317
1574970303,1983,620255317
1574972103,1979,620255313
1574975702,1983,620255317
1574978702,1983,620255317
1574979302,1983,620255318
1574982751,1986,620255320
1574985002,1986,620255320
1574986503,1992,620255326
1574990102,2006,620255340
1574993519,2008,620255343
1574994002,2001,620241263
1574997602,1997,620241259
1575000902,1976,620241239
1575004345,1972,620241235
1575007932,1972,620241234
1575011547,1969,620241233
1575015119,1972,620241235
1575018765,1968,620241229
1575022311,1972,620241235
1575026102,1973,620241236
1575029526,1968,620241230
1575031821,1972,620225102
1575033302,1969,620225101
1575033902,1969,620225101
1575035402,1970,620225102
1575036709,1978,620225111
1575040341,1983,620225114
1575041460,1981,620224858
1575044402,1982,620224860
1575047702,1978,620224855
1575051106,1980,620224858
1575054903,1973,620224850
1575058802,1977,620224852
1575059702,1977,620224852
1575062103,1979,620224854
1575065102,1980,620224854
1575065556,1981,620224855
1575067104,1980,620224855
1575069177,1979,620224854
1575070832,1980,620224854
1575072903,2003,620224878
1575076504,2001,620224877
1575079961,2001,620224877
1575083702,1993,620224871
1575087302,1975,620224853
1575090902,1972,620224849
1575094503,1971,620224847
1575098102,1971,620224846
1575101703,1970,620224845
1575105199,1972,620224846
1575108903,1973,620224848
1575112502,1972,620224847
1575113702,1970,620215375
1575116103,1970,620215376
1575117063,1972,620215888
1575118865,1977,620203600
1575119703,1974,620203598
1575120902,1973,620203342
1575123151,1978,620203346
1575126740,1975,620203343
1575130502,1975,620203341
1575131411,1975,620203341
1575134104,1971,620203337
1575137562,1974,620203340
1575138611,1974,620203340
1575141302,1973,620203339
1575144023,1973,620203339
1575144903,1973,620203339
1575148366,1974,620203341
1575151221,1974,620203341
1575151973,1977,620203344
1575155557,1975,620203342
1575161402,1992,620203360
