DateTime,AddedIPs,RemovedIPs
1573987195,0,2
1573988781,41,22
1573991102,0,256
1573995841,4388,4361
1573997722,3,1
1574001303,1,0
1574006641,5167,5123
1574008211,0,10
1574008756,2,0
1574012103,1,0
1574017441,5735,5725
1574019464,3,3
1574028417,6312,6289
1574030216,5,3
1574036401,1,0
1574038605,1,3
1574039041,6378,6625
1574049074,1,0
1574049841,5300,5200
1574051545,0,1
1574059800,2,0
1574060641,3223,3155
1574070422,1,1
1574071493,4069,4021
1574074817,20,14
1574081437,1,2
1574082241,5308,5271
1574091872,0,2
1574093098,6109,6084
1574094611,0,8
1574101473,1,2
1574103896,6524,6525
1574110570,3,5
1574112580,1,2
1574112916,169,0
1574114702,6908,6918
1574115603,1,0
1574116505,2,0
1574120106,1,0
1574123423,7,2
1574125441,7107,7375
1574134703,2,1
1574136241,5358,5311
1574145365,2,0
1574147041,3254,3149
1574155359,2,3
1574156118,7,0
1574156712,508,0
1574157008,1,0
1574157909,4934,4868
1574161217,70,13
1574166378,1,4
1574168915,5622,5613
1574177524,1,3
1574179441,6284,6241
1574180491,0,4
1574187608,2,4
1574188350,1,0
1574190310,6719,6687
1574197945,3,6
1574198559,4,0
1574201106,7009,7018
1574209029,2,2
1574211841,7019,7309
1574219502,2,0
1574222704,4458,4474
1574223606,0,1
1574230806,2,2
1574233441,2608,2508
1574240265,1,2
1574244241,3735,3681
1574249513,23,21
1574251186,3,1
1574262141,256,1
1574265915,0,5
1574272829,1,2
1574277601,1,0
1574278503,1,0
1574282484,1,2
1574285541,6,5
1574287441,5808,5705
1574293352,1,6
1574298241,6000,6239
1574303715,0,1
1574306815,1,0
1574309041,4052,4036
1574310399,0,2
1574314004,2,1
1574319841,2368,2269
1574323912,2,1
1574325012,0,511
1574331625,3347,3284
1574334431,0,1
1574336497,32,20
1574341441,4244,4229
1574343913,253,0
1574345606,2,3
1574352327,4804,4782
1574356455,1,1
1574363041,5232,5231
1574366875,1,2
1574373141,10,3
1574373841,5701,5668
1574377845,2,1
1574384641,5876,6129
1574387811,4,4
1574395441,2775,2698
1574399123,1,2
1574401820,4,0
1574406241,3004,2927
1574408148,1,4
1574416828,0,2
1574417149,2906,2841
1574419650,1,1
1574420418,25,22
1574427841,3878,3854
1574429806,3,1
1574433626,1,1
1574436016,1,0
1574438641,4539,4511
1574440764,3,2
1574449441,5089,5093
1574451729,2,2
1574458204,255,0
1574460523,5478,5429
1574462894,3,1
1574471041,5639,5819
1574472612,1,0
1574477543,1,0
1574480119,1,0
1574481923,4075,4085
1574483403,246,1
1574492641,2738,2678
1574503541,3710,3667
1574504976,1,3
1574507226,29,23
1574514241,4601,4591
1574515936,1,2
1574521710,1,0
1574522416,1,0
1574525041,5252,5228
1574527070,4,5
1574535919,5686,5627
1574537718,0,1
1574541013,510,0
1574543119,2,0
1574545817,1,0
1574546641,6037,6056
1574547831,3,5
1574553924,1,0
1574557519,6209,6378
1574558699,10,0
1574568322,3747,3786
1574569558,2,0
1574579041,2288,2229
1574580737,1,0
1574589918,2747,2709
1574591712,3,0
1574593624,16,24
1574600641,3578,3558
1574601535,0,1
1574602540,6,0
1574606119,254,0
1574607672,252,0
1574611441,4165,4129
1574612538,0,1
1574622241,4801,4801
1574623424,2,1
1574632006,256,0
1574633121,5216,5168
1574634461,1,3
1574634918,1,0
1574644024,5571,5748
1574645175,2,2
1574649407,1,0
1574651122,1,0
1574654415,0,2
1574654722,4037,4042
1574656517,1,2
1574665441,2299,2231
1574665585,1,0
1574667319,1,0
1574675434,4,0
1574676333,3109,3073
1574678912,0,2
1574679923,22,28
1574687120,3957,3951
1574697979,4646,4592
1574708850,5203,5184
1574719441,5605,5603
1574719823,3,3
1574722218,1,0
1574722570,1,3
1574730319,5789,5965
1574730326,1,3
1574733020,1,0
1574733923,1,0
1574740614,0,16
1574741120,3717,3740
1574751841,2778,2701
1574762523,1,1
1574762726,3621,3574
1574766252,1,1
1574767299,22,25
1574773690,4576,4546
1574779513,255,0
1574782519,1,0
1574783416,1,0
1574784017,0,6
1574784319,5118,5099
1574784582,3,2
1574795118,5661,5614
1574795317,4,4
1574797814,1,0
1574798720,3,0
1574805408,1,2
1574805919,6086,6079
1574809945,6,6
1574815815,1,3
1574816721,6214,6411
1574826546,2,2
1574827520,3953,3962
1574837114,1,1
1574838242,2300,2234
1574847978,1,8
1574849041,2901,2860
1574849135,2,0
1574852418,35,42
1574853867,2,8
1574858978,2,3
1574859841,3672,3669
1574870641,4260,4243
1574879714,1,0
1574880418,0,2
1574881515,4719,4723
1574890691,4,1
1574892241,5109,5071
1574897534,3,1
1574901587,1,3
1574903041,5337,5481
1574907613,1,0
1574912649,0,3
1574913415,0,2
1574913841,3471,3489
1574923503,2,2
1574924641,2129,2096
1574934627,4,1
1574935520,2444,2385
1574938818,19,24
1574940011,1,0
1574941228,8,8
1574944645,0,1
1574946620,3310,3296
1574948113,508,256
1574955455,3,3
1574956612,0,9
1574957041,3762,3734
1574966334,1,1
1574967841,4288,4283
1574970612,0,256
1574977810,1,3
1574978710,4598,4591
1574982311,1,0
1574984899,1,4
1574987499,1,2
1574989441,5069,5211
1574998211,0,1
1575000241,3052,3050
1575009052,3,4
1575011109,2028,2004
1575020127,1,1
1575022114,2171,2103
1575025615,66,40
