DateTime,AddedIPs,RemovedIPs
1575477722,11,0
1575479522,2,0
1575480122,2,0
1575480722,1,0
1575481322,3,0
1575481922,1,0
1575482205,1257,272
1575482521,2,0
1575483122,3,0
1575483722,10,0
1575484922,7,0
1575486122,2,0
1575487322,4,0
1575488522,5,0
1575489122,3,0
1575489722,1,0
1575490322,7,0
1575490922,3,0
1575491522,1,0
1575492122,10,0
1575492722,1,1
1575493322,1,0
1575495122,1,0
1575496322,2,0
1575497522,7,0
1575498122,6,0
1575498722,6,0
1575499323,2,0
1575500522,3,1
1575501722,1,0
1575502322,7,0
1575502922,2,0
1575503522,8,0
1575504122,1,0
1575506522,1,0
1575507122,5,0
1575508322,1,0
1575508922,4,0
1575509522,8,0
1575510722,2,0
1575511322,1,0
1575513123,1,0
1575513723,1,0
1575514322,1,0
1575514922,3,0
1575515522,4,0
1575516721,2,0
1575516722,3,0
1575517322,2,0
1575517922,9,0
1575518522,4,0
1575519121,1,0
1575519722,3,0
1575521522,9,1
1575522122,1,0
1575522722,1,0
1575524523,7,0
1575525122,1,0
1575525722,2,0
1575526322,11,1
1575526922,1,0
1575528722,1,0
1575529322,1,0
1575529922,3,0
1575530521,2,0
1575531122,0,1
1575531722,1,0
1575532322,2,0
1575532922,8,0
1575533521,4,0
1575534722,2,0
1575535323,3,0
1575535922,2,0
1575536522,8,1
1575537122,1,0
1575538322,1,0
1575538922,3,0
1575541322,1,0
1575541921,12,0
1575542522,7,0
1575543722,3,0
1575544921,5,0
1575545521,2,0
1575546122,6,0
1575547322,12,0
1575547922,3,0
1575548523,11,0
1575549122,2,0
1575549722,2,0
1575550322,0,2
1575550922,1,0
1575552122,5,0
1575552722,4,0
1575553323,1,0
1575553922,1,0
1575555122,2,0
1575555722,1,0
1575556322,1,0
1575556922,1,0
1575558122,3,0
1575558722,12,1
1575559322,2,0
1575560522,1,1
1575561122,3,0
1575561722,15,0
1575562322,4,0
1575562922,6,0
1575564122,5,0
1575564722,0,1
1575565322,6,0
1575565923,1,0
1575566523,3,0
1575567722,5,0
1575569318,1044,331
1575569522,3,0
1575570122,0,1
1575570722,4,0
1575571322,3,0
1575573122,5,0
1575574922,1,0
1575575521,2,0
1575576122,1,0
1575577922,1,0
1575578522,13,0
1575579721,4,0
1575580322,1,0
1575580922,2,0
1575581522,1,0
1575582122,6,0
1575582723,1,0
1575583321,7,0
1575583923,7,0
1575584521,6,0
1575585122,1,0
1575586321,2,0
1575587522,3,0
1575588122,2,0
1575588722,1,0
1575589922,4,0
1575591122,1,0
1575592922,10,0
1575593522,6,0
1575594123,1,0
1575594722,1,0
1575595922,4,0
1575596522,8,0
1575597122,1,0
1575597722,10,0
1575598321,1,0
1575598922,1,0
1575600122,2,0
1575600722,2,0
1575601322,3,0
1575602522,2,1
1575603122,2,0
1575604922,4,0
1575605522,6,0
1575606122,7,0
1575607322,4,0
1575607922,2,0
1575608522,1,0
1575609722,21,0
1575610323,4,0
1575610922,10,0
1575612122,3,0
1575612722,1,0
1575613322,7,0
1575613922,2,0
1575614522,1,0
1575615722,2,0
1575616322,1,0
1575617522,3,0
1575618122,3,0
1575618721,3,0
1575619321,6,0
1575619921,4,0
1575620522,2,0
1575621121,6,0
1575621722,6,0
1575622322,3,0
1575622922,3,0
1575624122,1,0
1575624722,1,0
1575625323,1,1
1575625922,3,0
1575626522,7,0
1575627122,2,0
1575628922,8,0
1575629522,2,0
1575630121,2,1
1575630722,7,0
1575631321,3,0
1575634922,2,0
1575635521,4,0
1575636122,1,0
1575636722,1,0
1575637922,1,0
1575638522,5,0
1575639722,1,0
1575640922,1,0
1575642122,3,0
