DateTime,AddedIPs,RemovedIPs
1574909785,20,33
1574911939,15,28
1574914119,20,23
1574916014,19,21
1574917957,10,17
1574919848,8,17
1574922037,30,19
1574923932,18,19
1574925852,14,24
1574928037,44,31
1574930197,37,25
1574932116,18,15
1574934028,23,41
1574936180,14,30
1574938339,19,33
1574940258,9,1089
1574942169,32,27
1574944107,550,0
1574946022,17,31
1574947939,18,20
1574950100,18,22
1574952012,15,28
1574953948,17,16
1574955862,21,28
1574957798,12,38
1574959695,9,23
1574961642,25,23
1574963546,27,22
1574965448,19,34
1574967378,25,40
1574969309,14,22
1574971220,15,36
1574973156,24,17
1574975315,18,26
1574977210,23,16
1574979398,19,18
1574981295,16,18
1574983450,12,7
1574985386,21,24
1574987289,489,0
1574989224,17,27
1574991354,22,18
1574993310,13,17
1574995210,20,24
1574997134,23,11
1574999057,26,26
1575001225,30,40
1575003129,18,20
1575005054,18,19
1575007257,11,26
1575009136,14,29
1575011065,21,42
1575012972,32,22
1575015142,30,29
1575017053,11,16
1575018990,7,21
1575020892,17,16
1575022832,20,20
1575024732,17,16
1575026668,15,858
1575028569,33,23
1575030485,497,0
1575032419,21,23
1575034329,9,16
1575036512,30,19
1575038671,17,24
1575040583,19,19
1575042513,8,23
1575044675,17,19
1575046843,17,21
1575048994,19,10
1575050918,12,18
1575053055,12,23
1575055214,18,29
1575057152,9,29
1575059065,32,46
1575060992,13,29
1575062892,8,27
1575064831,18,24
1575066742,7,13
1575068921,18,26
1575070826,22,13
1575072986,447,0
1575074894,6,17
1575076835,29,17
1575078749,14,16
1575080653,17,19
1575082580,27,21
1575084738,22,17
1575086655,15,17
1575088587,15,22
1575090489,11,9
1575092416,14,10
1575094350,16,14
1575096260,14,21
1575098417,22,27
1575100333,11,29
1575102263,14,45
1575104169,13,29
1575106338,16,28
1575108501,15,18
1575110410,13,18
1575112351,11,895
1575114250,19,17
1575116441,471,0
1575118330,21,13
1575120263,10,16
1575122167,13,17
1575124353,15,17
1575126521,16,22
1575128426,15,30
1575130333,16,24
1575132267,21,24
1575134430,21,20
1575136331,10,14
1575138261,12,6
1575140167,8,25
1575142090,8,31
1575144015,10,37
1575145956,11,25
1575148115,16,23
1575150013,9,19
1575151937,10,14
1575153862,10,19
1575155769,12,21
1575157696,6,16
1575159626,422,0
1575161531,11,13
1575163450,13,14
1575165381,16,13
1575167536,41,15
1575169457,17,18
1575171396,17,23
1575173561,15,26
1575175454,16,23
1575177376,11,17
1575179311,11,12
1575181223,8,7
1575183151,12,22
1575185052,11,26
1575187224,14,38
1575189160,8,23
1575191073,10,19
1575193231,16,22
1575195150,16,14
1575197051,9,18
1575198975,6,785
1575201146,27,32
1575203310,423,0
1575205229,17,19
1575207149,19,19
1575209302,10,21
1575211469,14,23
1575213378,16,21
1575215292,8,19
1575217223,10,20
1575219136,16,14
1575221050,11,15
1575222982,16,19
1575224886,15,20
1575226812,13,25
1575228749,17,9
1575230918,18,19
1575232815,22,21
1575234732,13,13
1575236651,15,24
1575238581,14,13
1575240738,20,12
1575242662,12,19
1575244577,17,27
1575246748,394,0
1575248657,15,14
1575250583,23,19
1575252492,27,16
1575254412,21,23
1575256351,15,19
1575258261,18,18
1575260201,22,14
1575262095,17,13
1575264016,14,15
1575265947,21,17
1575267852,15,18
1575269783,45,22
1575271690,33,10
1575273611,19,17
1575275550,24,14
1575277461,18,14
1575279386,25,21
1575281303,16,14
1575283232,16,11
1575285137,14,612
1575287072,22,16
1575288983,315,0
1575291134,20,18
1575293052,15,4
1575294985,21,11
1575296890,18,16
1575298836,16,15
1575300759,18,18
1575302682,14,5
