DateTime,Entries,UniqueIPs
1574909785,2176,2176
1574911939,2163,2163
1574914119,2160,2160
1574916014,2158,2158
1574917957,2151,2151
1574919848,2142,2142
1574922037,2153,2153
1574923932,2152,2152
1574925852,2142,2142
1574928037,2155,2155
1574930197,2167,2167
1574932116,2170,2170
1574934028,2152,2152
1574936180,2136,2136
1574938339,2122,2122
1574940258,1042,1042
1574942169,1047,1047
1574944107,1597,1597
1574946022,1583,1583
1574947939,1581,1581
1574950100,1577,1577
1574952012,1564,1564
1574953948,1565,1565
1574955862,1558,1558
1574957798,1532,1532
1574959695,1518,1518
1574961642,1520,1520
1574963546,1525,1525
1574965448,1510,1510
1574967378,1495,1495
1574969309,1487,1487
1574971220,1466,1466
1574973156,1473,1473
1574975315,1465,1465
1574977210,1472,1472
1574979398,1473,1473
1574981295,1471,1471
1574983450,1476,1476
1574985386,1473,1473
1574987289,1962,1962
1574989224,1952,1952
1574991354,1956,1956
1574993310,1952,1952
1574995210,1948,1948
1574997134,1960,1960
1574999057,1960,1960
1575001225,1950,1950
1575003129,1948,1948
1575005054,1947,1947
1575007257,1932,1932
1575009136,1917,1917
1575011065,1896,1896
1575012972,1906,1906
1575015142,1907,1907
1575017053,1902,1902
1575018990,1888,1888
1575020892,1889,1889
1575022832,1889,1889
1575024732,1890,1890
1575026668,1047,1047
1575028569,1057,1057
1575030485,1554,1554
1575032419,1552,1552
1575034329,1545,1545
1575036512,1556,1556
1575038671,1549,1549
1575040583,1549,1549
1575042513,1534,1534
1575044675,1532,1532
1575046843,1528,1528
1575048994,1537,1537
1575050918,1531,1531
1575053055,1520,1520
1575055214,1509,1509
1575057152,1489,1489
1575059065,1475,1475
1575060992,1459,1459
1575062892,1440,1440
1575064831,1434,1434
1575066742,1428,1428
1575068921,1420,1420
1575070826,1429,1429
1575072986,1876,1876
1575074894,1865,1865
1575076835,1877,1877
1575078749,1875,1875
1575080653,1873,1873
1575082580,1879,1879
1575084738,1884,1884
1575086655,1882,1882
1575088587,1875,1875
1575090489,1877,1877
1575092416,1881,1881
1575094350,1883,1883
1575096260,1876,1876
1575098417,1871,1871
1575100333,1853,1853
1575102263,1822,1822
1575104169,1806,1806
1575106338,1794,1794
1575108501,1791,1791
1575110410,1786,1786
1575112351,902,902
1575114250,904,904
1575116441,1375,1375
1575118330,1383,1383
1575120263,1377,1377
1575122167,1373,1373
1575124353,1371,1371
1575126521,1365,1365
1575128426,1350,1350
1575130333,1342,1342
1575132267,1339,1339
1575134430,1340,1340
1575136331,1336,1336
1575138261,1342,1342
