DateTime,AddedIPs,RemovedIPs
1568531789,7,3
1568546671,9,0
1568561555,3,1
1568576432,10,0
1568591075,12,1
1568605692,8,2
1568620336,5,6
1568634968,7,0
1568649671,10,4
1568664255,8,2
1568678886,8,1
1568693531,11,1
1568708168,10,1
1568722827,8,0
1568737455,12,0
1568752091,14,0
1568766729,6,2
1568781614,12,0
1568796250,5,0
1568810907,8,1
1568825535,5,0
1568840171,4,5
1568854811,11,2
1568869696,9,2
1568884329,8,3
1568899227,17,7
1568913864,11,2
1568928486,11,0
1568943150,9,2
1568957772,12,2
1568972654,8,2
1568987293,3,1
1569001928,5,1
1569016842,8,8
1569031453,8,3
1569046114,11,0
1569060746,7,4
1569075368,8,3
1569090029,4,3
1569104667,5,1
1569119307,9,2
1569133931,10,1
1569148828,6,2
1569163454,8,3
1569178108,12,2
1569192729,8,2
1569207421,11,2
1569222035,9,1
1569236657,12,5
1569251551,17,1
1569266172,7,1
1569281055,15,5
1569295938,12,2
1569310588,18,5
1569325210,10,2
1569339851,8,0
1569354738,16,0
1569369367,7,1
1569384023,4,8
1569398902,6,2
1569414061,10,1
1569428896,5,2
1569443543,6,2
1569458184,2,1
1569472808,4,1
1569487464,3,3
1569502335,11,0
1569517236,8,0
1569532094,10,1
1569546724,9,0
1569561612,12,2
1569576253,8,2
1569591147,10,0
1569606011,6,1
1569620651,6,1
1569635311,10,2
1569649941,6,1
1569664569,10,2
1569679223,15,0
1569693853,11,1
1569708498,10,0
1569723130,10,2
1569737794,3,5
1569752407,2,3
1569767062,30,2
1569781943,4,4
1569796582,10,1
1569811208,4,4
1569825848,10,0
1569840495,11,2
1569855372,6,5
1569870012,7,3
1569884900,12,1
1569899554,12,1
1569914174,6,5
1569928813,8,1
1569943460,2,1
1569958331,6,1
1569972985,8,3
1569987609,6,1
1570002256,13,0
1570016900,7,1
1570031538,5,2
1570046178,11,4
1570060822,10,4
1570075453,8,2
1570089992,13,2
1570104738,2,2
1570119369,12,0
1570134007,11,1
1570148582,4,2
1570163534,8,1
1570178178,5,3
1570192812,8,3
1570207461,8,0
1570222091,7,1
1570236730,6,2
