DateTime,AddedIPs,RemovedIPs
1575216005,794,1
1575216905,175,187
1575217805,164,206
1575219605,378,340
1575220504,196,139
1575221405,231,154
1575223205,1609,552
1575224105,342,167
1575225005,215,167
1575226805,455,342
1575227705,197,171
1575228604,241,181
1575230405,513,358
1575231305,194,177
1575232204,301,251
1575234004,299,440
1575234905,163,201
1575235804,142,279
1575237604,300,493
1575238504,116,234
1575239404,101,249
1575241204,264,549
1575242104,124,264
1575243004,136,258
1575244805,273,550
1575245704,91,239
1575246604,147,294
1575248405,342,537
1575249304,119,306
1575250204,227,301
1575252005,364,453
1575252905,195,202
1575253804,132,160
1575255604,293,430
1575257404,330,863
1575259204,370,925
1575260105,139,232
1575261004,153,181
1575262805,270,523
1575263704,115,272
1575264605,110,277
1575266404,349,519
1575267304,122,216
1575268205,157,110
1575270004,354,278
1575270904,163,144
1575271804,178,178
1575273605,355,294
1575274505,159,115
1575275405,162,132
1575277204,269,298
1575278104,179,89
1575279004,192,166
1575280805,342,305
1575281704,150,152
1575282605,128,149
1575284404,335,160
1575285304,114,144
1575286204,206,43
1575288004,341,176
1575288904,166,63
1575289804,112,40
1575291604,405,117
1575292505,199,43
1575293404,156,128
1575295204,427,187
1575297004,419,157
1575298805,518,219
1575299704,150,64
1575300605,149,122
1575302404,500,180
1575304204,254,235
1575306005,346,194
1575306904,142,86
1575307804,123,81
1575309604,235,214
1575310503,204,102
1575311404,96,89
1575313204,279,275
1575314104,736,320
1575315004,902,347
1575316805,1168,566
1575318604,838,304
1575320404,573,339
1575322204,670,364
1575324005,435,244
1575324904,238,119
1575325804,252,183
1575327605,387,686
1575328504,165,307
1575329404,180,337
1575331204,355,622
1575332105,152,250
1575333004,179,327
1575334804,359,599
1575335704,204,170
1575336604,251,240
1575338404,351,376
1575339305,204,163
1575340205,162,119
1575342005,408,278
1575343804,320,237
1575345604,383,187
1575346504,206,85
1575347404,187,71
1575349203,317,111
1575351004,368,157
1575352804,316,189
1575354604,389,114
1575356405,352,256
1575358204,278,867
1575360003,337,1113
1575360904,330,419
1575361804,228,435
1575363604,415,533
1575364504,169,235
1575365403,163,267
1575367203,306,505
1575369003,296,381
1575370803,314,387
1575371703,182,170
1575372603,149,152
1575374403,292,276
1575376203,343,335
1575378003,265,270
1575379803,319,227
1575381602,353,316
1575383402,406,264
1575385203,448,259
1575386102,208,150
1575387003,314,135
1575388802,435,256
1575389703,200,140
1575390602,197,153
1575392402,403,251
1575393302,199,101
1575394203,204,174
1575396002,300,227
1575396903,170,132
1575397803,186,119
1575399602,428,261
1575400502,164,130
1575401402,130,177
1575403203,310,376
1575404102,231,361
1575405902,347,571
1575406803,222,257
1575408603,501,343
1575410402,435,289
1575412203,514,277
1575414002,493,316
1575414903,324,171
1575415802,228,193
1575417603,520,253
1575418502,248,132
1575419402,147,182
1575421202,330,270
1575422103,158,138
1575423002,133,163
1575424803,169,326
1575425703,138,186
1575426603,97,156
1575428402,248,429
1575430203,236,399
1575432003,336,498
1575432902,146,205
1575433803,126,199
1575435603,282,375
1575436503,130,150
1575437402,124,140
1575439203,323,324
1575440103,135,154
1575441003,102,158
1575442802,308,347
1575444603,262,394
1575446403,183,273
1575447303,81,219
1575448204,102,262
1575450003,368,420
1575450903,219,242
1575451803,217,285
1575453604,439,435
1575454503,184,207
1575455404,171,255
1575457203,758,421
1575458104,389,265
1575459004,359,318
1575460804,539,409
1575461704,279,344
1575462604,261,255
1575464404,529,325
1575466203,372,317
1575468003,360,211
1575468903,187,93
1575469804,184,127
1575471604,437,215
1575472503,198,132
1575473403,216,137
1575475204,380,244
1575477004,386,372
1575478804,393,278
1575480604,338,297
1575482404,288,267
1575483304,118,193
1575484204,167,154
1575486004,336,249
1575486904,194,156
1575487804,176,168
1575489603,311,208
1575490503,134,77
1575491403,93,89
1575493203,296,274
1575495004,326,446
1575496804,195,452
1575498604,479,323
1575500404,292,560
1575501304,317,248
1575502204,221,292
1575504004,473,528
1575504904,155,241
1575505803,194,245
1575507604,311,438
1575508504,122,254
1575509404,113,167
1575511203,247,385
1575512103,120,204
1575513004,117,195
1575514803,156,456
1575516604,161,443
1575518403,169,443
1575519303,86,219
1575520203,83,213
1575522004,235,414
1575523802,329,413
1575525602,237,349
1575527403,359,342
1575529202,223,321
1575531003,220,392
1575532802,157,349
1575533703,85,247
1575534603,54,188
1575536403,106,328
1575537303,59,164
1575538203,66,175
1575540002,100,320
1575541802,145,265
1575543602,325,505
1575544502,144,191
1575545402,133,423
1575547202,210,693
1575549001,157,393
1575550801,159,411
1575552601,180,329
1575554401,143,217
1575555302,97,130
1575556201,141,103
1575558002,191,193
1575559801,122,234
1575561602,166,174
1575562502,96,103
1575563402,80,111
1575565201,153,203
1575566102,86,145
1575567002,88,198
1575568802,165,299
1575569702,94,133
1575570603,77,300
1575572402,169,197
1575573302,84,123
1575574202,73,125
1575576003,174,239
1575576903,68,105
1575577803,113,118
1575579602,143,113
1575580502,73,80
1575581402,99,69
1575583202,160,146
1575584102,523,93
1575585002,349,110
1575586802,463,201
1575588602,350,247
1575590402,323,219
1575591302,199,92
1575592202,145,89
1575594002,258,132
1575594902,100,54
1575595802,91,103
1575597602,133,157
1575599402,130,75
1575601203,120,287
1575602102,71,111
1575603002,84,57
1575604802,142,84
1575606603,136,69
1575608402,122,141
1575609302,77,72
1575610202,72,78
1575612002,166,146
1575612902,122,75
1575613802,116,72
1575615602,122,143
1575616501,58,62
1575617402,95,53
1575619202,160,135
1575621002,226,131
1575622802,166,112
1575623701,86,33
1575624602,69,41
1575626402,136,152
1575628202,110,657
1575630001,225,549
1575630901,68,248
1575631801,106,187
1575633601,140,328
1575634501,53,173
1575635401,104,197
1575637201,170,238
1575639001,231,261
1575640801,245,156
1575641702,64,63
1575642602,144,73
1575644401,154,121
1575645302,112,87
1575646201,69,96
1575648001,169,151
1575648902,106,82
1575649801,62,123
1575651602,115,108
1575652502,58,70
1575653402,99,73
1575655202,129,155
1575656101,64,99
1575657002,105,120
1575658802,123,181
1575659702,98,77
1575660602,77,63
1575662402,111,189
1575664202,129,187
1575666002,134,259
1575666902,106,135
1575668702,224,160
1575669602,132,73
1575670502,158,54
1575672302,197,92
1575673202,742,114
1575674102,538,103
1575675002,382,63
1575676802,447,183
1575677702,221,57
1575678602,174,40
1575680402,253,159
1575681303,120,98
1575683103,214,235
1575684002,142,105
1575684902,110,130
1575685802,153,58
1575687603,240,149
1575689402,270,148
1575691202,155,168
1575692102,129,80
1575693002,147,117
1575694802,280,114
1575696602,188,102
1575698402,215,161
1575700202,185,111
1575702002,239,145
1575702902,143,63
1575704702,117,143
1575705602,112,78
1575706502,74,41
1575707402,120,61
1575709202,216,119
1575710102,164,70
1575711002,101,56
1575712803,194,213
1575714602,1169,274
1575716403,801,152
1575717303,354,479
1575718203,376,315
1575720003,517,400
1575721803,512,358
1575723603,351,271
1575724503,127,139
1575725403,592,103
1575727202,498,202
1575728103,83,146
1575729003,85,103
1575730802,140,290
1575731702,91,93
1575732603,90,186
1575734403,204,162
1575735303,111,106
1575736203,96,130
1575738003,145,326
1575739803,145,157
1575741603,215,180
1575742503,74,152
1575743402,49,138
1575745203,137,179
1575746102,104,160
1575747003,63,143
1575748802,265,117
1575749703,53,123
1575750602,71,68
1575752402,157,235
1575753303,92,119
1575754202,92,161
1575756002,154,180
1575757802,161,210
1575759603,192,1207
1575761402,225,1070
1575763203,281,592
1575765002,292,503
1575766803,213,389
1575768603,139,297
1575770403,134,900
1575772203,122,301
1575774003,123,142
1575775803,110,179
1575777603,161,192
1575779404,165,218
1575781203,179,163
1575783003,107,142
1575784804,118,189
1575785704,69,95
1575787504,108,112
1575788404,46,67
1575789304,38,80
1575790203,39,107
1575792004,142,125
1575793805,99,257
1575795604,178,502
1575797404,139,566
1575799205,223,484
1575801004,253,854
1575802804,231,853
1575803704,85,120
1575804604,101,99
1575806405,314,146
1575807305,183,79
1575808205,206,70
1575810005,365,100
1575810906,151,57
1575811804,135,63
1575813604,220,95
1575814504,132,218
1575815405,99,115
1575817204,245,316
1575818105,111,246
1575819004,101,258
1575820803,150,260
1575821704,156,103
1575822604,187,119
1575824404,310,196
1575825304,167,67
1575826204,112,60
1575828004,183,195
1575828904,131,129
1575829804,124,100
1575831604,289,346
1575833404,200,176
1575835204,183,439
1575837005,177,215
1575838804,183,166
1575839704,68,139
1575840604,81,156
1575842404,208,442
1575843304,169,180
1575844204,120,212
1575846004,282,354
1575846905,105,121
1575847804,97,43
1575849604,297,88
1575850504,159,54
1575851405,149,80
1575853205,239,143
1575854104,133,74
1575855004,199,63
1575856804,316,144
1575858605,259,181
1575860404,853,366
1575862204,253,184
1575864004,250,314
1575865804,204,257
1575867605,175,339
1575869404,253,65
1575871205,241,329
1575873005,212,284
1575874804,236,87
1575876604,169,325
1575878405,251,321
1575880203,183,447
1575882004,236,506
1575882904,92,378
1575883805,83,380
1575885604,224,2147
1575886507,171,1116
1575887407,168,565
1575889209,370,531
1575891008,285,130
