DateTime,Entries,UniqueIPs
1575216005,8546,8546
1575216905,8534,8534
1575217805,8492,8492
1575219605,8530,8530
1575220504,8587,8587
1575221405,8664,8664
1575223205,9721,9721
1575224105,9896,9896
1575225005,9944,9944
1575226805,10057,10057
1575227705,10083,10083
1575228604,10143,10143
1575230405,10298,10298
1575231305,10315,10315
1575232204,10365,10365
1575234004,10224,10224
1575234905,10186,10186
1575235804,10049,10049
1575237604,9856,9856
1575238504,9738,9738
1575239404,9590,9590
1575241204,9305,9305
1575242104,9165,9165
1575243004,9043,9043
1575244805,8766,8766
1575245704,8618,8618
1575246604,8471,8471
1575248405,8276,8276
1575249304,8089,8089
1575250204,8015,8015
1575252005,7926,7926
1575252905,7919,7919
1575253804,7891,7891
1575255604,7754,7754
1575257404,7221,7221
1575259204,6666,6666
1575260105,6573,6573
1575261004,6545,6545
1575262805,6292,6292
1575263704,6135,6135
1575264605,5968,5968
1575266404,5798,5798
1575267304,5704,5704
1575268205,5751,5751
1575270004,5827,5827
1575270904,5846,5846
1575271804,5846,5846
1575273605,5907,5907
1575274505,5951,5951
1575275405,5981,5981
1575277204,5952,5952
1575278104,6042,6042
1575279004,6068,6068
1575280805,6105,6105
1575281704,6103,6103
1575282605,6082,6082
1575284404,6257,6257
1575285304,6227,6227
1575286204,6390,6390
1575288004,6555,6555
1575288904,6658,6658
1575289804,6730,6730
1575291604,7018,7018
1575292505,7174,7174
1575293404,7202,7202
1575295204,7442,7442
1575297004,7704,7704
1575298805,8003,8003
1575299704,8089,8089
1575300605,8116,8116
1575302404,8436,8436
1575304204,8455,8455
1575306005,8607,8607
1575306904,8663,8663
1575307804,8705,8705
1575309604,8726,8726
1575310503,8828,8828
1575311404,8835,8835
1575313204,8839,8839
1575314104,9255,9255
1575315004,9810,9810
1575316805,10412,10412
1575318604,10946,10946
1575320404,11180,11180
1575322204,11486,11486
1575324005,11677,11677
1575324904,11796,11796
1575325804,11865,11865
1575327605,11566,11566
1575328504,11424,11424
1575329404,11267,11267
1575331204,11000,11000
1575332105,10902,10902
1575333004,10754,10754
1575334804,10514,10514
1575335704,10548,10548
1575336604,10559,10559
1575338404,10534,10534
1575339305,10575,10575
1575340205,10618,10618
1575342005,10748,10748
1575343804,10831,10831
1575345604,11027,11027
1575346504,11148,11148
1575347404,11264,11264
1575349203,11470,11470
1575351004,11681,11681
1575352804,11808,11808
1575354604,12083,12083
1575356405,12179,12179
1575358204,11590,11590
1575360003,10814,10814
1575360904,10725,10725
1575361804,10518,10518
1575363604,10400,10400
1575364504,10334,10334
1575365403,10230,10230
1575367203,10031,10031
1575369003,9946,9946
1575370803,9873,9873
1575371703,9885,9885
1575372603,9882,9882
1575374403,9898,9898
1575376203,9906,9906
1575378003,9901,9901
1575379803,9993,9993
1575381602,10030,10030
1575383402,10172,10172
1575385203,10361,10361
1575386102,10419,10419
1575387003,10598,10598
1575388802,10777,10777
1575389703,10837,10837
1575390602,10881,10881
1575392402,11033,11033
1575393302,11131,11131
1575394203,11161,11161
1575396002,11234,11234
1575396903,11272,11272
1575397803,11339,11339
1575399602,11506,11506
1575400502,11540,11540
1575401402,11493,11493
1575403203,11427,11427
1575404102,11297,11297
1575405902,11073,11073
1575406803,11038,11038
1575408603,11196,11196
1575410402,11342,11342
1575412203,11579,11579
1575414002,11756,11756
1575414903,11909,11909
1575415802,11944,11944
1575417603,12211,12211
1575418502,12327,12327
1575419402,12292,12292
1575421202,12352,12352
1575422103,12372,12372
1575423002,12342,12342
1575424803,12185,12185
1575425703,12137,12137
1575426603,12078,12078
1575428402,11897,11897
1575430203,11734,11734
1575432003,11572,11572
1575432902,11513,11513
1575433803,11440,11440
1575435603,11347,11347
1575436503,11327,11327
1575437402,11311,11311
1575439203,11310,11310
1575440103,11291,11291
1575441003,11235,11235
1575442802,11196,11196
1575444603,11064,11064
1575446403,10974,10974
1575447303,10836,10836
1575448204,10676,10676
1575450003,10624,10624
1575450903,10601,10601
1575451803,10533,10533
1575453604,10537,10537
1575454503,10514,10514
1575455404,10430,10430
1575457203,10767,10767
1575458104,10891,10891
1575459004,10932,10932
1575460804,11062,11062
1575461704,10997,10997
1575462604,11003,11003
1575464404,11207,11207
1575466203,11262,11262
1575468003,11411,11411
1575468903,11505,11505
1575469804,11562,11562
1575471604,11784,11784
1575472503,11850,11850
1575473403,11929,11929
1575475204,12065,12065
1575477004,12079,12079
1575478804,12194,12194
1575480604,12235,12235
