DateTime,AddedIPs,RemovedIPs
1573326047,14,9
1573330844,7,0
1573336245,8,5
1573341052,8,14
1573352450,17,17
1573357845,11,16
1573365044,11,5
1573371044,4,14
1573375850,4,13
1573381844,13,0
1573387246,17,5
1573393244,8,5
1573398644,16,0
1573405244,9,23
1573410645,6,0
1573415443,6,13
1573420845,7,11
1573431644,12,21
1573437047,11,2
1573443044,9,10
1573449666,6,19
1573455647,12,13
1573461044,19,7
1573468244,14,0
1573473644,11,35
1573479649,6,0
1573485044,15,13
1573490444,7,6
1573497044,7,10
1573503044,11,8
1573509045,12,13
1573515644,10,26
1573519845,7,28
1573524647,9,0
1573530646,6,17
1573536045,9,12
1573542047,12,18
1573546845,16,0
1573553449,13,14
1573558846,16,13
1573564248,16,13
1573572046,8,13
1573579245,14,27
1573584643,16,22
1573590646,4,21
1573596045,8,0
1573601445,4,5
1573606244,9,18
1573611645,11,14
1573623043,10,21
1573628444,3,37
1573633242,8,0
1573638642,4,16
1573644657,14,0
1573650644,12,23
1573654842,9,0
1573660842,10,18
1573666243,9,22
1573671047,8,0
1573676443,8,12
1573681242,2,9
1573686644,10,13
1573690241,6,0
1573696243,6,16
1573701043,4,25
1573704640,7,12
1573710642,3,0
1573716041,7,18
1573720842,5,18
1573726243,11,13
1573733444,12,12
1573740641,12,0
1573744842,3,21
1573750241,9,19
1573755642,11,27
1573761041,6,0
1573765842,2,10
1573771841,6,22
1573776643,8,17
1573783840,7,17
1573788042,4,20
1573794640,9,23
1573800640,7,0
1573806042,8,22
1573811441,5,20
1573817448,14,11
1573822843,15,14
1573828241,10,17
1573834847,9,15
1573840841,6,23
1573845642,4,15
1573850441,7,17
1573857042,6,0
1573862442,8,21
1573867841,5,15
1573873841,4,11
1573878642,5,11
1573883441,6,6
1573890041,5,0
1573894841,8,10
1573899641,7,11
1573905641,10,4
1573910440,4,10
1573915840,0,8
1573921859,2,11
1573927239,4,11
1573932639,0,15
1573937439,4,10
1573943440,6,16
1573947639,3,29
1573953040,2,0
1573959640,5,0
1573964439,3,24
1573969839,5,8
1573974639,5,0
1573980039,13,9
1573986040,10,7
1573992638,12,7
1573997439,7,26
1574003438,3,0
1574007640,3,15
1574012439,2,7
1574018440,6,7
1574023839,3,18
1574029240,1,26
1574034639,1,0
1574040639,5,9
1574045439,4,8
1574080840,31,84
1574086838,11,20
1574091039,12,19
1574095238,6,15
1574098837,5,0
1574101838,7,0
1574106052,3,22
1574109638,4,18
1574112640,5,0
1574116244,5,24
1574120442,19,15
1574126441,17,0
1574131840,11,24
1574136639,8,18
1574143239,12,16
1574147438,5,17
1574158841,18,50
1574164238,6,20
1574169639,9,31
1574175038,5,0
1574180437,6,43
1574184035,5,0
1574188838,10,26
1574194237,7,19
1574200238,11,18
1574205039,11,24
1574211038,12,10
1574216438,16,22
1574221237,15,52
1574227238,12,24
1574232637,10,0
1574238038,6,23
1574244038,11,12
1574248837,8,61
1574254237,5,0
1574259037,0,21
1574265638,10,20
1574270436,13,28
1574275238,6,0
1574278836,4,11
1574284238,6,15
1574290238,16,15
1574295656,8,37
1574300455,8,17
1574306438,7,0
1574311837,13,39
1574317837,8,9
1574323237,7,17
1574327438,5,12
1574333439,3,31
1574339438,5,23
1574344838,3,8
1574349043,10,0
1574355039,14,9
1574360438,5,12
1574365838,7,20
1574370637,7,10
1574374235,8,0
1574379638,15,16
1574385036,9,23
1574390436,8,18
1574394035,8,0
1574399437,8,33
1574405437,6,14
1574410837,6,0
1574416836,6,14
1574421637,14,25
1574427038,10,0
1574433037,8,16
1574437836,7,27
1574442637,15,0
1574448721,33,8
1574453436,9,8
1574458837,9,12
1574464237,10,27
1574469636,10,16
1574481036,18,21
1574487037,7,5
1574492438,5,20
1574497235,7,20
1574502636,8,15
1574507436,5,10
1574512837,10,8
1574517636,7,11
1574523036,8,9
1574527835,5,12
1574532636,5,7
1574538035,8,13
1574543435,3,6
1574548835,3,6
1574553635,6,9
1574557234,3,0
1574560235,6,11
1574565035,5,10
1574571036,15,10
1574576438,11,8
1574581835,14,6
1574587235,8,13
1574592636,11,9
1574597441,6,7
1574603435,5,6
1574609435,4,6
1574613635,2,5
1574619035,3,12
1574623835,3,10
1574628036,2,8
1574631634,1,0
1574637034,3,5
1574640633,3,0
1574644234,6,28
1574647833,6,17
1574653834,4,47
1574658634,12,0
1574664033,18,0
1574670034,8,0
1574675434,5,0
1574679637,7,0
1574683834,2,12
1574689234,5,0
1574693434,7,10
1574698834,5,10
1574703034,7,16
1574707235,9,4
1574712635,7,11
1574718636,8,8
1574723435,7,9
1574728236,3,14
1574732436,9,20
1574737836,13,8
1574741434,2,0
1574745636,11,14
1574750439,6,5
1574757037,8,15
1574766637,14,7
1574772638,14,8
1574778037,2,7
1574784038,13,7
1574788837,6,10
1574793637,16,16
1574800237,8,13
1574805037,9,14
1574809837,11,11
1574815237,7,13
1574820637,8,0
1574824235,5,6
1574829637,9,9
1574835637,6,11
1574841036,7,11
1574846438,7,9
1574851837,2,7
1574857836,10,12
1574861435,4,9
1574865038,7,0
1574868636,12,21
1574873437,10,23
1574878236,2,11
1574883037,8,17
1574886634,4,0
1574893836,8,17
1574898636,5,13
1574902836,4,11
1574907037,1,9
1574912437,7,3
1574917836,19,8
1574922037,195,9
1574927436,33,0
1574932838,16,3
1574938238,15,36
1574943637,16,0
1574948441,6,17
1574953837,9,12
1574959837,14,13
1574965243,10,9
1574970665,5,17
1574974889,10,9
1574978483,5,10
1574983296,5,9
1574988084,44,7
1574994095,17,13
1574998894,9,16
1575004892,7,0
1575010892,8,20
1575015089,4,15
1575021684,7,0
1575026436,9,20
1575031837,6,0
1575037836,5,11
1575042035,1,13
1575048035,8,24
1575052836,29,9
1575058840,16,0
1575063636,8,25
1575069036,16,0
1575073837,14,19
1575078035,12,0
1575081634,5,0
1575087635,5,10
1575093636,4,9
1575097835,1,13
1575103837,4,6
1575108636,5,7
1575114035,7,14
1575117634,8,0
