DateTime,Entries,UniqueIPs
1573326047,10499,10754
1573330844,10506,10761
1573336245,10509,10764
1573341052,10504,10758
1573352450,10503,10758
1573357845,10499,10753
1573365044,10505,10759
1573371044,10497,10749
1573375850,10489,10740
1573381844,10501,10753
1573387246,10510,10765
1573393244,10512,10768
1573398644,10527,10784
1573405244,10514,10770
1573410645,10520,10776
1573415443,10515,10769
1573420845,10512,10765
1573431644,10503,10756
1573437047,10512,10765
1573443044,10511,10764
1573449666,10501,10751
1573455647,10500,10750
1573461044,10511,10762
1573468244,10524,10776
1573473644,10502,10752
1573479649,10508,10758
1573485044,10510,10760
1573490444,10511,10761
1573497044,10507,10758
1573503044,10509,10761
1573509045,10509,10760
1573515644,10495,10744
1573519845,10475,10723
1573524647,10484,10732
1573530646,10473,10721
1573536045,10469,10718
1573542047,10464,10712
1573546845,10480,10728
1573553449,10479,10727
1573558846,10480,10730
1573564248,10483,10733
1573572046,10478,10728
1573579245,10466,10715
1573584643,10461,10709
1573590646,10443,10692
1573596045,10451,10700
1573601445,10450,10699
1573606244,10440,10690
1573611645,10440,10687
1573623043,10431,10676
1573628444,10398,10642
1573633242,10406,10650
1573638642,10394,10638
1573644657,10408,10652
1573650644,10396,10641
1573654842,10405,10650
1573660842,10399,10642
1573666243,10386,10629
1573671047,10394,10637
1573676443,10390,10633
1573681242,10384,10626
1573686644,10381,10623
1573690241,10387,10629
1573696243,10376,10619
1573701043,10355,10598
1573704640,10350,10593
1573710642,10352,10596
1573716041,10340,10585
1573720842,10327,10572
1573726243,10325,10570
1573733444,10325,10570
1573740641,10337,10582
1573744842,10321,10564
1573750241,10311,10554
1573755642,10297,10538
1573761041,10303,10544
1573765842,10295,10536
1573771841,10279,10520
1573776643,10270,10511
1573783840,10259,10501
1573788042,10244,10485
1573794640,10232,10471
1573800640,10239,10478
1573806042,10226,10464
1573811441,10211,10449
1573817448,10214,10452
1573822843,10215,10453
1573828241,10207,10446
1573834847,10200,10440
1573840841,10182,10423
1573845642,10171,10412
1573850441,10161,10402
1573857042,10166,10408
1573862442,10153,10395
1573867841,10143,10385
1573873841,10136,10378
1573878642,10130,10372
1573883441,10129,10372
1573890041,10134,10377
1573894841,10132,10375
1573899641,10127,10371
1573905641,10133,10377
1573910440,10127,10371
1573915840,10120,10363
1573921859,10111,10354
1573927239,10104,10347
1573932639,10089,10332
1573937439,10083,10326
1573943440,10072,10316
1573947639,10045,10290
1573953040,10047,10292
1573959640,10052,10297
1573964439,10031,10276
1573969839,10030,10273
1573974639,10035,10278
1573980039,10037,10282
1573986040,10039,10285
1573992638,10045,10290
1573997439,10028,10271
1574003438,10031,10274
1574007640,10019,10262
1574012439,10014,10257
1574018440,10013,10256
1574023839,9999,10241
1574029240,9974,10216
1574034639,9975,10217
1574040639,9971,10213
1574045439,9967,10209
1574080840,9917,10156
1574086838,9910,10147
1574091039,9903,10140
1574095238,9894,10131
1574098837,9899,10136
1574101838,9906,10143
1574106052,9887,10124
1574109638,9874,10110
1574112640,9879,10115
1574116244,9859,10096
1574120442,9863,10100
1574126441,9879,10117
1574131840,9868,10104
1574136639,9858,10094
1574143239,9854,10090
1574147438,9842,10078
1574158841,9813,10046
1574164238,9799,10032
1574169639,9777,10010
1574175038,9782,10015
1574180437,9747,9978
1574184035,9751,9983
1574188838,9734,9967
1574194237,9721,9955
1574200238,9715,9948
1574205039,9702,9935
1574211038,9704,9937
1574216438,9699,9931
1574221237,9663,9894
1574227238,9651,9882
1574232637,9661,9892
1574238038,9645,9875
1574244038,9645,9874
1574248837,9592,9821
1574254237,9596,9826
1574259037,9575,9805
1574265638,9566,9795
1574270436,9552,9780
1574275238,9558,9786
1574278836,9552,9779
1574284238,9543,9770
1574290238,9544,9771
1574295656,9515,9742
1574300455,9506,9733
1574306438,9513,9740
1574311837,9488,9714
1574317837,9487,9713
1574323237,9478,9703
1574327438,9470,9696
1574333439,9442,9668
1574339438,9424,9650
1574344838,9419,9645
1574349043,9429,9655
1574355039,9432,9660
1574360438,9423,9653
1574365838,9410,9640
1574370637,9407,9637
1574374235,9415,9645
1574379638,9415,9644
1574385036,9403,9630
1574390436,9392,9620
1574394035,9400,9628
1574399437,9374,9603
1574405437,9366,9595
1574410837,9372,9601
1574416836,9364,9593
1574421637,9352,9582
1574427038,9362,9592
1574433037,9354,9584
1574437836,9338,9564
1574442637,9353,9579
1574448721,9378,9604
1574453436,9380,9605
1574458837,9375,9602
1574464237,9368,9585
1574469636,9365,9579
1574481036,9362,9576
1574487037,9363,9578
1574492438,9350,9563
1574497235,9339,9550
1574502636,9333,9543
1574507436,9327,9538
1574512837,9331,9540
1574517636,9327,9536
1574523036,9328,9535
1574527835,9320,9528
1574532636,9318,9526
1574538035,9314,9521
1574543435,9310,9518
1574548835,9307,9515
1574553635,9304,9512
1574557234,9307,9515
1574560235,9303,9510
1574565035,9298,9505
1574571036,9303,9510
1574576438,9306,9513
1574581835,9315,9521
1574587235,9310,9516
1574592636,9311,9518
1574597441,9313,9517
1574603435,9312,9516
1574609435,9312,9514
1574613635,9309,9511
1574619035,9299,9502
1574623835,9291,9495
1574628036,9285,9489
1574631634,9286,9490
1574637034,9284,9488
1574640633,9287,9491
1574644234,9266,9469
1574647833,9255,9458
1574653834,9215,9415
1574658634,9226,9427
1574664033,9244,9445
1574670034,9252,9453
1574675434,9257,9458
1574679637,9264,9465
1574683834,9254,9455
1574689234,9259,9460
1574693434,9256,9457
1574698834,9251,9452
1574703034,9242,9443
1574707235,9247,9448
1574712635,9243,9444
1574718636,9243,9444
1574723435,9242,9442
1574728236,9231,9431
1574732436,9221,9420
1574737836,9226,9425
1574741434,9228,9427
1574745636,9224,9424
1574750439,9225,9425
1574757037,9219,9418
1574766637,9225,9425
1574772638,9231,9431
1574778037,9226,9426
1574784038,9232,9432
1574788837,9229,9428
1574793637,9230,9428
1574800237,9224,9423
1574805037,9220,9418
1574809837,9221,9418
1574815237,9216,9412
1574820637,9224,9420
1574824235,9223,9419
1574829637,9223,9419
1574835637,9219,9414
1574841036,9214,9410
1574846438,9212,9408
1574851837,9208,9403
1574857836,9205,9401
1574861435,9200,9396
1574865038,9207,9403
1574868636,9198,9394
1574873437,9186,9381
1574878236,9177,9372
1574883037,9168,9363
1574886634,9171,9367
1574893836,9162,9358
1574898636,9154,9350
1574902836,9146,9343
1574907037,9139,9335
1574912437,9143,9339
1574917836,9153,9350
1574922037,9336,9536
1574927436,9369,9569
1574932838,9383,9582
1574938238,9361,9561
1574943637,9376,9577
1574948441,9366,9566
1574953837,9362,9563
1574959837,9364,9564
1574965243,9364,9565
1574970665,9354,9553
1574974889,9356,9554
1574978483,9351,9549
1574983296,9345,9545
1574988084,9383,9582
1574994095,9386,9586
1574998894,9380,9579
1575004892,9387,9586
1575010892,9375,9574
1575015089,9365,9563
1575021684,9372,9570
1575026436,9361,9559
1575031837,9367,9565
1575037836,9361,9559
1575042035,9349,9547
1575048035,9333,9531
1575052836,9352,9551
1575058840,9368,9567
1575063636,9352,9550
1575069036,9367,9566
1575073837,9361,9561
1575078035,9372,9573
1575081634,9377,9578
1575087635,9371,9573
1575093636,9366,9568
1575097835,9354,9556
1575103837,9352,9554
1575108636,9350,9552
1575114035,9343,9545
1575117634,9350,9553
1575122435,9341,9544
1575126034,9332,9536
1575130234,9328,9533
1575135034,9328,9533
1575138634,9331,9537
1575142234,9322,9528
1575145833,9319,9524
1575149434,9321,9528
1575153033,9314,9521
1575156634,9310,9517
1575163834,9304,9511
1575168634,9294,9501
1575174034,9288,9495
1575178834,9279,9486
1575181833,9286,9493
1575185435,9279,9486
1575189033,9282,9489
1575193235,9275,9481
1575198635,9277,9483
1575203435,9273,9480
1575207033,9276,9483
1575210635,9273,9479
