DateTime,AddedIPs,RemovedIPs
1573314645,272,214
1573320643,290,313
1573326047,250,261
1573330844,267,216
1573336245,278,217
1573341052,263,217
1573352450,569,508
1573357845,321,275
1573365044,301,426
1573371044,224,306
1573375850,225,191
1573381844,273,286
1573387246,312,207
1573393244,336,336
1573398644,206,320
1573405244,316,405
1573410645,261,239
1573415443,311,224
1573420845,276,235
1573431644,586,518
1573437047,347,264
1573443044,251,328
1573449666,228,300
1573455647,341,276
1573461044,299,286
1573468244,352,477
1573473644,266,246
1573479649,357,320
1573485044,254,265
1573490444,299,322
1573497044,366,303
1573503044,380,396
1573509045,368,312
1573515644,332,323
1573519845,185,231
1573524647,305,187
1573530646,289,264
1573536045,277,277
1573542047,365,326
1573546845,296,260
1573553449,321,337
1573558846,296,287
1573564248,318,332
1573572046,329,451
1573579245,372,485
1573584643,252,314
1573590646,271,305
1573596045,202,195
1573601445,251,237
1573606244,198,182
1573611645,270,308
1573623043,353,537
1573628444,179,259
1573633242,262,260
1573638642,274,202
1573644657,291,311
1573650644,263,334
1573654842,252,287
1573660842,263,329
1573666243,278,245
1573671047,191,174
1573676443,242,268
1573681242,198,182
1573686644,281,193
1573690241,201,200
1573696243,273,252
1573701043,224,157
1573704640,216,221
1573710642,247,292
1573716041,187,250
1573720842,263,231
1573726243,295,200
1573733444,361,394
1573740641,282,415
1573744842,175,195
1573750241,251,179
1573755642,237,236
1573761041,216,215
1573765842,247,206
1573771841,230,249
1573776643,228,296
1573783840,256,329
1573788042,178,251
1573794640,200,369
1573800640,268,264
1573806042,268,212
1573811441,334,272
1573817448,346,293
1573822843,303,241
1573828241,304,250
1573834847,248,332
1573840841,213,300
1573845642,255,170
1573850441,267,225
1573857042,361,294
1573862442,307,297
1573867841,233,225
1573873841,306,336
1573878642,260,226
1573883441,202,216
1573890041,286,337
1573894841,230,339
1573899641,254,286
1573905641,251,331
1573910440,247,247
1573915840,208,235
1573921859,219,283
1573927239,229,251
1573932639,216,290
1573937439,244,237
1573943440,252,264
1573947639,209,181
1573953040,267,232
1573959640,261,303
1573964439,177,254
1573969839,253,300
1573974639,271,199
1573980039,316,243
1573986040,320,324
1573992638,269,325
1573997439,191,249
1574003438,209,234
1574007640,217,200
1574012439,274,198
1574018440,321,238
1574023839,256,241
1574029240,219,209
1574034639,237,263
1574040639,226,310
1574045439,213,208
1574080840,650,914
1574086838,207,255
1574091039,227,208
1574095238,191,176
1574098837,193,157
1574101838,164,152
1574106052,106,151
1574109638,130,139
1574112640,149,161
1574116244,172,162
1574120442,232,160
1574126441,305,282
1574131840,258,309
1574136639,243,270
1574143239,303,382
1574147438,195,174
1574158841,397,376
1574164238,214,213
1574169639,255,297
1574175038,193,246
1574180437,193,233
1574184035,177,153
1574188838,232,135
1574194237,253,280
1574200238,296,259
1574205039,294,257
1574211038,291,296
1574216438,301,308
1574221237,255,232
1574227238,277,299
1574232637,216,237
1574238038,266,294
1574244038,213,263
1574248837,265,263
1574254237,210,241
1574259037,172,148
1574265638,345,322
1574270436,242,290
1574275238,263,230
1574278836,215,182
1574284238,315,320
1574290238,300,327
1574295656,301,309
1574300455,249,255
1574306438,241,224
1574311837,314,288
1574317837,238,273
1574323237,271,321
1574327438,181,187
1574333439,280,243
1574339438,258,250
1574344838,220,297
1574349043,261,260
1574355039,287,373
1574360438,246,274
1574365838,312,364
1574370637,235,188
1574374235,192,200
1574379638,264,264
1574385036,245,229
1574390436,276,284
1574394035,161,158
1574399437,258,279
1574405437,279,292
1574410837,189,208
1574416836,227,285
1574421637,309,305
1574427038,365,297
1574433037,254,280
1574437836,283,342
1574442637,307,306
1574448721,332,259
1574453436,277,255
1574458837,294,269
1574464237,232,243
1574469636,216,252
1574481036,461,475
1574487037,237,265
1574492438,184,295
1574497235,273,321
1574502636,318,282
1574507436,271,213
1574512837,343,285
1574517636,237,284
1574523036,213,399
1574527835,216,245
1574532636,220,268
1574538035,192,238
1574543435,242,242
1574548835,241,254
1574553635,233,224
1574557234,147,128
1574560235,172,103
1574565035,222,178
1574571036,309,340
1574576438,328,296
1574581835,240,243
1574587235,319,347
1574592636,380,257
