DateTime,Entries,UniqueIPs
1573314645,5845,5845
1573320643,5822,5822
1573326047,5811,5811
1573330844,5862,5862
1573336245,5923,5923
1573341052,5969,5969
1573352450,6030,6030
1573357845,6076,6076
1573365044,5951,5951
1573371044,5869,5869
1573375850,5903,5903
1573381844,5890,5890
1573387246,5995,5995
1573393244,5995,5995
1573398644,5881,5881
1573405244,5792,5792
1573410645,5814,5814
1573415443,5901,5901
1573420845,5942,5942
1573431644,6010,6010
1573437047,6093,6093
1573443044,6016,6016
1573449666,5944,5944
1573455647,6009,6009
1573461044,6022,6022
1573468244,5897,5897
1573473644,5917,5917
1573479649,5954,5954
1573485044,5943,5943
1573490444,5920,5920
1573497044,5983,5983
1573503044,5967,5967
1573509045,6023,6023
1573515644,6032,6032
1573519845,5986,5986
1573524647,6104,6104
1573530646,6129,6129
1573536045,6129,6129
1573542047,6168,6168
1573546845,6204,6204
1573553449,6188,6188
1573558846,6197,6197
1573564248,6183,6183
1573572046,6061,6061
1573579245,5948,5948
1573584643,5886,5886
1573590646,5852,5852
1573596045,5859,5859
1573601445,5873,5873
1573606244,5889,5889
1573611645,5851,5851
1573623043,5667,5667
1573628444,5587,5587
1573633242,5589,5589
1573638642,5661,5661
1573644657,5641,5641
1573650644,5570,5570
1573654842,5535,5535
1573660842,5469,5469
1573666243,5502,5502
1573671047,5519,5519
1573676443,5493,5493
1573681242,5509,5509
1573686644,5597,5597
1573690241,5598,5598
1573696243,5619,5619
1573701043,5686,5686
1573704640,5681,5681
1573710642,5636,5636
1573716041,5573,5573
1573720842,5605,5605
1573726243,5700,5700
1573733444,5667,5667
1573740641,5534,5534
1573744842,5514,5514
1573750241,5586,5586
1573755642,5587,5587
1573761041,5588,5588
1573765842,5629,5629
1573771841,5610,5610
1573776643,5542,5542
1573783840,5469,5469
1573788042,5396,5396
1573794640,5227,5227
1573800640,5231,5231
1573806042,5287,5287
1573811441,5349,5349
1573817448,5402,5402
1573822843,5464,5464
1573828241,5518,5518
1573834847,5434,5434
1573840841,5347,5347
1573845642,5432,5432
1573850441,5474,5474
1573857042,5541,5541
1573862442,5551,5551
1573867841,5559,5559
1573873841,5529,5529
1573878642,5563,5563
1573883441,5549,5549
1573890041,5498,5498
1573894841,5389,5389
1573899641,5357,5357
1573905641,5277,5277
1573910440,5277,5277
1573915840,5250,5250
1573921859,5186,5186
1573927239,5164,5164
1573932639,5090,5090
1573937439,5097,5097
1573943440,5085,5085
1573947639,5113,5113
1573953040,5148,5148
1573959640,5106,5106
1573964439,5029,5029
1573969839,4982,4982
1573974639,5054,5054
1573980039,5127,5127
1573986040,5123,5123
1573992638,5067,5067
1573997439,5009,5009
1574003438,4984,4984
1574007640,5001,5001
1574012439,5077,5077
1574018440,5160,5160
1574023839,5175,5175
1574029240,5185,5185
1574034639,5159,5159
1574040639,5075,5075
1574045439,5080,5080
1574080840,4816,4816
1574086838,4768,4768
1574091039,4787,4787
1574095238,4802,4802
1574098837,4838,4838
1574101838,4850,4850
1574106052,4805,4805
1574109638,4796,4796
1574112640,4784,4784
1574116244,4794,4794
1574120442,4866,4866
1574126441,4889,4889
1574131840,4838,4838
1574136639,4811,4811
1574143239,4732,4732
1574147438,4753,4753
1574158841,4774,4774
1574164238,4775,4775
1574169639,4733,4733
1574175038,4680,4680
1574180437,4640,4640
1574184035,4664,4664
1574188838,4761,4761
1574194237,4734,4734
1574200238,4771,4771
1574205039,4808,4808
1574211038,4803,4803
1574216438,4796,4796
1574221237,4819,4819
1574227238,4797,4797
1574232637,4776,4776
1574238038,4748,4748
1574244038,4698,4698
1574248837,4700,4700
1574254237,4669,4669
1574259037,4693,4693
1574265638,4716,4716
1574270436,4668,4668
1574275238,4701,4701
