DateTime,AddedIPs,RemovedIPs
1570123222,444,485
1570131023,481,386
1570140622,368,683
1570155021,749,562
1570164021,479,383
1570178423,641,666
1570191023,655,637
1570200023,399,500
1570207223,415,382
1570221623,628,474
1570229421,331,387
1570236630,347,323
1570250420,595,546
1570258220,420,315
1570266623,394,457
1570275623,425,500
1570285222,420,599
1570312822,995,559
1570326620,484,479
1570341020,498,583
1570349423,353,496
1570363223,544,667
1570376424,620,585
1570384222,465,357
1570398622,672,677
1570411822,641,450
1570425621,460,552
1570455023,603,772
1570468222,629,595
1570476022,469,399
1570490421,759,613
1570504220,537,545
1570512021,361,443
1570520424,368,476
1570528824,506,442
1570536023,719,371
1570543823,437,473
1570552223,557,460
1570560023,465,432
1570574423,729,614
1570582822,489,456
1570597222,529,672
1570611624,405,327
1570635623,703,885
1570643423,473,419
1570657223,654,573
1570670422,735,508
1570678822,378,519
1570695024,582,634
1570704025,409,514
1570711824,410,514
1570721424,471,640
1570729823,500,455
1570738223,516,520
1570752622,759,548
1570761022,451,501
1570774821,579,697
1570783223,411,460
1570791023,376,430
1570801223,479,566
1570808422,341,472
1570837221,824,660
1570850421,651,494
1570858821,380,593
1570873223,643,585
1570881024,381,414
1570889423,389,413
1570897223,428,428
1570911622,661,576
1570925421,649,526
1570932621,432,316
1570940421,386,389
1570954224,545,654
1570962626,435,501
1570972223,320,666
1570986623,714,559
1570993822,471,295
1571001622,441,370
1571015421,639,540
1571023221,411,390
1571030421,348,403
1571038824,391,435
1571047224,364,540
1571061624,666,741
1571076023,637,607
1571089823,584,592
1571104222,606,517
1571111421,363,397
1571120421,325,525
1571128224,334,357
1571136624,446,483
1571145023,418,477
1571152225,520,360
1571160023,530,361
1571169023,402,557
1571176822,421,428
1571184022,357,370
1571191820,310,465
1571200221,414,450
1571208621,394,475
1571217025,363,458
1571231424,529,660
1571238623,498,335
1571246424,505,378
1571260223,651,534
1571270422,538,444
1571281822,470,432
1571289622,356,382
1571304024,542,616
1571312423,356,466
1571320823,378,462
1571328623,386,455
1571338823,424,579
1571346023,382,347
1571359821,541,610
1571371222,549,439
1571384424,509,471
1571398224,497,559
1571409627,428,478
1571421623,516,450
1571433022,600,391
1571437822,295,252
1571451022,649,541
1571475625,508,627
1571483423,346,512
1571493023,321,526
1571507424,600,463
1571520623,507,535
1571533223,552,532
1571544625,454,481
1571556625,455,450
1571570425,450,548
1571584224,500,526
1571596223,629,386
1571607024,493,449
1571617853,543,471
1571630422,632,580
1571644224,532,508
1571652624,330,535
1571665223,718,467
1571675424,311,575
1571688624,585,530
1571702430,584,499
1571713822,667,553
1571721621,308,432
1571729426,365,419
1571742625,554,548
1571754624,571,598
1571767824,560,495
1571781624,629,461
1571794822,573,520
1571803222,397,491
1571810422,350,347
1571818824,298,523
1571833224,601,557
1571841623,408,442
1571856023,660,476
1571870423,590,483
1571884822,487,597
1571892022,461,397
1571899821,342,400
1571914224,511,560
1571928624,517,604
1571943023,653,502
1571950824,359,344
1571962222,596,470
1571970622,376,443
1571977221,307,369
1571985622,448,443
1571998825,534,611
1572006624,413,413
1572020424,567,548
1572027624,376,313
1572035423,325,421
1572049223,551,540
1572063622,516,640
1572078025,600,579
1572085225,386,343
1572093024,375,442
1572100825,315,378
1572108023,325,330
1572122423,536,484
1572130224,406,354
1572143422,553,500
1572157822,525,543
1572165624,271,484
1572173424,408,420
1572180624,325,390
1572195023,401,646
1572206422,587,350
1572220222,501,424
1572231621,457,468
1572243021,489,447
1572255623,404,588
1572270024,484,531
1572282024,634,416
1572301222,619,383
1572312623,500,371
1572326422,412,547
1572333024,374,377
1572342625,324,557
1572351024,322,391
1572363623,518,659
1572378026,620,478
1572391222,525,435
1572404421,472,419
1572415821,396,495
1572423024,266,366
1572437423,437,529
1572450023,573,428
1572457822,412,336
1572471022,521,531
1572481822,549,439
1572487822,327,270
1572496821,301,469
1572511224,486,531
1572524424,517,567
1572538823,541,507
1572550223,602,476
1572562223,539,470
1572576022,564,454
1572589221,381,596
1572603624,416,599
1572615623,604,452
1572622825,326,326
1572637223,561,504
1572651023,644,491
1572664822,497,578
1572678625,440,643
1572686424,400,291
1572700223,467,508
1572708024,367,398
1572722423,564,460
1572734423,551,443
1572747022,587,470
1572757821,507,464
1572770424,456,523
1572779423,328,492
1572793223,474,573
1572807022,637,487
1572821422,598,520
1572832821,658,523
1572846620,433,632
1572853221,420,307
1572862224,362,494
1572869424,370,400
1572883824,485,641
1572894623,594,472
1572907223,605,470
1572914421,416,380
1572922222,352,498
1572936022,548,573
1572944423,386,418
1572958223,436,584
1572972023,484,563
1572979223,408,283
1572993623,552,520
1573004421,594,469
1573017621,504,605
1573031424,513,552
1573039223,370,371
1573053623,474,551
1573068023,493,510
1573080022,583,417
1573092622,479,503
1573106421,487,572
1573119024,472,507
1573126227,229,342
1573140024,360,555
1573152023,568,368
1573164023,554,377
1573188022,421,650
1573202423,394,566
1573216823,416,453
1573229422,346,463
1573240822,390,374
1573252223,373,353
1573261821,324,275
1573273221,327,417
1573284021,363,353
1573298423,405,285
1573309822,375,396
1573320622,443,371
1573330822,423,353
1573341027,458,335
1573352425,496,431
1573365021,422,496
1573375829,404,457
1573387224,476,381
1573398623,393,479
1573410622,465,447
1573420822,491,359
1573431621,516,438
1573443021,443,414
1573455621,438,478
1573468223,413,550
1573479623,472,465
1573490422,469,494
1573503022,540,475
1573515622,476,460
1573524622,416,348
1573536021,421,401
1573546824,454,434
1573558823,423,516
1573572023,424,567
1573584622,455,561
1573596022,396,380
1573606221,363,319
1573611622,234,249
1573623021,308,422
1573633223,366,382
1573644624,407,363
1573654822,339,438
1573666222,400,354
1573676422,325,332
