DateTime,Entries,UniqueIPs
1573320628,267,268
1573326032,270,271
1573330829,270,271
1573336229,277,279
1573341034,274,278
1573352433,255,257
1573357828,270,272
1573365029,273,275
1573371029,271,272
1573375834,257,258
1573381828,261,262
1573387229,263,264
1573393228,262,264
1573398629,261,263
1573405228,262,264
1573410628,260,262
1573415428,256,258
1573420829,254,255
1573431628,241,242
1573437030,253,254
1573443028,255,256
1573449650,254,255
1573455629,255,256
1573461029,259,259
1573468228,262,262
1573473629,250,250
1573479633,254,254
1573485028,249,249
1573490429,263,263
1573497028,266,266
1573503028,257,257
1573509029,258,258
1573515629,274,275
1573519829,269,270
1573524630,268,269
1573530628,264,265
1573536029,266,267
1573542030,270,272
1573546829,268,270
1573553429,282,285
1573558829,280,282
1573564229,283,285
1573572029,273,275
1573579229,266,268
1573584628,263,265
1573590629,260,262
1573596029,260,262
1573601429,264,265
1573606228,280,281
1573611629,275,276
1573623028,262,263
1573628428,243,244
1573633228,254,255
1573638628,248,248
1573644635,263,263
1573650628,260,260
1573654828,260,260
1573660828,259,259
1573666228,253,253
1573671033,249,249
1573676429,250,250
1573681228,264,264
1573686630,263,263
1573690227,262,262
1573696229,261,261
1573701028,258,258
1573704626,273,274
1573710628,271,272
1573716027,269,270
1573720828,273,275
1573726228,270,272
1573733429,263,264
1573740628,262,263
1573744829,258,259
1573750228,256,257
1573755629,260,261
1573761028,256,258
1573765828,256,258
1573771828,254,256
1573776629,252,254
1573783828,255,257
1573788029,250,254
1573794627,253,257
1573800628,252,255
1573806028,253,256
1573811428,256,260
1573817429,260,264
1573822829,259,263
1573828227,253,257
1573834833,258,262
1573840828,257,261
1573845628,260,264
1573850428,268,270
1573857029,266,268
1573862428,265,267
1573867828,258,260
1573873827,256,258
1573878628,253,255
1573883428,258,261
1573890028,254,256
1573894828,251,254
1573899628,255,257
1573905628,259,261
1573910428,261,263
1573915827,268,270
1573921847,262,264
1573927227,260,262
1573932627,271,273
1573937427,252,254
1573943428,251,252
1573947628,255,256
1573953027,266,267
1573959627,268,269
1573964427,269,270
1573969827,271,272
1573974627,272,273
1573980027,273,274
1573986028,272,273
1573992627,260,261
1573997427,261,262
1574003427,258,259
1574007628,261,262
1574012427,274,275
1574018428,273,275
1574023827,280,282
1574029228,272,273
1574034627,287,288
1574040627,274,275
1574045427,273,274
1574080829,211,212
1574086827,206,207
1574091027,202,203
1574095227,205,206
1574098826,223,224
1574101827,218,219
1574106029,223,224
1574109625,232,233
1574112627,229,230
1574116231,240,241
1574120428,222,223
1574126427,236,237
1574131827,237,238
1574136627,235,236
1574143227,249,250
1574147426,264,265
1574158828,276,277
1574164227,287,288
1574169628,288,289
1574175027,285,286
1574180427,285,286
1574184026,296,298
1574188827,268,270
1574194227,254,256
1574200227,253,256
1574205027,249,253
1574211027,248,251
1574216427,248,250
1574221227,248,250
1574227227,250,252
1574232627,247,249
1574238027,248,250
1574244027,265,267
1574248827,268,270
1574254227,270,271
1574259027,273,274
1574265627,272,273
1574270426,263,264
1574275227,263,264
