DateTime,AddedIPs,RemovedIPs
1573330829,2,5
1573336229,5,0
1573341034,8,3
1573352433,2,7
1573357828,5,0
1573365029,7,7
1573371029,4,5
1573375834,6,6
1573381828,3,8
1573387229,5,0
1573393228,3,5
1573398629,6,5
1573405228,4,0
1573410628,6,0
1573415428,8,0
1573420829,8,8
1573431628,6,16
1573437030,7,5
1573443028,8,0
1573449650,6,5
1573455629,6,8
1573461029,4,3
1573468228,6,3
1573473629,4,0
1573479633,7,9
1573485028,4,5
1573490429,5,5
1573497028,5,4
1573503028,9,0
1573509029,7,5
1573515629,3,7
1573519829,5,8
1573524630,5,6
1573530628,7,0
1573536029,4,7
1573542030,4,0
1573546829,7,12
1573553429,6,0
1573558829,7,3
1573564229,3,8
1573572029,10,3
1573579229,7,0
1573584628,5,14
1573590629,5,0
1573596029,5,7
1573601429,5,8
1573606228,7,9
1573611629,7,0
1573623028,4,7
1573628428,7,10
1573633228,4,5
1573638628,10,0
1573644635,7,6
1573650628,2,8
1573654828,2,3
1573660828,7,6
1573666228,1,0
1573671033,4,8
1573676429,6,4
1573681228,6,6
1573686630,6,0
1573690227,3,3
1573696229,4,0
1573701028,2,6
1573704626,7,8
1573710628,3,0
1573716027,4,7
1573720828,5,7
1573726228,5,0
1573733429,4,8
1573740628,5,8
1573744829,4,7
1573750228,4,0
1573755629,4,6
1573761028,4,0
1573765828,7,6
1573771828,4,7
1573776629,8,4
1573783828,5,0
1573788029,6,8
1573794627,5,6
1573800628,5,0
1573806028,6,8
1573811428,8,2
1573817429,3,6
1573822829,6,8
1573828227,3,0
1573834833,5,5
1573840828,7,4
1573845628,3,7
1573850428,8,4
1573857029,4,0
1573862428,6,7
1573867828,5,7
1573873827,3,7
1573878628,2,7
1573883428,3,5
1573890028,5,0
1573894828,3,13
1573899628,8,0
1573905628,4,0
1573910428,5,4
1573915827,5,5
1573921847,4,2
1573927227,5,0
1573932627,7,7
1573937427,3,4
1573943428,5,0
1573947628,5,8
1573953027,5,6
1573959627,4,5
1573964427,3,5
1573969827,5,9
1573974627,7,8
1573980027,4,0
1573986028,4,0
1573992627,5,8
1573997427,8,7
1574003427,2,8
1574007628,5,4
1574012427,6,0
1574018428,6,3
1574023827,3,12
1574029228,7,0
1574034627,5,6
1574040627,3,0
1574045427,6,6
1574080829,4,16
1574086827,6,6
1574091027,5,3
1574095227,6,0
1574098826,7,0
1574101827,5,0
1574106029,6,14
1574109625,2,0
1574112627,5,0
1574116231,5,4
1574120428,5,6
1574126427,7,7
1574131827,5,5
1574136627,5,7
1574143227,7,9
1574147426,5,4
1574158828,9,9
1574164227,5,6
1574169628,7,2
1574175027,8,5
1574180427,5,0
1574184026,5,5
1574188827,2,4
1574194227,4,4
1574200227,4,0
1574205027,4,17
1574211027,2,8
1574216427,4,3
1574221227,6,6
1574227227,7,0
1574232627,3,6
1574238027,5,5
1574244027,6,0
1574248827,6,5
1574254227,7,6
1574259027,6,4
1574265627,5,0
1574270426,3,6
1574275227,5,5
1574278826,3,0
1574284227,4,8
1574290227,6,0
1574295639,3,9
1574300439,3,8
1574306428,4,2
1574311827,4,0
1574317827,2,5
1574323227,5,4
1574327427,7,5
1574333427,5,0
1574339428,5,7
1574344827,4,6
1574349031,6,4
1574355027,6,8
1574360427,2,7
1574365827,5,5
1574370627,7,0
1574374225,6,0
1574379627,4,9
1574385027,5,2
1574390426,4,0
1574394025,3,0
1574399427,6,8
1574405427,7,7
1574410827,4,0
1574416826,5,5
1574421627,4,0
1574427027,3,6
1574433027,4,0
1574437826,4,6
1574442627,6,6
1574448711,8,8
1574453427,2,4
1574458827,5,0
1574464227,3,6
1574469627,2,4
1574481027,3,2
1574487027,4,7
1574492428,3,0
1574497226,7,14
1574502626,5,0
1574507427,2,6
1574512827,4,0
1574517627,5,5
1574523027,5,6
1574527826,5,7
1574532626,7,0
1574538027,5,5
1574543426,4,0
1574548827,3,4
1574553627,6,7
1574557225,4,0
1574560226,5,0
1574565026,6,8
1574571027,7,8
1574576429,3,0
1574581826,4,3
1574587226,3,5
1574592627,6,7
1574597431,5,0
1574603427,4,4
1574609426,2,3
1574613626,6,4
1574619026,3,2
1574623826,7,0
1574628026,6,6
1574631625,3,0
1574637026,4,5
1574640625,4,0
1574644226,4,6
1574647825,3,0
1574653826,1,6
1574658627,5,6
1574664026,7,6
1574670026,4,6
1574675426,4,0
1574679628,3,4
1574683826,6,5
1574689226,5,0
1574693426,3,0
1574698827,6,7
1574703027,6,2
1574707226,2,5
1574712627,4,0
1574718627,2,6
1574723427,3,3
1574728227,2,4
1574732426,5,0
1574737826,3,3
1574741425,4,0
1574745626,5,9
1574750429,4,7
1574757027,6,0
1574766627,2,10
1574772627,5,7
1574778027,6,0
1574784028,5,4
1574788828,6,3
1574793627,5,5
1574800227,3,6
1574805027,2,6
1574809827,6,3
1574815227,5,0
1574820627,3,4
1574824225,6,0
1574829627,6,12
1574835627,4,6
1574841027,3,2
1574846428,4,0
1574851827,4,6
1574857827,7,4
1574861425,4,0
1574865027,6,6
1574868626,2,0
1574873427,5,10
1574878226,3,0
1574883027,7,4
1574886625,5,0
1574893826,6,5
1574898627,4,13
1574902826,4,0
1574907027,4,5
1574912427,6,5
1574917827,7,6
1574922027,5,0
1574927426,6,5
1574932827,7,0
1574938227,4,6
1574943627,1,0
1574948431,6,13
1574953827,8,0
1574959827,7,8
1574965232,4,3
1574970627,6,6
1574974832,5,9
1574978428,3,0
1574983231,6,3
1574988029,5,4
1574994030,5,0
1574998830,4,3
1575004830,6,4
1575010831,5,6
1575015030,7,7
1575021630,7,0
1575026427,4,0
1575031828,4,4
1575037827,3,4
1575042027,4,5
1575048027,3,0
1575052827,6,6
1575058831,3,5
1575063627,2,5
1575069027,6,6
1575073827,6,2
1575078027,6,0
1575081625,6,0
1575087626,5,2
1575093627,7,7
1575097826,5,8
1575103826,5,7
1575108627,5,5
1575114026,5,0
1575117625,6,4
1575122427,5,6
1575126026,4,0
1575130226,8,3
1575135026,6,0
1575138626,6,3
1575142226,3,0
1575145825,4,6
1575149426,4,0
1575153025,4,5
1575156627,3,6
1575163827,3,9
1575168626,2,8
1575174026,1,6
1575178827,3,0
1575181825,2,5
1575185426,7,0
1575189025,3,0
1575193227,2,4
1575198627,6,6
1575203427,2,6
1575207025,5,0
1575210626,1,6
1575214225,6,0
1575217827,2,6
1575220826,5,0
1575224427,5,4
1575228025,3,0
1575232228,4,4
1575235825,3,0
1575238827,6,7
1575246024,4,6
1575250827,4,4
1575254425,3,0
1575257427,5,0
1575261025,5,5
1575264626,2,0
1575271824,8,7
1575275427,4,5
1575279627,8,6
1575284427,5,0
1575288025,4,0
1575292227,4,6
1575297026,4,0
1575300626,2,0
1575304826,1,9
1575309628,6,0
1575313827,3,9
1575319227,5,0
1575322826,7,6
1575327627,7,7
1575331827,5,4
1575337227,5,0
1575342627,4,7
1575348027,4,6
1575356427,5,11
1575360025,4,0
1575367825,4,5
1575372632,3,7
1575376827,5,9
1575382227,3,0
1575387627,5,6
1575390626,6,0
1575394227,5,4
1575397826,7,0
1575404425,5,4
1575408627,6,8
1575415226,2,9
1575419426,6,5
1575423025,3,0
1575426626,2,0
1575430225,3,5
1575433827,5,5
1575437425,3,0
1575441026,0,5
1575448225,1,6
1575451827,3,0
1575456027,6,7
1575461427,3,8
1575464425,3,0
1575468027,2,0
1575471626,3,0
1575478826,6,6
1575482427,3,0
1575489625,5,8
1575493227,1,0
1575496225,4,6
1575503425,4,8
1575507027,2,7
1575511827,3,0
1575517226,5,4
1575522627,3,6
1575531027,3,5
1575534626,6,0
1575539427,5,7
1575545428,5,6
1575549627,7,6
1575554427,3,0
1575558025,6,0
1575565225,6,3
1575569427,6,12
1575574226,3,0
1575585025,6,4
1575588627,5,4
1575592826,5,4
1575596425,3,0
1575600627,6,16
1575605427,2,0
1575610226,3,0
1575613825,0,5
1575617426,5,6
1575621627,6,4
1575627626,7,0
1575635425,5,7
1575639026,6,0
1575642626,3,5
1575648626,8,5
1575653427,5,6
1575657026,3,0
1575660626,5,0
1575664232,5,2
1575667825,0,5
1575671427,5,0
1575674426,7,5
1575681625,6,8
1575686427,3,5
1575691226,6,7
1575694826,5,0
1575698426,6,0
1575702025,5,3
1575705626,5,4
1575709226,4,0
1575712826,3,5
1575716425,4,0
1575720026,6,6
1575727827,2,2
1575732626,4,4
1575735625,1,0
1575739827,5,4
1575747025,6,7
1575750627,5,4
1575754225,4,0
1575757826,2,5
1575761425,6,0
1575765026,4,5
1575768625,4,0
