DateTime,AddedIPs,RemovedIPs
1573314629,23,23
1573320628,24,23
1573326032,24,24
1573330829,22,25
1573336229,24,21
1573341034,24,25
1573352433,19,18
1573357828,24,26
1573365029,26,24
1573371029,23,25
1573375834,25,24
1573381828,25,24
1573387229,23,25
1573393228,24,24
1573398629,24,22
1573405228,23,26
1573410628,25,23
1573415428,25,24
1573420829,25,25
1573431628,21,21
1573437030,27,27
1573443028,25,25
1573449650,24,26
1573455629,23,23
1573461029,23,22
1573468228,26,25
1573473629,23,25
1573479633,23,24
1573485028,23,22
1573490429,26,25
1573497028,26,25
1573503028,24,25
1573509029,24,25
1573515629,24,24
1573519829,25,23
1573524630,25,26
1573530628,23,25
1573536029,27,24
1573542030,23,25
1573546829,24,23
1573553429,23,24
1573558829,23,23
1573564229,24,23
1573572029,25,24
1573579229,26,26
1573584628,23,24
1573590629,23,24
1573596029,24,23
1573601429,23,23
1573606228,25,24
1573611629,23,25
1573623028,22,21
1573628428,24,24
1573633228,19,24
1573638628,22,18
1573644635,25,24
1573650628,24,24
1573654828,22,24
1573660828,24,22
1573666228,18,23
1573671033,22,18
1573676429,24,23
1573681228,26,25
1573686630,21,25
1573690227,22,21
1573696229,18,19
1573701028,22,21
1573704626,23,22
1573710628,20,22
1573716027,23,20
1573720828,22,23
1573726228,24,25
1573733429,22,20
1573740628,19,22
1573744829,21,21
1573750228,26,22
1573755629,24,26
1573761028,22,25
1573765828,25,21
1573771828,27,26
1573776629,26,27
1573783828,24,25
1573788029,21,21
1573794627,23,23
1573800628,23,22
1573806028,23,24
1573811428,23,22
1573817429,23,24
1573822829,24,23
1573828227,22,24
1573834833,22,20
1573840828,24,25
1573845628,25,24
1573850428,23,24
1573857029,20,22
1573862428,22,22
1573867828,23,21
1573873827,21,22
1573878628,21,21
1573883428,23,21
1573890028,22,25
1573894828,22,21
1573899628,25,22
1573905628,23,25
1573910428,23,22
1573915827,24,23
1573921847,22,26
1573927227,24,22
1573932627,23,23
1573937427,21,22
1573943428,24,22
1573947628,25,25
1573953027,24,23
1573959627,23,26
1573964427,25,23
1573969827,24,24
1573974627,23,24
1573980027,25,23
1573986028,21,24
1573992627,21,19
1573997427,24,23
1574003427,22,24
1574007628,25,23
1574012427,24,25
1574018428,25,25
1574023827,21,21
1574029228,25,24
1574034627,24,25
1574040627,22,23
1574045427,23,22
1574080829,22,22
1574086827,23,23
1574091027,23,24
1574095227,24,23
1574098826,25,25
1574101827,24,23
1574106029,24,25
1574109625,21,24
1574112627,23,20
1574116231,23,23
1574120428,21,21
1574126427,23,23
1574131827,23,23
1574136627,23,24
1574143227,24,23
1574147426,24,23
1574158828,22,25
1574164227,23,23
1574169628,24,23
