DateTime,AddedIPs,RemovedIPs
1575522122,1,0
1575522722,1,0
1575523321,0,3
1575524523,11,9
1575525122,2,0
1575525722,4,0
1575526322,1,7
1575526922,1,0
1575527524,0,28
1575528122,2,0
1575528722,4,5
1575529322,4,5
1575529922,5,2
1575530521,6,0
1575531122,3,3
1575531722,3,9
1575532322,5,6
1575532922,13,0
1575533521,4,1
1575534122,3,0
1575534722,6,2
1575535323,2,2
1575535922,5,5
1575536522,1,5
1575537122,2,0
1575537722,2,3
1575538322,2,6
1575538922,3,4
1575540122,2,10
1575540721,1,0
1575541322,0,3
1575542522,7,7
1575543121,2,3
1575543722,1,0
1575544921,5,7
1575545521,1,10
1575546122,2,2
1575546722,1,1
1575547322,16,1
1575547922,6,0
1575548523,13,5
1575549122,1,0
1575549722,1,0
1575550922,2,1
1575552122,5,4
1575552722,9,0
1575553323,3,5
1575554522,2,2
1575555122,2,8
1575555722,0,6
1575556322,2,0
1575556922,2,0
1575557522,3,9
1575558122,1,0
1575558722,5,5
1575559322,6,0
1575559922,2,3
1575561122,7,7
1575561722,2,1
1575562322,2,0
1575562922,2,8
1575564122,7,1
1575565322,2,8
1575565923,5,2
1575566523,3,0
1575567722,6,12
1575568922,4,3
1575569522,3,3
1575571322,4,2
1575572522,0,33
1575573722,0,5
1575574322,3,2
1575575521,6,4
1575576122,5,9
1575577322,2,1
1575577922,2,0
1575578522,6,3
1575579721,7,0
1575580922,8,1
1575581522,3,7
1575582122,1,10
1575583321,9,3
1575583923,7,7
1575584521,15,31
1575585722,1,2
1575586321,2,0
1575586922,2,1
1575587522,4,3
1575588122,4,5
1575588722,2,7
1575589322,1,0
1575589922,10,6
1575590523,4,2
1575591122,1,4
1575591722,1,1
1575592321,2,0
1575592922,14,0
1575593522,15,6
1575594123,3,0
1575594722,4,0
1575595322,0,5
1575595922,3,0
1575596522,4,0
1575597122,3,1
1575597722,16,0
1575598321,1,1
1575598922,4,0
1575600122,1,6
1575600722,2,4
1575601322,5,0
1575601922,1,5
1575602522,5,0
1575603122,6,0
1575603722,2,1
1575604922,5,5
1575605522,2,4
1575606122,7,0
1575607322,1,6
1575607922,5,8
1575608522,4,0
1575609122,0,1
1575609722,16,7
1575610323,4,0
1575610922,9,5
1575612122,5,7
1575612722,3,9
1575613322,15,0
1575613922,1,0
1575614522,4,31
1575615722,4,4
1575616922,3,3
1575617522,5,0
1575618122,4,0
1575618721,8,4
1575619321,8,9
1575620522,4,3
1575621121,9,5
1575621722,5,3
1575622322,3,2
1575622922,5,2
1575623522,1,4
1575624122,5,0
1575625323,3,3
1575627122,3,4
1575627722,0,62
1575628922,8,6
1575629522,7,0
1575630121,3,0
1575630722,4,4
1575631321,0,3
1575631922,3,0
1575633722,1,2
1575634922,2,15
1575635521,5,0
1575636122,4,3
1575636722,4,2
1575637922,1,5
1575638522,6,0
1575639722,2,0
1575640922,2,2
1575642122,1,10
1575642722,4,5
1575643322,4,0
1575644522,4,3
1575645122,2,8
1575646322,1,2
1575646922,3,0
1575647522,8,10
1575648722,15,2
1575649322,7,0
1575650522,5,8
1575651722,2,3
1575652922,4,6
1575654122,3,22
1575655322,0,6
1575655922,4,2
1575657122,4,17
1575657722,1,7
1575659522,5,4
1575660122,1,0
1575661322,6,5
1575661921,5,0
1575662522,2,2
1575663122,3,4
1575663722,0,3
1575664322,9,5
1575664921,2,0
1575665522,4,0
1575666122,1,3
1575666722,0,4
1575667322,3,2
1575667922,7,4
1575668521,3,0
1575669722,4,5
1575670322,1,1
1575670922,6,2
1575672122,7,16
1575674522,2,8
1575676322,5,18
1575678122,4,17
1575679921,2,5
1575681122,3,5
1575681722,5,0
1575682921,2,6
1575683522,4,0
1575684722,8,11
1575686522,10,0
1575687122,1,1
1575687723,0,5
1575688322,12,0
1575688922,4,9
1575690122,4,6
1575690722,1,1
1575691321,6,0
1575691922,7,1
1575692522,3,29
1575693121,12,0
1575694922,1,10
1575696722,2,1
1575697322,12,6
1575697922,3,3
1575699122,2,6
1575699723,4,2
1575700323,3,0
1575700922,4,0
1575701523,4,12
1575702122,2,35
1575702722,7,2
1575703322,1,2
1575703922,15,0
1575704522,11,0
1575705122,1,5
1575705722,1,0
1575706922,1,12
1575707522,9,0
1575708122,1,0
1575708722,1,7
1575709322,2,1
1575709922,11,0
1575710522,1,0
1575711122,8,0
1575711722,4,0
1575712322,4,3
1575713522,2,11
1575714122,1,0
1575714722,2,0
1575715322,3,3
1575715922,10,4
1575716522,2,0
1575718322,1,5
1575718922,12,3
1575719522,2,2
1575720121,5,0
1575720722,9,0
1575721322,0,4
1575721921,3,0
1575722522,19,5
1575723722,2,2
1575724322,3,3
1575724922,2,3
1575726122,14,0
1575726722,7,1
1575727322,2,1
1575727922,2,4
1575728523,9,0
1575729122,2,2
1575729722,8,6
1575730922,13,3
1575732722,8,0
1575733322,12,0
1575734522,4,4
1575735122,2,11
1575736922,12,1
1575737522,3,2
1575738122,5,0
1575738721,5,0
1575739321,2,6
1575739922,3,3
1575740522,2,5
1575741122,3,0
1575741722,2,4
1575742322,5,3
1575742922,1,0
1575744122,14,27
1575745322,4,2
1575745923,0,8
1575746523,3,18
1575747122,17,0
1575747722,8,0
1575748321,3,7
1575748922,4,0
1575749522,4,7
1575750121,2,3
1575751322,1,21
1575751922,4,0
1575752522,1,0
1575753122,4,3
1575753721,15,8
1575754922,7,7
1575755522,3,0
1575756122,2,1
1575756722,1,2
1575757322,4,4
1575757922,1,3
1575758522,7,1
1575759122,2,0
1575759722,8,3
1575762123,2,10
1575762722,2,0
1575763323,2,3
1575763922,3,2
1575764522,5,0
1575765722,5,17
1575766322,1,2
1575766922,3,0
1575767521,2,6
1575768122,4,6
1575768722,4,0
1575769322,12,0
1575769922,0,5
1575770522,3,5
1575771122,4,0
1575771722,2,0
1575772322,0,3
1575772922,4,7
1575773522,9,3
1575774122,2,4
1575775922,2,3
1575776523,0,2
1575777122,5,0
1575777722,4,2
1575778322,3,0
1575779522,5,9
1575780122,2,0
1575781323,4,7
1575781922,4,29
1575782522,3,0
1575783122,3,1
1575783722,1,3
1575784322,1,0
1575784922,7,1
1575785522,13,0
1575786122,2,1
1575786722,4,4
1575787323,6,2
1575788522,5,9
1575789122,7,4
1575789722,17,3
1575790922,4,5
1575791522,3,3
1575792122,6,3
1575792722,5,0
1575793321,4,0
1575794522,4,5
1575795122,2,8
1575795723,9,0
1575796322,2,44
1575796922,3,4
1575797523,4,2
1575798122,2,0
1575798722,2,0
1575799322,4,5
1575800522,4,0
1575801122,0,1
1575801722,7,12
1575802322,3,0
1575802923,6,2
1575803522,2,0
1575804122,9,0
1575804722,2,7
1575805322,4,4
1575805922,1,0
1575806521,4,5
1575807122,3,0
1575807723,5,11
1575808322,3,3
1575808922,1,0
1575809522,7,7
1575810123,3,0
1575810723,2,3
1575811322,1,5
1575811922,3,2
1575812522,2,5
1575813122,2,0
1575813722,1,1
1575814322,1,5
1575814922,2,0
1575815522,1,1
1575816122,2,5
1575817322,0,15
1575817922,1,0
1575818522,4,0
1575819122,4,2
1575819722,5,0
1575820322,2,3
1575820922,4,0
1575821522,5,3
1575822122,4,4
1575822722,1,0
1575823922,3,2
1575824522,1,0
1575825122,6,1
1575825722,3,3
1575826323,1,2
1575827522,2,0
1575828122,6,0
1575829322,0,2
1575829922,2,4
1575830522,1,3
1575831122,8,2
1575831722,8,0
1575832922,3,3
1575833522,7,5
1575834122,2,0
1575834722,6,1
1575835322,3,0
1575835922,23,0
1575836522,20,9
1575837122,3,2
1575838322,5,7
1575838922,0,4
1575839522,1,0
1575840122,2,0
1575840722,4,1
1575841322,4,0
1575842522,7,2
1575843122,1,7
1575843722,1,3
1575844322,5,12
1575844921,0,1
1575845522,2,0
1575846122,5,0
1575846722,3,0
1575847321,1,0
1575848522,2,2
1575849122,2,0
1575849722,3,3
1575850322,6,1
1575850922,3,0
1575851522,2,5
1575852123,4,0
1575852722,2,1
1575853323,4,7
1575853922,1,0
1575854522,2,0
1575855122,2,2
1575855722,5,5
1575856322,6,0
1575856922,12,0
1575857522,21,2
1575858122,6,4
1575858722,2,5
1575859322,2,0
1575859922,3,1
1575861123,4,6
1575861722,3,0
1575862322,2,10
1575862922,1,3
1575863523,3,0
1575864122,5,6
1575864723,7,3
1575865322,3,2
1575865922,6,4
1575866523,2,0
1575867122,0,1
1575867722,5,5
1575868322,1,0
1575868922,1,2
1575870122,2,0
1575871321,2,2
1575871922,2,2
1575872522,9,2
1575873122,7,10
1575873722,7,0
1575874322,1,20
1575874922,1,2
1575875521,4,0
1575876122,7,3
1575876722,1,8
1575877322,4,2
1575878522,4,0
1575879122,4,8
1575879721,6,1
1575880322,2,2
1575880922,7,2
1575881522,3,0
1575882122,9,0
1575882722,8,6
1575883322,2,0
1575883922,1,9
1575884523,3,0
1575885122,2,1
1575885722,4,0
1575886322,3,3
1575886922,3,0
1575887522,4,0
1575888122,3,16
1575888722,1,2
1575889922,2,9
1575890522,1,0
