DateTime,AddedIPs,RemovedIPs
1575528722,80,80
1575529322,80,80
1575529922,75,75
1575530521,53,53
1575531122,80,80
1575531722,80,80
1575532322,80,80
1575532922,80,80
1575533521,80,80
1575534122,80,80
1575534722,80,80
1575535323,80,80
1575535922,74,74
1575536522,23,23
1575537122,80,80
1575537722,80,80
1575538322,79,79
1575538922,80,80
1575540122,77,77
1575540721,77,77
1575541322,44,44
1575542522,80,80
1575543121,80,80
1575543722,80,80
1575544921,78,78
1575545521,80,80
1575546122,80,80
1575546722,80,80
1575547322,80,80
1575547922,80,80
1575548523,79,79
1575549122,80,80
1575549722,80,80
1575550922,80,80
1575552122,76,76
1575552722,80,80
1575553323,75,75
1575554522,80,80
1575555122,80,80
1575555722,80,80
1575556322,80,80
1575556922,80,80
1575557522,80,80
1575558122,80,80
1575558722,80,80
1575559322,80,80
1575559922,80,80
1575561122,78,78
1575561722,79,79
1575562322,80,80
1575562922,80,80
1575564122,68,68
1575565322,80,80
1575565923,80,80
1575566523,75,75
1575567722,65,65
1575568922,80,80
1575569522,78,78
1575570122,80,80
1575571322,80,80
1575572522,80,80
1575573722,76,76
1575574322,80,80
1575574922,80,80
1575575521,80,80
1575576122,80,80
1575577322,80,80
1575577922,80,80
1575578522,80,80
1575579721,77,77
1575580922,80,80
1575581522,80,80
1575582122,80,80
1575583321,80,80
1575583923,80,80
1575584521,79,79
1575585122,79,79
1575585722,80,80
1575586321,80,80
1575586922,80,80
1575587522,80,80
1575588122,80,80
1575588722,80,80
1575589322,80,80
1575589922,80,80
1575590523,80,80
1575591122,80,80
1575591722,80,80
1575592321,80,80
1575592922,80,80
1575593522,49,49
1575594123,80,80
1575594722,80,80
1575595322,80,80
1575595922,66,66
1575596522,80,80
1575597122,80,80
1575597722,80,80
1575598321,80,80
1575598922,80,80
1575600122,79,79
1575600722,80,80
1575601322,80,80
1575601922,80,80
1575602522,80,80
1575603122,80,80
1575603722,80,80
1575604922,80,80
1575605522,80,80
1575606122,80,80
1575607322,80,80
1575607922,80,80
1575608522,80,80
1575609122,80,80
1575609722,80,80
1575610323,80,80
1575610922,80,80
1575612122,80,80
1575612722,80,80
1575613322,80,80
1575613922,80,80
1575614522,80,80
