DateTime,AddedIPs,RemovedIPs
1575450123,5,8
1575450722,0,1
1575451322,1,0
1575452522,0,1
1575453722,7,0
1575454922,0,4
1575455522,0,5
1575456121,0,5
1575456722,0,1
1575457922,0,5
1575458523,9,0
1575459122,3,7
1575460922,0,2
1575461522,2,1
1575462122,0,1
1575462722,3,1
1575463922,3,0
1575464521,1,1
1575465122,0,1
1575465722,1,0
1575466322,0,2
1575466922,3,0
1575469922,0,2
1575470522,0,1
1575471121,0,1
1575472922,2,0
1575473523,6,0
1575474122,1,4
1575474722,0,1
1575475322,13,2
1575476522,1,0
1575477122,5,1
1575477722,13,0
1575480122,0,2
1575481322,3,10
1575481922,1,5
1575482521,0,4
1575483722,11,0
1575484922,6,0
1575486122,2,7
1575487321,1,9
1575488521,4,5
1575489122,2,0
1575489721,1,4
1575490322,2,0
1575490922,1,0
1575491522,2,0
1575492122,0,2
1575493322,6,8
1575493921,0,1
1575494522,0,3
1575495722,1,2
1575496322,0,3
1575497522,8,4
1575498121,4,0
1575498722,8,3
1575499323,1,0
1575500522,0,10
1575501722,0,10
1575502322,9,5
1575502922,4,10
1575503522,1,3
1575504122,1,0
1575504722,1,13
1575505922,1,2
1575507122,14,17
1575508322,1,2
1575508922,2,0
1575509522,11,0
1575510122,0,10
1575510721,0,11
1575511321,0,14
1575512522,1,0
1575513123,0,7
1575513722,1,9
1575514922,6,0
1575515522,5,11
1575516122,0,12
1575516721,2,0
1575517322,0,11
1575517922,9,13
1575518521,0,3
1575519121,1,3
1575519722,3,0
1575520922,0,17
1575521522,10,0
1575522121,0,7
1575522722,0,15
1575523321,1,7
1575524522,3,1
1575525122,1,8
1575526322,14,11
1575526922,1,0
1575527523,0,3
1575528722,0,4
1575529322,1,0
1575529922,1,12
1575531122,0,3
1575531721,1,6
1575532922,1,10
1575534122,1,2
1575534721,0,1
1575535322,4,11
1575536522,9,9
1575538321,1,2
1575538922,2,2
1575540122,0,6
1575541322,1,6
1575541921,14,0
1575542522,0,4
1575543722,3,4
1575544322,1,0
1575544921,1,1
1575545521,5,2
1575546122,6,1
1575547321,1,3
1575547922,1,0
1575548522,0,1
1575549122,1,1
1575549721,2,0
1575550322,0,3
1575550922,0,5
1575552122,3,3
1575552722,1,0
1575553323,0,1
1575553922,2,0
1575554522,1,2
1575555121,1,0
1575555722,1,1
1575556322,1,0
1575556921,0,2
1575557522,0,1
1575558121,4,0
1575558722,13,2
1575560522,0,3
1575561122,32,4
1575562322,9,0
1575562922,9,2
1575564722,0,7
1575565322,14,9
1575566523,3,5
1575567122,4,11
1575568322,0,10
1575569522,0,7
1575570722,7,1
1575572521,2,2
1575573122,11,1
1575573722,1,0
1575574322,0,1
1575574922,1,7
1575576122,2,12
1575577321,1,1
1575578522,14,0
1575579721,1,8
1575580322,1,0
1575582121,7,9
1575582723,2,7
1575583321,1,0
1575583922,8,3
1575584521,1,0
1575585122,1,11
1575586321,2,0
1575586922,0,4
1575587521,1,0
1575588122,2,2
1575588722,1,1
1575589922,0,3
1575590523,0,11
1575591122,0,5
1575591722,1,7
1575592922,9,2
1575593522,0,1
1575594123,0,3
1575595322,3,3
1575596522,7,5
1575597722,0,2
1575598321,0,5
1575598922,0,1
1575600121,3,3
1575600722,1,2
1575601922,0,6
1575602522,3,17
1575603722,1,0
1575604321,0,8
1575604922,1,10
1575605522,10,2
1575606122,3,0
1575607322,3,5
1575607922,2,4
1575609122,5,19
1575609722,15,0
1575610323,3,5
1575610921,3,7
1575611522,0,6
1575612722,2,2
1575613921,2,4
1575614522,0,2
1575615122,0,6
1575615722,0,5
1575616322,3,0
1575616922,0,1
1575618122,0,8
1575618721,0,7
1575619321,8,4
1575619921,5,0
1575621121,1,1
1575621722,8,0
1575622322,3,1
1575622922,0,7
1575624122,2,0
1575624722,4,0
1575625322,1,4
1575625922,5,0
1575626522,11,5
1575627122,0,6
1575627722,0,16
1575628922,0,5
1575629522,0,13
1575630121,0,3
1575630722,4,0
1575631321,4,2
