DateTime,AddedIPs,RemovedIPs
1573668002,298,0
1573675202,278,0
1573678802,138,0
1573682402,106,0
1573686002,129,0
1573689602,101,4362
1573693202,124,0
1573696802,151,0
1573700402,144,0
1573704002,156,0
1573708502,225,0
1573712102,175,0
1573715702,155,0
1573719301,160,0
1573726502,381,0
1573730102,124,0
1573733702,174,0
1573737302,324,0
1573740902,200,0
1573744502,114,0
1573748102,120,0
1573751702,175,0
1573755302,150,0
1573759802,167,0
1573767002,349,0
1573774202,281,0
1573777802,114,3741
1573781402,184,0
1573785002,159,0
1573789502,195,0
1573793102,189,0
1573800302,427,0
1573803902,191,0
1573812002,456,0
1573815602,217,0
1573819202,205,0
1573822802,203,0
1573826402,201,0
1573830001,192,0
1573833602,227,0
1573837202,184,0
1573844402,347,0
1573848002,150,0
1573851602,156,0
1573855202,140,0
1573863302,358,4191
1573870502,320,0
1573874102,171,0
1573881302,271,0
1573884902,154,0
1573888502,183,0
1573893001,186,0
1573900202,331,1
1573907402,273,0
1573911002,148,0
1573914602,153,0
1573919102,153,0
1573922702,155,0
1573926302,131,0
1573933502,281,0
1573937101,130,0
1573940702,151,0
1573944302,153,0
1573947902,132,0
1573956002,234,4378
1573959602,138,0
1573963201,123,0
1573966801,119,0
1573974001,251,0
1573981202,257,0
1573984802,126,0
1573988402,194,0
1573992901,155,0
1573996502,135,0
1574000101,126,0
1574003702,173,0
1574010902,278,0
1574014502,143,0
1574022602,278,0
1574029801,265,0
1574037002,220,3688
1574044202,343,1
1574051402,265,0
1574055902,195,0
1574059502,147,0
1574066702,382,0
1574073902,350,0
1574077501,153,0
1574081102,154,0
1574084702,176,0
1574088302,192,0
1574091902,143,0
1574095502,147,0
1574100002,166,0
1574103602,126,0
1574107202,152,0
1574110802,108,0
1574118002,242,0
1574121602,114,3213
1574125202,135,0
1574128802,252,0
1574132402,205,0
1574136902,194,0
1574140502,135,0
1574144102,184,0
1574147702,189,0
1574151302,230,0
1574154902,176,0
1574162101,377,0
1574165702,178,0
1574170202,254,0
1574173802,273,0
1574181001,389,0
1574184601,308,0
1574188202,157,0
1574192702,202,0
1574199902,371,0
1574203502,184,0
1574210702,352,3645
1574215202,266,0
1574218802,203,0
1574222402,218,0
1574226002,212,0
1574229601,194,0
1574233201,218,0
1574236802,205,0
1574240402,216,0
1574244002,198,0
1574247602,195,0
1574251202,188,0
1574254802,233,0
1574258402,199,0
1574262002,169,0
1574265602,187,0
1574269202,168,0
1574272802,159,0
1574276402,186,0
