DateTime,Entries,UniqueIPs
1573668002,9146,9146
1573675202,9424,9424
1573678802,9562,9562
1573682402,9668,9668
1573686002,9797,9797
1573689602,5536,5536
1573693202,5660,5660
1573696802,5811,5811
1573700402,5955,5955
1573704002,6111,6111
1573708502,6336,6336
1573712102,6511,6511
1573715702,6666,6666
1573719301,6826,6826
1573726502,7207,7207
1573730102,7331,7331
1573733702,7505,7505
1573737302,7829,7829
1573740902,8029,8029
1573744502,8143,8143
1573748102,8263,8263
1573751702,8438,8438
1573755302,8588,8588
1573759802,8755,8755
1573767002,9104,9104
1573774202,9385,9385
1573777802,5758,5758
1573781402,5942,5942
1573785002,6101,6101
1573789502,6296,6296
1573793102,6485,6485
1573800302,6912,6912
1573803902,7103,7103
1573812002,7559,7559
1573815602,7776,7776
1573819202,7981,7981
1573822802,8184,8184
1573826402,8385,8385
1573830001,8577,8577
1573833602,8804,8804
1573837202,8988,8988
1573844402,9335,9335
1573848002,9485,9485
1573851602,9641,9641
1573855202,9781,9781
1573863302,5948,5948
1573870502,6268,6268
1573874102,6439,6439
1573881302,6710,6710
1573884902,6864,6864
1573888502,7047,7047
1573893001,7233,7233
1573900202,7563,7563
1573907402,7836,7836
1573911002,7984,7984
1573914602,8137,8137
1573919102,8290,8290
1573922702,8445,8445
1573926302,8576,8576
1573933502,8857,8857
1573937101,8987,8987
1573940702,9138,9138
1573944302,9291,9291
1573947902,9423,9423
1573956002,5279,5279
1573959602,5417,5417
1573963201,5540,5540
1573966801,5659,5659
1573974001,5910,5910
1573981202,6167,6167
1573984802,6293,6293
1573988402,6487,6487
1573992901,6642,6642
1573996502,6777,6777
1574000101,6903,6903
1574003702,7076,7076
1574010902,7354,7354
1574014502,7497,7497
1574022602,7775,7775
1574029801,8040,8040
1574037002,4572,4572
1574044202,4914,4914
1574051402,5179,5179
1574055902,5374,5374
1574059502,5521,5521
1574066702,5903,5903
1574073902,6253,6253
1574077501,6406,6406
1574081102,6560,6560
1574084702,6736,6736
1574088302,6928,6928
1574091902,7071,7071
1574095502,7218,7218
1574100002,7384,7384
1574103602,7510,7510
1574107202,7662,7662
1574110802,7770,7770
1574118002,8012,8012
1574121602,4913,4913
1574125202,5048,5048
1574128802,5300,5300
1574132402,5505,5505
1574136902,5699,5699
1574140502,5834,5834
1574144102,6018,6018
1574147702,6207,6207
1574151302,6437,6437
1574154902,6613,6613
1574162101,6990,6990
1574165702,7168,7168
1574170202,7422,7422
1574173802,7695,7695
1574181001,8084,8084
1574184601,8392,8392
1574188202,8549,8549
1574192702,8751,8751
1574199902,9122,9122
1574203502,9306,9306
1574210702,6013,6013
1574215202,6279,6279
1574218802,6482,6482
1574222402,6700,6700
1574226002,6912,6912
1574229601,7106,7106
1574233201,7324,7324
1574236802,7529,7529
1574240402,7745,7745
1574244002,7943,7943
1574247602,8138,8138
1574251202,8326,8326
1574254802,8559,8559
1574258402,8758,8758
1574262002,8927,8927
1574265602,9114,9114
1574269202,9282,9282
1574272802,9441,9441
1574276402,9627,9627
1574280002,9788,9788
1574283602,9943,9943
1574287202,10085,10085
1574290802,10203,10203
1574294402,5854,5854
1574298002,6004,6004
1574305202,6325,6325
1574308802,6491,6491
1574312402,6655,6655
1574316002,6788,6788
1574320502,7027,7027
1574324102,7193,7193
1574327701,7360,7360
1574332202,7622,7622
1574335802,7834,7834
1574339402,8041,8041
1574343002,8258,8258
1574346602,8440,8440
1574350201,8716,8716
1574353802,8898,8898
1574361902,9290,9290
1574369101,9647,9647
1574372702,9796,9796
1574376302,9932,9932
1574379902,10069,10069
1574383502,5844,5844
1574387102,6018,6018
1574390702,6194,6194
1574394302,6364,6364
1574397901,6530,6530
1574406002,6979,6979
1574409602,7211,7211
1574413202,7442,7442
1574416802,7682,7682
1574420402,7885,7885
1574424002,8066,8066
1574431202,8410,8410
1574438402,8689,8689
