DateTime,AddedIPs,RemovedIPs
1570927792,1,0
1570932290,1,0
1570958387,0,1
1570970104,4,1
1570972789,0,14
1570976390,1,0
1570983587,1,0
1570985390,1,0
1570990789,1,0
1571003389,1,0
1571031290,1,0
1571056506,0,16
1571057397,16,0
1571060091,2,1
1571078989,1,0
1571081689,1,0
1571123994,1,0
1571132093,0,1
1571134795,0,1
1571142903,14,2
1571146498,0,1
1571150991,1,0
1571163587,0,12
1571165468,1,0
1571195987,1,0
1571229305,7,9
1571230192,0,3
1571249989,6,0
1571269786,0,20
1571314804,0,22
1571315697,5,7
1571316590,1,0
1571318391,1,0
1571341790,1,0
1571382293,1,0
1571392193,0,1
1571402107,0,2
1571402999,9,0
1571404786,0,27
1571429083,1,0
1571488506,0,5
1571489393,7,0
1571509188,1,0
1571511887,0,1
1571545186,1,0
1571554186,0,1
1571574897,3,6
1571575792,0,3
1571578491,0,1
1571608188,1,0
1571662202,10,5
1571664890,0,2
1571675690,1,0
1571679291,0,1
1571682891,0,1
1571691891,1,0
1571726094,1,0
1571737792,1,0
1571747696,0,8
1571748606,8,1
1571759386,1,0
1571812493,1,0
1571834997,7,4
1571836790,0,1
1571852087,0,1
1571854789,0,6
1571867395,0,1
1571907888,1,0
1571920502,0,2
1571921396,10,2
1571923189,0,1
1571924087,0,1
1571928589,1,0
1571934900,1,0
1571939384,0,2
1571942985,1,0
1572006896,6,1
1572007788,0,6
1572052785,1,0
1572056386,4,0
1572063586,1,0
1572092404,3,1
1572094187,0,5
1572098685,1,0
1572111282,1,0
1572112182,2,0
1572113984,0,2
1572128385,1,0
1572129287,1,0
1572130185,6,0
1572131082,4,0
1572149986,1,1
1572154488,2,0
1572155385,1,0
1572156286,1,0
1572157184,1,0
1572165288,1,0
1572178808,0,1
1572179700,7,5
1572183290,0,1
1572189606,0,1
1572202186,0,1
1572203985,0,1
1572239090,2,0
1572239994,2,0
1572250791,3,0
1572254397,1,0
1572255290,6,0
1572265203,0,2
1572266997,4,8
1572285894,0,1
1572289496,1,0
1572296693,3,0
1572313792,1,0
1572338993,1,0
1572339894,3,0
1572340796,1,0
1572342592,0,1
1572352501,8,1
1572353394,0,1
1572358800,1,0
1572359700,1,0
1572360597,1,0
1572361494,3,0
1572371393,1,0
1572388494,3,0
1572392095,1,0
1572416397,1,0
1572428093,2,0
1572429893,1,1
1572435306,5,0
1572436192,74,0
1572439790,0,5
1572442492,0,1
1572445191,1,0
1572446091,1,0
1572461396,17,0
1572474893,2,0
1572479393,1,0
1572481198,1,0
1572483895,3,0
1572484794,3,0
1572493793,1,0
1572514496,2,0
