DateTime,AddedIPs,RemovedIPs
1573506177,0,1
1573509778,2,1
1573513377,1,0
1573516978,0,3
1573527778,0,2
1573531379,3,0
1573534979,3,2
1573538578,1,0
1573542178,1,1
1573545778,0,3
1573549379,1,0
1573552978,1,0
1573560178,2,1
1573563778,0,1
1573567379,1,0
1573574579,2,2
1573578180,2,1
1573581786,4,0
1573596179,1,1
1573606980,1,0
1573610579,0,1
1573614179,2,0
1573617779,1,2
1573621380,1,1
1573624979,3,1
1573628580,1,1
1573632179,1,0
1573635780,0,2
1573642979,1,0
1573646581,0,1
1573657379,1,0
1573660980,1,0
1573664582,1,1
1573668180,0,2
1573671782,1,1
1573675380,1,0
1573678981,0,1
1573682580,2,0
1573686180,1,0
1573693388,0,1
1573696981,1,1
1573700580,1,0
1573704180,1,4
1573707781,1,3
1573714982,2,1
1573718580,1,3
1573722181,0,1
1573725780,1,2
1573729381,1,1
1573732982,4,0
1573736580,3,0
1573740122,1,1
1573747381,0,1
1573758181,2,2
1573761782,1,0
1573768981,1,3
1573772581,1,0
1573776181,2,0
1573779781,1,0
1573783382,1,2
1573786981,0,2
1573794181,3,3
1573797782,1,2
1573801382,0,2
1573804982,1,0
1573808523,0,1
1573812183,0,1
1573815783,2,0
1573819382,1,2
1573822982,1,2
1573830184,1,1
1573833783,0,2
1573837382,0,1
1573840982,1,0
1573844582,2,1
1573848182,0,1
1573851782,1,0
1573855383,1,0
1573858982,1,1
1573862523,0,1
1573866182,0,1
1573869783,1,0
1573880583,3,2
1573887783,1,0
1573891383,1,1
1573894923,1,0
1573898583,1,1
1573905783,0,2
1573916583,0,1
1573920183,2,1
1573923784,1,0
1573927383,1,2
1573930984,2,0
1573934524,0,2
1573938184,1,1
1573941784,1,0
1573945384,0,1
1573948985,1,0
1573952585,1,1
1573959785,1,0
1573963385,0,3
1573966985,2,0
1573974186,2,0
1573977786,1,2
1573984985,1,0
1573988587,0,1
1573999385,1,0
1574002985,0,1
1574006586,1,0
1574010187,0,1
1574013785,0,2
1574017385,1,3
1574024587,20,1
1574028187,7,0
1574031787,2,0
1574035387,0,1
1574042587,1,0
1574046126,0,1
1574053386,3,4
1574060527,1,2
1574064186,3,0
1574071386,4,0
1574078587,0,2
1574089386,1,0
1574092986,0,3
1574100187,2,1
1574107387,1,2
1574110987,0,1
1574114587,3,3
1574118187,1,0
1574125387,2,0
1574136188,0,2
1574138408,2,0
1574139788,1,0
1574143389,1,0
1574146989,1,4
1574150589,0,1
1574154190,1,0
1574157788,1,2
1574164989,2,0
1574172189,2,0
1574179390,2,1
1574182990,1,1
1574186529,1,1
1574190129,1,1
1574193789,0,2
1574200930,1,0
1574208129,2,3
1574215389,1,0
1574218990,1,0
1574226190,2,2
1574229790,3,1
1574233392,3,2
1574240590,1,1
1574251391,0,3
1574254991,1,0
1574258591,1,2
1574265790,0,2
1574269391,2,4
1574272990,1,3
1574276591,1,0
1574280190,1,0
1574283790,1,1
1574287392,1,0
1574290991,1,0
1574298190,0,1
1574308991,2,0
1574312531,10,3
1574316192,1,2
1574319792,1,0
1574323392,1,1
1574334192,1,0
1574337791,1,0
1574344992,1,1
1574348592,0,2
1574352131,1,1
1574355791,1,1
1574359393,2,1
1574366592,4,1
1574370192,2,1
1574373733,1,0
1574377392,2,0
1574388132,2,2
1574395392,2,4
1574398992,1,0
1574406192,2,1
1574409732,0,2
1574420595,6,0
1574424195,1,1
1574427795,1,2
1574434995,1,1
1574438595,0,3
1574442195,1,0
1574445735,2,2
1574449335,1,0
1574452995,1,0
1574456595,1,2
1574460195,1,1
1574467395,1,1
1574481736,0,3
1574485396,1,2
1574488935,0,2
1574492596,4,0
1574499796,0,1
1574506938,2,1
1574514196,0,2
1574517797,1,1
1574521396,2,0
1574524996,1,0
1574528598,8,0
1574532197,2,3
1574539336,0,2
1574542937,1,1
1574546596,2,0
1574550136,2,1
1574553796,1,0
1574557398,1,2
1574560998,1,0
1574564537,1,0
1574568196,1,0
1574571738,3,2
1574575337,0,3
1574578998,1,0
1574582598,0,1
1574586137,1,0
1574593397,1,4
1574596938,0,2
1574604197,0,1
1574607797,1,1
1574611397,1,0
1574614997,0,3
1574618597,2,0
1574625798,1,1
1574632998,2,4
1574636597,2,4
1574640199,1,0
1574643797,2,2
1574650999,0,1
1574654539,1,0
1574658198,3,2
1574661799,2,1
1574665398,1,1
1574669000,1,0
1574672598,2,1
1574676199,1,0
1574683399,1,1
1574701399,1,0
1574704999,0,3
1574712198,1,0
1574715739,1,0
1574722999,2,1
1574726539,2,1
1574733799,1,0
1574737339,0,2
1574740999,2,0
1574744599,2,5
1574748199,1,1
1574758999,1,0
1574762599,0,1
1574780599,0,1
1574784199,1,1
1574787739,1,0
1574791400,0,1
1574798600,2,0
1574805740,5,0
1574809400,0,2
1574816540,1,0
1574820140,0,1
1574823800,0,2
1574827400,0,2
1574831000,2,0
1574834600,0,5
1574841740,2,3
1574845400,1,0
1574849000,1,2
1574856140,1,0
1574863340,0,1
1574865020,1,0
1574870602,1,0
1574874140,1,0
1574885002,1,2
1574892142,1,1
1574903001,1,0
1574913742,2,0
1574917401,2,4
1574920942,1,1
1574924601,1,1
1574928142,0,2
1574931802,0,1
1574935403,1,0
1574939001,1,0
1574942601,2,0
1574946142,1,1
1574949741,1,1
1574953402,1,2
1574960602,0,1
1574967742,2,0
1574971342,1,0
1574975004,4,0
1574978542,0,1
1574982142,1,0
1574989402,0,1
1574992943,6,0
1574996602,0,1
1575000202,2,1
1575003743,2,1
1575007342,1,0
1575010943,0,2
1575014603,1,0
1575021802,1,3
1575025343,1,1
1575036143,0,3
1575039803,1,1
1575043343,2,1
1575046944,1,1
1575050544,3,1
1575054144,1,0
1575057744,2,0
1575061344,3,1
1575065004,1,1
1575072204,1,1
1575075743,1,0
1575083003,0,3
1575090143,1,2
1575093744,1,2
1575097403,1,1
1575115404,0,1
1575122604,1,0
1575126204,0,1
1575129744,0,1
1575133344,0,2
1575137004,1,0
1575140545,3,4
1575144145,2,3
1575151344,1,0
1575155005,1,1
1575158604,1,0
1575162205,3,1
1575165806,3,0
1575169404,1,0
1575173005,2,2
1575176545,3,1
1575180144,2,0
1575183744,1,1
1575187405,1,0
1575191004,1,1
1575194545,1,0
1575201806,4,0
1575205405,1,0
1575208945,2,2
1575212545,2,0
1575216205,0,1
1575223346,1,1
1575227006,2,3
1575230545,1,3
1575237805,2,0
1575241407,1,1
1575244946,0,2
1575248546,1,1
1575252206,0,1
1575255745,0,2
1575259405,1,0
1575262946,3,4
1575266606,1,0
1575270206,2,0
1575273806,3,0
1575280946,0,1
1575288146,3,2
1575291806,2,0
1575295406,5,1
1575298947,2,1
1575302547,4,1
1575313406,2,2
1575317006,1,1
1575320547,1,1
1575327806,1,1
1575331407,4,2
1575334947,1,0
1575345747,1,0
1575349407,2,2
1575353007,2,4
1575356607,1,0
1575360147,1,2
1575363808,1,2
1575367347,1,0
1575370947,1,0
1575374547,1,0
1575378208,0,3
1575385347,1,0
1575388948,2,0
1575396149,0,1
1575399808,1,0
1575410607,3,0
1575414208,0,1
1575417807,1,0
1575421348,2,1
1575428549,0,2
1575432208,0,2
1575435748,2,0
1575439408,1,1
1575442948,3,2
1575446548,0,1
1575453808,1,0
1575457409,1,7
1575460948,0,4
1575468148,1,1
1575471809,0,1
1575475349,0,2
1575479009,1,0
1575482549,1,0
1575489748,1,1
1575493410,4,0
1575497009,6,2
1575500549,5,1
1575504209,0,4
1575507749,1,0
1575511350,0,1
1575518549,1,1
1575522149,4,2
1575525749,1,3
1575529410,1,1
1575533010,0,1
1575540210,1,1
1575543749,1,0
1575547410,2,0
1575550950,2,1
1575554549,0,3
1575558149,2,0
1575561749,4,1
1575565410,1,0
1575572550,4,1
1575576150,2,2
1575579810,1,2
1575583410,3,3
1575586950,2,0
1575590550,3,2
1575594210,4,0
1575597810,14,1
1575601350,1,0
1575608550,1,2
1575612211,3,2
1575615750,0,2
1575619410,2,0
1575623010,1,0
1575626550,2,2
1575630210,1,3
1575637350,1,4
1575644550,1,3
1575648150,6,0
1575651750,1,0
1575655412,1,0
1575658951,0,4
1575666151,0,1
1575669811,0,2
1575673412,2,1
1575676951,1,0
1575680552,2,2
1575684151,0,14
1575691351,0,3
1575695011,2,1
1575698551,1,0
1575702152,1,0
1575712952,0,1
1575720151,1,1
1575723752,2,2
1575727353,2,0
1575730953,0,2
1575738213,1,1
1575741754,2,2
1575745413,1,1
1575748952,2,1
1575752612,1,0
1575756152,2,1
1575759813,1,3
1575763352,0,1
1575774152,0,1
1575777752,1,1
1575781412,1,1
1575785012,1,0
1575788552,0,3
1575795813,0,2
1575806552,1,0
1575817413,2,0
1575820953,2,1
1575824553,0,1
1575828213,1,0
1575831753,2,2
1575835413,2,5
1575838953,2,2
1575846213,0,3
1575856953,0,1
1575860613,0,1
1575864153,1,0
1575867754,1,1
1575871353,1,1
1575875013,0,1
1575878614,3,1
1575882213,0,1
1575885813,1,0
1575889353,1,0
