DateTime,Entries,UniqueIPs
1573275774,1164,1329
1573279434,1161,1326
1573282974,1164,1329
1573290174,1165,1330
1573297375,1170,1335
1573300975,1171,1336
1573304575,1171,1336
1573308175,1170,1335
1573311775,1169,1334
1573315375,1170,1335
1573326175,1171,1336
1573329775,1170,1335
1573333375,1171,1336
1573336975,1172,1337
1573340575,1170,1335
1573344175,1169,1334
1573358575,1167,1332
1573362175,1168,1333
1573365775,1169,1334
1573369435,1170,1335
1573372976,1171,1336
1573380176,1171,1336
1573381916,1173,1338
1573387376,1172,1337
1573394576,1173,1338
1573398178,1172,1337
1573401778,1173,1338
1573405378,1174,1339
1573408976,1175,1340
1573412576,1176,1341
1573419776,1177,1342
1573427003,1178,1343
1573430577,1178,1343
1573434237,1180,1345
1573437777,1179,1344
1573441376,1179,1344
1573444976,1179,1344
1573448578,1180,1345
1573452178,1178,1343
1573455777,1179,1344
1573459377,1179,1345
1573462977,1177,1343
1573473778,1178,1344
1573477377,1178,1343
1573480979,1180,1345
1573484578,1178,1343
1573488178,1179,1344
1573491778,1179,1344
1573506177,1178,1343
1573509778,1178,1343
1573513377,1179,1344
1573520577,1178,1343
1573527778,1176,1341
1573531379,1179,1344
1573534979,1182,1347
1573542178,1183,1348
1573545778,1182,1347
1573549379,1181,1346
1573552978,1182,1347
1573556578,1181,1346
1573560178,1183,1348
1573567379,1183,1348
1573574579,1184,1348
1573578180,1186,1350
1573581786,1190,1354
1573585379,1189,1353
1573592579,1187,1351
1573596179,1188,1352
1573603379,1187,1351
1573606980,1186,1350
1573610579,1185,1347
1573614179,1186,1348
1573617779,1187,1349
1573621380,1187,1349
1573624979,1190,1352
1573628580,1189,1351
1573632179,1190,1352
1573642979,1190,1352
1573657379,1188,1349
1573664582,1189,1350
1573671782,1187,1348
1573678981,1183,1344
1573682580,1184,1345
1573686180,1185,1346
1573696981,1185,1346
1573700580,1186,1347
1573704180,1186,1347
1573707781,1186,1347
1573711381,1185,1346
1573714982,1187,1348
1573718580,1188,1349
1573725780,1188,1349
1573729381,1189,1350
1573732982,1190,1352
1573736580,1191,1355
1573740122,1190,1354
1573743721,1189,1353
1573747381,1188,1352
1573754581,1187,1350
1573758181,1188,1351
1573761782,1189,1352
1573768981,1190,1353
1573772581,1191,1354
1573776181,1193,1356
1573779781,1194,1357
1573783382,1195,1358
1573790582,1194,1357
1573794181,1194,1357
1573797782,1195,1358
1573801382,1194,1357
1573804982,1195,1358
1573808523,1193,1356
1573815783,1194,1357
1573819382,1191,1354
1573822982,1190,1354
1573840982,1190,1354
1573844582,1191,1355
1573851782,1192,1356
1573855383,1193,1357
1573858982,1194,1358
1573869783,1193,1357
1573873383,1192,1356
1573880583,1194,1358
1573887783,1194,1358
1573891383,1193,1357
1573894923,1193,1357
1573898583,1194,1358
1573902183,1191,1355
1573912683,1181,1345
1573920183,1181,1345
1573923784,1182,1346
1573927383,1182,1345
1573930984,1184,1347
1573938184,1185,1348
1573941784,1186,1349
1573945384,1182,1345
1573948985,1183,1346
1573952585,1183,1346
1573959785,1183,1346
1573966985,1182,1345
1573974186,1183,1346
1573981386,1181,1344
1573992186,1180,1343
1574017385,1181,1344
1574024587,1197,1361
1574028187,1204,1368
1574031787,1206,1370
1574038987,1205,1369
1574046126,1204,1368
1574049786,1203,1367
1574053386,1204,1367
1574060527,1204,1367
1574064186,1206,1369
1574071386,1210,1373
1574085786,1209,1372
1574096588,1208,1371
1574100187,1210,1373
1574103787,1209,1372
1574107387,1210,1373
1574114587,1213,1376
1574125387,1215,1378
1574128987,1214,1377
1574132588,1213,1376
1574138408,1215,1378
1574139788,1216,1379
1574143389,1216,1379
1574146989,1217,1380
1574154190,1218,1381
1574157788,1219,1382
1574164989,1221,1384
1574172189,1223,1386
1574175790,1222,1385
1574179390,1224,1387
1574182990,1223,1386
1574186529,1224,1387
1574190129,1225,1388
1574200930,1226,1389
1574208129,1228,1391
1574215389,1229,1392
1574218990,1229,1393
1574222590,1227,1391
1574226190,1229,1393
1574229790,1232,1396
1574233392,1234,1398
1574236989,1233,1397
1574240590,1234,1398
1574247790,1233,1397
1574254991,1234,1398
1574258591,1233,1397
1574269391,1232,1396
1574272990,1233,1397
1574280190,1233,1397
1574287392,1234,1398
1574290991,1235,1399
1574308991,1235,1399
1574312531,1243,1409
1574316192,1243,1409
1574319792,1244,1410
1574323392,1243,1409
1574326931,1241,1407
1574337791,1242,1408
1574341391,1241,1407
1574344992,1241,1407
1574352131,1240,1406
1574355791,1241,1407
1574359393,1241,1407
1574366592,1245,1411
1574370192,1246,1412
1574373733,1247,1413
1574377392,1248,1414
1574388132,1249,1415
1574391792,1248,1414
1574395392,1250,1416
1574398992,1251,1416
1574402592,1250,1415
1574406192,1252,1417
1574409732,1251,1416
1574416993,1248,1413
1574420595,1251,1417
1574424195,1252,1418
1574427795,1253,1419
1574431395,1252,1418
1574434995,1252,1419
1574438595,1250,1417
1574445735,1251,1418
1574449335,1250,1417
1574452995,1249,1416
1574456595,1250,1417
1574460195,1251,1418
1574467395,1249,1416
1574475975,1247,1414
1574481736,1246,1413
1574485396,1245,1412
1574492596,1246,1413
1574499796,1245,1412
1574506938,1246,1413
1574514196,1245,1412
1574521396,1246,1413
1574524996,1247,1414
1574528598,1253,1422
1574532197,1254,1424
1574542937,1255,1425
1574546596,1257,1427
1574550136,1258,1429
1574557398,1257,1428
1574560998,1258,1429
1574564537,1259,1430
1574568196,1257,1428
1574571738,1259,1430
1574575337,1257,1428
1574578998,1258,1429
1574586137,1258,1429
1574589798,1257,1428
1574593397,1258,1429
1574607797,1258,1429
1574611397,1259,1430
1574614997,1258,1429
1574618597,1259,1430
1574625798,1259,1430
1574632998,1261,1432
1574636597,1263,1434
1574640199,1264,1435
1574643797,1265,1436
1574654539,1265,1436
1574658198,1265,1436
1574661799,1267,1438
1574665398,1267,1438
1574669000,1265,1436
1574672598,1266,1437
1574676199,1267,1438
1574679739,1266,1437
1574683399,1267,1438
1574694139,1266,1437
1574697799,1265,1436
1574708539,1264,1435
1574712198,1263,1434
1574719398,1262,1433
1574722999,1264,1435
1574726539,1264,1435
1574733799,1265,1436
1574740999,1267,1438
1574744599,1267,1438
1574748199,1267,1438
1574755339,1264,1435
1574758999,1264,1435
1574773339,1263,1434
1574784199,1264,1435
1574787739,1263,1434
1574798600,1263,1434
1574805740,1266,1437
1574816540,1267,1438
1574827400,1266,1437
1574831000,1268,1439
1574834600,1266,1437
1574838200,1265,1436
1574841740,1267,1438
1574845400,1268,1439
1574856140,1268,1439
1574863340,1267,1438
1574865020,1267,1438
1574870602,1268,1439
1574874140,1268,1439
1574881340,1267,1438
1574885002,1268,1439
1574888602,1267,1438
1574892142,1268,1439
1574895741,1266,1437
1574906602,1265,1436
1574913742,1267,1438
1574917401,1267,1438
1574920942,1267,1438
1574924601,1267,1438
1574935403,1268,1439
1574942601,1269,1440
1574946142,1268,1439
1574949741,1269,1440
1574953402,1270,1441
1574967742,1272,1443
1574971342,1273,1444
1574975004,1277,1448
1574978542,1276,1447
1574982142,1277,1448
1574989402,1276,1447
1574992943,1282,1453
1574996602,1278,1449
1575000202,1279,1450
1575003743,1279,1450
1575007342,1280,1451
1575010943,1279,1450
1575014603,1279,1450
1575021802,1280,1451
1575043343,1282,1453
1575046944,1281,1452
1575050544,1283,1454
1575054144,1284,1455
1575057744,1286,1457
1575061344,1289,1460
1575065004,1287,1458
1575072204,1288,1459
1575075743,1288,1459
1575079404,1287,1458
1575090143,1287,1458
1575093744,1285,1456
1575097403,1285,1456
